"","Date","Session","Pseudo","Treatment","Group","TotalScore","Flight","Bonus","Mine","Fortress","NET","GameLevel","Age","Genre","ZScore","ZMean"
"1","2018-06-04 13:51:49","D01P1","AC2302","2","SHAM",2710,-790,600,900,2000,17,9,24,"Homme",-0.964482884582727,-0.871284717994318
"2","2018-06-05 12:31:19","D02P1","AC2302","2","SHAM",5060,-610,2600,1070,2000,17,9,24,"Homme",-0.464389577041352,-0.161970079701403
"3","2018-06-05 12:31:19","D02P2","AC2302","2","SHAM",8305,-335,1750,3390,3500,17,9,24,"Homme",0.226164798691312,0.575342081229014
"4","2018-06-06 12:38:01","D03P1","AC2302","2","SHAM",9800,-100,1450,2950,5500,17,9,24,"Homme",0.54430926455274,0.76660582701275
"5","2018-06-06 12:38:01","D03P2","AC2302","2","SHAM",12255,-185,2350,3340,6750,17,9,24,"Homme",1.06674716668639,1.10140839450285
"6","2018-06-07 12:40:09","D04P1","AC2302","2","SHAM",12940,-100,1950,3340,7750,17,9,24,"Homme",1.21251904569313,1.16095788595616
"7","2018-06-07 12:40:09","D04P2","AC2302","2","SHAM",15720,-50,2100,3670,10000,17,9,24,"Homme",1.80411878823144,1.52792411780175
"8","2018-06-08 12:39:56","D05P1","AC2302","2","SHAM",15370,-350,1200,3270,11250,17,9,24,"Homme",1.72963680625719,0.804565651533604
"9","2018-06-08 12:39:56","D05P2","AC2302","2","SHAM",18790,-350,1400,3240,14500,17,9,24,"Homme",2.45743217297698,0.967586591603767
"10","2018-06-19 12:42:06","D14P1","AC2302","2","SHAM",18855,-985,1400,3690,14750,17,9,24,"Homme",2.47126454105791,0.831658594357418
"11","2018-06-19 12:42:06","D14P2","AC2302","2","SHAM",21610,-950,1750,3560,17250,17,9,24,"Homme",3.05754414202663,0.978993990439345
"12","2021-03-15 16:26:51","D01P1","AF1105","3","STIM-HD",2900,-1320,650,2320,1250,17,1,26,"Homme",-0.92404980865385,-0.757000679543181
"13","2021-03-16 15:53:20","D02P1","AF1105","3","STIM-HD",3855,-555,350,2560,1500,17,1,26,"Homme",-0.720820400695546,-0.480210704566115
"14","2021-03-16 16:04:01","D02P2","AF1105","3","STIM-HD",4755,-1055,400,2160,3250,17,1,26,"Homme",-0.529295304190339,-0.534916213725858
"15","2021-03-17 15:46:00","D03P1","AF1105","3","STIM-HD",4425,-1035,700,2510,2250,17,1,26,"Homme",-0.599521172908915,-0.447275404679363
"16","2021-03-17 15:56:43","D03P2","AF1105","3","STIM-HD",6565,-685,1000,2750,3500,17,1,26,"Homme",-0.144117054552089,-0.0260618880204845
"17","2021-03-18 15:53:32","D04P1","AF1105","3","STIM-HD",3350,-1770,800,1820,2500,17,1,26,"Homme",-0.828287260401246,-0.754225697880562
"18","2021-03-18 16:03:56","D04P2","AF1105","3","STIM-HD",1985,-2585,200,1370,3000,17,1,26,"Homme",-1.11876699010081,-1.14656150709835
"19","2021-03-19 15:42:38","D05P1","AF1105","3","STIM-HD",4640,-820,1750,1210,2500,17,1,26,"Homme",-0.553767955410449,-0.389633979882816
"20","2021-03-19 15:53:21","D05P2","AF1105","3","STIM-HD",4360,-670,350,1930,2750,17,1,26,"Homme",-0.613353540989847,-0.535863981712308
"21","2021-03-30 14:46:23","D14P1","AF1105","3","STIM-HD",4655,-685,1150,1690,2500,17,1,26,"Homme",-0.550575870468695,-0.388615242780826
"22","2021-03-30 14:57:38","D14P2","AF1105","3","STIM-HD",6870,-1070,-50,2490,5500,17,1,26,"Homme",-0.0792113274031016,-0.430806896995493
"23","2019-11-18 19:46:10","D01P1","AL2409","2","SHAM",3715,-825,700,2590,1250,16,6,20,"Homme",-0.750613193485245,-0.51922667659794
"24","2019-11-19 18:00:08","D02P1","AL2409","2","SHAM",6990,-190,2000,2930,2250,16,6,20,"Homme",-0.053674647869074,0.500641455398077
"25","2019-11-19 18:12:51","D02P2","AL2409","2","SHAM",6760,-670,1800,3130,2500,16,6,20,"Homme",-0.102619950309294,0.225537003527827
"26","2019-11-20 17:03:16","D03P1","AL2409","2","SHAM",8230,-150,2150,3730,2500,16,6,20,"Homme",0.210204373982545,0.867433898854792
"27","2019-11-20 17:15:19","D03P2","AL2409","2","SHAM",8550,-350,2800,3350,2750,16,6,20,"Homme",0.278302186073285,0.779076558835677
"28","2019-11-21 15:08:03","D04P1","AL2409","2","SHAM",10090,-100,3200,3740,3250,16,6,20,"Homme",0.606022906759974,1.33143313721911
"29","2019-11-21 15:19:17","D04P2","AL2409","2","SHAM",9970,-150,2700,3920,3500,16,6,20,"Homme",0.580486227225946,1.19075720049492
"30","2019-11-22 18:32:35","D05P1","AL2409","2","SHAM",8960,-400,2150,3710,3500,16,6,20,"Homme",0.365552507814547,0.746562764284441
"31","2019-11-22 18:45:08","D05P2","AL2409","2","SHAM",10090,-300,2750,4140,3500,16,6,20,"Homme",0.606022906759974,1.12246200147275
"32","2019-12-02 19:41:12","D14P1","AL2409","2","SHAM",10200,-350,2900,4150,3500,16,6,20,"Homme",0.629431529666166,1.13151449782705
"33","2019-12-02 19:52:31","D14P2","AL2409","2","SHAM",10570,-400,2650,3820,4500,16,6,20,"Homme",0.708169624896084,1.00939061595978
"34","2019-12-02 07:37:56","D01P1","AR1208","1","STIM-SD",2425,-2955,1200,2430,1750,14,3.5,19,"Femme",-1.02513249847604,-0.749195674547849
"35","2019-12-03 07:12:58","D02P1","AR1208","1","STIM-SD",3100,-1810,1250,1910,1750,14,3.5,19,"Femme",-0.881488676097137,-0.704033258249288
"36","2019-12-03 07:30:03","D02P2","AR1208","1","STIM-SD",2430,-2850,1250,2030,2000,14,3.5,19,"Femme",-1.02406847016212,-0.796548888303173
"37","2019-12-04 07:21:21","D03P1","AR1208","1","STIM-SD",5385,-1585,1750,2970,2250,14,3.5,19,"Femme",-0.395227736636694,-0.132006222017596
"38","2019-12-04 07:34:21","D03P2","AR1208","1","STIM-SD",5380,-1210,1650,2440,2500,14,3.5,19,"Femme",-0.396291764950612,-0.197681507204027
"39","2019-12-05 07:22:49","D04P1","AR1208","1","STIM-SD",6090,-770,2100,2760,2000,14,3.5,19,"Femme",-0.245199744374281,0.0975295503345283
"40","2019-12-05 07:39:47","D04P2","AR1208","1","STIM-SD",6975,-1105,2750,3080,2250,14,3.5,19,"Femme",-0.0568667328108275,0.306286631391445
"41","2019-12-06 07:24:29","D05P1","AR1208","1","STIM-SD",7725,-805,2950,2830,2750,14,3.5,19,"Femme",0.102737514276845,0.444631413997815
"42","2019-12-06 07:34:50","D05P2","AR1208","1","STIM-SD",7115,-1055,2350,2820,3000,14,3.5,19,"Femme",-0.0270739400211285,0.216639058098604
"43","2019-12-18 07:24:10","D14P1","AR1208","1","STIM-SD",8140,-350,2800,2940,2750,14,3.5,19,"Femme",0.191051864332024,0.655832927741553
"44","2019-12-18 07:36:39","D14P2","AR1208","1","STIM-SD",7495,-1355,2350,3000,3500,14,3.5,19,"Femme",0.0537922118366257,0.240905755823023
"45","2018-06-04 17:55:12","D01P1","AS0808","1","STIM-SD",5425,-645,1600,2970,1500,16,6,21,"Homme",-0.386715510125351,-0.0169847064003424
"46","2018-06-05 10:03:20","D02P1","AS0808","1","STIM-SD",6530,-720,1950,3050,2250,16,6,21,"Homme",-0.151565252749513,0.193588078965569
"47","2018-06-05 10:03:20","D02P2","AS0808","1","STIM-SD",6360,-720,1950,2630,2500,16,6,21,"Homme",-0.187742215422719,0.100905338104046
"48","2018-06-06 10:05:54","D03P1","AS0808","1","STIM-SD",7655,-805,2550,2910,3000,16,6,21,"Homme",0.0878411178819959,0.381492444483054
"49","2018-06-06 10:05:54","D03P2","AS0808","1","STIM-SD",8845,-355,2950,3500,2750,16,6,21,"Homme",0.341079856594437,0.863989816559966
"50","2018-06-07 10:05:43","D04P1","AS0808","1","STIM-SD",8525,-135,1700,3710,3250,16,6,21,"Homme",0.272982044503696,0.833080251786072
"51","2018-06-07 10:05:43","D04P2","AS0808","1","STIM-SD",10680,-450,2150,3230,5750,16,6,21,"Homme",0.731578247802276,0.742889615333632
"52","2018-06-08 10:04:00","D05P1","AS0808","1","STIM-SD",10415,-485,2450,3700,4750,16,6,21,"Homme",0.675184747164632,0.884763096074246
"53","2018-06-08 10:04:00","D05P2","AS0808","1","STIM-SD",11830,-570,2550,3600,6250,16,6,21,"Homme",0.976304760003374,0.939696964669295
"54","2018-06-19 10:08:22","D14P1","AS0808","1","STIM-SD",9950,-770,2350,3620,4750,16,6,21,"Homme",0.576230113970275,0.704955174758162
"55","2018-06-19 10:08:22","D14P2","AS0808","1","STIM-SD",10290,-650,1950,3490,5500,16,6,21,"Homme",0.648584039316686,0.649450325872481
"56","2019-12-02 17:12:59","D01P1","BM0103","1","STIM-SD",4690,-680,1600,1770,2000,17,4.5,23,"Homme",-0.543127672271271,-0.296384714861314
"57","2019-12-03 17:55:35","D02P1","BM0103","1","STIM-SD",5460,-590,2150,1650,2250,17,4.5,23,"Homme",-0.379267311927927,-0.0948248296390269
"58","2019-12-03 18:06:43","D02P2","BM0103","1","STIM-SD",6955,-255,2250,2210,2750,17,4.5,23,"Homme",-0.0611228460664987,0.359582819269296
"59","2019-12-04 17:24:06","D03P1","BM0103","1","STIM-SD",9140,-470,3700,2910,3000,17,4.5,23,"Homme",0.403857527115588,0.854447026737264
"60","2019-12-04 17:37:40","D03P2","BM0103","1","STIM-SD",9115,-335,2350,3100,4000,17,4.5,23,"Homme",0.398537385545999,0.70674710927609
"61","2019-12-05 17:23:10","D04P1","BM0103","1","STIM-SD",10470,-450,2850,3320,4750,17,4.5,23,"Homme",0.686889058617728,0.902349542981574
