Time;Channel 1;Channel 2
0;-8,445247917;-8,62815806
0,1;-8,591144263;-8,837117766
0,2;-8,733944912;-9,047204672
0,3;-8,873517348;-9,258027533
0,4;-9,009736165;-9,469196327
0,5;-9,142482534;-9,680322746
0,6;-9,271643624;-9,891020654
0,7;-9,397112005;-10,10090652
0,8;-9,518785016;-10,3095998
0,9;-9,636564126;-10,51672337
1;-9,750354283;-10,72190383
1,1;-9,860063251;-10,92477185
1,2;-9,965600962;-11,12496254
1,3;-10,06687886;-11,32211572
1,4;-10,16380928;-11,51587622
1,5;-10,25630479;-11,70589418
1,6;-10,34427762;-11,89182531
1,7;-10,42763905;-12,07333119
1,8;-10,50629887;-12,25007946
1,9;-10,58016482;-12,42174413
2;-10,64914211;-12,5880058
2,1;-10,71313295;-12,74855187
2,2;-10,77203613;-12,90307683
2,3;-10,82574661;-13,05128242
2,4;-10,87415519;-13,19287791
2,5;-10,91714823;-13,32758028
2,6;-10,95460733;-13,45511442
2,7;-10,9864092;-13,5752134
2,8;-11,01242542;-13,68761859
2,9;-11,03252237;-13,7920799
3;-11,04656115;-13,88835597
3,1;-11,05439753;-13,97621433
3,2;-11,05588203;-14,0554316
3,3;-11,05085999;-14,12579365
3,4;-11,03917169;-14,18709577
3,5;-11,02065257;-14,23914286
3,6;-10,99513349;-14,28174954
3,7;-10,96244099;-14,31474038
3,8;-10,92239768;-14,33795
3,9;-10,87482266;-14,35122323
4;-10,81953197;-14,3544153
4,1;-10,75633913;-14,34739197
4,2;-10,68505574;-14,33002971
4,3;-10,60549212;-14,30221583
4,4;-10,51745796;-14,2638487
4,5;-10,42076315;-14,21483786
4,6;-10,3152185;-14,15510423
4,7;-10,20063666;-14,08458029
4,8;-10,07683297;-14,00321026
4,9;-9,943626427;-13,91095029
5;-9,800840671;-13,80776867
5,1;-9,648305019;-13,69364604
5,2;-9,485855532;-13,56857559
5,3;-9,313336112;-13,43256332
5,4;-9,130599634;-13,28562824
5,5;-8,937509096;-13,12780259
5,6;-8,733938783;-12,95913215
5,7;-8,519775451;-12,7796764
5,8;-8,294919516;-12,58950882
5,9;-8,059286238;-12,3887171
6;-7,812806911;-12,17740345
6,1;-7,55543004;-11,95568477
6,2;-7,287122495;-11,72369294
6,3;-7,007870648;-11,48157506
6,4;-6,717681479;-11,22949365
6,5;-6,416583636;-10,96762689
6,6;-6,104628458;-10,69616884
6,7;-5,781890948;-10,4153296
6,8;-5,448470685;-10,12533549
6,9;-5,104492676;-9,826429241
7;-4,750108144;-9,518870075
7,1;-4,385495234;-9,202933859
7,2;-4,010859649;-8,878913168
7,3;-3,626435192;-8,547117343
7,4;-3,232484224;-8,207872512
7,5;-2,829298022;-7,861521576
7,6;-2,417197038;-7,50842416
7,7;-1,996531054;-7,148956521
7,8;-1,567679234;-6,783511421
7,9;-1,131050062;-6,412497942
8;-0,687081162;-6,036341276
8,1;-0,236239018;-5,655482443
8,2;0,220981443;-5,270377981
8,3;0,684057374;-4,881499561
8,4;1,15243866;-4,489333564
8,5;1,625548683;-4,094380594
8,6;2,102785215;-3,697154935
8,7;2,58352142;-3,298183947
8,8;3,06710698;-2,898007406
8,9;3,552869326;-2,497176786
