Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
611	2018-06-05 12:31:19	D02P1	AC2302	20.125	press	thrust	None	Press	0	Press
612	2018-06-05 12:31:19	D02P1	AC2302	20.125	press	left	None	Press	0	Press
627	2018-06-05 12:31:19	D02P1	AC2302	20.525	press	right	None	Press	0	Press
634	2018-06-05 12:31:19	D02P1	AC2302	20.658	press	thrust	None	Press	0	Press
679	2018-06-05 12:31:19	D02P1	AC2302	21.793	press	fire	None	Press	0	Press
694	2018-06-05 12:31:19	D02P1	AC2302	22.224	press	thrust	None	Press	0	Press
701	2018-06-05 12:31:19	D02P1	AC2302	22.392	collide	missile_0	fortress	FortressShot	0	GameEvent
702	2018-06-05 12:31:19	D02P1	AC2302	22.425	press	left	None	Press	0	Press
726	2018-06-05 12:31:19	D02P1	AC2302	22.992	press	right	None	Press	0	Press
740	2018-06-05 12:31:19	D02P1	AC2302	23.358	press	right	None	Press	0	Press
774	2018-06-05 12:31:19	D02P1	AC2302	24.225	press	fire	None	Press	0	Press
778	2018-06-05 12:31:19	D02P1	AC2302	24.325	press	thrust	None	Press	0	Press
797	2018-06-05 12:31:19	D02P1	AC2302	24.74	new_mine	friend	None	NewMine	0	GameEvent
803	2018-06-05 12:31:19	D02P1	AC2302	24.827	press	left	None	Press	0	Press
814	2018-06-05 12:31:19	D02P1	AC2302	25.125	press	thrust	None	Press	0	Press
836	2018-06-05 12:31:19	D02P1	AC2302	25.759	press	right	None	Press	0	Press
871	2018-06-05 12:31:19	D02P1	AC2302	26.624	press	fire	None	Press	0	Press
904	2018-06-05 12:31:19	D02P1	AC2302	27.558	press	right	None	Press	0	Press
908	2018-06-05 12:31:19	D02P1	AC2302	27.625	press	thrust	None	Press	0	Press
929	2018-06-05 12:31:19	D02P1	AC2302	28.058	press	fire	None	Press	0	Press
935	2018-06-05 12:31:19	D02P1	AC2302	28.192	press	right	None	Press	0	Press
939	2018-06-05 12:31:19	D02P1	AC2302	28.292	press	thrust	None	Press	0	Press
969	2018-06-05 12:31:19	D02P1	AC2302	28.959	collide	missile_0	fortress	FortressShot	0	GameEvent
977	2018-06-05 12:31:19	D02P1	AC2302	29.191	press	left	None	Press	0	Press
982	2018-06-05 12:31:19	D02P1	AC2302	29.324	press	thrust	None	Press	0	Press
1006	2018-06-05 12:31:19	D02P1	AC2302	29.924	press	left	None	Press	0	Press
1015	2018-06-05 12:31:19	D02P1	AC2302	30.158	press	thrust	None	Press	0	Press
1024	2018-06-05 12:31:19	D02P1	AC2302	30.358	press	right	None	Press	0	Press
1042	2018-06-05 12:31:19	D02P1	AC2302	30.825	press	right	None	Press	0	Press
1070	2018-06-05 12:31:19	D02P1	AC2302	31.559	press	fire	None	Press	0	Press
1087	2018-06-05 12:31:19	D02P1	AC2302	31.959	press	right	None	Press	0	Press
1095	2018-06-05 12:31:19	D02P1	AC2302	32.092	collide	missile_0	fortress	FortressShot	0	GameEvent
1110	2018-06-05 12:31:19	D02P1	AC2302	32.525	press	thrust	None	Press	0	Press
1131	2018-06-05 12:31:19	D02P1	AC2302	33.025	press	fire	None	Press	0	Press
1155	2018-06-05 12:31:19	D02P1	AC2302	33.66	press	thrust	None	Press	0	Press
1161	2018-06-05 12:31:19	D02P1	AC2302	33.759	collide	friend_mine	None	FriendMineDestruction	50	Mine
1187	2018-06-05 12:31:19	D02P1	AC2302	34.325	press	thrust	None	Press	0	Press
1208	2018-06-05 12:31:19	D02P1	AC2302	34.891	press	right	None	Press	0	Press
1227	2018-06-05 12:31:19	D02P1	AC2302	35.358	press	right	None	Press	0	Press
1235	2018-06-05 12:31:19	D02P1	AC2302	35.525	press	fire	None	Press	0	Press
1248	2018-06-05 12:31:19	D02P1	AC2302	35.858	press	thrust	None	Press	0	Press
1280	2018-06-05 12:31:19	D02P1	AC2302	36.725	press	fire	None	Press	0	Press
1320	2018-06-05 12:31:19	D02P1	AC2302	37.792	press	right	None	Press	0	Press
1322	2018-06-05 12:31:19	D02P1	AC2302	37.825	press	thrust	None	Press	0	Press
1349	2018-06-05 12:31:19	D02P1	AC2302	38.459	press	right	None	Press	0	Press
1365	2018-06-05 12:31:19	D02P1	AC2302	38.842	new_mine	friend	None	NewMine	0	GameEvent
