Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
233	2021-03-19 15:53:21	D05P2	AF1105	7.556	press	thrust	None	Press	0	Press
254	2021-03-19 15:53:21	D05P2	AF1105	8.121	press	right	None	Press	0	Press
289	2021-03-19 15:53:21	D05P2	AF1105	9.088	press	thrust	None	Press	0	Press
313	2021-03-19 15:53:21	D05P2	AF1105	9.688	press	fire	None	Press	0	Press
326	2021-03-19 15:53:21	D05P2	AF1105	10.055	press	left	None	Press	0	Press
329	2021-03-19 15:53:21	D05P2	AF1105	10.056	bonus_available	None	None	NewBonus	0	GameEvent
345	2021-03-19 15:53:21	D05P2	AF1105	10.421	press	right	None	Press	0	Press
356	2021-03-19 15:53:21	D05P2	AF1105	10.722	press	thrust	None	Press	0	Press
359	2021-03-19 15:53:21	D05P2	AF1105	10.788	press	fire	None	Press	0	Press
382	2021-03-19 15:53:21	D05P2	AF1105	11.289	collide	missile_1	fortress	FortressShot	0	GameEvent
383	2021-03-19 15:53:21	D05P2	AF1105	11.321	press	pnts	None	Press	0	Press
386	2021-03-19 15:53:21	D05P2	AF1105	11.321	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
401	2021-03-19 15:53:21	D05P2	AF1105	11.688	press	right	None	Press	0	Press
415	2021-03-19 15:53:21	D05P2	AF1105	12.055	press	fire	None	Press	0	Press
425	2021-03-19 15:53:21	D05P2	AF1105	12.191	new_mine	foe	None	NewMine	0	GameEvent
433	2021-03-19 15:53:21	D05P2	AF1105	12.355	press	right	None	Press	0	Press
442	2021-03-19 15:53:21	D05P2	AF1105	12.555	collide	missile_0	fortress	FortressShot	0	GameEvent
448	2021-03-19 15:53:21	D05P2	AF1105	12.721	press	thrust	None	Press	0	Press
478	2021-03-19 15:53:21	D05P2	AF1105	13.489	press	fire	None	Press	0	Press
498	2021-03-19 15:53:21	D05P2	AF1105	13.988	collide	missile_0	fortress	FortressShot	0	GameEvent
501	2021-03-19 15:53:21	D05P2	AF1105	14.055	press	right	None	Press	0	Press
513	2021-03-19 15:53:21	D05P2	AF1105	14.289	press	right	None	Press	0	Press
525	2021-03-19 15:53:21	D05P2	AF1105	14.623	press	right	None	Press	0	Press
538	2021-03-19 15:53:21	D05P2	AF1105	14.921	press	right	None	Press	0	Press
561	2021-03-19 15:53:21	D05P2	AF1105	15.488	press	right	None	Press	0	Press
580	2021-03-19 15:53:21	D05P2	AF1105	15.988	press	left	None	Press	0	Press
591	2021-03-19 15:53:21	D05P2	AF1105	16.288	press	iff	None	Press	0	Press
602	2021-03-19 15:53:21	D05P2	AF1105	16.422	press	iff	None	Press	0	Press
613	2021-03-19 15:53:21	D05P2	AF1105	16.655	press	fire	None	Press	0	Press
618	2021-03-19 15:53:21	D05P2	AF1105	16.755	press	right	None	Press	0	Press
636	2021-03-19 15:53:21	D05P2	AF1105	17.288	press	fire	None	Press	0	Press
664	2021-03-19 15:53:21	D05P2	AF1105	17.922	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
665	2021-03-19 15:53:21	D05P2	AF1105	17.955	press	thrust	None	Press	0	Press
690	2021-03-19 15:53:21	D05P2	AF1105	18.389	press	left	None	Press	0	Press
708	2021-03-19 15:53:21	D05P2	AF1105	18.888	press	pnts	None	Press	0	Press
710	2021-03-19 15:53:21	D05P2	AF1105	18.888	pnts_bonus_failure	None	None	BonusFailure	-50	Bonus
726	2021-03-19 15:53:21	D05P2	AF1105	19.321	press	right	None	Press	0	Press
743	2021-03-19 15:53:21	D05P2	AF1105	19.654	press	fire	None	Press	0	Press
765	2021-03-19 15:53:21	D05P2	AF1105	20.255	collide	missile_0	fortress	FortressShot	0	GameEvent
776	2021-03-19 15:53:21	D05P2	AF1105	20.489	press	left	None	Press	0	Press
791	2021-03-19 15:53:21	D05P2	AF1105	20.821	press	thrust	None	Press	0	Press
805	2021-03-19 15:53:21	D05P2	AF1105	21.221	press	right	None	Press	0	Press
817	2021-03-19 15:53:21	D05P2	AF1105	21.455	press	right	None	Press	0	Press
827	2021-03-19 15:53:21	D05P2	AF1105	21.621	bonus_available	None	None	NewBonus	0	GameEvent
834	2021-03-19 15:53:21	D05P2	AF1105	21.855	press	right	None	Press	0	Press
844	2021-03-19 15:53:21	D05P2	AF1105	22.121	press	fire	None	Press	0	Press
865	2021-03-19 15:53:21	D05P2	AF1105	22.588	press	pnts	None	Press	0	Press
867	2021-03-19 15:53:21	D05P2	AF1105	22.588	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
870	2021-03-19 15:53:21	D05P2	AF1105	22.621	collide	missile_0	fortress	FortressShot	0	GameEvent
884	2021-03-19 15:53:21	D05P2	AF1105	22.989	press	right	None	Press	0	Press
888	2021-03-19 15:53:21	D05P2	AF1105	23.023	new_mine	friend	None	NewMine	0	GameEvent
899	2021-03-19 15:53:21	D05P2	AF1105	23.322	press	fire	None	Press	0	Press
920	2021-03-19 15:53:21	D05P2	AF1105	23.754	collide	missile_0	fortress	FortressShot	0	GameEvent
932	2021-03-19 15:53:21	D05P2	AF1105	24.121	press	right	None	Press	0	Press
943	2021-03-19 15:53:21	D05P2	AF1105	24.388	press	fire	None	Press	0	Press
962	2021-03-19 15:53:21	D05P2	AF1105	24.788	collide	missile_0	fortress	FortressShot	0	GameEvent
