Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
3142	2019-11-20 17:03:16	D03P1	AL2409	104.726	press	left	None	Press	0	Press
3145	2019-11-20 17:03:16	D03P1	AL2409	104.759	press	thrust	None	Press	0	Press
3161	2019-11-20 17:03:16	D03P1	AL2409	105.193	press	right	None	Press	0	Press
3190	2019-11-20 17:03:16	D03P1	AL2409	105.96	press	thrust	None	Press	0	Press
3208	2019-11-20 17:03:16	D03P1	AL2409	106.326	press	fire	None	Press	0	Press
3226	2019-11-20 17:03:16	D03P1	AL2409	106.825	collide	missile_0	fortress	FortressShot	0	GameEvent
3229	2019-11-20 17:03:16	D03P1	AL2409	106.893	press	fire	None	Press	0	Press
3238	2019-11-20 17:03:16	D03P1	AL2409	107.06	bonus_available	None	None	NewBonus	0	GameEvent
3252	2019-11-20 17:03:16	D03P1	AL2409	107.392	collide	missile_0	fortress	FortressShot	0	GameEvent
3253	2019-11-20 17:03:16	D03P1	AL2409	107.426	press	right	None	Press	0	Press
3271	2019-11-20 17:03:16	D03P1	AL2409	107.893	press	fire	None	Press	0	Press
3293	2019-11-20 17:03:16	D03P1	AL2409	108.392	press	right	None	Press	0	Press
3301	2019-11-20 17:03:16	D03P1	AL2409	108.56	collide	missile_0	fortress	FortressShot	0	GameEvent
3314	2019-11-20 17:03:16	D03P1	AL2409	108.96	press	right	None	Press	0	Press
3325	2019-11-20 17:03:16	D03P1	AL2409	109.192	press	thrust	None	Press	0	Press
3329	2019-11-20 17:03:16	D03P1	AL2409	109.245	new_mine	friend	None	NewMine	0	GameEvent
3346	2019-11-20 17:03:16	D03P1	AL2409	109.626	press	fire	None	Press	0	Press
3358	2019-11-20 17:03:16	D03P1	AL2409	109.959	press	right	None	Press	0	Press
3383	2019-11-20 17:03:16	D03P1	AL2409	110.559	press	fire	None	Press	0	Press
3391	2019-11-20 17:03:16	D03P1	AL2409	110.759	press	thrust	None	Press	0	Press
3403	2019-11-20 17:03:16	D03P1	AL2409	111.06	collide	friend_mine	None	FriendMineDestruction	50	Mine
3427	2019-11-20 17:03:16	D03P1	AL2409	111.493	press	left	None	Press	0	Press
3441	2019-11-20 17:03:16	D03P1	AL2409	111.859	press	left	None	Press	0	Press
3456	2019-11-20 17:03:16	D03P1	AL2409	112.226	press	thrust	None	Press	0	Press
3481	2019-11-20 17:03:16	D03P1	AL2409	112.86	press	left	None	Press	0	Press
3489	2019-11-20 17:03:16	D03P1	AL2409	113.059	collide	shell	1	ShipDamage	-50	Flight
3519	2019-11-20 17:03:16	D03P1	AL2409	113.825	press	right	None	Press	0	Press
3539	2019-11-20 17:03:16	D03P1	AL2409	114.393	press	right	None	Press	0	Press
3562	2019-11-20 17:03:16	D03P1	AL2409	114.925	press	fire	None	Press	0	Press
3576	2019-11-20 17:03:16	D03P1	AL2409	115.325	press	fire	None	Press	0	Press
3596	2019-11-20 17:03:16	D03P1	AL2409	115.759	press	fire	None	Press	0	Press
3612	2019-11-20 17:03:16	D03P1	AL2409	116.182	new_mine	friend	None	NewMine	0	GameEvent
3615	2019-11-20 17:03:16	D03P1	AL2409	116.259	press	right	None	Press	0	Press
3620	2019-11-20 17:03:16	D03P1	AL2409	116.359	collide	missile_2	fortress	FortressShot	0	GameEvent
3628	2019-11-20 17:03:16	D03P1	AL2409	116.459	press	thrust	None	Press	0	Press
3654	2019-11-20 17:03:16	D03P1	AL2409	117.125	press	left	None	Press	0	Press
3665	2019-11-20 17:03:16	D03P1	AL2409	117.427	press	left	None	Press	0	Press
3677	2019-11-20 17:03:16	D03P1	AL2409	117.626	press	fire	None	Press	0	Press
3687	2019-11-20 17:03:16	D03P1	AL2409	117.758	collide	friend_mine	None	FriendMineDestruction	50	Mine
3700	2019-11-20 17:03:16	D03P1	AL2409	118.06	press	right	None	Press	0	Press
3709	2019-11-20 17:03:16	D03P1	AL2409	118.293	press	thrust	None	Press	0	Press
3764	2019-11-20 17:03:16	D03P1	AL2409	119.76	press	right	None	Press	0	Press
3793	2019-11-20 17:03:16	D03P1	AL2409	120.526	press	thrust	None	Press	0	Press
3809	2019-11-20 17:03:16	D03P1	AL2409	120.926	press	thrust	None	Press	0	Press
3825	2019-11-20 17:03:16	D03P1	AL2409	121.359	press	thrust	None	Press	0	Press
3838	2019-11-20 17:03:16	D03P1	AL2409	121.626	press	fire	None	Press	0	Press
3857	2019-11-20 17:03:16	D03P1	AL2409	122.126	press	right	None	Press	0	Press
3869	2019-11-20 17:03:16	D03P1	AL2409	122.425	press	fire	None	Press	0	Press
3881	2019-11-20 17:03:16	D03P1	AL2409	122.626	press	thrust	None	Press	0	Press
3891	2019-11-20 17:03:16	D03P1	AL2409	122.849	new_mine	friend	None	NewMine	0	GameEvent
3894	2019-11-20 17:03:16	D03P1	AL2409	122.959	press	right	None	Press	0	Press
3912	2019-11-20 17:03:16	D03P1	AL2409	123.492	press	left	None	Press	0	Press
3932	2019-11-20 17:03:16	D03P1	AL2409	123.926	press	left	None	Press	0	Press
3947	2019-11-20 17:03:16	D03P1	AL2409	124.326	press	right	None	Press	0	Press
3960	2019-11-20 17:03:16	D03P1	AL2409	124.593	press	fire	None	Press	0	Press
3971	2019-11-20 17:03:16	D03P1	AL2409	124.826	collide	friend_mine	None	FriendMineDestruction	50	Mine
3982	2019-11-20 17:03:16	D03P1	AL2409	125.026	press	thrust	None	Press	0	Press
3992	2019-11-20 17:03:16	D03P1	AL2409	125.292	press	right	None	Press	0	Press
4019	2019-11-20 17:03:16	D03P1	AL2409	125.926	press	thrust	None	Press	0	Press
4054	2019-11-20 17:03:16	D03P1	AL2409	126.892	press	thrust	None	Press	0	Press
4094	2019-11-20 17:03:16	D03P1	AL2409	127.926	press	right	None	Press	0	Press
4107	2019-11-20 17:03:16	D03P1	AL2409	128.226	press	fire	None	Press	0	Press
4129	2019-11-20 17:03:16	D03P1	AL2409	128.792	press	fire	None	Press	0	Press
4148	2019-11-20 17:03:16	D03P1	AL2409	129.292	press	fire	None	Press	0	Press
4160	2019-11-20 17:03:16	D03P1	AL2409	129.559	collide	missile_1	fortress	FortressShot	0	GameEvent
4168	2019-11-20 17:03:16	D03P1	AL2409	129.692	press	right	None	Press	0	Press
4178	2019-11-20 17:03:16	D03P1	AL2409	129.915	new_mine	foe	None	NewMine	0	GameEvent
4181	2019-11-20 17:03:16	D03P1	AL2409	129.959	collide	missile_1	fortress	FortressShot	0	GameEvent
4182	2019-11-20 17:03:16	D03P1	AL2409	129.992	press	fire	None	Press	0	Press
4201	2019-11-20 17:03:16	D03P1	AL2409	130.459	press	left	None	Press	0	Press
4204	2019-11-20 17:03:16	D03P1	AL2409	130.493	collide	mine_0	ship	ShipDamage	-50	Flight
4213	2019-11-20 17:03:16	D03P1	AL2409	130.626	collide	missile_0	fortress	FortressShot	0	GameEvent
4230	2019-11-20 17:03:16	D03P1	AL2409	131.06	press	right	None	Press	0	Press
4249	2019-11-20 17:03:16	D03P1	AL2409	131.56	press	right	None	Press	0	Press
