Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
601	2019-12-02 07:37:56	D01P1	AR1208	19.775	press	thrust	None	Press	0	Press
637	2019-12-02 07:37:56	D01P1	AR1208	20.743	press	fire	None	Press	0	Press
657	2019-12-02 07:37:56	D01P1	AR1208	21.276	bonus_available	None	None	NewBonus	0	GameEvent
685	2019-12-02 07:37:56	D01P1	AR1208	22.042	press	right	None	Press	0	Press
718	2019-12-02 07:37:56	D01P1	AR1208	22.942	press	iff	None	Press	0	Press
730	2019-12-02 07:37:56	D01P1	AR1208	23.242	press	shots	None	Press	0	Press
732	2019-12-02 07:37:56	D01P1	AR1208	23.242	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
743	2019-12-02 07:37:56	D01P1	AR1208	23.429	new_mine	friend	None	NewMine	0	GameEvent
752	2019-12-02 07:37:56	D01P1	AR1208	23.609	press	fire	None	Press	0	Press
756	2019-12-02 07:37:56	D01P1	AR1208	23.709	press	thrust	None	Press	0	Press
759	2019-12-02 07:37:56	D01P1	AR1208	23.775	press	right	None	Press	0	Press
761	2019-12-02 07:37:56	D01P1	AR1208	23.776	warp	up	None	BorderCrossing	-35	Flight
807	2019-12-02 07:37:56	D01P1	AR1208	24.942	press	right	None	Press	0	Press
833	2019-12-02 07:37:56	D01P1	AR1208	25.575	press	right	None	Press	0	Press
847	2019-12-02 07:37:56	D01P1	AR1208	25.975	press	right	None	Press	0	Press
865	2019-12-02 07:37:56	D01P1	AR1208	26.442	press	fire	None	Press	0	Press
895	2019-12-02 07:37:56	D01P1	AR1208	27.242	press	fire	None	Press	0	Press
899	2019-12-02 07:37:56	D01P1	AR1208	27.275	collide	friend_mine	None	FriendMineDestruction	50	Mine
920	2019-12-02 07:37:56	D01P1	AR1208	27.677	press	right	None	Press	0	Press
934	2019-12-02 07:37:56	D01P1	AR1208	28.075	press	fire	None	Press	0	Press
943	2019-12-02 07:37:56	D01P1	AR1208	28.308	press	left	None	Press	0	Press
950	2019-12-02 07:37:56	D01P1	AR1208	28.409	collide	missile_1	fortress	FortressShot	0	GameEvent
968	2019-12-02 07:37:56	D01P1	AR1208	28.808	press	thrust	None	Press	0	Press
987	2019-12-02 07:37:56	D01P1	AR1208	29.309	collide	small_hex	ship	FortressCollision	-35	Flight
1022	2019-12-02 07:37:56	D01P1	AR1208	30.242	press	left	None	Press	0	Press
1035	2019-12-02 07:37:56	D01P1	AR1208	30.576	press	thrust	None	Press	0	Press
1077	2019-12-02 07:37:56	D01P1	AR1208	31.676	press	right	None	Press	0	Press
1094	2019-12-02 07:37:56	D01P1	AR1208	32.108	press	right	None	Press	0	Press
1104	2019-12-02 07:37:56	D01P1	AR1208	32.342	press	fire	None	Press	0	Press
1108	2019-12-02 07:37:56	D01P1	AR1208	32.398	new_mine	foe	None	NewMine	0	GameEvent
1110	2019-12-02 07:37:56	D01P1	AR1208	32.443	press	right	None	Press	0	Press
1127	2019-12-02 07:37:56	D01P1	AR1208	32.808	press	right	None	Press	0	Press
1130	2019-12-02 07:37:56	D01P1	AR1208	32.809	bonus_available	None	None	NewBonus	0	GameEvent
1142	2019-12-02 07:37:56	D01P1	AR1208	33.176	press	thrust	None	Press	0	Press
1187	2019-12-02 07:37:56	D01P1	AR1208	34.409	press	pnts	None	Press	0	Press
1189	2019-12-02 07:37:56	D01P1	AR1208	34.409	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1208	2019-12-02 07:37:56	D01P1	AR1208	34.842	press	right	None	Press	0	Press
1223	2019-12-02 07:37:56	D01P1	AR1208	35.242	press	right	None	Press	0	Press
1243	2019-12-02 07:37:56	D01P1	AR1208	35.742	press	thrust	None	Press	0	Press
1253	2019-12-02 07:37:56	D01P1	AR1208	36.041	press	fire	None	Press	0	Press
1264	2019-12-02 07:37:56	D01P1	AR1208	36.275	press	thrust	None	Press	0	Press
1292	2019-12-02 07:37:56	D01P1	AR1208	37.042	press	right	None	Press	0	Press
1316	2019-12-02 07:37:56	D01P1	AR1208	37.642	press	right	None	Press	0	Press
1341	2019-12-02 07:37:56	D01P1	AR1208	38.275	press	iff	None	Press	0	Press
1348	2019-12-02 07:37:56	D01P1	AR1208	38.408	press	iff	None	Press	0	Press
1358	2019-12-02 07:37:56	D01P1	AR1208	38.642	press	right	None	Press	0	Press
1369	2019-12-02 07:37:56	D01P1	AR1208	38.842	press	right	None	Press	0	Press
1395	2019-12-02 07:37:56	D01P1	AR1208	39.641	press	fire	None	Press	0	Press
1418	2019-12-02 07:37:56	D01P1	AR1208	40.143	bonus_available	None	None	NewBonus	0	GameEvent
1425	2019-12-02 07:37:56	D01P1	AR1208	40.342	press	fire	None	Press	0	Press
1428	2019-12-02 07:37:56	D01P1	AR1208	40.408	press	thrust	None	Press	0	Press
1449	2019-12-02 07:37:56	D01P1	AR1208	40.876	press	thrust	None	Press	0	Press
1463	2019-12-02 07:37:56	D01P1	AR1208	41.277	press	left	None	Press	0	Press
1482	2019-12-02 07:37:56	D01P1	AR1208	41.708	press	right	None	Press	0	Press
1501	2019-12-02 07:37:56	D01P1	AR1208	42.175	press	thrust	None	Press	0	Press
