Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
27701	2018-06-19 10:08:22	D14P2	AS0808	652.178	press	thrust	None	Press	0	Press
27711	2018-06-19 10:08:22	D14P2	AS0808	652.445	press	right	None	Press	0	Press
27742	2018-06-19 10:08:22	D14P2	AS0808	653.277	press	left	None	Press	0	Press
27752	2018-06-19 10:08:22	D14P2	AS0808	653.511	press	iff	None	Press	0	Press
27759	2018-06-19 10:08:22	D14P2	AS0808	653.644	press	iff	None	Press	0	Press
27765	2018-06-19 10:08:22	D14P2	AS0808	653.745	press	right	None	Press	0	Press
27784	2018-06-19 10:08:22	D14P2	AS0808	654.178	press	fire	None	Press	0	Press
27798	2018-06-19 10:08:22	D14P2	AS0808	654.477	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
27799	2018-06-19 10:08:22	D14P2	AS0808	654.511	press	right	None	Press	0	Press
27816	2018-06-19 10:08:22	D14P2	AS0808	654.878	press	fire	None	Press	0	Press
27831	2018-06-19 10:08:22	D14P2	AS0808	655.177	press	right	None	Press	0	Press
27838	2018-06-19 10:08:22	D14P2	AS0808	655.345	press	thrust	None	Press	0	Press
27856	2018-06-19 10:08:22	D14P2	AS0808	655.844	press	left	None	Press	0	Press
27859	2018-06-19 10:08:22	D14P2	AS0808	655.911	press	thrust	None	Press	0	Press
27871	2018-06-19 10:08:22	D14P2	AS0808	656.112	press	left	None	Press	0	Press
27880	2018-06-19 10:08:22	D14P2	AS0808	656.244	press	thrust	None	Press	0	Press
27885	2018-06-19 10:08:22	D14P2	AS0808	656.344	press	left	None	Press	0	Press
27894	2018-06-19 10:08:22	D14P2	AS0808	656.544	press	thrust	None	Press	0	Press
27921	2018-06-19 10:08:22	D14P2	AS0808	657.177	press	right	None	Press	0	Press
27936	2018-06-19 10:08:22	D14P2	AS0808	657.612	press	thrust	None	Press	0	Press
27947	2018-06-19 10:08:22	D14P2	AS0808	657.912	press	thrust	None	Press	0	Press
27957	2018-06-19 10:08:22	D14P2	AS0808	658.144	press	right	None	Press	0	Press
27969	2018-06-19 10:08:22	D14P2	AS0808	658.345	press	thrust	None	Press	0	Press
27985	2018-06-19 10:08:22	D14P2	AS0808	658.777	press	thrust	None	Press	0	Press
27994	2018-06-19 10:08:22	D14P2	AS0808	658.978	press	thrust	None	Press	0	Press
28001	2018-06-19 10:08:22	D14P2	AS0808	659.145	press	thrust	None	Press	0	Press
28012	2018-06-19 10:08:22	D14P2	AS0808	659.344	press	thrust	None	Press	0	Press
28019	2018-06-19 10:08:22	D14P2	AS0808	659.511	press	thrust	None	Press	0	Press
28023	2018-06-19 10:08:22	D14P2	AS0808	659.562	new_mine	foe	None	NewMine	0	GameEvent
28042	2018-06-19 10:08:22	D14P2	AS0808	660.111	press	fire	None	Press	0	Press
28075	2018-06-19 10:08:22	D14P2	AS0808	661.011	press	left	None	Press	0	Press
28082	2018-06-19 10:08:22	D14P2	AS0808	661.179	press	iff	None	Press	0	Press
28094	2018-06-19 10:08:22	D14P2	AS0808	661.344	press	iff	None	Press	0	Press
28098	2018-06-19 10:08:22	D14P2	AS0808	661.411	press	left	None	Press	0	Press
28120	2018-06-19 10:08:22	D14P2	AS0808	661.978	press	fire	None	Press	0	Press
28139	2018-06-19 10:08:22	D14P2	AS0808	662.345	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
28150	2018-06-19 10:08:22	D14P2	AS0808	662.578	press	right	None	Press	0	Press
28160	2018-06-19 10:08:22	D14P2	AS0808	662.878	press	thrust	None	Press	0	Press
28174	2018-06-19 10:08:22	D14P2	AS0808	663.211	press	thrust	None	Press	0	Press
28185	2018-06-19 10:08:22	D14P2	AS0808	663.378	press	right	None	Press	0	Press
28198	2018-06-19 10:08:22	D14P2	AS0808	663.711	press	fire	None	Press	0	Press
28209	2018-06-19 10:08:22	D14P2	AS0808	664.01	press	right	None	Press	0	Press
28223	2018-06-19 10:08:22	D14P2	AS0808	664.278	press	fire	None	Press	0	Press
28234	2018-06-19 10:08:22	D14P2	AS0808	664.544	press	right	None	Press	0	Press
28246	2018-06-19 10:08:22	D14P2	AS0808	664.845	press	fire	None	Press	0	Press
28256	2018-06-19 10:08:22	D14P2	AS0808	665.078	collide	missile_1	fortress	FortressShot	0	GameEvent
28270	2018-06-19 10:08:22	D14P2	AS0808	665.345	press	right	None	Press	0	Press
28281	2018-06-19 10:08:22	D14P2	AS0808	665.645	press	fire	None	Press	0	Press
28293	2018-06-19 10:08:22	D14P2	AS0808	665.946	press	right	None	Press	0	Press
28299	2018-06-19 10:08:22	D14P2	AS0808	666.11	press	thrust	None	Press	0	Press
28316	2018-06-19 10:08:22	D14P2	AS0808	666.445	press	thrust	None	Press	0	Press
28320	2018-06-19 10:08:22	D14P2	AS0808	666.478	bonus_available	None	None	NewBonus	0	GameEvent
28327	2018-06-19 10:08:22	D14P2	AS0808	666.679	press	thrust	None	Press	0	Press
28340	2018-06-19 10:08:22	D14P2	AS0808	667.011	press	thrust	None	Press	0	Press
28360	2018-06-19 10:08:22	D14P2	AS0808	667.462	new_mine	friend	None	NewMine	0	GameEvent
28364	2018-06-19 10:08:22	D14P2	AS0808	667.577	press	pnts	None	Press	0	Press
28366	2018-06-19 10:08:22	D14P2	AS0808	667.578	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
28410	2018-06-19 10:08:22	D14P2	AS0808	668.711	press	left	None	Press	0	Press
28439	2018-06-19 10:08:22	D14P2	AS0808	669.511	press	fire	None	Press	0	Press
28444	2018-06-19 10:08:22	D14P2	AS0808	669.577	collide	friend_mine	None	FriendMineDestruction	50	Mine
28452	2018-06-19 10:08:22	D14P2	AS0808	669.678	press	right	None	Press	0	Press
28497	2018-06-19 10:08:22	D14P2	AS0808	670.911	press	fire	None	Press	0	Press
28504	2018-06-19 10:08:22	D14P2	AS0808	671.044	collide	missile_0	fortress	FortressShot	0	GameEvent
28509	2018-06-19 10:08:22	D14P2	AS0808	671.178	press	right	None	Press	0	Press
28518	2018-06-19 10:08:22	D14P2	AS0808	671.411	press	fire	None	Press	0	Press
