Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1122	2019-12-06 16:56:25	D05P2	BM0103	37.481	press	thrust	None	Press	0	Press
1130	2019-12-06 16:56:25	D05P2	BM0103	37.681	press	thrust	None	Press	0	Press
1136	2019-12-06 16:56:25	D05P2	BM0103	37.815	press	right	None	Press	0	Press
1143	2019-12-06 16:56:25	D05P2	BM0103	37.982	press	right	None	Press	0	Press
1150	2019-12-06 16:56:25	D05P2	BM0103	38.147	press	right	None	Press	0	Press
1175	2019-12-06 16:56:25	D05P2	BM0103	38.748	press	fire	None	Press	0	Press
1189	2019-12-06 16:56:25	D05P2	BM0103	39.114	collide	missile_0	fortress	FortressShot	0	GameEvent
1190	2019-12-06 16:56:25	D05P2	BM0103	39.147	press	right	None	Press	0	Press
1198	2019-12-06 16:56:25	D05P2	BM0103	39.315	press	fire	None	Press	0	Press
1218	2019-12-06 16:56:25	D05P2	BM0103	39.715	collide	missile_0	fortress	FortressShot	0	GameEvent
1225	2019-12-06 16:56:25	D05P2	BM0103	39.914	press	fire	None	Press	0	Press
1239	2019-12-06 16:56:25	D05P2	BM0103	40.247	bonus_available	None	None	NewBonus	0	GameEvent
1242	2019-12-06 16:56:25	D05P2	BM0103	40.314	collide	missile_0	fortress	FortressShot	0	GameEvent
1252	2019-12-06 16:56:25	D05P2	BM0103	40.481	press	fire	None	Press	0	Press
1264	2019-12-06 16:56:25	D05P2	BM0103	40.815	press	right	None	Press	0	Press
1270	2019-12-06 16:56:25	D05P2	BM0103	40.914	collide	missile_0	fortress	FortressShot	0	GameEvent
1271	2019-12-06 16:56:25	D05P2	BM0103	40.948	press	pnts	None	Press	0	Press
1274	2019-12-06 16:56:25	D05P2	BM0103	40.948	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1281	2019-12-06 16:56:25	D05P2	BM0103	41.114	press	fire	None	Press	0	Press
1303	2019-12-06 16:56:25	D05P2	BM0103	41.581	collide	missile_0	fortress	FortressShot	0	GameEvent
1304	2019-12-06 16:56:25	D05P2	BM0103	41.614	press	fire	None	Press	0	Press
1322	2019-12-06 16:56:25	D05P2	BM0103	42.081	collide	missile_0	fortress	FortressShot	0	GameEvent
1326	2019-12-06 16:56:25	D05P2	BM0103	42.182	press	fire	None	Press	0	Press
1339	2019-12-06 16:56:25	D05P2	BM0103	42.401	new_mine	friend	None	NewMine	0	GameEvent
1352	2019-12-06 16:56:25	D05P2	BM0103	42.681	collide	missile_0	fortress	FortressShot	0	GameEvent
1355	2019-12-06 16:56:25	D05P2	BM0103	42.748	press	right	None	Press	0	Press
1362	2019-12-06 16:56:25	D05P2	BM0103	42.915	press	fire	None	Press	0	Press
1370	2019-12-06 16:56:25	D05P2	BM0103	43.114	press	left	None	Press	0	Press
1398	2019-12-06 16:56:25	D05P2	BM0103	43.814	press	fire	None	Press	0	Press
1409	2019-12-06 16:56:25	D05P2	BM0103	44.014	collide	friend_mine	None	FriendMineDestruction	50	Mine
1417	2019-12-06 16:56:25	D05P2	BM0103	44.115	press	right	None	Press	0	Press
1429	2019-12-06 16:56:25	D05P2	BM0103	44.448	press	pnts	None	Press	0	Press
1431	2019-12-06 16:56:25	D05P2	BM0103	44.448	pnts_bonus_failure	None	None	BonusFailure	-50	Bonus
1442	2019-12-06 16:56:25	D05P2	BM0103	44.648	press	right	None	Press	0	Press
1452	2019-12-06 16:56:25	D05P2	BM0103	44.881	press	fire	None	Press	0	Press
1471	2019-12-06 16:56:25	D05P2	BM0103	45.414	press	right	None	Press	0	Press
