Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
415	2021-03-04 11:25:12	D04P1	BS1410	13.517	press	thrust	None	Press	0	Press
436	2021-03-04 11:25:12	D04P1	BS1410	14.151	press	right	None	Press	0	Press
474	2021-03-04 11:25:12	D04P1	BS1410	15.184	press	thrust	None	Press	0	Press
525	2021-03-04 11:25:12	D04P1	BS1410	16.551	press	right	None	Press	0	Press
560	2021-03-04 11:25:12	D04P1	BS1410	17.519	new_mine	friend	None	NewMine	0	GameEvent
582	2021-03-04 11:25:12	D04P1	BS1410	18.117	press	fire	None	Press	0	Press
608	2021-03-04 11:25:12	D04P1	BS1410	18.751	press	right	None	Press	0	Press
610	2021-03-04 11:25:12	D04P1	BS1410	18.751	collide	missile_0	fortress	FortressShot	0	GameEvent
625	2021-03-04 11:25:12	D04P1	BS1410	19.184	press	right	None	Press	0	Press
643	2021-03-04 11:25:12	D04P1	BS1410	19.617	press	fire	None	Press	0	Press
658	2021-03-04 11:25:12	D04P1	BS1410	19.917	collide	friend_mine	None	FriendMineDestruction	50	Mine
665	2021-03-04 11:25:12	D04P1	BS1410	20.017	press	thrust	None	Press	0	Press
695	2021-03-04 11:25:12	D04P1	BS1410	20.784	press	left	None	Press	0	Press
722	2021-03-04 11:25:12	D04P1	BS1410	21.551	press	left	None	Press	0	Press
736	2021-03-04 11:25:12	D04P1	BS1410	21.851	press	thrust	None	Press	0	Press
775	2021-03-04 11:25:12	D04P1	BS1410	22.884	press	right	None	Press	0	Press
799	2021-03-04 11:25:12	D04P1	BS1410	23.55	press	right	None	Press	0	Press
815	2021-03-04 11:25:12	D04P1	BS1410	23.917	press	right	None	Press	0	Press
832	2021-03-04 11:25:12	D04P1	BS1410	24.318	press	right	None	Press	0	Press
857	2021-03-04 11:25:12	D04P1	BS1410	24.95	press	thrust	None	Press	0	Press
862	2021-03-04 11:25:12	D04P1	BS1410	25.019	new_mine	friend	None	NewMine	0	GameEvent
878	2021-03-04 11:25:12	D04P1	BS1410	25.451	press	left	None	Press	0	Press
918	2021-03-04 11:25:12	D04P1	BS1410	26.517	press	right	None	Press	0	Press
938	2021-03-04 11:25:12	D04P1	BS1410	26.917	bonus_available	None	None	NewBonus	0	GameEvent
944	2021-03-04 11:25:12	D04P1	BS1410	27.084	press	fire	None	Press	0	Press
961	2021-03-04 11:25:12	D04P1	BS1410	27.584	press	left	None	Press	0	Press
978	2021-03-04 11:25:12	D04P1	BS1410	27.951	press	fire	None	Press	0	Press
996	2021-03-04 11:25:12	D04P1	BS1410	28.317	collide	friend_mine	None	FriendMineDestruction	50	Mine
1024	2021-03-04 11:25:12	D04P1	BS1410	28.984	press	left	None	Press	0	Press
1038	2021-03-04 11:25:12	D04P1	BS1410	29.351	press	left	None	Press	0	Press
1058	2021-03-04 11:25:12	D04P1	BS1410	29.817	press	thrust	None	Press	0	Press
1082	2021-03-04 11:25:12	D04P1	BS1410	30.45	press	thrust	None	Press	0	Press
1112	2021-03-04 11:25:12	D04P1	BS1410	31.285	press	fire	None	Press	0	Press
1145	2021-03-04 11:25:12	D04P1	BS1410	32.117	collide	missile_0	fortress	FortressShot	0	GameEvent
1160	2021-03-04 11:25:12	D04P1	BS1410	32.551	press	fire	None	Press	0	Press
1190	2021-03-04 11:25:12	D04P1	BS1410	33.317	collide	missile_0	fortress	FortressShot	0	GameEvent
1195	2021-03-04 11:25:12	D04P1	BS1410	33.387	new_mine	friend	None	NewMine	0	GameEvent
1256	2021-03-04 11:25:12	D04P1	BS1410	35.051	press	right	None	Press	0	Press
1271	2021-03-04 11:25:12	D04P1	BS1410	35.45	press	right	None	Press	0	Press
1287	2021-03-04 11:25:12	D04P1	BS1410	35.851	press	fire	None	Press	0	Press
1308	2021-03-04 11:25:12	D04P1	BS1410	36.317	collide	friend_mine	None	FriendMineDestruction	50	Mine
1346	2021-03-04 11:25:12	D04P1	BS1410	37.217	press	left	None	Press	0	Press
1359	2021-03-04 11:25:12	D04P1	BS1410	37.55	press	fire	None	Press	0	Press
1386	2021-03-04 11:25:12	D04P1	BS1410	38.15	collide	missile_0	fortress	FortressShot	0	GameEvent
1409	2021-03-04 11:25:12	D04P1	BS1410	38.817	press	right	None	Press	0	Press
1429	2021-03-04 11:25:12	D04P1	BS1410	39.317	press	fire	None	Press	0	Press
1481	2021-03-04 11:25:12	D04P1	BS1410	40.684	press	fire	None	Press	0	Press
1507	2021-03-04 11:25:12	D04P1	BS1410	41.252	collide	missile_0	fortress	FortressShot	0	GameEvent
1515	2021-03-04 11:25:12	D04P1	BS1410	41.419	new_mine	friend	None	NewMine	0	GameEvent
1562	2021-03-04 11:25:12	D04P1	BS1410	42.784	press	right	None	Press	0	Press
1583	2021-03-04 11:25:12	D04P1	BS1410	43.317	press	right	None	Press	0	Press
1597	2021-03-04 11:25:12	D04P1	BS1410	43.651	press	right	None	Press	0	Press
1615	2021-03-04 11:25:12	D04P1	BS1410	44.084	press	fire	None	Press	0	Press
1630	2021-03-04 11:25:12	D04P1	BS1410	44.418	collide	friend_mine	None	FriendMineDestruction	50	Mine
1650	2021-03-04 11:25:12	D04P1	BS1410	44.917	press	left	None	Press	0	Press
1666	2021-03-04 11:25:12	D04P1	BS1410	45.251	press	left	None	Press	0	Press
1682	2021-03-04 11:25:12	D04P1	BS1410	45.684	press	thrust	None	Press	0	Press
1691	2021-03-04 11:25:12	D04P1	BS1410	45.85	bonus_available	None	None	NewBonus	0	GameEvent
