Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
6511	2019-10-11 07:52:51	D05P1	CA2209	218.034	press	thrust	None	Press	0	Press
6527	2019-10-11 07:52:51	D05P1	CA2209	218.468	press	right	None	Press	0	Press
6542	2019-10-11 07:52:51	D05P1	CA2209	218.801	press	thrust	None	Press	0	Press
6559	2019-10-11 07:52:51	D05P1	CA2209	219.268	press	fire	None	Press	0	Press
6569	2019-10-11 07:52:51	D05P1	CA2209	219.535	press	thrust	None	Press	0	Press
6570	2019-10-11 07:52:51	D05P1	CA2209	219.535	press	right	None	Press	0	Press
6574	2019-10-11 07:52:51	D05P1	CA2209	219.635	press	fire	None	Press	0	Press
6583	2019-10-11 07:52:51	D05P1	CA2209	219.701	collide	missile_0	fortress	FortressShot	0	GameEvent
6597	2019-10-11 07:52:51	D05P1	CA2209	220.034	collide	missile_0	fortress	FortressShot	0	GameEvent
6608	2019-10-11 07:52:51	D05P1	CA2209	220.368	press	right	None	Press	0	Press
6611	2019-10-11 07:52:51	D05P1	CA2209	220.434	press	thrust	None	Press	0	Press
6615	2019-10-11 07:52:51	D05P1	CA2209	220.468	bonus_available	None	None	NewBonus	0	GameEvent
6638	2019-10-11 07:52:51	D05P1	CA2209	221.068	press	thrust	None	Press	0	Press
6653	2019-10-11 07:52:51	D05P1	CA2209	221.501	press	fire	None	Press	0	Press
6676	2019-10-11 07:52:51	D05P1	CA2209	222.001	collide	missile_0	fortress	FortressShot	0	GameEvent
6684	2019-10-11 07:52:51	D05P1	CA2209	222.234	press	right	None	Press	0	Press
6701	2019-10-11 07:52:51	D05P1	CA2209	222.634	press	fire	None	Press	0	Press
6703	2019-10-11 07:52:51	D05P1	CA2209	222.658	new_mine	friend	None	NewMine	0	GameEvent
6720	2019-10-11 07:52:51	D05P1	CA2209	223.035	press	thrust	None	Press	0	Press
6726	2019-10-11 07:52:51	D05P1	CA2209	223.168	collide	missile_0	fortress	FortressShot	0	GameEvent
6745	2019-10-11 07:52:51	D05P1	CA2209	223.734	press	right	None	Press	0	Press
6779	2019-10-11 07:52:51	D05P1	CA2209	224.668	press	fire	None	Press	0	Press
6800	2019-10-11 07:52:51	D05P1	CA2209	225.134	collide	missile_0	fortress	FortressShot	0	GameEvent
6803	2019-10-11 07:52:51	D05P1	CA2209	225.201	press	right	None	Press	0	Press
6823	2019-10-11 07:52:51	D05P1	CA2209	225.769	press	fire	None	Press	0	Press
6846	2019-10-11 07:52:51	D05P1	CA2209	226.268	collide	friend_mine	None	FriendMineDestruction	50	Mine
6863	2019-10-11 07:52:51	D05P1	CA2209	226.668	press	thrust	None	Press	0	Press
6866	2019-10-11 07:52:51	D05P1	CA2209	226.734	press	left	None	Press	0	Press
6880	2019-10-11 07:52:51	D05P1	CA2209	226.968	press	thrust	None	Press	0	Press
6897	2019-10-11 07:52:51	D05P1	CA2209	227.501	press	right	None	Press	0	Press
6927	2019-10-11 07:52:51	D05P1	CA2209	228.234	press	thrust	None	Press	0	Press
6931	2019-10-11 07:52:51	D05P1	CA2209	228.334	press	fire	None	Press	0	Press
6933	2019-10-11 07:52:51	D05P1	CA2209	228.368	press	right	None	Press	0	Press
6951	2019-10-11 07:52:51	D05P1	CA2209	228.801	collide	missile_0	fortress	FortressShot	0	GameEvent
6959	2019-10-11 07:52:51	D05P1	CA2209	228.934	press	thrust	None	Press	0	Press
6965	2019-10-11 07:52:51	D05P1	CA2209	229.068	press	right	None	Press	0	Press
6970	2019-10-11 07:52:51	D05P1	CA2209	229.168	press	fire	None	Press	0	Press
6997	2019-10-11 07:52:51	D05P1	CA2209	229.901	press	thrust	None	Press	0	Press
6998	2019-10-11 07:52:51	D05P1	CA2209	229.901	press	right	None	Press	0	Press
6999	2019-10-11 07:52:51	D05P1	CA2209	229.901	press	fire	None	Press	0	Press
7018	2019-10-11 07:52:51	D05P1	CA2209	230.202	collide	missile_1	fortress	FortressShot	0	GameEvent
7029	2019-10-11 07:52:51	D05P1	CA2209	230.534	press	thrust	None	Press	0	Press
7031	2019-10-11 07:52:51	D05P1	CA2209	230.568	press	right	None	Press	0	Press
7037	2019-10-11 07:52:51	D05P1	CA2209	230.701	press	fire	None	Press	0	Press
7067	2019-10-11 07:52:51	D05P1	CA2209	231.365	new_mine	foe	None	NewMine	0	GameEvent
7068	2019-10-11 07:52:51	D05P1	CA2209	231.401	press	thrust	None	Press	0	Press
7072	2019-10-11 07:52:51	D05P1	CA2209	231.501	press	right	None	Press	0	Press
7095	2019-10-11 07:52:51	D05P1	CA2209	232.067	press	left	None	Press	0	Press
7116	2019-10-11 07:52:51	D05P1	CA2209	232.668	press	left	None	Press	0	Press
7160	2019-10-11 07:52:51	D05P1	CA2209	233.868	press	left	None	Press	0	Press
7179	2019-10-11 07:52:51	D05P1	CA2209	234.301	press	iff	None	Press	0	Press
7185	2019-10-11 07:52:51	D05P1	CA2209	234.401	press	iff	None	Press	0	Press
7197	2019-10-11 07:52:51	D05P1	CA2209	234.701	press	fire	None	Press	0	Press
7217	2019-10-11 07:52:51	D05P1	CA2209	235.135	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
7228	2019-10-11 07:52:51	D05P1	CA2209	235.368	press	thrust	None	Press	0	Press
7240	2019-10-11 07:52:51	D05P1	CA2209	235.668	press	left	None	Press	0	Press
7296	2019-10-11 07:52:51	D05P1	CA2209	237.234	press	right	None	Press	0	Press
7319	2019-10-11 07:52:51	D05P1	CA2209	237.868	press	fire	None	Press	0	Press
7321	2019-10-11 07:52:51	D05P1	CA2209	237.901	press	right	None	Press	0	Press
7347	2019-10-11 07:52:51	D05P1	CA2209	238.568	press	thrust	None	Press	0	Press
7359	2019-10-11 07:52:51	D05P1	CA2209	238.934	press	right	None	Press	0	Press
7362	2019-10-11 07:52:51	D05P1	CA2209	239.001	press	fire	None	Press	0	Press
7379	2019-10-11 07:52:51	D05P1	CA2209	239.334	collide	missile_1	fortress	FortressShot	0	GameEvent
7389	2019-10-11 07:52:51	D05P1	CA2209	239.601	press	thrust	None	Press	0	Press
7394	2019-10-11 07:52:51	D05P1	CA2209	239.734	press	right	None	Press	0	Press
7400	2019-10-11 07:52:51	D05P1	CA2209	239.901	press	fire	None	Press	0	Press
7420	2019-10-11 07:52:51	D05P1	CA2209	240.208	new_mine	friend	None	NewMine	0	GameEvent
7422	2019-10-11 07:52:51	D05P1	CA2209	240.234	collide	missile_0	fortress	FortressShot	0	GameEvent
7423	2019-10-11 07:52:51	D05P1	CA2209	240.268	press	thrust	None	Press	0	Press
7452	2019-10-11 07:52:51	D05P1	CA2209	241.134	press	right	None	Press	0	Press
7473	2019-10-11 07:52:51	D05P1	CA2209	241.568	press	thrust	None	Press	0	Press
7490	2019-10-11 07:52:51	D05P1	CA2209	242.068	press	right	None	Press	0	Press
