Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1062	2019-12-03 18:47:01	D14P2	CB2708	35.331	press	thrust	None	Press	0	Press
1068	2019-12-03 18:47:01	D14P2	CB2708	35.498	press	right	None	Press	0	Press
1098	2019-12-03 18:47:01	D14P2	CB2708	36.299	press	right	None	Press	0	Press
1114	2019-12-03 18:47:01	D14P2	CB2708	36.764	press	fire	None	Press	0	Press
1125	2019-12-03 18:47:01	D14P2	CB2708	37.031	collide	missile_0	fortress	FortressShot	0	GameEvent
1151	2019-12-03 18:47:01	D14P2	CB2708	37.73	press	right	None	Press	0	Press
1162	2019-12-03 18:47:01	D14P2	CB2708	37.998	bonus_available	None	None	NewBonus	0	GameEvent
1181	2019-12-03 18:47:01	D14P2	CB2708	38.531	press	fire	None	Press	0	Press
1191	2019-12-03 18:47:01	D14P2	CB2708	38.731	collide	missile_0	fortress	FortressShot	0	GameEvent
1196	2019-12-03 18:47:01	D14P2	CB2708	38.864	press	pnts	None	Press	0	Press
1198	2019-12-03 18:47:01	D14P2	CB2708	38.864	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1208	2019-12-03 18:47:01	D14P2	CB2708	39.13	press	right	None	Press	0	Press
1225	2019-12-03 18:47:01	D14P2	CB2708	39.498	press	fire	None	Press	0	Press
1236	2019-12-03 18:47:01	D14P2	CB2708	39.764	collide	missile_0	fortress	FortressShot	0	GameEvent
1240	2019-12-03 18:47:01	D14P2	CB2708	39.863	press	left	None	Press	0	Press
1254	2019-12-03 18:47:01	D14P2	CB2708	40.182	new_mine	friend	None	NewMine	0	GameEvent
1258	2019-12-03 18:47:01	D14P2	CB2708	40.197	press	right	None	Press	0	Press
1288	2019-12-03 18:47:01	D14P2	CB2708	41.131	press	fire	None	Press	0	Press
1299	2019-12-03 18:47:01	D14P2	CB2708	41.298	collide	missile_0	fortress	FortressShot	0	GameEvent
1341	2019-12-03 18:47:01	D14P2	CB2708	42.531	press	right	None	Press	0	Press
1369	2019-12-03 18:47:01	D14P2	CB2708	43.297	press	fire	None	Press	0	Press
1380	2019-12-03 18:47:01	D14P2	CB2708	43.531	collide	friend_mine	None	FriendMineDestruction	50	Mine
1381	2019-12-03 18:47:01	D14P2	CB2708	43.564	press	right	None	Press	0	Press
