Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
654	2021-03-22 17:20:04	D01P1	CD1003	21.568	press	thrust	None	Press	0	Press
670	2021-03-22 17:20:04	D01P1	CD1003	21.968	press	right	None	Press	0	Press
704	2021-03-22 17:20:04	D01P1	CD1003	22.901	press	right	None	Press	0	Press
724	2021-03-22 17:20:04	D01P1	CD1003	23.534	press	fire	None	Press	0	Press
729	2021-03-22 17:20:04	D01P1	CD1003	23.601	bonus_available	None	None	NewBonus	0	GameEvent
748	2021-03-22 17:20:04	D01P1	CD1003	24.034	collide	missile_0	fortress	FortressShot	0	GameEvent
765	2021-03-22 17:20:04	D01P1	CD1003	24.568	press	left	None	Press	0	Press
791	2021-03-22 17:20:04	D01P1	CD1003	25.234	press	right	None	Press	0	Press
811	2021-03-22 17:20:04	D01P1	CD1003	25.736	new_mine	friend	None	NewMine	0	GameEvent
821	2021-03-22 17:20:04	D01P1	CD1003	25.968	press	fire	None	Press	0	Press
840	2021-03-22 17:20:04	D01P1	CD1003	26.501	press	left	None	Press	0	Press
869	2021-03-22 17:20:04	D01P1	CD1003	27.268	press	right	None	Press	0	Press
903	2021-03-22 17:20:04	D01P1	CD1003	28.201	press	right	None	Press	0	Press
914	2021-03-22 17:20:04	D01P1	CD1003	28.501	press	fire	None	Press	0	Press
923	2021-03-22 17:20:04	D01P1	CD1003	28.734	press	left	None	Press	0	Press
935	2021-03-22 17:20:04	D01P1	CD1003	28.967	collide	missile_0	fortress	FortressShot	0	GameEvent
946	2021-03-22 17:20:04	D01P1	CD1003	29.268	press	left	None	Press	0	Press
962	2021-03-22 17:20:04	D01P1	CD1003	29.734	press	right	None	Press	0	Press
1000	2021-03-22 17:20:04	D01P1	CD1003	30.834	press	right	None	Press	0	Press
1025	2021-03-22 17:20:04	D01P1	CD1003	31.434	press	fire	None	Press	0	Press
1051	2021-03-22 17:20:04	D01P1	CD1003	32.068	collide	missile_0	fortress	FortressShot	0	GameEvent
1054	2021-03-22 17:20:04	D01P1	CD1003	32.134	press	left	None	Press	0	Press
1080	2021-03-22 17:20:04	D01P1	CD1003	32.901	press	right	None	Press	0	Press
1113	2021-03-22 17:20:04	D01P1	CD1003	33.802	press	right	None	Press	0	Press
1128	2021-03-22 17:20:04	D01P1	CD1003	34.134	press	fire	None	Press	0	Press
1142	2021-03-22 17:20:04	D01P1	CD1003	34.467	collide	missile_0	fortress	FortressShot	0	GameEvent
1187	2021-03-22 17:20:04	D01P1	CD1003	35.734	timeout	mine	None	MineExtinction	-50	Mine
1196	2021-03-22 17:20:04	D01P1	CD1003	36.001	press	right	None	Press	0	Press
1221	2021-03-22 17:20:04	D01P1	CD1003	36.634	press	right	None	Press	0	Press
1251	2021-03-22 17:20:04	D01P1	CD1003	37.401	press	right	None	Press	0	Press
1267	2021-03-22 17:20:04	D01P1	CD1003	37.869	press	fire	None	Press	0	Press
1282	2021-03-22 17:20:04	D01P1	CD1003	38.201	press	left	None	Press	0	Press
1297	2021-03-22 17:20:04	D01P1	CD1003	38.601	press	left	None	Press	0	Press
1318	2021-03-22 17:20:04	D01P1	CD1003	39.134	press	right	None	Press	0	Press
1348	2021-03-22 17:20:04	D01P1	CD1003	40.034	press	right	None	Press	0	Press
1367	2021-03-22 17:20:04	D01P1	CD1003	40.501	press	fire	None	Press	0	Press
1381	2021-03-22 17:20:04	D01P1	CD1003	40.837	new_mine	friend	None	NewMine	0	GameEvent
1383	2021-03-22 17:20:04	D01P1	CD1003	40.867	collide	missile_0	fortress	FortressShot	0	GameEvent
1438	2021-03-22 17:20:04	D01P1	CD1003	42.467	press	right	None	Press	0	Press
1443	2021-03-22 17:20:04	D01P1	CD1003	42.534	bonus_available	None	None	NewBonus	0	GameEvent
1454	2021-03-22 17:20:04	D01P1	CD1003	42.867	press	right	None	Press	0	Press
1489	2021-03-22 17:20:04	D01P1	CD1003	43.834	press	right	None	Press	0	Press
1511	2021-03-22 17:20:04	D01P1	CD1003	44.368	press	fire	None	Press	0	Press
1524	2021-03-22 17:20:04	D01P1	CD1003	44.701	press	left	None	Press	0	Press
1531	2021-03-22 17:20:04	D01P1	CD1003	44.867	collide	missile_0	fortress	FortressShot	0	GameEvent
1555	2021-03-22 17:20:04	D01P1	CD1003	45.502	press	left	None	Press	0	Press
1574	2021-03-22 17:20:04	D01P1	CD1003	46.034	press	left	None	Press	0	Press
1588	2021-03-22 17:20:04	D01P1	CD1003	46.334	press	right	None	Press	0	Press
1614	2021-03-22 17:20:04	D01P1	CD1003	47.068	press	thrust	None	Press	0	Press
1648	2021-03-22 17:20:04	D01P1	CD1003	48.001	press	right	None	Press	0	Press
1674	2021-03-22 17:20:04	D01P1	CD1003	48.667	press	right	None	Press	0	Press
1688	2021-03-22 17:20:04	D01P1	CD1003	49.035	press	right	None	Press	0	Press
1712	2021-03-22 17:20:04	D01P1	CD1003	49.601	press	left	None	Press	0	Press
1728	2021-03-22 17:20:04	D01P1	CD1003	50.067	press	fire	None	Press	0	Press
1760	2021-03-22 17:20:04	D01P1	CD1003	50.868	timeout	mine	None	MineExtinction	-50	Mine
1762	2021-03-22 17:20:04	D01P1	CD1003	50.901	press	right	None	Press	0	Press
1783	2021-03-22 17:20:04	D01P1	CD1003	51.401	press	right	None	Press	0	Press
1798	2021-03-22 17:20:04	D01P1	CD1003	51.834	press	right	None	Press	0	Press
1823	2021-03-22 17:20:04	D01P1	CD1003	52.468	press	right	None	Press	0	Press
1842	2021-03-22 17:20:04	D01P1	CD1003	53.002	press	fire	None	Press	0	Press
1855	2021-03-22 17:20:04	D01P1	CD1003	53.334	collide	missile_0	fortress	FortressShot	0	GameEvent
1885	2021-03-22 17:20:04	D01P1	CD1003	54.101	bonus_available	None	None	NewBonus	0	GameEvent
1917	2021-03-22 17:20:04	D01P1	CD1003	55.035	press	right	None	Press	0	Press
1936	2021-03-22 17:20:04	D01P1	CD1003	55.467	press	right	None	Press	0	Press
1953	2021-03-22 17:20:04	D01P1	CD1003	55.936	new_mine	friend	None	NewMine	0	GameEvent
1999	2021-03-22 17:20:04	D01P1	CD1003	57.234	press	fire	None	Press	0	Press
2016	2021-03-22 17:20:04	D01P1	CD1003	57.601	press	left	None	Press	0	Press
2032	2021-03-22 17:20:04	D01P1	CD1003	58.067	press	left	None	Press	0	Press
2066	2021-03-22 17:20:04	D01P1	CD1003	58.968	press	right	None	Press	0	Press
2105	2021-03-22 17:20:04	D01P1	CD1003	60.067	press	right	None	Press	0	Press
2132	2021-03-22 17:20:04	D01P1	CD1003	60.701	press	fire	None	Press	0	Press
2159	2021-03-22 17:20:04	D01P1	CD1003	61.468	collide	missile_0	fortress	FortressShot	0	GameEvent
2174	2021-03-22 17:20:04	D01P1	CD1003	61.801	press	left	None	Press	0	Press
2226	2021-03-22 17:20:04	D01P1	CD1003	63.334	press	right	None	Press	0	Press
2274	2021-03-22 17:20:04	D01P1	CD1003	64.667	press	fire	None	Press	0	Press
2299	2021-03-22 17:20:04	D01P1	CD1003	65.401	press	left	None	Press	0	Press
2309	2021-03-22 17:20:04	D01P1	CD1003	65.601	bonus_available	None	None	NewBonus	0	GameEvent
2322	2021-03-22 17:20:04	D01P1	CD1003	65.901	press	right	None	Press	0	Press
2326	2021-03-22 17:20:04	D01P1	CD1003	65.967	timeout	mine	None	MineExtinction	-50	Mine
2365	2021-03-22 17:20:04	D01P1	CD1003	67.001	press	left	None	Press	0	Press
2378	2021-03-22 17:20:04	D01P1	CD1003	67.367	press	fire	None	Press	0	Press
2383	2021-03-22 17:20:04	D01P1	CD1003	67.467	press	thrust	None	Press	0	Press
2408	2021-03-22 17:20:04	D01P1	CD1003	68.068	collide	missile_0	fortress	FortressShot	0	GameEvent
2415	2021-03-22 17:20:04	D01P1	CD1003	68.268	press	left	None	Press	0	Press
2443	2021-03-22 17:20:04	D01P1	CD1003	68.968	press	right	None	Press	0	Press
2474	2021-03-22 17:20:04	D01P1	CD1003	69.768	bonus_available	None	None	NewBonus	0	GameEvent
2516	2021-03-22 17:20:04	D01P1	CD1003	71.001	press	shots	None	Press	0	Press
2518	2021-03-22 17:20:04	D01P1	CD1003	71.001	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
2523	2021-03-22 17:20:04	D01P1	CD1003	71.036	new_mine	friend	None	NewMine	0	GameEvent
2565	2021-03-22 17:20:04	D01P1	CD1003	72.201	press	right	None	Press	0	Press
2600	2021-03-22 17:20:04	D01P1	CD1003	73.167	press	fire	None	Press	0	Press
2612	2021-03-22 17:20:04	D01P1	CD1003	73.501	press	right	None	Press	0	Press
2665	2021-03-22 17:20:04	D01P1	CD1003	74.901	press	fire	None	Press	0	Press
2674	2021-03-22 17:20:04	D01P1	CD1003	75.101	press	right	None	Press	0	Press
2688	2021-03-22 17:20:04	D01P1	CD1003	75.501	press	right	None	Press	0	Press
2700	2021-03-22 17:20:04	D01P1	CD1003	75.834	press	fire	None	Press	0	Press
2714	2021-03-22 17:20:04	D01P1	CD1003	76.068	collide	friend_mine	None	FriendMineDestruction	50	Mine
2732	2021-03-22 17:20:04	D01P1	CD1003	76.501	press	right	None	Press	0	Press
2745	2021-03-22 17:20:04	D01P1	CD1003	76.868	press	fire	None	Press	0	Press
2759	2021-03-22 17:20:04	D01P1	CD1003	77.134	collide	missile_0	fortress	FortressShot	0	GameEvent
2768	2021-03-22 17:20:04	D01P1	CD1003	77.368	press	left	None	Press	0	Press
2805	2021-03-22 17:20:04	D01P1	CD1003	78.434	press	right	None	Press	0	Press
2838	2021-03-22 17:20:04	D01P1	CD1003	79.301	press	right	None	Press	0	Press
2853	2021-03-22 17:20:04	D01P1	CD1003	79.734	press	right	None	Press	0	Press
2875	2021-03-22 17:20:04	D01P1	CD1003	80.302	press	fire	None	Press	0	Press
2889	2021-03-22 17:20:04	D01P1	CD1003	80.667	press	left	None	Press	0	Press
2892	2021-03-22 17:20:04	D01P1	CD1003	80.701	collide	missile_0	fortress	FortressShot	0	GameEvent
2912	2021-03-22 17:20:04	D01P1	CD1003	81.136	new_mine	foe	None	NewMine	0	GameEvent
2916	2021-03-22 17:20:04	D01P1	CD1003	81.268	press	right	None	Press	0	Press
2955	2021-03-22 17:20:04	D01P1	CD1003	82.368	press	right	None	Press	0	Press
2974	2021-03-22 17:20:04	D01P1	CD1003	82.901	press	fire	None	Press	0	Press
2985	2021-03-22 17:20:04	D01P1	CD1003	83.101	press	fire	None	Press	0	Press
2991	2021-03-22 17:20:04	D01P1	CD1003	83.202	collide	missile_0	fortress	FortressShot	0	GameEvent
2997	2021-03-22 17:20:04	D01P1	CD1003	83.335	collide	missile_0	fortress	FortressShot	0	GameEvent
2999	2021-03-22 17:20:04	D01P1	CD1003	83.368	destroyed	fortress	None	FortressDestruction	250	Fortress
3068	2021-03-22 17:20:04	D01P1	CD1003	85.301	press	right	None	Press	0	Press
3100	2021-03-22 17:20:04	D01P1	CD1003	86.201	press	right	None	Press	0	Press
3129	2021-03-22 17:20:04	D01P1	CD1003	87.067	press	right	None	Press	0	Press
3147	2021-03-22 17:20:04	D01P1	CD1003	87.501	press	right	None	Press	0	Press
3155	2021-03-22 17:20:04	D01P1	CD1003	87.702	press	iff	None	Press	0	Press
3165	2021-03-22 17:20:04	D01P1	CD1003	87.901	press	iff	None	Press	0	Press
3169	2021-03-22 17:20:04	D01P1	CD1003	87.968	press	right	None	Press	0	Press
3189	2021-03-22 17:20:04	D01P1	CD1003	88.435	press	fire	None	Press	0	Press
3214	2021-03-22 17:20:04	D01P1	CD1003	89.134	press	right	None	Press	0	Press
3236	2021-03-22 17:20:04	D01P1	CD1003	89.701	press	fire	None	Press	0	Press
3248	2021-03-22 17:20:04	D01P1	CD1003	89.934	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
3263	2021-03-22 17:20:04	D01P1	CD1003	90.201	press	left	None	Press	0	Press
3297	2021-03-22 17:20:04	D01P1	CD1003	91.101	collide	small_hex	ship	FortressCollision	-35	Flight
3323	2021-03-22 17:20:04	D01P1	CD1003	91.801	press	left	None	Press	0	Press
3350	2021-03-22 17:20:04	D01P1	CD1003	92.468	press	right	None	Press	0	Press
3387	2021-03-22 17:20:04	D01P1	CD1003	93.468	press	fire	None	Press	0	Press
3397	2021-03-22 17:20:04	D01P1	CD1003	93.734	press	fire	None	Press	0	Press
3405	2021-03-22 17:20:04	D01P1	CD1003	93.901	collide	missile_0	fortress	FortressShot	0	GameEvent
3416	2021-03-22 17:20:04	D01P1	CD1003	94.168	collide	missile_0	fortress	FortressShot	0	GameEvent
3450	2021-03-22 17:20:04	D01P1	CD1003	95.036	new_mine	foe	None	NewMine	0	GameEvent
