Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
334	2020-02-25 11:42:12	D14P2	CH0205	11.111	press	thrust	None	Press	0	Press
364	2020-02-25 11:42:12	D14P2	CH0205	11.878	press	right	None	Press	0	Press
394	2020-02-25 11:42:12	D14P2	CH0205	12.677	press	thrust	None	Press	0	Press
412	2020-02-25 11:42:12	D14P2	CH0205	13.211	press	right	None	Press	0	Press
422	2020-02-25 11:42:12	D14P2	CH0205	13.378	bonus_available	None	None	NewBonus	0	GameEvent
423	2020-02-25 11:42:12	D14P2	CH0205	13.41	press	thrust	None	Press	0	Press
446	2020-02-25 11:42:12	D14P2	CH0205	14.011	press	pnts	None	Press	0	Press
448	2020-02-25 11:42:12	D14P2	CH0205	14.011	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
461	2020-02-25 11:42:12	D14P2	CH0205	14.344	press	right	None	Press	0	Press
475	2020-02-25 11:42:12	D14P2	CH0205	14.644	press	thrust	None	Press	0	Press
491	2020-02-25 11:42:12	D14P2	CH0205	15.077	press	fire	None	Press	0	Press
512	2020-02-25 11:42:12	D14P2	CH0205	15.566	new_mine	foe	None	NewMine	0	GameEvent
519	2020-02-25 11:42:12	D14P2	CH0205	15.678	collide	missile_0	fortress	FortressShot	0	GameEvent
528	2020-02-25 11:42:12	D14P2	CH0205	15.945	press	right	None	Press	0	Press
550	2020-02-25 11:42:12	D14P2	CH0205	16.577	press	right	None	Press	0	Press
566	2020-02-25 11:42:12	D14P2	CH0205	16.945	press	iff	None	Press	0	Press
575	2020-02-25 11:42:12	D14P2	CH0205	17.111	press	iff	None	Press	0	Press
582	2020-02-25 11:42:12	D14P2	CH0205	17.246	press	right	None	Press	0	Press
587	2020-02-25 11:42:12	D14P2	CH0205	17.344	press	fire	None	Press	0	Press
593	2020-02-25 11:42:12	D14P2	CH0205	17.411	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
611	2020-02-25 11:42:12	D14P2	CH0205	17.712	press	left	None	Press	0	Press
627	2020-02-25 11:42:12	D14P2	CH0205	18.145	press	thrust	None	Press	0	Press
654	2020-02-25 11:42:12	D14P2	CH0205	18.846	press	fire	None	Press	0	Press
684	2020-02-25 11:42:12	D14P2	CH0205	19.678	collide	missile_0	fortress	FortressShot	0	GameEvent
694	2020-02-25 11:42:12	D14P2	CH0205	19.878	press	right	None	Press	0	Press
704	2020-02-25 11:42:12	D14P2	CH0205	20.144	press	thrust	None	Press	0	Press
724	2020-02-25 11:42:12	D14P2	CH0205	20.678	press	fire	None	Press	0	Press
732	2020-02-25 11:42:12	D14P2	CH0205	20.745	bonus_available	None	None	NewBonus	0	GameEvent
767	2020-02-25 11:42:12	D14P2	CH0205	21.744	press	right	None	Press	0	Press
780	2020-02-25 11:42:12	D14P2	CH0205	22.043	press	fire	None	Press	0	Press
798	2020-02-25 11:42:12	D14P2	CH0205	22.504	new_mine	foe	None	NewMine	0	GameEvent
832	2020-02-25 11:42:12	D14P2	CH0205	23.344	press	right	None	Press	0	Press
842	2020-02-25 11:42:12	D14P2	CH0205	23.612	press	fire	None	Press	0	Press
853	2020-02-25 11:42:12	D14P2	CH0205	23.778	press	fire	None	Press	0	Press
889	2020-02-25 11:42:12	D14P2	CH0205	24.745	press	left	None	Press	0	Press
901	2020-02-25 11:42:12	D14P2	CH0205	24.912	bonus_available	None	None	NewBonus	0	GameEvent
905	2020-02-25 11:42:12	D14P2	CH0205	25.011	press	thrust	None	Press	0	Press
945	2020-02-25 11:42:12	D14P2	CH0205	26.111	press	right	None	Press	0	Press
963	2020-02-25 11:42:12	D14P2	CH0205	26.578	press	thrust	None	Press	0	Press
983	2020-02-25 11:42:12	D14P2	CH0205	27.044	press	right	None	Press	0	Press
998	2020-02-25 11:42:12	D14P2	CH0205	27.478	press	fire	None	Press	0	Press
1017	2020-02-25 11:42:12	D14P2	CH0205	27.944	press	iff	None	Press	0	Press
1026	2020-02-25 11:42:12	D14P2	CH0205	28.077	collide	missile_0	fortress	FortressShot	0	GameEvent
1027	2020-02-25 11:42:12	D14P2	CH0205	28.111	press	iff	None	Press	0	Press
1039	2020-02-25 11:42:12	D14P2	CH0205	28.311	press	right	None	Press	0	Press
1049	2020-02-25 11:42:12	D14P2	CH0205	28.577	press	thrust	None	Press	0	Press
1082	2020-02-25 11:42:12	D14P2	CH0205	29.444	press	right	None	Press	0	Press
1104	2020-02-25 11:42:12	D14P2	CH0205	29.977	press	thrust	None	Press	0	Press
1120	2020-02-25 11:42:12	D14P2	CH0205	30.444	press	right	None	Press	0	Press
1143	2020-02-25 11:42:12	D14P2	CH0205	31.011	press	fire	None	Press	0	Press
1168	2020-02-25 11:42:12	D14P2	CH0205	31.743	collide	missile_0	fortress	FortressShot	0	GameEvent
1173	2020-02-25 11:42:12	D14P2	CH0205	31.844	press	thrust	None	Press	0	Press
1199	2020-02-25 11:42:12	D14P2	CH0205	32.512	press	right	None	Press	0	Press
1201	2020-02-25 11:42:12	D14P2	CH0205	32.512	timeout	mine	None	MineExtinction	-50	Mine
1225	2020-02-25 11:42:12	D14P2	CH0205	33.078	press	fire	None	Press	0	Press
1244	2020-02-25 11:42:12	D14P2	CH0205	33.611	press	thrust	None	Press	0	Press
1270	2020-02-25 11:42:12	D14P2	CH0205	34.243	press	right	None	Press	0	Press
1287	2020-02-25 11:42:12	D14P2	CH0205	34.711	press	thrust	None	Press	0	Press
1319	2020-02-25 11:42:12	D14P2	CH0205	35.543	press	fire	None	Press	0	Press
1349	2020-02-25 11:42:12	D14P2	CH0205	36.246	press	right	None	Press	0	Press
1352	2020-02-25 11:42:12	D14P2	CH0205	36.277	collide	missile_0	fortress	FortressShot	0	GameEvent
1361	2020-02-25 11:42:12	D14P2	CH0205	36.444	press	thrust	None	Press	0	Press
1392	2020-02-25 11:42:12	D14P2	CH0205	37.277	press	right	None	Press	0	Press
1403	2020-02-25 11:42:12	D14P2	CH0205	37.543	press	fire	None	Press	0	Press
1407	2020-02-25 11:42:12	D14P2	CH0205	37.593	new_mine	friend	None	NewMine	0	GameEvent
1433	2020-02-25 11:42:12	D14P2	CH0205	38.278	press	right	None	Press	0	Press
1464	2020-02-25 11:42:12	D14P2	CH0205	39.079	press	right	None	Press	0	Press
1474	2020-02-25 11:42:12	D14P2	CH0205	39.345	press	fire	None	Press	0	Press
1494	2020-02-25 11:42:12	D14P2	CH0205	39.878	press	thrust	None	Press	0	Press
1520	2020-02-25 11:42:12	D14P2	CH0205	40.544	press	fire	None	Press	0	Press
1550	2020-02-25 11:42:12	D14P2	CH0205	41.244	collide	friend_mine	None	FriendMineDestruction	50	Mine
1563	2020-02-25 11:42:12	D14P2	CH0205	41.478	press	thrust	None	Press	0	Press
