Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
701	2019-11-22 17:49:57	D05P2	CJ1906	23.353	press	thrust	None	Press	0	Press
710	2019-11-22 17:49:57	D05P2	CJ1906	23.586	press	right	None	Press	0	Press
738	2019-11-22 17:49:57	D05P2	CJ1906	24.286	press	right	None	Press	0	Press
747	2019-11-22 17:49:57	D05P2	CJ1906	24.519	press	thrust	None	Press	0	Press
762	2019-11-22 17:49:57	D05P2	CJ1906	24.953	press	fire	None	Press	0	Press
780	2019-11-22 17:49:57	D05P2	CJ1906	25.322	press	fire	None	Press	0	Press
782	2019-11-22 17:49:57	D05P2	CJ1906	25.325	collide	missile_0	fortress	FortressShot	0	GameEvent
796	2019-11-22 17:49:57	D05P2	CJ1906	25.686	collide	missile_0	fortress	FortressShot	0	GameEvent
797	2019-11-22 17:49:57	D05P2	CJ1906	25.72	press	fire	None	Press	0	Press
808	2019-11-22 17:49:57	D05P2	CJ1906	25.92	bonus_available	None	None	NewBonus	0	GameEvent
815	2019-11-22 17:49:57	D05P2	CJ1906	26.092	collide	missile_0	fortress	FortressShot	0	GameEvent
821	2019-11-22 17:49:57	D05P2	CJ1906	26.153	press	fire	None	Press	0	Press
836	2019-11-22 17:49:57	D05P2	CJ1906	26.553	collide	missile_0	fortress	FortressShot	0	GameEvent
846	2019-11-22 17:49:57	D05P2	CJ1906	26.854	press	shots	None	Press	0	Press
848	2019-11-22 17:49:57	D05P2	CJ1906	26.854	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
858	2019-11-22 17:49:57	D05P2	CJ1906	27.086	press	fire	None	Press	0	Press
872	2019-11-22 17:49:57	D05P2	CJ1906	27.32	press	right	None	Press	0	Press
880	2019-11-22 17:49:57	D05P2	CJ1906	27.519	press	fire	None	Press	0	Press
889	2019-11-22 17:49:57	D05P2	CJ1906	27.753	press	right	None	Press	0	Press
899	2019-11-22 17:49:57	D05P2	CJ1906	27.953	collide	missile_1	fortress	FortressShot	0	GameEvent
900	2019-11-22 17:49:57	D05P2	CJ1906	27.986	press	fire	None	Press	0	Press
908	2019-11-22 17:49:57	D05P2	CJ1906	28.06	new_mine	friend	None	NewMine	0	GameEvent
909	2019-11-22 17:49:57	D05P2	CJ1906	28.086	press	fire	None	Press	0	Press
922	2019-11-22 17:49:57	D05P2	CJ1906	28.32	press	left	None	Press	0	Press
929	2019-11-22 17:49:57	D05P2	CJ1906	28.486	press	fire	None	Press	0	Press
946	2019-11-22 17:49:57	D05P2	CJ1906	28.92	collide	missile_2	fortress	FortressShot	0	GameEvent
947	2019-11-22 17:49:57	D05P2	CJ1906	28.954	press	fire	None	Press	0	Press
965	2019-11-22 17:49:57	D05P2	CJ1906	29.32	press	fire	None	Press	0	Press
969	2019-11-22 17:49:57	D05P2	CJ1906	29.387	collide	missile_2	fortress	FortressShot	0	GameEvent
984	2019-11-22 17:49:57	D05P2	CJ1906	29.72	press	fire	None	Press	0	Press
990	2019-11-22 17:49:57	D05P2	CJ1906	29.787	collide	missile_0	fortress	FortressShot	0	GameEvent
994	2019-11-22 17:49:57	D05P2	CJ1906	29.886	press	right	None	Press	0	Press
1003	2019-11-22 17:49:57	D05P2	CJ1906	30.12	press	fire	None	Press	0	Press
1012	2019-11-22 17:49:57	D05P2	CJ1906	30.22	collide	missile_0	fortress	FortressShot	0	GameEvent
1020	2019-11-22 17:49:57	D05P2	CJ1906	30.453	press	left	None	Press	0	Press
1029	2019-11-22 17:49:57	D05P2	CJ1906	30.62	collide	missile_0	fortress	FortressShot	0	GameEvent
1034	2019-11-22 17:49:57	D05P2	CJ1906	30.754	press	thrust	None	Press	0	Press
1057	2019-11-22 17:49:57	D05P2	CJ1906	31.32	press	right	None	Press	0	Press
1081	2019-11-22 17:49:57	D05P2	CJ1906	32.019	press	right	None	Press	0	Press
1089	2019-11-22 17:49:57	D05P2	CJ1906	32.186	press	fire	None	Press	0	Press
1109	2019-11-22 17:49:57	D05P2	CJ1906	32.62	press	right	None	Press	0	Press
1115	2019-11-22 17:49:57	D05P2	CJ1906	32.753	press	fire	None	Press	0	Press
1132	2019-11-22 17:49:57	D05P2	CJ1906	33.186	collide	friend_mine	None	FriendMineDestruction	50	Mine
1148	2019-11-22 17:49:57	D05P2	CJ1906	33.42	press	thrust	None	Press	0	Press
1160	2019-11-22 17:49:57	D05P2	CJ1906	33.72	press	left	None	Press	0	Press
1175	2019-11-22 17:49:57	D05P2	CJ1906	34.12	press	left	None	Press	0	Press
1191	2019-11-22 17:49:57	D05P2	CJ1906	34.42	press	fire	None	Press	0	Press
1209	2019-11-22 17:49:57	D05P2	CJ1906	34.92	press	left	None	Press	0	Press
1218	2019-11-22 17:49:57	D05P2	CJ1906	35.086	press	fire	None	Press	0	Press
1237	2019-11-22 17:49:57	D05P2	CJ1906	35.521	press	fire	None	Press	0	Press
1240	2019-11-22 17:49:57	D05P2	CJ1906	35.553	collide	missile_1	fortress	FortressShot	0	GameEvent
1254	2019-11-22 17:49:57	D05P2	CJ1906	35.919	press	fire	None	Press	0	Press
1258	2019-11-22 17:49:57	D05P2	CJ1906	35.986	collide	missile_1	fortress	FortressShot	0	GameEvent
1278	2019-11-22 17:49:57	D05P2	CJ1906	36.386	collide	missile_0	fortress	FortressShot	0	GameEvent
1282	2019-11-22 17:49:57	D05P2	CJ1906	36.486	press	fire	None	Press	0	Press
1288	2019-11-22 17:49:57	D05P2	CJ1906	36.62	press	right	None	Press	0	Press
1300	2019-11-22 17:49:57	D05P2	CJ1906	36.886	press	fire	None	Press	0	Press
1312	2019-11-22 17:49:57	D05P2	CJ1906	37.187	press	fire	None	Press	0	Press
1323	2019-11-22 17:49:57	D05P2	CJ1906	37.353	collide	missile_1	fortress	FortressShot	0	GameEvent
1332	2019-11-22 17:49:57	D05P2	CJ1906	37.553	press	fire	None	Press	0	Press
1337	2019-11-22 17:49:57	D05P2	CJ1906	37.62	collide	missile_1	fortress	FortressShot	0	GameEvent
1350	2019-11-22 17:49:57	D05P2	CJ1906	37.953	collide	missile_1	fortress	FortressShot	0	GameEvent
1356	2019-11-22 17:49:57	D05P2	CJ1906	38.086	press	fire	None	Press	0	Press
1366	2019-11-22 17:49:57	D05P2	CJ1906	38.292	new_mine	friend	None	NewMine	0	GameEvent
1373	2019-11-22 17:49:57	D05P2	CJ1906	38.42	press	fire	None	Press	0	Press
1377	2019-11-22 17:49:57	D05P2	CJ1906	38.487	collide	missile_0	fortress	FortressShot	0	GameEvent
1382	2019-11-22 17:49:57	D05P2	CJ1906	38.586	press	right	None	Press	0	Press
1394	2019-11-22 17:49:57	D05P2	CJ1906	38.82	collide	missile_0	fortress	FortressShot	0	GameEvent
1403	2019-11-22 17:49:57	D05P2	CJ1906	39.086	press	fire	None	Press	0	Press
1411	2019-11-22 17:49:57	D05P2	CJ1906	39.253	press	fire	None	Press	0	Press
1424	2019-11-22 17:49:57	D05P2	CJ1906	39.486	collide	missile_0	fortress	FortressShot	0	GameEvent
1432	2019-11-22 17:49:57	D05P2	CJ1906	39.653	press	right	None	Press	0	Press
1434	2019-11-22 17:49:57	D05P2	CJ1906	39.653	collide	missile_0	fortress	FortressShot	0	GameEvent
1436	2019-11-22 17:49:57	D05P2	CJ1906	39.687	destroyed	fortress	None	FortressDestruction	250	Fortress
