Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
273	2019-11-20 12:19:50	D03P2	CO1106	9.232	press	thrust	None	Press	0	Press
288	2019-11-20 12:19:50	D03P2	CO1106	9.598	press	right	None	Press	0	Press
313	2019-11-20 12:19:50	D03P2	CO1106	10.265	press	right	None	Press	0	Press
337	2019-11-20 12:19:50	D03P2	CO1106	10.865	press	fire	None	Press	0	Press
353	2019-11-20 12:19:50	D03P2	CO1106	11.265	collide	missile_0	fortress	FortressShot	0	GameEvent
369	2019-11-20 12:19:50	D03P2	CO1106	11.766	press	fire	None	Press	0	Press
390	2019-11-20 12:19:50	D03P2	CO1106	12.232	collide	missile_0	fortress	FortressShot	0	GameEvent
396	2019-11-20 12:19:50	D03P2	CO1106	12.398	press	right	None	Press	0	Press
410	2019-11-20 12:19:50	D03P2	CO1106	12.798	press	fire	None	Press	0	Press
439	2019-11-20 12:19:50	D03P2	CO1106	13.532	press	left	None	Press	0	Press
453	2019-11-20 12:19:50	D03P2	CO1106	13.82	new_mine	foe	None	NewMine	0	GameEvent
462	2019-11-20 12:19:50	D03P2	CO1106	13.999	press	thrust	None	Press	0	Press
487	2019-11-20 12:19:50	D03P2	CO1106	14.699	press	left	None	Press	0	Press
514	2019-11-20 12:19:50	D03P2	CO1106	15.398	press	iff	None	Press	0	Press
520	2019-11-20 12:19:50	D03P2	CO1106	15.498	press	iff	None	Press	0	Press
548	2019-11-20 12:19:50	D03P2	CO1106	16.165	press	fire	None	Press	0	Press
557	2019-11-20 12:19:50	D03P2	CO1106	16.332	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
579	2019-11-20 12:19:50	D03P2	CO1106	16.899	press	right	None	Press	0	Press
595	2019-11-20 12:19:50	D03P2	CO1106	17.232	press	thrust	None	Press	0	Press
607	2019-11-20 12:19:50	D03P2	CO1106	17.565	press	right	None	Press	0	Press
652	2019-11-20 12:19:50	D03P2	CO1106	18.798	press	fire	None	Press	0	Press
667	2019-11-20 12:19:50	D03P2	CO1106	19.032	bonus_available	None	None	NewBonus	0	GameEvent
680	2019-11-20 12:19:50	D03P2	CO1106	19.432	collide	missile_0	fortress	FortressShot	0	GameEvent
687	2019-11-20 12:19:50	D03P2	CO1106	19.632	press	right	None	Press	0	Press
757	2019-11-20 12:19:50	D03P2	CO1106	21.423	new_mine	friend	None	NewMine	0	GameEvent
781	2019-11-20 12:19:50	D03P2	CO1106	22.098	press	fire	None	Press	0	Press
805	2019-11-20 12:19:50	D03P2	CO1106	22.699	collide	missile_0	fortress	FortressShot	0	GameEvent
815	2019-11-20 12:19:50	D03P2	CO1106	22.998	press	right	None	Press	0	Press
838	2019-11-20 12:19:50	D03P2	CO1106	23.498	press	fire	None	Press	0	Press
884	2019-11-20 12:19:50	D03P2	CO1106	24.799	press	right	None	Press	0	Press
904	2019-11-20 12:19:50	D03P2	CO1106	25.265	press	right	None	Press	0	Press
