Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
543	2019-09-25 10:17:04	D03P1	CP1809	17.822	press	thrust	None	Press	0	Press
572	2019-09-25 10:17:04	D03P1	CP1809	18.554	press	thrust	None	Press	0	Press
590	2019-09-25 10:17:04	D03P1	CP1809	19.089	press	right	None	Press	0	Press
600	2019-09-25 10:17:04	D03P1	CP1809	19.321	press	right	None	Press	0	Press
610	2019-09-25 10:17:04	D03P1	CP1809	19.489	press	right	None	Press	0	Press
618	2019-09-25 10:17:04	D03P1	CP1809	19.69	press	right	None	Press	0	Press
627	2019-09-25 10:17:04	D03P1	CP1809	19.888	press	right	None	Press	0	Press
637	2019-09-25 10:17:04	D03P1	CP1809	20.155	press	right	None	Press	0	Press
647	2019-09-25 10:17:04	D03P1	CP1809	20.422	press	right	None	Press	0	Press
654	2019-09-25 10:17:04	D03P1	CP1809	20.488	press	fire	None	Press	0	Press
670	2019-09-25 10:17:04	D03P1	CP1809	20.889	press	right	None	Press	0	Press
677	2019-09-25 10:17:04	D03P1	CP1809	21.055	press	fire	None	Press	0	Press
687	2019-09-25 10:17:04	D03P1	CP1809	21.289	press	right	None	Press	0	Press
697	2019-09-25 10:17:04	D03P1	CP1809	21.472	new_mine	foe	None	NewMine	0	GameEvent
710	2019-09-25 10:17:04	D03P1	CP1809	21.722	collide	missile_1	fortress	FortressShot	0	GameEvent
731	2019-09-25 10:17:04	D03P1	CP1809	22.355	press	thrust	None	Press	0	Press
768	2019-09-25 10:17:04	D03P1	CP1809	23.321	press	fire	None	Press	0	Press
803	2019-09-25 10:17:04	D03P1	CP1809	24.254	press	right	None	Press	0	Press
837	2019-09-25 10:17:04	D03P1	CP1809	25.155	press	iff	None	Press	0	Press
845	2019-09-25 10:17:04	D03P1	CP1809	25.289	press	iff	None	Press	0	Press
868	2019-09-25 10:17:04	D03P1	CP1809	25.789	press	fire	None	Press	0	Press
903	2019-09-25 10:17:04	D03P1	CP1809	26.655	bonus_available	None	None	NewBonus	0	GameEvent
904	2019-09-25 10:17:04	D03P1	CP1809	26.688	press	fire	None	Press	0	Press
907	2019-09-25 10:17:04	D03P1	CP1809	26.721	press	right	None	Press	0	Press
923	2019-09-25 10:17:04	D03P1	CP1809	27.156	press	fire	None	Press	0	Press
940	2019-09-25 10:17:04	D03P1	CP1809	27.555	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
957	2019-09-25 10:17:04	D03P1	CP1809	27.888	press	left	None	Press	0	Press
968	2019-09-25 10:17:04	D03P1	CP1809	28.122	press	left	None	Press	0	Press
975	2019-09-25 10:17:04	D03P1	CP1809	28.254	press	fire	None	Press	0	Press
984	2019-09-25 10:17:04	D03P1	CP1809	28.455	collide	missile_0	fortress	FortressShot	0	GameEvent
1004	2019-09-25 10:17:04	D03P1	CP1809	28.921	press	right	None	Press	0	Press
1015	2019-09-25 10:17:04	D03P1	CP1809	29.222	press	fire	None	Press	0	Press
1025	2019-09-25 10:17:04	D03P1	CP1809	29.457	collide	missile_0	fortress	FortressShot	0	GameEvent
1038	2019-09-25 10:17:04	D03P1	CP1809	29.755	press	right	None	Press	0	Press
1046	2019-09-25 10:17:04	D03P1	CP1809	30.022	press	fire	None	Press	0	Press
1060	2019-09-25 10:17:04	D03P1	CP1809	30.323	collide	missile_0	fortress	FortressShot	0	GameEvent
1065	2019-09-25 10:17:04	D03P1	CP1809	30.454	press	right	None	Press	0	Press
1072	2019-09-25 10:17:04	D03P1	CP1809	30.623	press	fire	None	Press	0	Press
1091	2019-09-25 10:17:04	D03P1	CP1809	30.989	collide	missile_0	fortress	FortressShot	0	GameEvent
1102	2019-09-25 10:17:04	D03P1	CP1809	31.322	press	fire	None	Press	0	Press
1118	2019-09-25 10:17:04	D03P1	CP1809	31.688	press	right	None	Press	0	Press
1123	2019-09-25 10:17:04	D03P1	CP1809	31.788	collide	missile_0	fortress	FortressShot	0	GameEvent
1147	2019-09-25 10:17:04	D03P1	CP1809	32.454	press	fire	None	Press	0	Press
1156	2019-09-25 10:17:04	D03P1	CP1809	32.633	new_mine	friend	None	NewMine	0	GameEvent
1187	2019-09-25 10:17:04	D03P1	CP1809	33.488	press	right	None	Press	0	Press
1212	2019-09-25 10:17:04	D03P1	CP1809	34.122	press	fire	None	Press	0	Press
1227	2019-09-25 10:17:04	D03P1	CP1809	34.522	press	right	None	Press	0	Press
1234	2019-09-25 10:17:04	D03P1	CP1809	34.689	press	fire	None	Press	0	Press
1283	2019-09-25 10:17:04	D03P1	CP1809	35.923	press	thrust	None	Press	0	Press
1295	2019-09-25 10:17:04	D03P1	CP1809	36.257	press	left	None	Press	0	Press
1307	2019-09-25 10:17:04	D03P1	CP1809	36.521	press	left	None	Press	0	Press
1326	2019-09-25 10:17:04	D03P1	CP1809	36.924	press	left	None	Press	0	Press
