Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
3999	2020-02-07 17:49:04	D05P1	CR2709	133.307	press	thrust	None	Press	0	Press
4009	2020-02-07 17:49:04	D05P1	CR2709	133.607	press	right	None	Press	0	Press
4030	2020-02-07 17:49:04	D05P1	CR2709	134.14	press	right	None	Press	0	Press
4040	2020-02-07 17:49:04	D05P1	CR2709	134.307	press	fire	None	Press	0	Press
4043	2020-02-07 17:49:04	D05P1	CR2709	134.373	press	right	None	Press	0	Press
4054	2020-02-07 17:49:04	D05P1	CR2709	134.641	press	fire	None	Press	0	Press
4060	2020-02-07 17:49:04	D05P1	CR2709	134.773	press	thrust	None	Press	0	Press
4073	2020-02-07 17:49:04	D05P1	CR2709	135.073	collide	missile_1	fortress	FortressShot	0	GameEvent
4081	2020-02-07 17:49:04	D05P1	CR2709	135.207	press	right	None	Press	0	Press
4095	2020-02-07 17:49:04	D05P1	CR2709	135.573	press	thrust	None	Press	0	Press
4107	2020-02-07 17:49:04	D05P1	CR2709	135.907	press	left	None	Press	0	Press
4119	2020-02-07 17:49:04	D05P1	CR2709	136.141	press	thrust	None	Press	0	Press
4130	2020-02-07 17:49:04	D05P1	CR2709	136.373	press	right	None	Press	0	Press
4145	2020-02-07 17:49:04	D05P1	CR2709	136.774	press	right	None	Press	0	Press
4159	2020-02-07 17:49:04	D05P1	CR2709	137.174	press	fire	None	Press	0	Press
4172	2020-02-07 17:49:04	D05P1	CR2709	137.407	press	right	None	Press	0	Press
4178	2020-02-07 17:49:04	D05P1	CR2709	137.507	collide	missile_0	fortress	FortressShot	0	GameEvent
4183	2020-02-07 17:49:04	D05P1	CR2709	137.64	press	right	None	Press	0	Press
4187	2020-02-07 17:49:04	D05P1	CR2709	137.74	press	thrust	None	Press	0	Press
4207	2020-02-07 17:49:04	D05P1	CR2709	138.194	new_mine	friend	None	NewMine	0	GameEvent
4212	2020-02-07 17:49:04	D05P1	CR2709	138.274	press	right	None	Press	0	Press
4213	2020-02-07 17:49:04	D05P1	CR2709	138.274	press	fire	None	Press	0	Press
4230	2020-02-07 17:49:04	D05P1	CR2709	138.707	collide	missile_0	fortress	FortressShot	0	GameEvent
4235	2020-02-07 17:49:04	D05P1	CR2709	138.84	press	left	None	Press	0	Press
4264	2020-02-07 17:49:04	D05P1	CR2709	139.573	press	fire	None	Press	0	Press
4282	2020-02-07 17:49:04	D05P1	CR2709	140.007	collide	friend_mine	None	FriendMineDestruction	50	Mine
4288	2020-02-07 17:49:04	D05P1	CR2709	140.073	press	thrust	None	Press	0	Press
4292	2020-02-07 17:49:04	D05P1	CR2709	140.173	press	right	None	Press	0	Press
4332	2020-02-07 17:49:04	D05P1	CR2709	141.24	press	thrust	None	Press	0	Press
4352	2020-02-07 17:49:04	D05P1	CR2709	141.741	press	thrust	None	Press	0	Press
4363	2020-02-07 17:49:04	D05P1	CR2709	142.074	press	right	None	Press	0	Press
4412	2020-02-07 17:49:04	D05P1	CR2709	143.374	press	fire	None	Press	0	Press
4427	2020-02-07 17:49:04	D05P1	CR2709	143.773	press	thrust	None	Press	0	Press
4432	2020-02-07 17:49:04	D05P1	CR2709	143.907	press	right	None	Press	0	Press
4452	2020-02-07 17:49:04	D05P1	CR2709	144.342	press	fire	None	Press	0	Press
4466	2020-02-07 17:49:04	D05P1	CR2709	144.706	press	right	None	Press	0	Press
4469	2020-02-07 17:49:04	D05P1	CR2709	144.74	collide	missile_1	fortress	FortressShot	0	GameEvent
4474	2020-02-07 17:49:04	D05P1	CR2709	144.84	press	thrust	None	Press	0	Press
4483	2020-02-07 17:49:04	D05P1	CR2709	145.04	press	fire	None	Press	0	Press
4487	2020-02-07 17:49:04	D05P1	CR2709	145.093	new_mine	foe	None	NewMine	0	GameEvent
4507	2020-02-07 17:49:04	D05P1	CR2709	145.54	press	thrust	None	Press	0	Press
4541	2020-02-07 17:49:04	D05P1	CR2709	146.473	press	iff	None	Press	0	Press
4548	2020-02-07 17:49:04	D05P1	CR2709	146.606	press	iff	None	Press	0	Press
4552	2020-02-07 17:49:04	D05P1	CR2709	146.673	press	right	None	Press	0	Press
4581	2020-02-07 17:49:04	D05P1	CR2709	147.373	press	fire	None	Press	0	Press
4591	2020-02-07 17:49:04	D05P1	CR2709	147.607	press	fire	None	Press	0	Press
4597	2020-02-07 17:49:04	D05P1	CR2709	147.741	press	right	None	Press	0	Press
4606	2020-02-07 17:49:04	D05P1	CR2709	147.973	press	fire	None	Press	0	Press
4614	2020-02-07 17:49:04	D05P1	CR2709	148.173	press	right	None	Press	0	Press
4620	2020-02-07 17:49:04	D05P1	CR2709	148.24	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
4632	2020-02-07 17:49:04	D05P1	CR2709	148.407	press	left	None	Press	0	Press
4637	2020-02-07 17:49:04	D05P1	CR2709	148.54	press	thrust	None	Press	0	Press
4658	2020-02-07 17:49:04	D05P1	CR2709	149.041	press	right	None	Press	0	Press
4684	2020-02-07 17:49:04	D05P1	CR2709	149.673	press	thrust	None	Press	0	Press
4715	2020-02-07 17:49:04	D05P1	CR2709	150.508	press	fire	None	Press	0	Press
4738	2020-02-07 17:49:04	D05P1	CR2709	151.14	collide	missile_0	fortress	FortressShot	0	GameEvent
4739	2020-02-07 17:49:04	D05P1	CR2709	151.174	press	thrust	None	Press	0	Press
4756	2020-02-07 17:49:04	D05P1	CR2709	151.54	press	right	None	Press	0	Press
4791	2020-02-07 17:49:04	D05P1	CR2709	152.507	press	thrust	None	Press	0	Press
4797	2020-02-07 17:49:04	D05P1	CR2709	152.673	press	right	None	Press	0	Press
4815	2020-02-07 17:49:04	D05P1	CR2709	153.173	press	fire	None	Press	0	Press
4823	2020-02-07 17:49:04	D05P1	CR2709	153.33	new_mine	foe	None	NewMine	0	GameEvent
4834	2020-02-07 17:49:04	D05P1	CR2709	153.541	collide	missile_0	fortress	FortressShot	0	GameEvent
4837	2020-02-07 17:49:04	D05P1	CR2709	153.607	press	thrust	None	Press	0	Press
4852	2020-02-07 17:49:04	D05P1	CR2709	154.041	press	right	None	Press	0	Press
4878	2020-02-07 17:49:04	D05P1	CR2709	154.707	press	iff	None	Press	0	Press
4886	2020-02-07 17:49:04	D05P1	CR2709	154.84	press	iff	None	Press	0	Press
4894	2020-02-07 17:49:04	D05P1	CR2709	154.973	press	right	None	Press	0	Press
4897	2020-02-07 17:49:04	D05P1	CR2709	155.04	press	thrust	None	Press	0	Press
4934	2020-02-07 17:49:04	D05P1	CR2709	156.007	press	fire	None	Press	0	Press
4940	2020-02-07 17:49:04	D05P1	CR2709	156.141	press	right	None	Press	0	Press
4945	2020-02-07 17:49:04	D05P1	CR2709	156.24	press	thrust	None	Press	0	Press
4947	2020-02-07 17:49:04	D05P1	CR2709	156.273	press	fire	None	Press	0	Press
4968	2020-02-07 17:49:04	D05P1	CR2709	156.707	press	thrust	None	Press	0	Press
4971	2020-02-07 17:49:04	D05P1	CR2709	156.774	press	right	None	Press	0	Press
4973	2020-02-07 17:49:04	D05P1	CR2709	156.807	press	fire	None	Press	0	Press
4980	2020-02-07 17:49:04	D05P1	CR2709	156.942	collide	missile_1	fortress	FortressShot	0	GameEvent
4994	2020-02-07 17:49:04	D05P1	CR2709	157.273	press	right	None	Press	0	Press
4998	2020-02-07 17:49:04	D05P1	CR2709	157.34	press	thrust	None	Press	0	Press
5000	2020-02-07 17:49:04	D05P1	CR2709	157.341	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
5007	2020-02-07 17:49:04	D05P1	CR2709	157.407	press	fire	None	Press	0	Press
5029	2020-02-07 17:49:04	D05P1	CR2709	157.874	press	thrust	None	Press	0	Press
5038	2020-02-07 17:49:04	D05P1	CR2709	158.107	press	left	None	Press	0	Press
5042	2020-02-07 17:49:04	D05P1	CR2709	158.207	press	thrust	None	Press	0	Press
5074	2020-02-07 17:49:04	D05P1	CR2709	159.007	press	right	None	Press	0	Press
5078	2020-02-07 17:49:04	D05P1	CR2709	159.041	bonus_available	None	None	NewBonus	0	GameEvent
5083	2020-02-07 17:49:04	D05P1	CR2709	159.173	press	fire	None	Press	0	Press
5099	2020-02-07 17:49:04	D05P1	CR2709	159.573	collide	missile_0	fortress	FortressShot	0	GameEvent
5105	2020-02-07 17:49:04	D05P1	CR2709	159.64	press	pnts	None	Press	0	Press
5107	2020-02-07 17:49:04	D05P1	CR2709	159.641	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
