Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
375	2021-03-26 17:14:03	D05P1	EA0703	12.309	press	thrust	None	Press	0	Press
382	2021-03-26 17:14:03	D05P1	EA0703	12.508	press	right	None	Press	0	Press
399	2021-03-26 17:14:03	D05P1	EA0703	12.943	press	thrust	None	Press	0	Press
423	2021-03-26 17:14:03	D05P1	EA0703	13.542	press	fire	None	Press	0	Press
438	2021-03-26 17:14:03	D05P1	EA0703	13.909	collide	missile_0	fortress	FortressShot	0	GameEvent
455	2021-03-26 17:14:03	D05P1	EA0703	14.308	press	right	None	Press	0	Press
458	2021-03-26 17:14:03	D05P1	EA0703	14.376	press	thrust	None	Press	0	Press
472	2021-03-26 17:14:03	D05P1	EA0703	14.742	press	thrust	None	Press	0	Press
473	2021-03-26 17:14:03	D05P1	EA0703	14.742	press	fire	None	Press	0	Press
489	2021-03-26 17:14:03	D05P1	EA0703	15.108	collide	missile_0	fortress	FortressShot	0	GameEvent
504	2021-03-26 17:14:03	D05P1	EA0703	15.442	press	right	None	Press	0	Press
505	2021-03-26 17:14:03	D05P1	EA0703	15.442	press	thrust	None	Press	0	Press
517	2021-03-26 17:14:03	D05P1	EA0703	15.741	press	fire	None	Press	0	Press
531	2021-03-26 17:14:03	D05P1	EA0703	16.108	collide	missile_0	fortress	FortressShot	0	GameEvent
534	2021-03-26 17:14:03	D05P1	EA0703	16.174	press	right	None	Press	0	Press
550	2021-03-26 17:14:03	D05P1	EA0703	16.474	press	thrust	None	Press	0	Press
559	2021-03-26 17:14:03	D05P1	EA0703	16.709	press	fire	None	Press	0	Press
576	2021-03-26 17:14:03	D05P1	EA0703	17.111	new_mine	friend	None	NewMine	0	GameEvent
578	2021-03-26 17:14:03	D05P1	EA0703	17.111	collide	missile_0	fortress	FortressShot	0	GameEvent
581	2021-03-26 17:14:03	D05P1	EA0703	17.175	press	right	None	Press	0	Press
582	2021-03-26 17:14:03	D05P1	EA0703	17.175	press	thrust	None	Press	0	Press
598	2021-03-26 17:14:03	D05P1	EA0703	17.475	press	thrust	None	Press	0	Press
608	2021-03-26 17:14:03	D05P1	EA0703	17.742	press	fire	None	Press	0	Press
624	2021-03-26 17:14:03	D05P1	EA0703	18.175	collide	missile_0	fortress	FortressShot	0	GameEvent
638	2021-03-26 17:14:03	D05P1	EA0703	18.441	press	right	None	Press	0	Press
670	2021-03-26 17:14:03	D05P1	EA0703	19.275	press	fire	None	Press	0	Press
680	2021-03-26 17:14:03	D05P1	EA0703	19.475	collide	friend_mine	None	FriendMineDestruction	50	Mine
690	2021-03-26 17:14:03	D05P1	EA0703	19.642	press	left	None	Press	0	Press
700	2021-03-26 17:14:03	D05P1	EA0703	19.908	press	thrust	None	Press	0	Press
720	2021-03-26 17:14:03	D05P1	EA0703	20.374	press	fire	None	Press	0	Press
739	2021-03-26 17:14:03	D05P1	EA0703	20.875	collide	missile_0	fortress	FortressShot	0	GameEvent
744	2021-03-26 17:14:03	D05P1	EA0703	21.009	press	right	None	Press	0	Press
750	2021-03-26 17:14:03	D05P1	EA0703	21.109	press	left	None	Press	0	Press
755	2021-03-26 17:14:03	D05P1	EA0703	21.241	press	thrust	None	Press	0	Press
770	2021-03-26 17:14:03	D05P1	EA0703	21.508	press	thrust	None	Press	0	Press
783	2021-03-26 17:14:03	D05P1	EA0703	21.875	press	right	None	Press	0	Press
796	2021-03-26 17:14:03	D05P1	EA0703	22.275	press	thrust	None	Press	0	Press
805	2021-03-26 17:14:03	D05P1	EA0703	22.342	bonus_available	None	None	NewBonus	0	GameEvent
813	2021-03-26 17:14:03	D05P1	EA0703	22.574	press	fire	None	Press	0	Press
827	2021-03-26 17:14:03	D05P1	EA0703	22.942	collide	missile_0	fortress	FortressShot	0	GameEvent
838	2021-03-26 17:14:03	D05P1	EA0703	23.275	press	right	None	Press	0	Press
839	2021-03-26 17:14:03	D05P1	EA0703	23.275	press	thrust	None	Press	0	Press
860	2021-03-26 17:14:03	D05P1	EA0703	23.709	press	fire	None	Press	0	Press
871	2021-03-26 17:14:03	D05P1	EA0703	23.975	collide	missile_0	fortress	FortressShot	0	GameEvent
877	2021-03-26 17:14:03	D05P1	EA0703	24.142	press	right	None	Press	0	Press
884	2021-03-26 17:14:03	D05P1	EA0703	24.308	press	thrust	None	Press	0	Press
900	2021-03-26 17:14:03	D05P1	EA0703	24.543	new_mine	foe	None	NewMine	0	GameEvent
904	2021-03-26 17:14:03	D05P1	EA0703	24.675	press	fire	None	Press	0	Press
924	2021-03-26 17:14:03	D05P1	EA0703	25.242	press	fire	None	Press	0	Press
941	2021-03-26 17:14:03	D05P1	EA0703	25.575	collide	missile_1	fortress	FortressShot	0	GameEvent
949	2021-03-26 17:14:03	D05P1	EA0703	25.775	press	right	None	Press	0	Press
950	2021-03-26 17:14:03	D05P1	EA0703	25.775	press	thrust	None	Press	0	Press
968	2021-03-26 17:14:03	D05P1	EA0703	26.209	press	iff	None	Press	0	Press
975	2021-03-26 17:14:03	D05P1	EA0703	26.341	press	iff	None	Press	0	Press
983	2021-03-26 17:14:03	D05P1	EA0703	26.409	press	right	None	Press	0	Press
997	2021-03-26 17:14:03	D05P1	EA0703	26.775	press	fire	None	Press	0	Press
1019	2021-03-26 17:14:03	D05P1	EA0703	27.342	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
1035	2021-03-26 17:14:03	D05P1	EA0703	27.642	press	left	None	Press	0	Press
1037	2021-03-26 17:14:03	D05P1	EA0703	27.675	press	thrust	None	Press	0	Press
1052	2021-03-26 17:14:03	D05P1	EA0703	28.042	press	left	None	Press	0	Press
1065	2021-03-26 17:14:03	D05P1	EA0703	28.375	press	fire	None	Press	0	Press
1085	2021-03-26 17:14:03	D05P1	EA0703	28.842	press	right	None	Press	0	Press
1087	2021-03-26 17:14:03	D05P1	EA0703	28.876	press	thrust	None	Press	0	Press
1099	2021-03-26 17:14:03	D05P1	EA0703	29.142	press	thrust	None	Press	0	Press
1108	2021-03-26 17:14:03	D05P1	EA0703	29.375	press	thrust	None	Press	0	Press
1120	2021-03-26 17:14:03	D05P1	EA0703	29.608	press	thrust	None	Press	0	Press
1130	2021-03-26 17:14:03	D05P1	EA0703	29.842	press	thrust	None	Press	0	Press
1141	2021-03-26 17:14:03	D05P1	EA0703	30.075	press	right	None	Press	0	Press
1156	2021-03-26 17:14:03	D05P1	EA0703	30.475	press	thrust	None	Press	0	Press
1161	2021-03-26 17:14:03	D05P1	EA0703	30.509	press	right	None	Press	0	Press
1175	2021-03-26 17:14:03	D05P1	EA0703	30.875	press	thrust	None	Press	0	Press
1176	2021-03-26 17:14:03	D05P1	EA0703	30.875	press	right	None	Press	0	Press
1205	2021-03-26 17:14:03	D05P1	EA0703	31.609	press	fire	None	Press	0	Press
1222	2021-03-26 17:14:03	D05P1	EA0703	32.042	collide	missile_0	fortress	FortressShot	0	GameEvent
1227	2021-03-26 17:14:03	D05P1	EA0703	32.175	press	thrust	None	Press	0	Press
1228	2021-03-26 17:14:03	D05P1	EA0703	32.175	press	right	None	Press	0	Press
1240	2021-03-26 17:14:03	D05P1	EA0703	32.411	new_mine	friend	None	NewMine	0	GameEvent
1248	2021-03-26 17:14:03	D05P1	EA0703	32.575	press	thrust	None	Press	0	Press
1260	2021-03-26 17:14:03	D05P1	EA0703	32.909	press	right	None	Press	0	Press
1262	2021-03-26 17:14:03	D05P1	EA0703	32.942	press	thrust	None	Press	0	Press
1282	2021-03-26 17:14:03	D05P1	EA0703	33.475	press	left	None	Press	0	Press
1301	2021-03-26 17:14:03	D05P1	EA0703	33.875	bonus_available	None	None	NewBonus	0	GameEvent
1309	2021-03-26 17:14:03	D05P1	EA0703	34.108	press	fire	None	Press	0	Press
1325	2021-03-26 17:14:03	D05P1	EA0703	34.542	press	right	None	Press	0	Press
1336	2021-03-26 17:14:03	D05P1	EA0703	34.707	collide	mine_0	ship	ShipDamage	-50	Flight
1379	2021-03-26 17:14:03	D05P1	EA0703	35.841	press	shots	None	Press	0	Press
1381	2021-03-26 17:14:03	D05P1	EA0703	35.842	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1384	2021-03-26 17:14:03	D05P1	EA0703	35.874	press	thrust	None	Press	0	Press
1418	2021-03-26 17:14:03	D05P1	EA0703	36.808	press	right	None	Press	0	Press
