Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
490	2019-10-10 18:55:18	D04P2	EB2307	16.22	press	thrust	None	Press	0	Press
502	2019-10-10 18:55:18	D04P2	EB2307	16.453	press	right	None	Press	0	Press
582	2019-10-10 18:55:18	D04P2	EB2307	18.686	press	fire	None	Press	0	Press
595	2019-10-10 18:55:18	D04P2	EB2307	19.053	press	right	None	Press	0	Press
603	2019-10-10 18:55:18	D04P2	EB2307	19.253	press	fire	None	Press	0	Press
627	2019-10-10 18:55:18	D04P2	EB2307	19.786	collide	missile_1	fortress	FortressShot	0	GameEvent
636	2019-10-10 18:55:18	D04P2	EB2307	20.052	press	fire	None	Press	0	Press
654	2019-10-10 18:55:18	D04P2	EB2307	20.424	new_mine	friend	None	NewMine	0	GameEvent
665	2019-10-10 18:55:18	D04P2	EB2307	20.62	collide	missile_0	fortress	FortressShot	0	GameEvent
673	2019-10-10 18:55:18	D04P2	EB2307	20.852	press	right	None	Press	0	Press
706	2019-10-10 18:55:18	D04P2	EB2307	21.687	press	fire	None	Press	0	Press
737	2019-10-10 18:55:18	D04P2	EB2307	22.553	press	thrust	None	Press	0	Press
755	2019-10-10 18:55:18	D04P2	EB2307	23.02	press	left	None	Press	0	Press
769	2019-10-10 18:55:18	D04P2	EB2307	23.419	press	thrust	None	Press	0	Press
787	2019-10-10 18:55:18	D04P2	EB2307	23.819	press	right	None	Press	0	Press
811	2019-10-10 18:55:18	D04P2	EB2307	24.453	press	fire	None	Press	0	Press
831	2019-10-10 18:55:18	D04P2	EB2307	24.919	press	right	None	Press	0	Press
837	2019-10-10 18:55:18	D04P2	EB2307	25.052	press	fire	None	Press	0	Press
861	2019-10-10 18:55:18	D04P2	EB2307	25.586	bonus_available	None	None	NewBonus	0	GameEvent
864	2019-10-10 18:55:18	D04P2	EB2307	25.685	press	right	None	Press	0	Press
871	2019-10-10 18:55:18	D04P2	EB2307	25.853	press	fire	None	Press	0	Press
888	2019-10-10 18:55:18	D04P2	EB2307	26.319	press	right	None	Press	0	Press
893	2019-10-10 18:55:18	D04P2	EB2307	26.452	press	fire	None	Press	0	Press
921	2019-10-10 18:55:18	D04P2	EB2307	27.019	collide	friend_mine	None	FriendMineDestruction	50	Mine
930	2019-10-10 18:55:18	D04P2	EB2307	27.185	press	thrust	None	Press	0	Press
945	2019-10-10 18:55:18	D04P2	EB2307	27.552	press	left	None	Press	0	Press
964	2019-10-10 18:55:18	D04P2	EB2307	27.952	press	thrust	None	Press	0	Press
979	2019-10-10 18:55:18	D04P2	EB2307	28.319	press	fire	None	Press	0	Press
988	2019-10-10 18:55:18	D04P2	EB2307	28.553	press	right	None	Press	0	Press
1012	2019-10-10 18:55:18	D04P2	EB2307	29.12	press	fire	None	Press	0	Press
1044	2019-10-10 18:55:18	D04P2	EB2307	29.986	press	fire	None	Press	0	Press
1064	2019-10-10 18:55:18	D04P2	EB2307	30.486	collide	missile_1	fortress	FortressShot	0	GameEvent
1073	2019-10-10 18:55:18	D04P2	EB2307	30.652	press	pnts	None	Press	0	Press
1075	2019-10-10 18:55:18	D04P2	EB2307	30.652	pnts_bonus_failure	None	None	BonusFailure	-50	Bonus
1090	2019-10-10 18:55:18	D04P2	EB2307	31.052	press	right	None	Press	0	Press
1112	2019-10-10 18:55:18	D04P2	EB2307	31.619	press	thrust	None	Press	0	Press
1134	2019-10-10 18:55:18	D04P2	EB2307	32.092	new_mine	foe	None	NewMine	0	GameEvent
1139	2019-10-10 18:55:18	D04P2	EB2307	32.252	press	right	None	Press	0	Press
1160	2019-10-10 18:55:18	D04P2	EB2307	32.719	press	fire	None	Press	0	Press
1190	2019-10-10 18:55:18	D04P2	EB2307	33.585	press	right	None	Press	0	Press
1218	2019-10-10 18:55:18	D04P2	EB2307	34.32	press	thrust	None	Press	0	Press
1233	2019-10-10 18:55:18	D04P2	EB2307	34.686	press	fire	None	Press	0	Press
1253	2019-10-10 18:55:18	D04P2	EB2307	35.153	press	right	None	Press	0	Press
1258	2019-10-10 18:55:18	D04P2	EB2307	35.252	collide	missile_0	fortress	FortressShot	0	GameEvent
1284	2019-10-10 18:55:18	D04P2	EB2307	35.952	press	thrust	None	Press	0	Press
1320	2019-10-10 18:55:18	D04P2	EB2307	36.92	press	right	None	Press	0	Press
1352	2019-10-10 18:55:18	D04P2	EB2307	37.787	press	iff	None	Press	0	Press
1362	2019-10-10 18:55:18	D04P2	EB2307	37.92	press	iff	None	Press	0	Press
1373	2019-10-10 18:55:18	D04P2	EB2307	38.186	press	fire	None	Press	0	Press
1382	2019-10-10 18:55:18	D04P2	EB2307	38.353	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
1422	2019-10-10 18:55:18	D04P2	EB2307	39.32	press	left	None	Press	0	Press
1438	2019-10-10 18:55:18	D04P2	EB2307	39.752	press	fire	None	Press	0	Press
1463	2019-10-10 18:55:18	D04P2	EB2307	40.385	press	fire	None	Press	0	Press
1487	2019-10-10 18:55:18	D04P2	EB2307	40.919	collide	missile_1	fortress	FortressShot	0	GameEvent
1496	2019-10-10 18:55:18	D04P2	EB2307	41.186	press	fire	None	Press	0	Press
1519	2019-10-10 18:55:18	D04P2	EB2307	41.72	collide	missile_0	fortress	FortressShot	0	GameEvent
1531	2019-10-10 18:55:18	D04P2	EB2307	41.986	press	right	None	Press	0	Press
1547	2019-10-10 18:55:18	D04P2	EB2307	42.419	press	thrust	None	Press	0	Press
1579	2019-10-10 18:55:18	D04P2	EB2307	43.252	press	left	None	Press	0	Press
1589	2019-10-10 18:55:18	D04P2	EB2307	43.424	new_mine	friend	None	NewMine	0	GameEvent
1595	2019-10-10 18:55:18	D04P2	EB2307	43.585	press	thrust	None	Press	0	Press
1629	2019-10-10 18:55:18	D04P2	EB2307	44.552	press	right	None	Press	0	Press
1658	2019-10-10 18:55:18	D04P2	EB2307	45.219	press	fire	None	Press	0	Press
