Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
786	2019-10-02 16:19:54	D03P1	EC2802	26.213	press	thrust	None	Press	0	Press
806	2019-10-02 16:19:54	D03P1	EC2802	26.746	press	right	None	Press	0	Press
849	2019-10-02 16:19:54	D03P1	EC2802	27.979	press	right	None	Press	0	Press
861	2019-10-02 16:19:54	D03P1	EC2802	28.278	bonus_available	None	None	NewBonus	0	GameEvent
882	2019-10-02 16:19:54	D03P1	EC2802	28.845	press	right	None	Press	0	Press
896	2019-10-02 16:19:54	D03P1	EC2802	29.245	press	right	None	Press	0	Press
909	2019-10-02 16:19:54	D03P1	EC2802	29.512	press	right	None	Press	0	Press
926	2019-10-02 16:19:54	D03P1	EC2802	30.045	press	left	None	Press	0	Press
943	2019-10-02 16:19:54	D03P1	EC2802	30.433	new_mine	friend	None	NewMine	0	GameEvent
953	2019-10-02 16:19:54	D03P1	EC2802	30.646	press	left	None	Press	0	Press
973	2019-10-02 16:19:54	D03P1	EC2802	31.246	press	right	None	Press	0	Press
995	2019-10-02 16:19:54	D03P1	EC2802	31.779	press	right	None	Press	0	Press
1006	2019-10-02 16:19:54	D03P1	EC2802	32.078	press	right	None	Press	0	Press
1027	2019-10-02 16:19:54	D03P1	EC2802	32.613	press	right	None	Press	0	Press
1049	2019-10-02 16:19:54	D03P1	EC2802	33.312	press	fire	None	Press	0	Press
1073	2019-10-02 16:19:54	D03P1	EC2802	33.879	press	left	None	Press	0	Press
1085	2019-10-02 16:19:54	D03P1	EC2802	34.178	press	fire	None	Press	0	Press
1092	2019-10-02 16:19:54	D03P1	EC2802	34.346	press	right	None	Press	0	Press
1101	2019-10-02 16:19:54	D03P1	EC2802	34.545	press	fire	None	Press	0	Press
1112	2019-10-02 16:19:54	D03P1	EC2802	34.679	collide	friend_mine	None	FriendMineDestruction	50	Mine
1135	2019-10-02 16:19:54	D03P1	EC2802	35.313	press	left	None	Press	0	Press
1164	2019-10-02 16:19:54	D03P1	EC2802	36.013	press	left	None	Press	0	Press
1173	2019-10-02 16:19:54	D03P1	EC2802	36.278	press	fire	None	Press	0	Press
1196	2019-10-02 16:19:54	D03P1	EC2802	36.846	press	right	None	Press	0	Press
1211	2019-10-02 16:19:54	D03P1	EC2802	37.212	collide	missile_0	fortress	FortressShot	0	GameEvent
1224	2019-10-02 16:19:54	D03P1	EC2802	37.612	press	left	None	Press	0	Press
1248	2019-10-02 16:19:54	D03P1	EC2802	38.212	press	fire	None	Press	0	Press
1270	2019-10-02 16:19:54	D03P1	EC2802	38.713	press	left	None	Press	0	Press
1279	2019-10-02 16:19:54	D03P1	EC2802	38.945	press	right	None	Press	0	Press
1312	2019-10-02 16:19:54	D03P1	EC2802	39.765	new_mine	foe	None	NewMine	0	GameEvent
1317	2019-10-02 16:19:54	D03P1	EC2802	39.845	bonus_available	None	None	NewBonus	0	GameEvent
1338	2019-10-02 16:19:54	D03P1	EC2802	40.513	press	left	None	Press	0	Press
1358	2019-10-02 16:19:54	D03P1	EC2802	40.979	press	right	None	Press	0	Press
1390	2019-10-02 16:19:54	D03P1	EC2802	41.812	press	iff	None	Press	0	Press
1398	2019-10-02 16:19:54	D03P1	EC2802	41.946	press	iff	None	Press	0	Press
1409	2019-10-02 16:19:54	D03P1	EC2802	42.213	press	right	None	Press	0	Press
1436	2019-10-02 16:19:54	D03P1	EC2802	42.879	press	right	None	Press	0	Press
1459	2019-10-02 16:19:54	D03P1	EC2802	43.546	press	fire	None	Press	0	Press
1460	2019-10-02 16:19:54	D03P1	EC2802	43.546	press	right	None	Press	0	Press
1487	2019-10-02 16:19:54	D03P1	EC2802	44.213	press	fire	None	Press	0	Press
1494	2019-10-02 16:19:54	D03P1	EC2802	44.379	press	right	None	Press	0	Press
1505	2019-10-02 16:19:54	D03P1	EC2802	44.68	press	right	None	Press	0	Press
1517	2019-10-02 16:19:54	D03P1	EC2802	44.912	press	right	None	Press	0	Press
1526	2019-10-02 16:19:54	D03P1	EC2802	45.145	press	fire	None	Press	0	Press
1541	2019-10-02 16:19:54	D03P1	EC2802	45.478	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
1563	2019-10-02 16:19:54	D03P1	EC2802	45.946	press	left	None	Press	0	Press
1606	2019-10-02 16:19:54	D03P1	EC2802	47.113	press	right	None	Press	0	Press
1642	2019-10-02 16:19:54	D03P1	EC2802	48.078	press	left	None	Press	0	Press
1684	2019-10-02 16:19:54	D03P1	EC2802	49.279	press	fire	None	Press	0	Press
1711	2019-10-02 16:19:54	D03P1	EC2802	49.946	press	left	None	Press	0	Press
1722	2019-10-02 16:19:54	D03P1	EC2802	50.212	press	fire	None	Press	0	Press
1730	2019-10-02 16:19:54	D03P1	EC2802	50.413	press	right	None	Press	0	Press
1739	2019-10-02 16:19:54	D03P1	EC2802	50.603	new_mine	foe	None	NewMine	0	GameEvent
1768	2019-10-02 16:19:54	D03P1	EC2802	51.345	bonus_available	None	None	NewBonus	0	GameEvent
1786	2019-10-02 16:19:54	D03P1	EC2802	51.945	press	left	None	Press	0	Press
1828	2019-10-02 16:19:54	D03P1	EC2802	53.013	press	fire	None	Press	0	Press
1831	2019-10-02 16:19:54	D03P1	EC2802	53.079	press	left	None	Press	0	Press
1914	2019-10-02 16:19:54	D03P1	EC2802	55.38	press	iff	None	Press	0	Press
1921	2019-10-02 16:19:54	D03P1	EC2802	55.512	press	iff	None	Press	0	Press
1926	2019-10-02 16:19:54	D03P1	EC2802	55.579	press	left	None	Press	0	Press
1945	2019-10-02 16:19:54	D03P1	EC2802	56.045	press	left	None	Press	0	Press
1953	2019-10-02 16:19:54	D03P1	EC2802	56.246	press	left	None	Press	0	Press
1965	2019-10-02 16:19:54	D03P1	EC2802	56.579	press	left	None	Press	0	Press
1976	2019-10-02 16:19:54	D03P1	EC2802	56.845	press	fire	None	Press	0	Press
1995	2019-10-02 16:19:54	D03P1	EC2802	57.245	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
1996	2019-10-02 16:19:54	D03P1	EC2802	57.279	press	right	None	Press	0	Press
2007	2019-10-02 16:19:54	D03P1	EC2802	57.446	press	right	None	Press	0	Press
2017	2019-10-02 16:19:54	D03P1	EC2802	57.713	press	right	None	Press	0	Press
2030	2019-10-02 16:19:54	D03P1	EC2802	58.045	press	left	None	Press	0	Press
2058	2019-10-02 16:19:54	D03P1	EC2802	58.745	bonus_available	None	None	NewBonus	0	GameEvent
2059	2019-10-02 16:19:54	D03P1	EC2802	58.778	press	left	None	Press	0	Press
2080	2019-10-02 16:19:54	D03P1	EC2802	59.312	press	fire	None	Press	0	Press
2088	2019-10-02 16:19:54	D03P1	EC2802	59.546	press	right	None	Press	0	Press
2096	2019-10-02 16:19:54	D03P1	EC2802	59.746	press	fire	None	Press	0	Press
2106	2019-10-02 16:19:54	D03P1	EC2802	60.012	press	left	None	Press	0	Press
2118	2019-10-02 16:19:54	D03P1	EC2802	60.179	press	fire	None	Press	0	Press
2140	2019-10-02 16:19:54	D03P1	EC2802	60.813	collide	missile_2	fortress	FortressShot	0	GameEvent
2165	2019-10-02 16:19:54	D03P1	EC2802	61.412	press	right	None	Press	0	Press
2173	2019-10-02 16:19:54	D03P1	EC2802	61.612	press	left	None	Press	0	Press
2185	2019-10-02 16:19:54	D03P1	EC2802	61.912	press	left	None	Press	0	Press
2202	2019-10-02 16:19:54	D03P1	EC2802	62.312	press	fire	None	Press	0	Press
2206	2019-10-02 16:19:54	D03P1	EC2802	62.368	new_mine	foe	None	NewMine	0	GameEvent
2223	2019-10-02 16:19:54	D03P1	EC2802	62.846	press	right	None	Press	0	Press
2228	2019-10-02 16:19:54	D03P1	EC2802	62.912	collide	missile_0	fortress	FortressShot	0	GameEvent
2253	2019-10-02 16:19:54	D03P1	EC2802	63.546	press	right	None	Press	0	Press
2266	2019-10-02 16:19:54	D03P1	EC2802	63.88	press	right	None	Press	0	Press
2283	2019-10-02 16:19:54	D03P1	EC2802	64.246	press	left	None	Press	0	Press
2302	2019-10-02 16:19:54	D03P1	EC2802	64.812	press	left	None	Press	0	Press
2313	2019-10-02 16:19:54	D03P1	EC2802	65.079	press	left	None	Press	0	Press
2340	2019-10-02 16:19:54	D03P1	EC2802	65.812	press	right	None	Press	0	Press
2343	2019-10-02 16:19:54	D03P1	EC2802	65.846	press	left	None	Press	0	Press
2378	2019-10-02 16:19:54	D03P1	EC2802	66.813	press	iff	None	Press	0	Press
2385	2019-10-02 16:19:54	D03P1	EC2802	66.946	press	iff	None	Press	0	Press
2392	2019-10-02 16:19:54	D03P1	EC2802	67.079	press	left	None	Press	0	Press
2407	2019-10-02 16:19:54	D03P1	EC2802	67.413	press	left	None	Press	0	Press
2424	2019-10-02 16:19:54	D03P1	EC2802	67.913	press	left	None	Press	0	Press
2433	2019-10-02 16:19:54	D03P1	EC2802	68.145	press	left	None	Press	0	Press
2444	2019-10-02 16:19:54	D03P1	EC2802	68.312	press	left	None	Press	0	Press
2456	2019-10-02 16:19:54	D03P1	EC2802	68.645	press	fire	None	Press	0	Press
2468	2019-10-02 16:19:54	D03P1	EC2802	68.978	press	left	None	Press	0	Press
2492	2019-10-02 16:19:54	D03P1	EC2802	69.579	press	left	None	Press	0	Press
2507	2019-10-02 16:19:54	D03P1	EC2802	70.012	press	right	None	Press	0	Press
2523	2019-10-02 16:19:54	D03P1	EC2802	70.279	bonus_available	None	None	NewBonus	0	GameEvent
2527	2019-10-02 16:19:54	D03P1	EC2802	70.412	press	left	None	Press	0	Press
2536	2019-10-02 16:19:54	D03P1	EC2802	70.645	press	left	None	Press	0	Press
2541	2019-10-02 16:19:54	D03P1	EC2802	70.779	press	fire	None	Press	0	Press
2553	2019-10-02 16:19:54	D03P1	EC2802	71.013	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
2588	2019-10-02 16:19:54	D03P1	EC2802	71.878	press	right	None	Press	0	Press
2590	2019-10-02 16:19:54	D03P1	EC2802	71.912	press	pnts	None	Press	0	Press
2592	2019-10-02 16:19:54	D03P1	EC2802	71.912	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
2613	2019-10-02 16:19:54	D03P1	EC2802	72.378	press	right	None	Press	0	Press
2629	2019-10-02 16:19:54	D03P1	EC2802	72.812	press	left	None	Press	0	Press
2660	2019-10-02 16:19:54	D03P1	EC2802	73.645	press	left	None	Press	0	Press
2675	2019-10-02 16:19:54	D03P1	EC2802	74.079	press	left	None	Press	0	Press
2692	2019-10-02 16:19:54	D03P1	EC2802	74.445	press	fire	None	Press	0	Press
2711	2019-10-02 16:19:54	D03P1	EC2802	75.012	press	right	None	Press	0	Press
2714	2019-10-02 16:19:54	D03P1	EC2802	75.045	collide	missile_0	fortress	FortressShot	0	GameEvent
2741	2019-10-02 16:19:54	D03P1	EC2802	75.745	press	left	None	Press	0	Press
2755	2019-10-02 16:19:54	D03P1	EC2802	76.101	new_mine	friend	None	NewMine	0	GameEvent
2775	2019-10-02 16:19:54	D03P1	EC2802	76.613	press	left	None	Press	0	Press
2788	2019-10-02 16:19:54	D03P1	EC2802	76.98	press	left	None	Press	0	Press
2802	2019-10-02 16:19:54	D03P1	EC2802	77.379	press	left	None	Press	0	Press
2821	2019-10-02 16:19:54	D03P1	EC2802	77.812	press	left	None	Press	0	Press
2833	2019-10-02 16:19:54	D03P1	EC2802	78.145	press	left	None	Press	0	Press
2853	2019-10-02 16:19:54	D03P1	EC2802	78.613	press	fire	None	Press	0	Press
2870	2019-10-02 16:19:54	D03P1	EC2802	79.146	press	right	None	Press	0	Press
2877	2019-10-02 16:19:54	D03P1	EC2802	79.292	collide	missile_0	fortress	FortressShot	0	GameEvent
2907	2019-10-02 16:19:54	D03P1	EC2802	80.113	press	left	None	Press	0	Press
2916	2019-10-02 16:19:54	D03P1	EC2802	80.346	press	left	None	Press	0	Press
2946	2019-10-02 16:19:54	D03P1	EC2802	81.179	press	left	None	Press	0	Press
2969	2019-10-02 16:19:54	D03P1	EC2802	81.746	press	left	None	Press	0	Press
2980	2019-10-02 16:19:54	D03P1	EC2802	82.012	press	left	None	Press	0	Press
2987	2019-10-02 16:19:54	D03P1	EC2802	82.178	press	fire	None	Press	0	Press
2999	2019-10-02 16:19:54	D03P1	EC2802	82.479	press	right	None	Press	0	Press
3017	2019-10-02 16:19:54	D03P1	EC2802	82.878	press	right	None	Press	0	Press
3053	2019-10-02 16:19:54	D03P1	EC2802	83.846	press	right	None	Press	0	Press
3081	2019-10-02 16:19:54	D03P1	EC2802	84.613	press	fire	None	Press	0	Press
3097	2019-10-02 16:19:54	D03P1	EC2802	84.979	press	right	None	Press	0	Press
3107	2019-10-02 16:19:54	D03P1	EC2802	85.212	press	fire	None	Press	0	Press
3114	2019-10-02 16:19:54	D03P1	EC2802	85.379	press	left	None	Press	0	Press
3121	2019-10-02 16:19:54	D03P1	EC2802	85.512	collide	friend_mine	None	FriendMineDestruction	50	Mine
3144	2019-10-02 16:19:54	D03P1	EC2802	85.913	bonus_available	None	None	NewBonus	0	GameEvent
3153	2019-10-02 16:19:54	D03P1	EC2802	86.145	press	right	None	Press	0	Press
3184	2019-10-02 16:19:54	D03P1	EC2802	87.012	press	right	None	Press	0	Press
3225	2019-10-02 16:19:54	D03P1	EC2802	88.08	press	right	None	Press	0	Press
3240	2019-10-02 16:19:54	D03P1	EC2802	88.513	press	fire	None	Press	0	Press
3266	2019-10-02 16:19:54	D03P1	EC2802	89.145	press	left	None	Press	0	Press
3270	2019-10-02 16:19:54	D03P1	EC2802	89.212	collide	missile_0	fortress	FortressShot	0	GameEvent
3316	2019-10-02 16:19:54	D03P1	EC2802	90.546	press	right	None	Press	0	Press
3321	2019-10-02 16:19:54	D03P1	EC2802	90.639	new_mine	foe	None	NewMine	0	GameEvent
3346	2019-10-02 16:19:54	D03P1	EC2802	91.312	press	right	None	Press	0	Press
3368	2019-10-02 16:19:54	D03P1	EC2802	91.878	press	right	None	Press	0	Press
3383	2019-10-02 16:19:54	D03P1	EC2802	92.312	press	iff	None	Press	0	Press
3391	2019-10-02 16:19:54	D03P1	EC2802	92.478	press	iff	None	Press	0	Press
3401	2019-10-02 16:19:54	D03P1	EC2802	92.713	press	right	None	Press	0	Press
3418	2019-10-02 16:19:54	D03P1	EC2802	93.079	press	right	None	Press	0	Press
3431	2019-10-02 16:19:54	D03P1	EC2802	93.412	press	fire	None	Press	0	Press
3441	2019-10-02 16:19:54	D03P1	EC2802	93.612	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
3457	2019-10-02 16:19:54	D03P1	EC2802	93.912	press	left	None	Press	0	Press
3475	2019-10-02 16:19:54	D03P1	EC2802	94.412	press	left	None	Press	0	Press
3515	2019-10-02 16:19:54	D03P1	EC2802	95.513	press	right	None	Press	0	Press
3534	2019-10-02 16:19:54	D03P1	EC2802	95.945	press	right	None	Press	0	Press
3551	2019-10-02 16:19:54	D03P1	EC2802	96.479	press	fire	None	Press	0	Press
3578	2019-10-02 16:19:54	D03P1	EC2802	97.113	press	left	None	Press	0	Press
3590	2019-10-02 16:19:54	D03P1	EC2802	97.381	bonus_available	None	None	NewBonus	0	GameEvent
3632	2019-10-02 16:19:54	D03P1	EC2802	98.645	press	right	None	Press	0	Press
3637	2019-10-02 16:19:54	D03P1	EC2802	98.702	new_mine	friend	None	NewMine	0	GameEvent
3655	2019-10-02 16:19:54	D03P1	EC2802	99.112	press	right	None	Press	0	Press
3731	2019-10-02 16:19:54	D03P1	EC2802	101.278	press	right	None	Press	0	Press
3747	2019-10-02 16:19:54	D03P1	EC2802	101.745	press	right	None	Press	0	Press
3772	2019-10-02 16:19:54	D03P1	EC2802	102.379	press	left	None	Press	0	Press
3787	2019-10-02 16:19:54	D03P1	EC2802	102.778	press	fire	None	Press	0	Press
3800	2019-10-02 16:19:54	D03P1	EC2802	103.046	press	right	None	Press	0	Press
3817	2019-10-02 16:19:54	D03P1	EC2802	103.546	press	right	None	Press	0	Press
3839	2019-10-02 16:19:54	D03P1	EC2802	104.078	press	fire	None	Press	0	Press
3850	2019-10-02 16:19:54	D03P1	EC2802	104.312	collide	friend_mine	None	FriendMineDestruction	50	Mine
3869	2019-10-02 16:19:54	D03P1	EC2802	104.779	press	right	None	Press	0	Press
3880	2019-10-02 16:19:54	D03P1	EC2802	104.979	press	fire	None	Press	0	Press
3889	2019-10-02 16:19:54	D03P1	EC2802	105.179	press	left	None	Press	0	Press
3961	2019-10-02 16:19:54	D03P1	EC2802	107.146	press	left	None	Press	0	Press
4001	2019-10-02 16:19:54	D03P1	EC2802	108.245	press	left	None	Press	0	Press
4019	2019-10-02 16:19:54	D03P1	EC2802	108.746	press	left	None	Press	0	Press
4036	2019-10-02 16:19:54	D03P1	EC2802	109.146	press	left	None	Press	0	Press
4047	2019-10-02 16:19:54	D03P1	EC2802	109.402	new_mine	friend	None	NewMine	0	GameEvent
4052	2019-10-02 16:19:54	D03P1	EC2802	109.578	press	fire	None	Press	0	Press
4075	2019-10-02 16:19:54	D03P1	EC2802	110.145	press	left	None	Press	0	Press
4083	2019-10-02 16:19:54	D03P1	EC2802	110.312	press	right	None	Press	0	Press
4131	2019-10-02 16:19:54	D03P1	EC2802	111.679	press	right	None	Press	0	Press
4164	2019-10-02 16:19:54	D03P1	EC2802	112.545	press	right	None	Press	0	Press
4185	2019-10-02 16:19:54	D03P1	EC2802	113.145	press	right	None	Press	0	Press
4217	2019-10-02 16:19:54	D03P1	EC2802	113.979	press	fire	None	Press	0	Press
4219	2019-10-02 16:19:54	D03P1	EC2802	114.012	press	right	None	Press	0	Press
4245	2019-10-02 16:19:54	D03P1	EC2802	114.579	collide	friend_mine	None	FriendMineDestruction	50	Mine
