Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1245	2021-03-17 09:39:51	D03P1	EJ0511	41.3	press	thrust	None	Press	0	Press
1272	2021-03-17 09:39:51	D03P1	EJ0511	42.033	press	right	None	Press	0	Press
1304	2021-03-17 09:39:51	D03P1	EJ0511	42.901	press	fire	None	Press	0	Press
1317	2021-03-17 09:39:51	D03P1	EJ0511	43.266	press	left	None	Press	0	Press
1321	2021-03-17 09:39:51	D03P1	EJ0511	43.3	bonus_available	None	None	NewBonus	0	GameEvent
1330	2021-03-17 09:39:51	D03P1	EJ0511	43.433	press	thrust	None	Press	0	Press
1339	2021-03-17 09:39:51	D03P1	EJ0511	43.667	press	thrust	None	Press	0	Press
1349	2021-03-17 09:39:51	D03P1	EJ0511	43.933	press	right	None	Press	0	Press
1362	2021-03-17 09:39:51	D03P1	EJ0511	44.3	press	shots	None	Press	0	Press
1364	2021-03-17 09:39:51	D03P1	EJ0511	44.3	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1376	2021-03-17 09:39:51	D03P1	EJ0511	44.5	press	fire	None	Press	0	Press
1386	2021-03-17 09:39:51	D03P1	EJ0511	44.7	press	right	None	Press	0	Press
1403	2021-03-17 09:39:51	D03P1	EJ0511	45.168	press	thrust	None	Press	0	Press
1417	2021-03-17 09:39:51	D03P1	EJ0511	45.501	new_mine	foe	None	NewMine	0	GameEvent
1422	2021-03-17 09:39:51	D03P1	EJ0511	45.566	press	thrust	None	Press	0	Press
1448	2021-03-17 09:39:51	D03P1	EJ0511	46.333	press	fire	None	Press	0	Press
1479	2021-03-17 09:39:51	D03P1	EJ0511	47.1	press	fire	None	Press	0	Press
1482	2021-03-17 09:39:51	D03P1	EJ0511	47.133	collide	missile_0	fortress	FortressShot	0	GameEvent
1514	2021-03-17 09:39:51	D03P1	EJ0511	47.966	press	right	None	Press	0	Press
1524	2021-03-17 09:39:51	D03P1	EJ0511	48.233	press	iff	None	Press	0	Press
1548	2021-03-17 09:39:51	D03P1	EJ0511	48.767	press	right	None	Press	0	Press
1563	2021-03-17 09:39:51	D03P1	EJ0511	49.167	press	iff	None	Press	0	Press
1571	2021-03-17 09:39:51	D03P1	EJ0511	49.3	press	iff	None	Press	0	Press
1577	2021-03-17 09:39:51	D03P1	EJ0511	49.4	press	right	None	Press	0	Press
1596	2021-03-17 09:39:51	D03P1	EJ0511	49.833	press	right	None	Press	0	Press
1614	2021-03-17 09:39:51	D03P1	EJ0511	50.333	press	fire	None	Press	0	Press
1630	2021-03-17 09:39:51	D03P1	EJ0511	50.633	bonus_available	None	None	NewBonus	0	GameEvent
1641	2021-03-17 09:39:51	D03P1	EJ0511	50.9	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
1672	2021-03-17 09:39:51	D03P1	EJ0511	51.667	press	left	None	Press	0	Press
1690	2021-03-17 09:39:51	D03P1	EJ0511	52.133	press	fire	None	Press	0	Press
1700	2021-03-17 09:39:51	D03P1	EJ0511	52.4	press	right	None	Press	0	Press
1707	2021-03-17 09:39:51	D03P1	EJ0511	52.533	press	thrust	None	Press	0	Press
1731	2021-03-17 09:39:51	D03P1	EJ0511	53.101	press	thrust	None	Press	0	Press
1739	2021-03-17 09:39:51	D03P1	EJ0511	53.3	press	right	None	Press	0	Press
1752	2021-03-17 09:39:51	D03P1	EJ0511	53.633	press	thrust	None	Press	0	Press
1762	2021-03-17 09:39:51	D03P1	EJ0511	53.8	press	fire	None	Press	0	Press
1786	2021-03-17 09:39:51	D03P1	EJ0511	54.434	press	fire	None	Press	0	Press
1796	2021-03-17 09:39:51	D03P1	EJ0511	54.667	collide	missile_0	fortress	FortressShot	0	GameEvent
1807	2021-03-17 09:39:51	D03P1	EJ0511	54.8	bonus_available	None	None	NewBonus	0	GameEvent
1808	2021-03-17 09:39:51	D03P1	EJ0511	54.833	press	thrust	None	Press	0	Press
1816	2021-03-17 09:39:51	D03P1	EJ0511	55.033	press	fire	None	Press	0	Press
1829	2021-03-17 09:39:51	D03P1	EJ0511	55.3	collide	missile_0	fortress	FortressShot	0	GameEvent
1850	2021-03-17 09:39:51	D03P1	EJ0511	55.867	press	pnts	None	Press	0	Press
1852	2021-03-17 09:39:51	D03P1	EJ0511	55.867	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1860	2021-03-17 09:39:51	D03P1	EJ0511	55.969	new_mine	friend	None	NewMine	0	GameEvent
1861	2021-03-17 09:39:51	D03P1	EJ0511	56	press	thrust	None	Press	0	Press
1876	2021-03-17 09:39:51	D03P1	EJ0511	56.366	press	fire	None	Press	0	Press
1888	2021-03-17 09:39:51	D03P1	EJ0511	56.633	collide	friend_mine	None	FriendMineDestruction	50	Mine
1896	2021-03-17 09:39:51	D03P1	EJ0511	56.733	press	left	None	Press	0	Press
1908	2021-03-17 09:39:51	D03P1	EJ0511	56.9	press	fire	None	Press	0	Press
1924	2021-03-17 09:39:51	D03P1	EJ0511	57.333	press	right	None	Press	0	Press
1938	2021-03-17 09:39:51	D03P1	EJ0511	57.7	press	thrust	None	Press	0	Press
1951	2021-03-17 09:39:51	D03P1	EJ0511	57.967	press	fire	None	Press	0	Press
1977	2021-03-17 09:39:51	D03P1	EJ0511	58.667	press	fire	None	Press	0	Press
1984	2021-03-17 09:39:51	D03P1	EJ0511	58.8	collide	missile_1	fortress	FortressShot	0	GameEvent
1996	2021-03-17 09:39:51	D03P1	EJ0511	59.033	press	right	None	Press	0	Press
2006	2021-03-17 09:39:51	D03P1	EJ0511	59.267	press	fire	None	Press	0	Press
2019	2021-03-17 09:39:51	D03P1	EJ0511	59.6	press	thrust	None	Press	0	Press
2026	2021-03-17 09:39:51	D03P1	EJ0511	59.767	press	fire	None	Press	0	Press
2039	2021-03-17 09:39:51	D03P1	EJ0511	60	collide	missile_1	fortress	FortressShot	0	GameEvent
2048	2021-03-17 09:39:51	D03P1	EJ0511	60.266	press	right	None	Press	0	Press
2050	2021-03-17 09:39:51	D03P1	EJ0511	60.3	press	fire	None	Press	0	Press
2072	2021-03-17 09:39:51	D03P1	EJ0511	60.867	press	right	None	Press	0	Press
2085	2021-03-17 09:39:51	D03P1	EJ0511	61.1	press	fire	None	Press	0	Press
2109	2021-03-17 09:39:51	D03P1	EJ0511	61.702	new_mine	friend	None	NewMine	0	GameEvent
2113	2021-03-17 09:39:51	D03P1	EJ0511	61.832	press	fire	None	Press	0	Press
2130	2021-03-17 09:39:51	D03P1	EJ0511	62.133	bonus_available	None	None	NewBonus	0	GameEvent
2134	2021-03-17 09:39:51	D03P1	EJ0511	62.267	press	thrust	None	Press	0	Press
2164	2021-03-17 09:39:51	D03P1	EJ0511	63	press	left	None	Press	0	Press
2206	2021-03-17 09:39:51	D03P1	EJ0511	64.1	press	fire	None	Press	0	Press
2220	2021-03-17 09:39:51	D03P1	EJ0511	64.367	collide	friend_mine	None	FriendMineDestruction	50	Mine
