Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
305	2021-04-30 16:31:48	D05P1	EV1810	9.962	press	thrust	None	Press	0	Press
319	2021-04-30 16:31:48	D05P1	EV1810	10.229	press	right	None	Press	0	Press
342	2021-04-30 16:31:48	D05P1	EV1810	10.896	press	thrust	None	Press	0	Press
362	2021-04-30 16:31:48	D05P1	EV1810	11.363	press	fire	None	Press	0	Press
370	2021-04-30 16:31:48	D05P1	EV1810	11.529	press	right	None	Press	0	Press
380	2021-04-30 16:31:48	D05P1	EV1810	11.762	collide	missile_0	fortress	FortressShot	0	GameEvent
384	2021-04-30 16:31:48	D05P1	EV1810	11.863	press	fire	None	Press	0	Press
391	2021-04-30 16:31:48	D05P1	EV1810	12.029	press	right	None	Press	0	Press
394	2021-04-30 16:31:48	D05P1	EV1810	12.029	bonus_available	None	None	NewBonus	0	GameEvent
406	2021-04-30 16:31:48	D05P1	EV1810	12.262	collide	missile_0	fortress	FortressShot	0	GameEvent
414	2021-04-30 16:31:48	D05P1	EV1810	12.496	press	shots	None	Press	0	Press
416	2021-04-30 16:31:48	D05P1	EV1810	12.496	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
427	2021-04-30 16:31:48	D05P1	EV1810	12.729	press	right	None	Press	0	Press
433	2021-04-30 16:31:48	D05P1	EV1810	12.863	press	fire	None	Press	0	Press
442	2021-04-30 16:31:48	D05P1	EV1810	13.096	press	left	None	Press	0	Press
451	2021-04-30 16:31:48	D05P1	EV1810	13.229	press	fire	None	Press	0	Press
471	2021-04-30 16:31:48	D05P1	EV1810	13.762	collide	missile_1	fortress	FortressShot	0	GameEvent
472	2021-04-30 16:31:48	D05P1	EV1810	13.796	press	fire	None	Press	0	Press
492	2021-04-30 16:31:48	D05P1	EV1810	14.199	new_mine	foe	None	NewMine	0	GameEvent
499	2021-04-30 16:31:48	D05P1	EV1810	14.329	press	right	None	Press	0	Press
502	2021-04-30 16:31:48	D05P1	EV1810	14.363	collide	missile_1	fortress	FortressShot	0	GameEvent
509	2021-04-30 16:31:48	D05P1	EV1810	14.496	press	fire	None	Press	0	Press
526	2021-04-30 16:31:48	D05P1	EV1810	14.963	press	left	None	Press	0	Press
534	2021-04-30 16:31:48	D05P1	EV1810	15.162	collide	missile_0	fortress	FortressShot	0	GameEvent
561	2021-04-30 16:31:48	D05P1	EV1810	15.863	press	iff	None	Press	0	Press
567	2021-04-30 16:31:48	D05P1	EV1810	15.963	press	iff	None	Press	0	Press
573	2021-04-30 16:31:48	D05P1	EV1810	16.062	press	fire	None	Press	0	Press
578	2021-04-30 16:31:48	D05P1	EV1810	16.162	press	right	None	Press	0	Press
582	2021-04-30 16:31:48	D05P1	EV1810	16.196	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
601	2021-04-30 16:31:48	D05P1	EV1810	16.496	press	right	None	Press	0	Press
