Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1388	2021-04-28 15:51:52	D03P2	GC0511	45.837	press	thrust	None	Press	0	Press
1399	2021-04-28 15:51:52	D03P2	GC0511	46.004	collide	shell	0	ShipDamage	-50	Flight
1414	2021-04-28 15:51:52	D03P2	GC0511	46.437	press	right	None	Press	0	Press
1427	2021-04-28 15:51:52	D03P2	GC0511	46.737	bonus_available	None	None	NewBonus	0	GameEvent
1442	2021-04-28 15:51:52	D03P2	GC0511	47.105	press	right	None	Press	0	Press
1443	2021-04-28 15:51:52	D03P2	GC0511	47.105	press	thrust	None	Press	0	Press
1459	2021-04-28 15:51:52	D03P2	GC0511	47.537	press	right	None	Press	0	Press
1464	2021-04-28 15:51:52	D03P2	GC0511	47.637	press	thrust	None	Press	0	Press
1474	2021-04-28 15:51:52	D03P2	GC0511	47.904	press	right	None	Press	0	Press
1487	2021-04-28 15:51:52	D03P2	GC0511	48.137	press	thrust	None	Press	0	Press
1497	2021-04-28 15:51:52	D03P2	GC0511	48.404	press	thrust	None	Press	0	Press
1499	2021-04-28 15:51:52	D03P2	GC0511	48.438	press	right	None	Press	0	Press
1520	2021-04-28 15:51:52	D03P2	GC0511	48.905	new_mine	foe	None	NewMine	0	GameEvent
1528	2021-04-28 15:51:52	D03P2	GC0511	49.072	press	fire	None	Press	0	Press
1538	2021-04-28 15:51:52	D03P2	GC0511	49.336	press	thrust	None	Press	0	Press
1554	2021-04-28 15:51:52	D03P2	GC0511	49.737	collide	missile_0	fortress	FortressShot	0	GameEvent
1572	2021-04-28 15:51:52	D03P2	GC0511	50.137	press	right	None	Press	0	Press
1574	2021-04-28 15:51:52	D03P2	GC0511	50.171	press	fire	None	Press	0	Press
1597	2021-04-28 15:51:52	D03P2	GC0511	50.837	press	thrust	None	Press	0	Press
1607	2021-04-28 15:51:52	D03P2	GC0511	51.037	press	right	None	Press	0	Press
1628	2021-04-28 15:51:52	D03P2	GC0511	51.638	press	iff	None	Press	0	Press
1636	2021-04-28 15:51:52	D03P2	GC0511	51.804	press	iff	None	Press	0	Press
1642	2021-04-28 15:51:52	D03P2	GC0511	51.871	press	right	None	Press	0	Press
1663	2021-04-28 15:51:52	D03P2	GC0511	52.37	press	fire	None	Press	0	Press
1682	2021-04-28 15:51:52	D03P2	GC0511	52.937	press	fire	None	Press	0	Press
1683	2021-04-28 15:51:52	D03P2	GC0511	52.937	press	right	None	Press	0	Press
1703	2021-04-28 15:51:52	D03P2	GC0511	53.37	press	thrust	None	Press	0	Press
1713	2021-04-28 15:51:52	D03P2	GC0511	53.57	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
1732	2021-04-28 15:51:52	D03P2	GC0511	54.037	press	left	None	Press	0	Press
1771	2021-04-28 15:51:52	D03P2	GC0511	55.071	press	fire	None	Press	0	Press
1781	2021-04-28 15:51:52	D03P2	GC0511	55.237	press	thrust	None	Press	0	Press
1797	2021-04-28 15:51:52	D03P2	GC0511	55.637	press	right	None	Press	0	Press
1805	2021-04-28 15:51:52	D03P2	GC0511	55.869	press	thrust	None	Press	0	Press
1821	2021-04-28 15:51:52	D03P2	GC0511	56.204	press	right	None	Press	0	Press
1828	2021-04-28 15:51:52	D03P2	GC0511	56.337	press	left	None	Press	0	Press
1848	2021-04-28 15:51:52	D03P2	GC0511	56.904	press	left	None	Press	0	Press
1877	2021-04-28 15:51:52	D03P2	GC0511	57.636	press	fire	None	Press	0	Press
1888	2021-04-28 15:51:52	D03P2	GC0511	57.938	press	thrust	None	Press	0	Press
1891	2021-04-28 15:51:52	D03P2	GC0511	57.971	collide	missile_0	fortress	FortressShot	0	GameEvent
1894	2021-04-28 15:51:52	D03P2	GC0511	58.037	press	left	None	Press	0	Press
1911	2021-04-28 15:51:52	D03P2	GC0511	58.371	press	left	None	Press	0	Press
1925	2021-04-28 15:51:52	D03P2	GC0511	58.672	new_mine	friend	None	NewMine	0	GameEvent
1931	2021-04-28 15:51:52	D03P2	GC0511	58.87	press	fire	None	Press	0	Press
1937	2021-04-28 15:51:52	D03P2	GC0511	59.004	press	thrust	None	Press	0	Press
1954	2021-04-28 15:51:52	D03P2	GC0511	59.371	collide	missile_0	fortress	FortressShot	0	GameEvent
1968	2021-04-28 15:51:52	D03P2	GC0511	59.737	press	left	None	Press	0	Press
1990	2021-04-28 15:51:52	D03P2	GC0511	60.237	press	fire	None	Press	0	Press
2009	2021-04-28 15:51:52	D03P2	GC0511	60.737	press	left	None	Press	0	Press
2022	2021-04-28 15:51:52	D03P2	GC0511	61.071	press	fire	None	Press	0	Press
2035	2021-04-28 15:51:52	D03P2	GC0511	61.337	press	thrust	None	Press	0	Press
2049	2021-04-28 15:51:52	D03P2	GC0511	61.67	collide	friend_mine	None	FriendMineDestruction	50	Mine
2089	2021-04-28 15:51:52	D03P2	GC0511	62.67	press	fire	None	Press	0	Press
2114	2021-04-28 15:51:52	D03P2	GC0511	63.303	press	fire	None	Press	0	Press
2134	2021-04-28 15:51:52	D03P2	GC0511	63.87	collide	missile_1	fortress	FortressShot	0	GameEvent
2143	2021-04-28 15:51:52	D03P2	GC0511	64.07	press	left	None	Press	0	Press
2164	2021-04-28 15:51:52	D03P2	GC0511	64.603	press	fire	None	Press	0	Press
2180	2021-04-28 15:51:52	D03P2	GC0511	65.004	collide	missile_0	fortress	FortressShot	0	GameEvent
2181	2021-04-28 15:51:52	D03P2	GC0511	65.037	press	left	None	Press	0	Press
2198	2021-04-28 15:51:52	D03P2	GC0511	65.403	press	fire	None	Press	0	Press
2212	2021-04-28 15:51:52	D03P2	GC0511	65.737	collide	missile_0	fortress	FortressShot	0	GameEvent
2218	2021-04-28 15:51:52	D03P2	GC0511	65.904	press	left	None	Press	0	Press
2228	2021-04-28 15:51:52	D03P2	GC0511	66.137	press	fire	None	Press	0	Press
2240	2021-04-28 15:51:52	D03P2	GC0511	66.371	press	thrust	None	Press	0	Press
2246	2021-04-28 15:51:52	D03P2	GC0511	66.504	collide	missile_0	fortress	FortressShot	0	GameEvent
2258	2021-04-28 15:51:52	D03P2	GC0511	66.738	new_mine	foe	None	NewMine	0	GameEvent
2261	2021-04-28 15:51:52	D03P2	GC0511	66.837	press	left	None	Press	0	Press
2270	2021-04-28 15:51:52	D03P2	GC0511	67.037	press	fire	None	Press	0	Press
2290	2021-04-28 15:51:52	D03P2	GC0511	67.471	collide	missile_0	fortress	FortressShot	0	GameEvent
2294	2021-04-28 15:51:52	D03P2	GC0511	67.571	press	right	None	Press	0	Press
2315	2021-04-28 15:51:52	D03P2	GC0511	68.137	press	iff	None	Press	0	Press
2323	2021-04-28 15:51:52	D03P2	GC0511	68.269	press	iff	None	Press	0	Press
2353	2021-04-28 15:51:52	D03P2	GC0511	69.038	press	fire	None	Press	0	Press
2357	2021-04-28 15:51:52	D03P2	GC0511	69.104	press	thrust	None	Press	0	Press
2365	2021-04-28 15:51:52	D03P2	GC0511	69.27	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
2386	2021-04-28 15:51:52	D03P2	GC0511	69.671	press	left	None	Press	0	Press
2392	2021-04-28 15:51:52	D03P2	GC0511	69.77	bonus_available	None	None	NewBonus	0	GameEvent
2393	2021-04-28 15:51:52	D03P2	GC0511	69.804	press	thrust	None	Press	0	Press
2408	2021-04-28 15:51:52	D03P2	GC0511	70.203	press	thrust	None	Press	0	Press
2416	2021-04-28 15:51:52	D03P2	GC0511	70.404	press	left	None	Press	0	Press
2433	2021-04-28 15:51:52	D03P2	GC0511	70.77	press	left	None	Press	0	Press
2448	2021-04-28 15:51:52	D03P2	GC0511	71.171	press	thrust	None	Press	0	Press
2452	2021-04-28 15:51:52	D03P2	GC0511	71.27	press	left	None	Press	0	Press
2469	2021-04-28 15:51:52	D03P2	GC0511	71.636	press	thrust	None	Press	0	Press
2505	2021-04-28 15:51:52	D03P2	GC0511	72.57	press	thrust	None	Press	0	Press
2509	2021-04-28 15:51:52	D03P2	GC0511	72.671	press	left	None	Press	0	Press
2534	2021-04-28 15:51:52	D03P2	GC0511	73.304	press	fire	None	Press	0	Press
2559	2021-04-28 15:51:52	D03P2	GC0511	73.971	press	fire	None	Press	0	Press
2570	2021-04-28 15:51:52	D03P2	GC0511	74.27	press	thrust	None	Press	0	Press
2575	2021-04-28 15:51:52	D03P2	GC0511	74.339	new_mine	friend	None	NewMine	0	GameEvent
2597	2021-04-28 15:51:52	D03P2	GC0511	74.87	collide	missile_1	fortress	FortressShot	0	GameEvent
2602	2021-04-28 15:51:52	D03P2	GC0511	75.003	press	right	None	Press	0	Press
2615	2021-04-28 15:51:52	D03P2	GC0511	75.37	press	fire	None	Press	0	Press
2625	2021-04-28 15:51:52	D03P2	GC0511	75.537	collide	friend_mine	None	FriendMineDestruction	50	Mine
2635	2021-04-28 15:51:52	D03P2	GC0511	75.637	press	thrust	None	Press	0	Press
2636	2021-04-28 15:51:52	D03P2	GC0511	75.637	press	left	None	Press	0	Press
2674	2021-04-28 15:51:52	D03P2	GC0511	76.603	press	left	None	Press	0	Press
2682	2021-04-28 15:51:52	D03P2	GC0511	76.804	press	thrust	None	Press	0	Press
2696	2021-04-28 15:51:52	D03P2	GC0511	77.104	bonus_available	None	None	NewBonus	0	GameEvent
2715	2021-04-28 15:51:52	D03P2	GC0511	77.604	press	left	None	Press	0	Press
2729	2021-04-28 15:51:52	D03P2	GC0511	77.97	press	left	None	Press	0	Press
2739	2021-04-28 15:51:52	D03P2	GC0511	78.238	press	shots	None	Press	0	Press
