Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1181	2018-06-05 11:33:46	D02P1	GF0912	39.011	press	thrust	None	Press	0	Press
1199	2018-06-05 11:33:46	D02P1	GF0912	39.512	press	thrust	None	Press	0	Press
1201	2018-06-05 11:33:46	D02P1	GF0912	39.544	press	right	None	Press	0	Press
1218	2018-06-05 11:33:46	D02P1	GF0912	39.911	press	right	None	Press	0	Press
1232	2018-06-05 11:33:46	D02P1	GF0912	40.278	press	right	None	Press	0	Press
1257	2018-06-05 11:33:46	D02P1	GF0912	40.911	press	thrust	None	Press	0	Press
1270	2018-06-05 11:33:46	D02P1	GF0912	41.278	press	fire	None	Press	0	Press
1284	2018-06-05 11:33:46	D02P1	GF0912	41.645	press	right	None	Press	0	Press
1296	2018-06-05 11:33:46	D02P1	GF0912	41.878	press	right	None	Press	0	Press
1311	2018-06-05 11:33:46	D02P1	GF0912	42.244	press	thrust	None	Press	0	Press
1319	2018-06-05 11:33:46	D02P1	GF0912	42.444	press	left	None	Press	0	Press
1329	2018-06-05 11:33:46	D02P1	GF0912	42.678	press	thrust	None	Press	0	Press
1336	2018-06-05 11:33:46	D02P1	GF0912	42.793	new_mine	friend	None	NewMine	0	GameEvent
1344	2018-06-05 11:33:46	D02P1	GF0912	42.945	press	left	None	Press	0	Press
1362	2018-06-05 11:33:46	D02P1	GF0912	43.411	press	fire	None	Press	0	Press
1377	2018-06-05 11:33:46	D02P1	GF0912	43.778	press	thrust	None	Press	0	Press
1384	2018-06-05 11:33:46	D02P1	GF0912	43.878	press	right	None	Press	0	Press
1390	2018-06-05 11:33:46	D02P1	GF0912	44.011	press	left	None	Press	0	Press
1396	2018-06-05 11:33:46	D02P1	GF0912	44.078	press	thrust	None	Press	0	Press
1409	2018-06-05 11:33:46	D02P1	GF0912	44.444	press	thrust	None	Press	0	Press
1412	2018-06-05 11:33:46	D02P1	GF0912	44.478	press	right	None	Press	0	Press
1434	2018-06-05 11:33:46	D02P1	GF0912	45.012	press	right	None	Press	0	Press
1452	2018-06-05 11:33:46	D02P1	GF0912	45.444	press	fire	None	Press	0	Press
1466	2018-06-05 11:33:46	D02P1	GF0912	45.811	collide	missile_0	fortress	FortressShot	0	GameEvent
1479	2018-06-05 11:33:46	D02P1	GF0912	46.078	press	fire	None	Press	0	Press
1484	2018-06-05 11:33:46	D02P1	GF0912	46.178	press	right	None	Press	0	Press
1496	2018-06-05 11:33:46	D02P1	GF0912	46.51	press	right	None	Press	0	Press
1501	2018-06-05 11:33:46	D02P1	GF0912	46.611	press	thrust	None	Press	0	Press
1530	2018-06-05 11:33:46	D02P1	GF0912	47.378	press	fire	None	Press	0	Press
1555	2018-06-05 11:33:46	D02P1	GF0912	47.944	press	right	None	Press	0	Press
1574	2018-06-05 11:33:46	D02P1	GF0912	48.445	press	left	None	Press	0	Press
1587	2018-06-05 11:33:46	D02P1	GF0912	48.745	press	fire	None	Press	0	Press
1608	2018-06-05 11:33:46	D02P1	GF0912	49.278	press	left	None	Press	0	Press
1616	2018-06-05 11:33:46	D02P1	GF0912	49.378	collide	friend_mine	None	FriendMineDestruction	50	Mine
1635	2018-06-05 11:33:46	D02P1	GF0912	49.844	press	thrust	None	Press	0	Press
1666	2018-06-05 11:33:46	D02P1	GF0912	50.679	press	right	None	Press	0	Press
1684	2018-06-05 11:33:46	D02P1	GF0912	51.078	press	right	None	Press	0	Press
1702	2018-06-05 11:33:46	D02P1	GF0912	51.544	press	fire	None	Press	0	Press
1706	2018-06-05 11:33:46	D02P1	GF0912	51.645	press	thrust	None	Press	0	Press
1723	2018-06-05 11:33:46	D02P1	GF0912	51.978	press	right	None	Press	0	Press
1734	2018-06-05 11:33:46	D02P1	GF0912	52.179	bonus_available	None	None	NewBonus	0	GameEvent
1743	2018-06-05 11:33:46	D02P1	GF0912	52.478	press	fire	None	Press	0	Press
1767	2018-06-05 11:33:46	D02P1	GF0912	53.079	collide	missile_1	fortress	FortressShot	0	GameEvent
1773	2018-06-05 11:33:46	D02P1	GF0912	53.211	press	thrust	None	Press	0	Press
1793	2018-06-05 11:33:46	D02P1	GF0912	53.744	press	shots	None	Press	0	Press
1795	2018-06-05 11:33:46	D02P1	GF0912	53.744	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1812	2018-06-05 11:33:46	D02P1	GF0912	54.111	press	right	None	Press	0	Press
1825	2018-06-05 11:33:46	D02P1	GF0912	54.444	press	thrust	None	Press	0	Press
1827	2018-06-05 11:33:46	D02P1	GF0912	54.462	new_mine	friend	None	NewMine	0	GameEvent
1852	2018-06-05 11:33:46	D02P1	GF0912	55.078	press	left	None	Press	0	Press
1875	2018-06-05 11:33:46	D02P1	GF0912	55.645	press	thrust	None	Press	0	Press
1893	2018-06-05 11:33:46	D02P1	GF0912	56.078	press	fire	None	Press	0	Press
1907	2018-06-05 11:33:46	D02P1	GF0912	56.412	press	right	None	Press	0	Press
1932	2018-06-05 11:33:46	D02P1	GF0912	57.078	press	fire	None	Press	0	Press
