Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
31661	2018-06-07 13:59:39	D04P2	GM2504	824.802	press	thrust	None	Press	0	Press
31674	2018-06-07 13:59:39	D04P2	GM2504	825.102	press	right	None	Press	0	Press
31709	2018-06-07 13:59:39	D04P2	GM2504	826.035	press	right	None	Press	0	Press
31724	2018-06-07 13:59:39	D04P2	GM2504	826.436	press	fire	None	Press	0	Press
31734	2018-06-07 13:59:39	D04P2	GM2504	826.702	press	left	None	Press	0	Press
31737	2018-06-07 13:59:39	D04P2	GM2504	826.703	bonus_available	None	None	NewBonus	0	GameEvent
31760	2018-06-07 13:59:39	D04P2	GM2504	827.335	press	thrust	None	Press	0	Press
31772	2018-06-07 13:59:39	D04P2	GM2504	827.635	press	right	None	Press	0	Press
31786	2018-06-07 13:59:39	D04P2	GM2504	827.935	press	fire	None	Press	0	Press
31808	2018-06-07 13:59:39	D04P2	GM2504	828.502	press	right	None	Press	0	Press
31818	2018-06-07 13:59:39	D04P2	GM2504	828.735	press	fire	None	Press	0	Press
31827	2018-06-07 13:59:39	D04P2	GM2504	828.885	new_mine	friend	None	NewMine	0	GameEvent
31849	2018-06-07 13:59:39	D04P2	GM2504	829.435	collide	missile_1	fortress	FortressShot	0	GameEvent
31853	2018-06-07 13:59:39	D04P2	GM2504	829.536	press	thrust	None	Press	0	Press
31882	2018-06-07 13:59:39	D04P2	GM2504	830.235	press	left	None	Press	0	Press
31904	2018-06-07 13:59:39	D04P2	GM2504	830.902	press	fire	None	Press	0	Press
31919	2018-06-07 13:59:39	D04P2	GM2504	831.168	collide	friend_mine	None	FriendMineDestruction	50	Mine
31926	2018-06-07 13:59:39	D04P2	GM2504	831.236	press	right	None	Press	0	Press
31954	2018-06-07 13:59:39	D04P2	GM2504	831.969	press	thrust	None	Press	0	Press
31974	2018-06-07 13:59:39	D04P2	GM2504	832.469	press	left	None	Press	0	Press
31987	2018-06-07 13:59:39	D04P2	GM2504	832.837	press	fire	None	Press	0	Press
32007	2018-06-07 13:59:39	D04P2	GM2504	833.301	press	left	None	Press	0	Press
32018	2018-06-07 13:59:39	D04P2	GM2504	833.569	press	fire	None	Press	0	Press
32042	2018-06-07 13:59:39	D04P2	GM2504	834.135	press	right	None	Press	0	Press
32048	2018-06-07 13:59:39	D04P2	GM2504	834.236	collide	missile_1	fortress	FortressShot	0	GameEvent
