Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
2612	2019-12-06 16:11:59	D05P1	HA2212	87.493	press	thrust	None	Press	0	Press
2624	2019-12-06 16:11:59	D05P1	HA2212	87.826	press	right	None	Press	0	Press
2661	2019-12-06 16:11:59	D05P1	HA2212	88.826	press	right	None	Press	0	Press
2670	2019-12-06 16:11:59	D05P1	HA2212	89.06	press	fire	None	Press	0	Press
2689	2019-12-06 16:11:59	D05P1	HA2212	89.459	collide	missile_0	fortress	FortressShot	0	GameEvent
2701	2019-12-06 16:11:59	D05P1	HA2212	89.792	press	fire	None	Press	0	Press
2720	2019-12-06 16:11:59	D05P1	HA2212	90.192	collide	missile_0	fortress	FortressShot	0	GameEvent
2731	2019-12-06 16:11:59	D05P1	HA2212	90.493	press	fire	None	Press	0	Press
2747	2019-12-06 16:11:59	D05P1	HA2212	90.926	collide	missile_0	fortress	FortressShot	0	GameEvent
2760	2019-12-06 16:11:59	D05P1	HA2212	91.226	press	pnts	None	Press	0	Press
2762	2019-12-06 16:11:59	D05P1	HA2212	91.226	pnts_bonus_failure	None	None	BonusFailure	-50	Bonus
2779	2019-12-06 16:11:59	D05P1	HA2212	91.659	press	fire	None	Press	0	Press
2800	2019-12-06 16:11:59	D05P1	HA2212	92.181	new_mine	friend	None	NewMine	0	GameEvent
2801	2019-12-06 16:11:59	D05P1	HA2212	92.193	press	right	None	Press	0	Press
2815	2019-12-06 16:11:59	D05P1	HA2212	92.46	press	fire	None	Press	0	Press
2834	2019-12-06 16:11:59	D05P1	HA2212	92.992	collide	missile_1	fortress	FortressShot	0	GameEvent
2840	2019-12-06 16:11:59	D05P1	HA2212	93.16	press	fire	None	Press	0	Press
2854	2019-12-06 16:11:59	D05P1	HA2212	93.392	press	left	None	Press	0	Press
2867	2019-12-06 16:11:59	D05P1	HA2212	93.726	collide	missile_0	fortress	FortressShot	0	GameEvent
2875	2019-12-06 16:11:59	D05P1	HA2212	93.925	press	left	None	Press	0	Press
2895	2019-12-06 16:11:59	D05P1	HA2212	94.392	press	fire	None	Press	0	Press
2907	2019-12-06 16:11:59	D05P1	HA2212	94.693	press	right	None	Press	0	Press
2909	2019-12-06 16:11:59	D05P1	HA2212	94.693	collide	friend_mine	None	FriendMineDestruction	50	Mine
2926	2019-12-06 16:11:59	D05P1	HA2212	95.059	press	right	None	Press	0	Press
2933	2019-12-06 16:11:59	D05P1	HA2212	95.226	press	right	None	Press	0	Press
2946	2019-12-06 16:11:59	D05P1	HA2212	95.459	press	right	None	Press	0	Press
2953	2019-12-06 16:11:59	D05P1	HA2212	95.626	press	right	None	Press	0	Press
2966	2019-12-06 16:11:59	D05P1	HA2212	95.959	press	fire	None	Press	0	Press
2996	2019-12-06 16:11:59	D05P1	HA2212	96.726	press	right	None	Press	0	Press
2998	2019-12-06 16:11:59	D05P1	HA2212	96.726	collide	missile_0	fortress	FortressShot	0	GameEvent
3007	2019-12-06 16:11:59	D05P1	HA2212	96.96	press	fire	None	Press	0	Press
3026	2019-12-06 16:11:59	D05P1	HA2212	97.359	bonus_available	None	None	NewBonus	0	GameEvent
