Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1399	2018-06-05 17:06:39	D02P1	HI0310	46.239	press	thrust	None	Press	0	Press
1413	2018-06-05 17:06:39	D02P1	HI0310	46.639	press	right	None	Press	0	Press
1415	2018-06-05 17:06:39	D02P1	HI0310	46.672	press	thrust	None	Press	0	Press
1424	2018-06-05 17:06:39	D02P1	HI0310	46.838	press	thrust	None	Press	0	Press
1428	2018-06-05 17:06:39	D02P1	HI0310	46.906	press	thrust	None	Press	0	Press
1429	2018-06-05 17:06:39	D02P1	HI0310	46.906	press	right	None	Press	0	Press
1460	2018-06-05 17:06:39	D02P1	HI0310	47.705	press	thrust	None	Press	0	Press
1462	2018-06-05 17:06:39	D02P1	HI0310	47.739	press	right	None	Press	0	Press
1469	2018-06-05 17:06:39	D02P1	HI0310	47.905	press	fire	None	Press	0	Press
1489	2018-06-05 17:06:39	D02P1	HI0310	48.339	collide	missile_0	fortress	FortressShot	0	GameEvent
1495	2018-06-05 17:06:39	D02P1	HI0310	48.505	press	left	None	Press	0	Press
1508	2018-06-05 17:06:39	D02P1	HI0310	48.872	press	right	None	Press	0	Press
1535	2018-06-05 17:06:39	D02P1	HI0310	49.572	press	right	None	Press	0	Press
1554	2018-06-05 17:06:39	D02P1	HI0310	50.055	new_mine	friend	None	NewMine	0	GameEvent
1571	2018-06-05 17:06:39	D02P1	HI0310	50.472	press	fire	None	Press	0	Press
1585	2018-06-05 17:06:39	D02P1	HI0310	50.839	press	left	None	Press	0	Press
1613	2018-06-05 17:06:39	D02P1	HI0310	51.572	press	right	None	Press	0	Press
1620	2018-06-05 17:06:39	D02P1	HI0310	51.739	collide	mine_0	ship	ShipDamage	-50	Flight
1640	2018-06-05 17:06:39	D02P1	HI0310	52.205	press	right	None	Press	0	Press
1666	2018-06-05 17:06:39	D02P1	HI0310	52.972	press	right	None	Press	0	Press
1685	2018-06-05 17:06:39	D02P1	HI0310	53.438	press	right	None	Press	0	Press
1697	2018-06-05 17:06:39	D02P1	HI0310	53.739	press	fire	None	Press	0	Press
1718	2018-06-05 17:06:39	D02P1	HI0310	54.272	press	left	None	Press	0	Press
1746	2018-06-05 17:06:39	D02P1	HI0310	55.105	press	right	None	Press	0	Press
1773	2018-06-05 17:06:39	D02P1	HI0310	55.805	press	left	None	Press	0	Press
1793	2018-06-05 17:06:39	D02P1	HI0310	56.272	press	right	None	Press	0	Press
1813	2018-06-05 17:06:39	D02P1	HI0310	56.819	new_mine	friend	None	NewMine	0	GameEvent
1821	2018-06-05 17:06:39	D02P1	HI0310	57.039	press	fire	None	Press	0	Press
1841	2018-06-05 17:06:39	D02P1	HI0310	57.473	collide	missile_0	fortress	FortressShot	0	GameEvent
1863	2018-06-05 17:06:39	D02P1	HI0310	58.138	press	left	None	Press	0	Press
1898	2018-06-05 17:06:39	D02P1	HI0310	59.138	press	fire	None	Press	0	Press
1920	2018-06-05 17:06:39	D02P1	HI0310	59.639	press	fire	None	Press	0	Press
1932	2018-06-05 17:06:39	D02P1	HI0310	59.872	collide	friend_mine	None	FriendMineDestruction	50	Mine
1944	2018-06-05 17:06:39	D02P1	HI0310	60.105	press	left	None	Press	0	Press
1973	2018-06-05 17:06:39	D02P1	HI0310	60.839	press	left	None	Press	0	Press
1982	2018-06-05 17:06:39	D02P1	HI0310	61.072	press	fire	None	Press	0	Press
2032	2018-06-05 17:06:39	D02P1	HI0310	62.406	press	left	None	Press	0	Press
2055	2018-06-05 17:06:39	D02P1	HI0310	63.038	press	left	None	Press	0	Press
2066	2018-06-05 17:06:39	D02P1	HI0310	63.339	press	fire	None	Press	0	Press
2084	2018-06-05 17:06:39	D02P1	HI0310	63.739	collide	missile_0	fortress	FortressShot	0	GameEvent
2089	2018-06-05 17:06:39	D02P1	HI0310	63.873	press	right	None	Press	0	Press
2120	2018-06-05 17:06:39	D02P1	HI0310	64.705	press	left	None	Press	0	Press
2131	2018-06-05 17:06:39	D02P1	HI0310	64.956	new_mine	friend	None	NewMine	0	GameEvent
2168	2018-06-05 17:06:39	D02P1	HI0310	66.038	press	left	None	Press	0	Press
2177	2018-06-05 17:06:39	D02P1	HI0310	66.272	press	fire	None	Press	0	Press
2196	2018-06-05 17:06:39	D02P1	HI0310	66.739	press	right	None	Press	0	Press
2198	2018-06-05 17:06:39	D02P1	HI0310	66.739	collide	missile_0	fortress	FortressShot	0	GameEvent
2220	2018-06-05 17:06:39	D02P1	HI0310	67.372	press	left	None	Press	0	Press
2254	2018-06-05 17:06:39	D02P1	HI0310	68.34	press	fire	None	Press	0	Press
