Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
641	2021-03-02 14:52:44	D02P2	JA2904	21.426	press	thrust	None	Press	0	Press
654	2021-03-02 14:52:44	D02P2	JA2904	21.76	press	right	None	Press	0	Press
682	2021-03-02 14:52:44	D02P2	JA2904	22.493	press	fire	None	Press	0	Press
702	2021-03-02 14:52:44	D02P2	JA2904	22.893	collide	missile_0	fortress	FortressShot	0	GameEvent
705	2021-03-02 14:52:44	D02P2	JA2904	22.96	press	right	None	Press	0	Press
719	2021-03-02 14:52:44	D02P2	JA2904	23.359	press	fire	None	Press	0	Press
737	2021-03-02 14:52:44	D02P2	JA2904	23.827	collide	missile_0	fortress	FortressShot	0	GameEvent
751	2021-03-02 14:52:44	D02P2	JA2904	24.126	press	right	None	Press	0	Press
767	2021-03-02 14:52:44	D02P2	JA2904	24.593	press	left	None	Press	0	Press
786	2021-03-02 14:52:44	D02P2	JA2904	24.993	press	fire	None	Press	0	Press
797	2021-03-02 14:52:44	D02P2	JA2904	25.294	press	right	None	Press	0	Press
800	2021-03-02 14:52:44	D02P2	JA2904	25.36	press	thrust	None	Press	0	Press
820	2021-03-02 14:52:44	D02P2	JA2904	25.828	new_mine	friend	None	NewMine	0	GameEvent
837	2021-03-02 14:52:44	D02P2	JA2904	26.26	press	left	None	Press	0	Press
850	2021-03-02 14:52:44	D02P2	JA2904	26.626	press	fire	None	Press	0	Press
862	2021-03-02 14:52:44	D02P2	JA2904	26.86	collide	friend_mine	None	FriendMineDestruction	50	Mine
870	2021-03-02 14:52:44	D02P2	JA2904	26.96	collide	shell	2	ShipDamage	-50	Flight
894	2021-03-02 14:52:44	D02P2	JA2904	27.527	press	fire	None	Press	0	Press
907	2021-03-02 14:52:44	D02P2	JA2904	27.826	press	left	None	Press	0	Press
918	2021-03-02 14:52:44	D02P2	JA2904	28.026	press	right	None	Press	0	Press
921	2021-03-02 14:52:44	D02P2	JA2904	28.06	collide	missile_0	fortress	FortressShot	0	GameEvent
925	2021-03-02 14:52:44	D02P2	JA2904	28.161	press	thrust	None	Press	0	Press
986	2021-03-02 14:52:44	D02P2	JA2904	29.927	press	right	None	Press	0	Press
1006	2021-03-02 14:52:44	D02P2	JA2904	30.46	press	thrust	None	Press	0	Press
1022	2021-03-02 14:52:44	D02P2	JA2904	30.926	press	right	None	Press	0	Press
1043	2021-03-02 14:52:44	D02P2	JA2904	31.326	press	right	None	Press	0	Press
1066	2021-03-02 14:52:44	D02P2	JA2904	31.96	press	fire	None	Press	0	Press
1068	2021-03-02 14:52:44	D02P2	JA2904	31.962	new_mine	friend	None	NewMine	0	GameEvent
