Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1508	2021-04-22 12:25:44	D04P2	JK1002	50.132	press	right	None	Press	0	Press
1518	2021-04-22 12:25:44	D04P2	JK1002	50.399	press	thrust	None	Press	0	Press
1527	2021-04-22 12:25:44	D04P2	JK1002	50.631	press	right	None	Press	0	Press
1538	2021-04-22 12:25:44	D04P2	JK1002	50.865	press	right	None	Press	0	Press
1548	2021-04-22 12:25:44	D04P2	JK1002	51.032	press	right	None	Press	0	Press
1556	2021-04-22 12:25:44	D04P2	JK1002	51.232	press	right	None	Press	0	Press
1560	2021-04-22 12:25:44	D04P2	JK1002	51.299	press	iff	None	Press	0	Press
1568	2021-04-22 12:25:44	D04P2	JK1002	51.498	press	right	None	Press	0	Press
1578	2021-04-22 12:25:44	D04P2	JK1002	51.732	press	right	None	Press	0	Press
1601	2021-04-22 12:25:44	D04P2	JK1002	52.299	press	right	None	Press	0	Press
1609	2021-04-22 12:25:44	D04P2	JK1002	52.466	press	fire	None	Press	0	Press
1622	2021-04-22 12:25:44	D04P2	JK1002	52.799	collide	missile_0	fortress	FortressShot	0	GameEvent
1624	2021-04-22 12:25:44	D04P2	JK1002	52.799	bonus_available	None	None	NewBonus	0	GameEvent
1625	2021-04-22 12:25:44	D04P2	JK1002	52.832	press	right	None	Press	0	Press
1636	2021-04-22 12:25:44	D04P2	JK1002	52.999	press	fire	None	Press	0	Press
1651	2021-04-22 12:25:44	D04P2	JK1002	53.365	collide	missile_0	fortress	FortressShot	0	GameEvent
1660	2021-04-22 12:25:44	D04P2	JK1002	53.631	press	thrust	None	Press	0	Press
1668	2021-04-22 12:25:44	D04P2	JK1002	53.832	press	fire	None	Press	0	Press
1686	2021-04-22 12:25:44	D04P2	JK1002	54.165	collide	missile_0	fortress	FortressShot	0	GameEvent
1691	2021-04-22 12:25:44	D04P2	JK1002	54.299	press	pnts	None	Press	0	Press
1693	2021-04-22 12:25:44	D04P2	JK1002	54.299	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1702	2021-04-22 12:25:44	D04P2	JK1002	54.531	press	fire	None	Press	0	Press
1716	2021-04-22 12:25:44	D04P2	JK1002	54.865	collide	missile_0	fortress	FortressShot	0	GameEvent
1724	2021-04-22 12:25:44	D04P2	JK1002	54.967	new_mine	friend	None	NewMine	0	GameEvent
1725	2021-04-22 12:25:44	D04P2	JK1002	54.999	press	right	None	Press	0	Press
1734	2021-04-22 12:25:44	D04P2	JK1002	55.132	press	fire	None	Press	0	Press
1746	2021-04-22 12:25:44	D04P2	JK1002	55.432	collide	missile_0	fortress	FortressShot	0	GameEvent
1749	2021-04-22 12:25:44	D04P2	JK1002	55.498	press	right	None	Press	0	Press
1756	2021-04-22 12:25:44	D04P2	JK1002	55.666	press	fire	None	Press	0	Press
1769	2021-04-22 12:25:44	D04P2	JK1002	55.931	collide	missile_0	fortress	FortressShot	0	GameEvent
1777	2021-04-22 12:25:44	D04P2	JK1002	56.064	press	right	None	Press	0	Press
1784	2021-04-22 12:25:44	D04P2	JK1002	56.198	press	fire	None	Press	0	Press
1795	2021-04-22 12:25:44	D04P2	JK1002	56.465	collide	missile_0	fortress	FortressShot	0	GameEvent
1799	2021-04-22 12:25:44	D04P2	JK1002	56.565	press	right	None	Press	0	Press
1805	2021-04-22 12:25:44	D04P2	JK1002	56.7	press	fire	None	Press	0	Press
1818	2021-04-22 12:25:44	D04P2	JK1002	56.965	collide	missile_0	fortress	FortressShot	0	GameEvent
1819	2021-04-22 12:25:44	D04P2	JK1002	56.998	press	right	None	Press	0	Press
1830	2021-04-22 12:25:44	D04P2	JK1002	57.166	press	fire	None	Press	0	Press
1841	2021-04-22 12:25:44	D04P2	JK1002	57.431	collide	missile_0	fortress	FortressShot	0	GameEvent
1844	2021-04-22 12:25:44	D04P2	JK1002	57.498	press	right	None	Press	0	Press
1849	2021-04-22 12:25:44	D04P2	JK1002	57.599	press	fire	None	Press	0	Press
1860	2021-04-22 12:25:44	D04P2	JK1002	57.865	collide	missile_0	fortress	FortressShot	0	GameEvent
1868	2021-04-22 12:25:44	D04P2	JK1002	58.066	press	fire	None	Press	0	Press
1877	2021-04-22 12:25:44	D04P2	JK1002	58.198	press	fire	None	Press	0	Press
1884	2021-04-22 12:25:44	D04P2	JK1002	58.331	collide	missile_0	fortress	FortressShot	0	GameEvent
1890	2021-04-22 12:25:44	D04P2	JK1002	58.465	collide	missile_0	fortress	FortressShot	0	GameEvent
1892	2021-04-22 12:25:44	D04P2	JK1002	58.499	destroyed	fortress	None	FortressDestruction	250	Fortress
1899	2021-04-22 12:25:44	D04P2	JK1002	58.631	press	right	None	Press	0	Press
1911	2021-04-22 12:25:44	D04P2	JK1002	58.965	press	left	None	Press	0	Press
1931	2021-04-22 12:25:44	D04P2	JK1002	59.398	collide	mine_0	ship	ShipDamage	-50	Flight
1935	2021-04-22 12:25:44	D04P2	JK1002	59.465	press	right	None	Press	0	Press
1949	2021-04-22 12:25:44	D04P2	JK1002	59.831	press	right	None	Press	0	Press
1956	2021-04-22 12:25:44	D04P2	JK1002	59.999	press	thrust	None	Press	0	Press
1970	2021-04-22 12:25:44	D04P2	JK1002	60.198	bonus_available	None	None	NewBonus	0	GameEvent
1971	2021-04-22 12:25:44	D04P2	JK1002	60.232	press	fire	None	Press	0	Press
1985	2021-04-22 12:25:44	D04P2	JK1002	60.565	collide	missile_0	fortress	FortressShot	0	GameEvent
1994	2021-04-22 12:25:44	D04P2	JK1002	60.798	press	fire	None	Press	0	Press
2007	2021-04-22 12:25:44	D04P2	JK1002	61.099	collide	missile_0	fortress	FortressShot	0	GameEvent
2017	2021-04-22 12:25:44	D04P2	JK1002	61.299	press	fire	None	Press	0	Press
2030	2021-04-22 12:25:44	D04P2	JK1002	61.598	collide	missile_0	fortress	FortressShot	0	GameEvent
2033	2021-04-22 12:25:44	D04P2	JK1002	61.666	press	right	None	Press	0	Press
2040	2021-04-22 12:25:44	D04P2	JK1002	61.831	press	fire	None	Press	0	Press
2052	2021-04-22 12:25:44	D04P2	JK1002	62.132	collide	missile_0	fortress	FortressShot	0	GameEvent
2056	2021-04-22 12:25:44	D04P2	JK1002	62.166	press	right	None	Press	0	Press
2066	2021-04-22 12:25:44	D04P2	JK1002	62.365	press	fire	None	Press	0	Press
2080	2021-04-22 12:25:44	D04P2	JK1002	62.698	collide	missile_0	fortress	FortressShot	0	GameEvent
2081	2021-04-22 12:25:44	D04P2	JK1002	62.731	press	right	None	Press	0	Press
2089	2021-04-22 12:25:44	D04P2	JK1002	62.899	press	fire	None	Press	0	Press
2105	2021-04-22 12:25:44	D04P2	JK1002	63.232	collide	missile_0	fortress	FortressShot	0	GameEvent
2108	2021-04-22 12:25:44	D04P2	JK1002	63.299	press	right	None	Press	0	Press
2116	2021-04-22 12:25:44	D04P2	JK1002	63.465	press	fire	None	Press	0	Press
2130	2021-04-22 12:25:44	D04P2	JK1002	63.8	collide	missile_0	fortress	FortressShot	0	GameEvent
2133	2021-04-22 12:25:44	D04P2	JK1002	63.864	press	right	None	Press	0	Press
2142	2021-04-22 12:25:44	D04P2	JK1002	64.065	press	fire	None	Press	0	Press
2159	2021-04-22 12:25:44	D04P2	JK1002	64.365	bonus_available	None	None	NewBonus	0	GameEvent
2164	2021-04-22 12:25:44	D04P2	JK1002	64.468	new_mine	friend	None	NewMine	0	GameEvent
2169	2021-04-22 12:25:44	D04P2	JK1002	64.631	press	fire	None	Press	0	Press
2185	2021-04-22 12:25:44	D04P2	JK1002	65.032	collide	missile_1	fortress	FortressShot	0	GameEvent
2203	2021-04-22 12:25:44	D04P2	JK1002	65.466	press	pnts	None	Press	0	Press
2205	2021-04-22 12:25:44	D04P2	JK1002	65.466	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
2214	2021-04-22 12:25:44	D04P2	JK1002	65.665	press	fire	None	Press	0	Press
2231	2021-04-22 12:25:44	D04P2	JK1002	66.065	collide	missile_0	fortress	FortressShot	0	GameEvent
2236	2021-04-22 12:25:44	D04P2	JK1002	66.198	press	fire	None	Press	0	Press
2256	2021-04-22 12:25:44	D04P2	JK1002	66.631	collide	missile_0	fortress	FortressShot	0	GameEvent
2259	2021-04-22 12:25:44	D04P2	JK1002	66.699	press	fire	None	Press	0	Press
2269	2021-04-22 12:25:44	D04P2	JK1002	66.931	press	right	None	Press	0	Press
2279	2021-04-22 12:25:44	D04P2	JK1002	67.132	collide	missile_0	fortress	FortressShot	0	GameEvent
2282	2021-04-22 12:25:44	D04P2	JK1002	67.199	press	fire	None	Press	0	Press
2291	2021-04-22 12:25:44	D04P2	JK1002	67.331	press	fire	None	Press	0	Press
2306	2021-04-22 12:25:44	D04P2	JK1002	67.698	collide	missile_0	fortress	FortressShot	0	GameEvent
2313	2021-04-22 12:25:44	D04P2	JK1002	67.832	collide	missile_0	fortress	FortressShot	0	GameEvent
2315	2021-04-22 12:25:44	D04P2	JK1002	67.865	destroyed	fortress	None	FortressDestruction	250	Fortress
2326	2021-04-22 12:25:44	D04P2	JK1002	68.131	press	right	None	Press	0	Press
2357	2021-04-22 12:25:44	D04P2	JK1002	68.965	press	left	None	Press	0	Press
2363	2021-04-22 12:25:44	D04P2	JK1002	69.099	press	fire	None	Press	0	Press
2388	2021-04-22 12:25:44	D04P2	JK1002	69.699	press	right	None	Press	0	Press
2394	2021-04-22 12:25:44	D04P2	JK1002	69.832	press	fire	None	Press	0	Press
2409	2021-04-22 12:25:44	D04P2	JK1002	70.132	collide	friend_mine	None	FriendMineDestruction	50	Mine
2417	2021-04-22 12:25:44	D04P2	JK1002	70.264	press	left	None	Press	0	Press
2430	2021-04-22 12:25:44	D04P2	JK1002	70.532	press	thrust	None	Press	0	Press
2444	2021-04-22 12:25:44	D04P2	JK1002	70.865	press	left	None	Press	0	Press
2454	2021-04-22 12:25:44	D04P2	JK1002	71.098	press	left	None	Press	0	Press
2466	2021-04-22 12:25:44	D04P2	JK1002	71.299	press	thrust	None	Press	0	Press
2480	2021-04-22 12:25:44	D04P2	JK1002	71.666	press	right	None	Press	0	Press
2489	2021-04-22 12:25:44	D04P2	JK1002	71.865	press	right	None	Press	0	Press
2496	2021-04-22 12:25:44	D04P2	JK1002	71.999	press	fire	None	Press	0	Press
2516	2021-04-22 12:25:44	D04P2	JK1002	72.465	press	right	None	Press	0	Press
2522	2021-04-22 12:25:44	D04P2	JK1002	72.599	press	fire	None	Press	0	Press
2543	2021-04-22 12:25:44	D04P2	JK1002	73.164	collide	missile_1	fortress	FortressShot	0	GameEvent
2553	2021-04-22 12:25:44	D04P2	JK1002	73.299	press	fire	None	Press	0	Press
2570	2021-04-22 12:25:44	D04P2	JK1002	73.798	press	right	None	Press	0	Press
2572	2021-04-22 12:25:44	D04P2	JK1002	73.798	collide	missile_1	fortress	FortressShot	0	GameEvent
2581	2021-04-22 12:25:44	D04P2	JK1002	73.967	press	fire	None	Press	0	Press
2603	2021-04-22 12:25:44	D04P2	JK1002	74.432	collide	missile_0	fortress	FortressShot	0	GameEvent
2610	2021-04-22 12:25:44	D04P2	JK1002	74.631	press	fire	None	Press	0	Press
2626	2021-04-22 12:25:44	D04P2	JK1002	75.064	press	right	None	Press	0	Press
2628	2021-04-22 12:25:44	D04P2	JK1002	75.065	collide	missile_0	fortress	FortressShot	0	GameEvent
2638	2021-04-22 12:25:44	D04P2	JK1002	75.233	new_mine	foe	None	NewMine	0	GameEvent
2646	2021-04-22 12:25:44	D04P2	JK1002	75.365	press	fire	None	Press	0	Press
2664	2021-04-22 12:25:44	D04P2	JK1002	75.864	press	left	None	Press	0	Press
2669	2021-04-22 12:25:44	D04P2	JK1002	75.931	press	fire	None	Press	0	Press
2685	2021-04-22 12:25:44	D04P2	JK1002	76.331	collide	missile_1	fortress	FortressShot	0	GameEvent
2696	2021-04-22 12:25:44	D04P2	JK1002	76.532	press	fire	None	Press	0	Press
2710	2021-04-22 12:25:44	D04P2	JK1002	76.899	collide	missile_1	fortress	FortressShot	0	GameEvent
2722	2021-04-22 12:25:44	D04P2	JK1002	77.198	press	left	None	Press	0	Press
2740	2021-04-22 12:25:44	D04P2	JK1002	77.565	press	iff	None	Press	0	Press
2747	2021-04-22 12:25:44	D04P2	JK1002	77.699	press	iff	None	Press	0	Press
2754	2021-04-22 12:25:44	D04P2	JK1002	77.831	press	left	None	Press	0	Press
2765	2021-04-22 12:25:44	D04P2	JK1002	78.065	press	right	None	Press	0	Press
2785	2021-04-22 12:25:44	D04P2	JK1002	78.531	press	fire	None	Press	0	Press
2799	2021-04-22 12:25:44	D04P2	JK1002	78.865	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
2807	2021-04-22 12:25:44	D04P2	JK1002	78.999	press	right	None	Press	0	Press
2813	2021-04-22 12:25:44	D04P2	JK1002	79.131	press	fire	None	Press	0	Press
2833	2021-04-22 12:25:44	D04P2	JK1002	79.532	press	right	None	Press	0	Press
2840	2021-04-22 12:25:44	D04P2	JK1002	79.699	press	fire	None	Press	0	Press
2855	2021-04-22 12:25:44	D04P2	JK1002	80.066	collide	missile_1	fortress	FortressShot	0	GameEvent
2865	2021-04-22 12:25:44	D04P2	JK1002	80.331	press	fire	None	Press	0	Press
2881	2021-04-22 12:25:44	D04P2	JK1002	80.7	press	right	None	Press	0	Press
2885	2021-04-22 12:25:44	D04P2	JK1002	80.733	collide	missile_1	fortress	FortressShot	0	GameEvent
2890	2021-04-22 12:25:44	D04P2	JK1002	80.865	press	fire	None	Press	0	Press
2906	2021-04-22 12:25:44	D04P2	JK1002	81.267	press	right	None	Press	0	Press
2908	2021-04-22 12:25:44	D04P2	JK1002	81.267	collide	missile_0	fortress	FortressShot	0	GameEvent
2920	2021-04-22 12:25:44	D04P2	JK1002	81.498	press	fire	None	Press	0	Press
2929	2021-04-22 12:25:44	D04P2	JK1002	81.699	press	fire	None	Press	0	Press
2962	2021-04-22 12:25:44	D04P2	JK1002	82.598	press	fire	None	Press	0	Press
