Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
16472	2019-11-05 08:26:54	D02P1	JM1704	549.057	press	thrust	None	Press	0	Press
16488	2019-11-05 08:26:54	D02P1	JM1704	549.423	press	thrust	None	Press	0	Press
16501	2019-11-05 08:26:54	D02P1	JM1704	549.791	press	right	None	Press	0	Press
16532	2019-11-05 08:26:54	D02P1	JM1704	550.623	press	right	None	Press	0	Press
16545	2019-11-05 08:26:54	D02P1	JM1704	550.956	press	fire	None	Press	0	Press
16567	2019-11-05 08:26:54	D02P1	JM1704	551.49	press	right	None	Press	0	Press
16570	2019-11-05 08:26:54	D02P1	JM1704	551.501	collide	missile_0	fortress	FortressShot	0	GameEvent
16578	2019-11-05 08:26:54	D02P1	JM1704	551.689	press	thrust	None	Press	0	Press
16583	2019-11-05 08:26:54	D02P1	JM1704	551.822	press	left	None	Press	0	Press
16591	2019-11-05 08:26:54	D02P1	JM1704	552.025	press	thrust	None	Press	0	Press
16626	2019-11-05 08:26:54	D02P1	JM1704	552.957	press	right	None	Press	0	Press
16641	2019-11-05 08:26:54	D02P1	JM1704	553.247	new_mine	friend	None	NewMine	0	GameEvent
16646	2019-11-05 08:26:54	D02P1	JM1704	553.323	press	fire	None	Press	0	Press
16658	2019-11-05 08:26:54	D02P1	JM1704	553.655	press	right	None	Press	0	Press
16667	2019-11-05 08:26:54	D02P1	JM1704	553.89	press	fire	None	Press	0	Press
16672	2019-11-05 08:26:54	D02P1	JM1704	553.956	collide	friend_mine	None	FriendMineDestruction	50	Mine
16691	2019-11-05 08:26:54	D02P1	JM1704	554.29	press	right	None	Press	0	Press
16717	2019-11-05 08:26:54	D02P1	JM1704	555.056	press	right	None	Press	0	Press
16727	2019-11-05 08:26:54	D02P1	JM1704	555.29	press	thrust	None	Press	0	Press
16753	2019-11-05 08:26:54	D02P1	JM1704	555.923	press	left	None	Press	0	Press
16772	2019-11-05 08:26:54	D02P1	JM1704	556.323	press	thrust	None	Press	0	Press
16792	2019-11-05 08:26:54	D02P1	JM1704	556.89	press	fire	None	Press	0	Press
16798	2019-11-05 08:26:54	D02P1	JM1704	557.024	press	right	None	Press	0	Press
16816	2019-11-05 08:26:54	D02P1	JM1704	557.422	press	left	None	Press	0	Press
