Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
13738	2018-06-06 14:30:14	D03P1	JP1711	457.666	press	thrust	None	Press	0	Press
13757	2018-06-06 14:30:14	D03P1	JP1711	458.099	press	right	None	Press	0	Press
13770	2018-06-06 14:30:14	D03P1	JP1711	458.432	press	right	None	Press	0	Press
13786	2018-06-06 14:30:14	D03P1	JP1711	458.899	press	right	None	Press	0	Press
13823	2018-06-06 14:30:14	D03P1	JP1711	459.833	bonus_available	None	None	NewBonus	0	GameEvent
13826	2018-06-06 14:30:14	D03P1	JP1711	459.932	press	fire	None	Press	0	Press
13835	2018-06-06 14:30:14	D03P1	JP1711	460.066	press	right	None	Press	0	Press
13873	2018-06-06 14:30:14	D03P1	JP1711	461.099	press	shots	None	Press	0	Press
13875	2018-06-06 14:30:14	D03P1	JP1711	461.099	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
13883	2018-06-06 14:30:14	D03P1	JP1711	461.233	press	right	None	Press	0	Press
13889	2018-06-06 14:30:14	D03P1	JP1711	461.365	press	left	None	Press	0	Press
13902	2018-06-06 14:30:14	D03P1	JP1711	461.766	press	thrust	None	Press	0	Press
13915	2018-06-06 14:30:14	D03P1	JP1711	462.015	new_mine	friend	None	NewMine	0	GameEvent
13953	2018-06-06 14:30:14	D03P1	JP1711	463.033	press	right	None	Press	0	Press
13973	2018-06-06 14:30:14	D03P1	JP1711	463.5	press	right	None	Press	0	Press
13997	2018-06-06 14:30:14	D03P1	JP1711	464.132	press	right	None	Press	0	Press
14010	2018-06-06 14:30:14	D03P1	JP1711	464.432	press	right	None	Press	0	Press
14026	2018-06-06 14:30:14	D03P1	JP1711	464.866	press	right	None	Press	0	Press
14046	2018-06-06 14:30:14	D03P1	JP1711	465.333	press	iff	None	Press	0	Press
14053	2018-06-06 14:30:14	D03P1	JP1711	465.465	press	iff	None	Press	0	Press
14071	2018-06-06 14:30:14	D03P1	JP1711	465.932	press	right	None	Press	0	Press
14088	2018-06-06 14:30:14	D03P1	JP1711	466.332	press	left	None	Press	0	Press
14091	2018-06-06 14:30:14	D03P1	JP1711	466.4	press	fire	None	Press	0	Press
14114	2018-06-06 14:30:14	D03P1	JP1711	466.999	press	thrust	None	Press	0	Press
14126	2018-06-06 14:30:14	D03P1	JP1711	467.2	bonus_available	None	None	NewBonus	0	GameEvent
