Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
279	2021-03-02 16:24:05	D02P1	JT0601	9.101	press	thrust	None	Press	0	Press
304	2021-03-02 16:24:05	D02P1	JT0601	9.734	press	right	None	Press	0	Press
339	2021-03-02 16:24:05	D02P1	JT0601	10.668	press	iff	None	Press	0	Press
360	2021-03-02 16:24:05	D02P1	JT0601	11.267	press	thrust	None	Press	0	Press
365	2021-03-02 16:24:05	D02P1	JT0601	11.334	bonus_available	None	None	NewBonus	0	GameEvent
370	2021-03-02 16:24:05	D02P1	JT0601	11.502	press	left	None	Press	0	Press
387	2021-03-02 16:24:05	D02P1	JT0601	11.867	press	left	None	Press	0	Press
393	2021-03-02 16:24:05	D02P1	JT0601	12.001	press	thrust	None	Press	0	Press
403	2021-03-02 16:24:05	D02P1	JT0601	12.302	press	right	None	Press	0	Press
429	2021-03-02 16:24:05	D02P1	JT0601	12.901	warp	up	None	BorderCrossing	-35	Flight
436	2021-03-02 16:24:05	D02P1	JT0601	13.069	press	left	None	Press	0	Press
456	2021-03-02 16:24:05	D02P1	JT0601	13.503	new_mine	foe	None	NewMine	0	GameEvent
464	2021-03-02 16:24:05	D02P1	JT0601	13.669	press	left	None	Press	0	Press
497	2021-03-02 16:24:05	D02P1	JT0601	14.567	press	left	None	Press	0	Press
519	2021-03-02 16:24:05	D02P1	JT0601	15.201	press	fire	None	Press	0	Press
528	2021-03-02 16:24:05	D02P1	JT0601	15.434	press	iff	None	Press	0	Press
535	2021-03-02 16:24:05	D02P1	JT0601	15.534	press	iff	None	Press	0	Press
544	2021-03-02 16:24:05	D02P1	JT0601	15.634	press	left	None	Press	0	Press
551	2021-03-02 16:24:05	D02P1	JT0601	15.801	collide	missile_0	fortress	FortressShot	0	GameEvent
565	2021-03-02 16:24:05	D02P1	JT0601	16.168	press	fire	None	Press	0	Press
584	2021-03-02 16:24:05	D02P1	JT0601	16.634	press	left	None	Press	0	Press
591	2021-03-02 16:24:05	D02P1	JT0601	16.802	press	fire	None	Press	0	Press
609	2021-03-02 16:24:05	D02P1	JT0601	17.301	press	right	None	Press	0	Press
615	2021-03-02 16:24:05	D02P1	JT0601	17.369	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
616	2021-03-02 16:24:05	D02P1	JT0601	17.401	press	thrust	None	Press	0	Press
622	2021-03-02 16:24:05	D02P1	JT0601	17.402	warp	right	None	BorderCrossing	-35	Flight
643	2021-03-02 16:24:05	D02P1	JT0601	17.835	press	left	None	Press	0	Press
676	2021-03-02 16:24:05	D02P1	JT0601	18.734	press	fire	None	Press	0	Press
689	2021-03-02 16:24:05	D02P1	JT0601	19.068	press	thrust	None	Press	0	Press
694	2021-03-02 16:24:05	D02P1	JT0601	19.202	press	left	None	Press	0	Press
716	2021-03-02 16:24:05	D02P1	JT0601	19.701	press	thrust	None	Press	0	Press
729	2021-03-02 16:24:05	D02P1	JT0601	20.068	press	right	None	Press	0	Press
747	2021-03-02 16:24:05	D02P1	JT0601	20.534	press	right	None	Press	0	Press
771	2021-03-02 16:24:05	D02P1	JT0601	21.135	press	fire	None	Press	0	Press
793	2021-03-02 16:24:05	D02P1	JT0601	21.634	press	thrust	None	Press	0	Press
808	2021-03-02 16:24:05	D02P1	JT0601	22.034	collide	missile_0	fortress	FortressShot	0	GameEvent
825	2021-03-02 16:24:05	D02P1	JT0601	22.47	new_mine	friend	None	NewMine	0	GameEvent
831	2021-03-02 16:24:05	D02P1	JT0601	22.634	press	right	None	Press	0	Press
854	2021-03-02 16:24:05	D02P1	JT0601	23.168	press	right	None	Press	0	Press
902	2021-03-02 16:24:05	D02P1	JT0601	24.534	press	fire	None	Press	0	Press
917	2021-03-02 16:24:05	D02P1	JT0601	24.834	press	right	None	Press	0	Press
934	2021-03-02 16:24:05	D02P1	JT0601	25.268	press	fire	None	Press	0	Press
959	2021-03-02 16:24:05	D02P1	JT0601	25.901	press	right	None	Press	0	Press
963	2021-03-02 16:24:05	D02P1	JT0601	25.968	press	fire	None	Press	0	Press
987	2021-03-02 16:24:05	D02P1	JT0601	26.534	warp	right	None	BorderCrossing	-35	Flight
988	2021-03-02 16:24:05	D02P1	JT0601	26.568	press	thrust	None	Press	0	Press
1015	2021-03-02 16:24:05	D02P1	JT0601	27.234	press	right	None	Press	0	Press
1032	2021-03-02 16:24:05	D02P1	JT0601	27.735	press	thrust	None	Press	0	Press
1075	2021-03-02 16:24:05	D02P1	JT0601	28.802	press	left	None	Press	0	Press
1082	2021-03-02 16:24:05	D02P1	JT0601	28.934	press	fire	None	Press	0	Press
1111	2021-03-02 16:24:05	D02P1	JT0601	29.768	collide	missile_0	fortress	FortressShot	0	GameEvent
1129	2021-03-02 16:24:05	D02P1	JT0601	30.201	bonus_available	None	None	NewBonus	0	GameEvent
1132	2021-03-02 16:24:05	D02P1	JT0601	30.301	press	left	None	Press	0	Press
1139	2021-03-02 16:24:05	D02P1	JT0601	30.468	press	fire	None	Press	0	Press
1158	2021-03-02 16:24:05	D02P1	JT0601	30.834	collide	friend_mine	None	FriendMineDestruction	50	Mine
1165	2021-03-02 16:24:05	D02P1	JT0601	30.934	press	fire	None	Press	0	Press
1186	2021-03-02 16:24:05	D02P1	JT0601	31.534	press	left	None	Press	0	Press
1202	2021-03-02 16:24:05	D02P1	JT0601	31.901	press	fire	None	Press	0	Press
1218	2021-03-02 16:24:05	D02P1	JT0601	32.335	press	left	None	Press	0	Press
1232	2021-03-02 16:24:05	D02P1	JT0601	32.668	press	fire	None	Press	0	Press
1251	2021-03-02 16:24:05	D02P1	JT0601	33.134	press	left	None	Press	0	Press
1262	2021-03-02 16:24:05	D02P1	JT0601	33.368	press	fire	None	Press	0	Press
1290	2021-03-02 16:24:05	D02P1	JT0601	34.068	press	thrust	None	Press	0	Press
1312	2021-03-02 16:24:05	D02P1	JT0601	34.602	press	left	None	Press	0	Press
1319	2021-03-02 16:24:05	D02P1	JT0601	34.768	press	fire	None	Press	0	Press
1335	2021-03-02 16:24:05	D02P1	JT0601	35.101	press	thrust	None	Press	0	Press
1367	2021-03-02 16:24:05	D02P1	JT0601	35.903	new_mine	foe	None	NewMine	0	GameEvent
1374	2021-03-02 16:24:05	D02P1	JT0601	36.134	press	right	None	Press	0	Press
1416	2021-03-02 16:24:05	D02P1	JT0601	37.234	press	left	None	Press	0	Press
1438	2021-03-02 16:24:05	D02P1	JT0601	37.835	press	iff	None	Press	0	Press
1448	2021-03-02 16:24:05	D02P1	JT0601	37.969	press	iff	None	Press	0	Press
1456	2021-03-02 16:24:05	D02P1	JT0601	38.134	press	left	None	Press	0	Press
1470	2021-03-02 16:24:05	D02P1	JT0601	38.501	press	fire	None	Press	0	Press
1477	2021-03-02 16:24:05	D02P1	JT0601	38.668	press	left	None	Press	0	Press
1484	2021-03-02 16:24:05	D02P1	JT0601	38.834	press	fire	None	Press	0	Press
1510	2021-03-02 16:24:05	D02P1	JT0601	39.434	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
