Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
423	2021-04-23 17:09:50	D05P2	KM0102	13.939	press	thrust	None	Press	0	Press
432	2021-04-23 17:09:50	D05P2	KM0102	14.206	press	right	None	Press	0	Press
444	2021-04-23 17:09:50	D05P2	KM0102	14.538	press	thrust	None	Press	0	Press
459	2021-04-23 17:09:50	D05P2	KM0102	14.94	press	right	None	Press	0	Press
476	2021-04-23 17:09:50	D05P2	KM0102	15.306	press	fire	None	Press	0	Press
477	2021-04-23 17:09:50	D05P2	KM0102	15.306	press	thrust	None	Press	0	Press
480	2021-04-23 17:09:50	D05P2	KM0102	15.373	press	right	None	Press	0	Press
492	2021-04-23 17:09:50	D05P2	KM0102	15.639	collide	missile_0	fortress	FortressShot	0	GameEvent
495	2021-04-23 17:09:50	D05P2	KM0102	15.706	press	fire	None	Press	0	Press
505	2021-04-23 17:09:50	D05P2	KM0102	15.973	press	right	None	Press	0	Press
507	2021-04-23 17:09:50	D05P2	KM0102	15.973	collide	missile_0	fortress	FortressShot	0	GameEvent
518	2021-04-23 17:09:50	D05P2	KM0102	16.106	press	fire	None	Press	0	Press
524	2021-04-23 17:09:50	D05P2	KM0102	16.239	press	left	None	Press	0	Press
525	2021-04-23 17:09:50	D05P2	KM0102	16.239	press	thrust	None	Press	0	Press
528	2021-04-23 17:09:50	D05P2	KM0102	16.273	collide	missile_0	fortress	FortressShot	0	GameEvent
539	2021-04-23 17:09:50	D05P2	KM0102	16.573	press	right	None	Press	0	Press
551	2021-04-23 17:09:50	D05P2	KM0102	16.839	bonus_available	None	None	NewBonus	0	GameEvent
552	2021-04-23 17:09:50	D05P2	KM0102	16.872	press	thrust	None	Press	0	Press
567	2021-04-23 17:09:50	D05P2	KM0102	17.239	press	fire	None	Press	0	Press
579	2021-04-23 17:09:50	D05P2	KM0102	17.54	press	right	None	Press	0	Press
587	2021-04-23 17:09:50	D05P2	KM0102	17.74	press	shots	None	Press	0	Press
589	2021-04-23 17:09:50	D05P2	KM0102	17.74	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
607	2021-04-23 17:09:50	D05P2	KM0102	18.106	press	thrust	None	Press	0	Press
608	2021-04-23 17:09:50	D05P2	KM0102	18.106	press	right	None	Press	0	Press
623	2021-04-23 17:09:50	D05P2	KM0102	18.506	press	fire	None	Press	0	Press
626	2021-04-23 17:09:50	D05P2	KM0102	18.573	press	right	None	Press	0	Press
639	2021-04-23 17:09:50	D05P2	KM0102	18.906	press	fire	None	Press	0	Press
647	2021-04-23 17:09:50	D05P2	KM0102	18.975	new_mine	foe	None	NewMine	0	GameEvent
661	2021-04-23 17:09:50	D05P2	KM0102	19.306	press	fire	None	Press	0	Press
668	2021-04-23 17:09:50	D05P2	KM0102	19.472	press	thrust	None	Press	0	Press
675	2021-04-23 17:09:50	D05P2	KM0102	19.672	press	fire	None	Press	0	Press
678	2021-04-23 17:09:50	D05P2	KM0102	19.706	collide	missile_2	fortress	FortressShot	0	GameEvent
685	2021-04-23 17:09:50	D05P2	KM0102	19.839	press	right	None	Press	0	Press
708	2021-04-23 17:09:50	D05P2	KM0102	20.406	press	iff	None	Press	0	Press
718	2021-04-23 17:09:50	D05P2	KM0102	20.573	press	iff	None	Press	0	Press
726	2021-04-23 17:09:50	D05P2	KM0102	20.739	press	right	None	Press	0	Press
732	2021-04-23 17:09:50	D05P2	KM0102	20.872	press	fire	None	Press	0	Press
738	2021-04-23 17:09:50	D05P2	KM0102	21.006	press	thrust	None	Press	0	Press
741	2021-04-23 17:09:50	D05P2	KM0102	21.073	press	left	None	Press	0	Press
748	2021-04-23 17:09:50	D05P2	KM0102	21.106	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
775	2021-04-23 17:09:50	D05P2	KM0102	21.806	press	left	None	Press	0	Press
784	2021-04-23 17:09:50	D05P2	KM0102	22.007	press	fire	None	Press	0	Press
793	2021-04-23 17:09:50	D05P2	KM0102	22.14	press	right	None	Press	0	Press
804	2021-04-23 17:09:50	D05P2	KM0102	22.406	press	thrust	None	Press	0	Press
811	2021-04-23 17:09:50	D05P2	KM0102	22.606	press	right	None	Press	0	Press
822	2021-04-23 17:09:50	D05P2	KM0102	22.872	press	right	None	Press	0	Press
830	2021-04-23 17:09:50	D05P2	KM0102	23.073	press	fire	None	Press	0	Press
839	2021-04-23 17:09:50	D05P2	KM0102	23.206	press	right	None	Press	0	Press
