Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
11673	2019-10-09 18:50:24	D03P1	LB0609	391.835	press	thrust	None	Press	0	Press
11685	2019-10-09 18:50:24	D03P1	LB0609	392.068	press	right	None	Press	0	Press
11698	2019-10-09 18:50:24	D03P1	LB0609	392.435	press	thrust	None	Press	0	Press
11706	2019-10-09 18:50:24	D03P1	LB0609	392.635	press	right	None	Press	0	Press
11725	2019-10-09 18:50:24	D03P1	LB0609	393.068	press	right	None	Press	0	Press
11733	2019-10-09 18:50:24	D03P1	LB0609	393.235	press	thrust	None	Press	0	Press
11742	2019-10-09 18:50:24	D03P1	LB0609	393.468	press	fire	None	Press	0	Press
11745	2019-10-09 18:50:24	D03P1	LB0609	393.534	press	right	None	Press	0	Press
11748	2019-10-09 18:50:24	D03P1	LB0609	393.567	press	thrust	None	Press	0	Press
11758	2019-10-09 18:50:24	D03P1	LB0609	393.8	press	fire	None	Press	0	Press
11761	2019-10-09 18:50:24	D03P1	LB0609	393.867	press	right	None	Press	0	Press
11763	2019-10-09 18:50:24	D03P1	LB0609	393.867	collide	missile_0	fortress	FortressShot	0	GameEvent
11768	2019-10-09 18:50:24	D03P1	LB0609	393.902	bonus_available	None	None	NewBonus	0	GameEvent
11779	2019-10-09 18:50:24	D03P1	LB0609	394.135	press	fire	None	Press	0	Press
11780	2019-10-09 18:50:24	D03P1	LB0609	394.135	press	right	None	Press	0	Press
11783	2019-10-09 18:50:24	D03P1	LB0609	394.168	collide	missile_0	fortress	FortressShot	0	GameEvent
11798	2019-10-09 18:50:24	D03P1	LB0609	394.535	collide	missile_0	fortress	FortressShot	0	GameEvent
11813	2019-10-09 18:50:24	D03P1	LB0609	395	press	pnts	None	Press	0	Press
11815	2019-10-09 18:50:24	D03P1	LB0609	395	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
11828	2019-10-09 18:50:24	D03P1	LB0609	395.235	press	right	None	Press	0	Press
11841	2019-10-09 18:50:24	D03P1	LB0609	395.568	press	fire	None	Press	0	Press
11843	2019-10-09 18:50:24	D03P1	LB0609	395.635	press	thrust	None	Press	0	Press
11857	2019-10-09 18:50:24	D03P1	LB0609	396.001	press	fire	None	Press	0	Press
11862	2019-10-09 18:50:24	D03P1	LB0609	396.052	new_mine	friend	None	NewMine	0	GameEvent
11872	2019-10-09 18:50:24	D03P1	LB0609	396.201	press	right	None	Press	0	Press
