Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
214	2021-03-09 09:59:46	D02P1	LD2501	6.812	press	thrust	None	Press	0	Press
244	2021-03-09 09:59:46	D02P1	LD2501	7.612	press	right	None	Press	0	Press
265	2021-03-09 09:59:46	D02P1	LD2501	8.245	press	thrust	None	Press	0	Press
272	2021-03-09 09:59:46	D02P1	LD2501	8.379	press	fire	None	Press	0	Press
275	2021-03-09 09:59:46	D02P1	LD2501	8.38	bonus_available	None	None	NewBonus	0	GameEvent
295	2021-03-09 09:59:46	D02P1	LD2501	8.879	collide	missile_0	fortress	FortressShot	0	GameEvent
296	2021-03-09 09:59:46	D02P1	LD2501	8.913	press	right	None	Press	0	Press
304	2021-03-09 09:59:46	D02P1	LD2501	9.112	press	thrust	None	Press	0	Press
319	2021-03-09 09:59:46	D02P1	LD2501	9.479	press	left	None	Press	0	Press
323	2021-03-09 09:59:46	D02P1	LD2501	9.547	press	left	None	Press	0	Press
328	2021-03-09 09:59:46	D02P1	LD2501	9.579	press	thrust	None	Press	0	Press
347	2021-03-09 09:59:46	D02P1	LD2501	10.078	press	fire	None	Press	0	Press
367	2021-03-09 09:59:46	D02P1	LD2501	10.545	press	thrust	None	Press	0	Press
369	2021-03-09 09:59:46	D02P1	LD2501	10.547	new_mine	friend	None	NewMine	0	GameEvent
373	2021-03-09 09:59:46	D02P1	LD2501	10.579	press	right	None	Press	0	Press
384	2021-03-09 09:59:46	D02P1	LD2501	10.879	press	left	None	Press	0	Press
399	2021-03-09 09:59:46	D02P1	LD2501	11.245	press	left	None	Press	0	Press
409	2021-03-09 09:59:46	D02P1	LD2501	11.479	press	thrust	None	Press	0	Press
422	2021-03-09 09:59:46	D02P1	LD2501	11.746	press	thrust	None	Press	0	Press
431	2021-03-09 09:59:46	D02P1	LD2501	11.946	press	right	None	Press	0	Press
439	2021-03-09 09:59:46	D02P1	LD2501	12.146	press	thrust	None	Press	0	Press
448	2021-03-09 09:59:46	D02P1	LD2501	12.314	press	fire	None	Press	0	Press
463	2021-03-09 09:59:46	D02P1	LD2501	12.645	press	left	None	Press	0	Press
469	2021-03-09 09:59:46	D02P1	LD2501	12.779	collide	mine_0	ship	ShipDamage	-50	Flight
483	2021-03-09 09:59:46	D02P1	LD2501	13.146	press	thrust	None	Press	0	Press
525	2021-03-09 09:59:46	D02P1	LD2501	14.278	press	fire	None	Press	0	Press
554	2021-03-09 09:59:46	D02P1	LD2501	15.046	press	fire	None	Press	0	Press
571	2021-03-09 09:59:46	D02P1	LD2501	15.513	collide	missile_1	fortress	FortressShot	0	GameEvent
575	2021-03-09 09:59:46	D02P1	LD2501	15.612	press	thrust	None	Press	0	Press
612	2021-03-09 09:59:46	D02P1	LD2501	16.545	press	right	None	Press	0	Press
616	2021-03-09 09:59:46	D02P1	LD2501	16.646	press	thrust	None	Press	0	Press
632	2021-03-09 09:59:46	D02P1	LD2501	17.012	press	left	None	Press	0	Press
657	2021-03-09 09:59:46	D02P1	LD2501	17.679	press	right	None	Press	0	Press
670	2021-03-09 09:59:46	D02P1	LD2501	17.881	new_mine	friend	None	NewMine	0	GameEvent
680	2021-03-09 09:59:46	D02P1	LD2501	18.179	press	fire	None	Press	0	Press
708	2021-03-09 09:59:46	D02P1	LD2501	18.879	collide	missile_0	fortress	FortressShot	0	GameEvent
731	2021-03-09 09:59:46	D02P1	LD2501	19.58	press	right	None	Press	0	Press
743	2021-03-09 09:59:46	D02P1	LD2501	19.779	press	fire	None	Press	0	Press
751	2021-03-09 09:59:46	D02P1	LD2501	19.912	bonus_available	None	None	NewBonus	0	GameEvent
758	2021-03-09 09:59:46	D02P1	LD2501	20.079	collide	friend_mine	None	FriendMineDestruction	50	Mine
781	2021-03-09 09:59:46	D02P1	LD2501	20.679	press	fire	None	Press	0	Press
812	2021-03-09 09:59:46	D02P1	LD2501	21.479	press	pnts	None	Press	0	Press
814	2021-03-09 09:59:46	D02P1	LD2501	21.479	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
830	2021-03-09 09:59:46	D02P1	LD2501	21.813	press	right	None	Press	0	Press
831	2021-03-09 09:59:46	D02P1	LD2501	21.813	press	thrust	None	Press	0	Press
