Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
364	2021-03-30 18:04:17	D02P2	LG0806	11.945	press	right	None	Press	0	Press
391	2021-03-30 18:04:17	D02P2	LG0806	12.611	press	fire	None	Press	0	Press
403	2021-03-30 18:04:17	D02P2	LG0806	12.944	press	left	None	Press	0	Press
406	2021-03-30 18:04:17	D02P2	LG0806	12.978	press	thrust	None	Press	0	Press
408	2021-03-30 18:04:17	D02P2	LG0806	12.979	collide	missile_0	fortress	FortressShot	0	GameEvent
425	2021-03-30 18:04:17	D02P2	LG0806	13.344	collide	shell	0	ShipDamage	-50	Flight
426	2021-03-30 18:04:17	D02P2	LG0806	13.378	press	left	None	Press	0	Press
445	2021-03-30 18:04:17	D02P2	LG0806	13.844	collide	shell	0	ShipDamage	-50	Flight
460	2021-03-30 18:04:17	D02P2	LG0806	14.211	bonus_available	None	None	NewBonus	0	GameEvent
487	2021-03-30 18:04:17	D02P2	LG0806	14.944	press	left	None	Press	0	Press
496	2021-03-30 18:04:17	D02P2	LG0806	15.179	press	shots	None	Press	0	Press
498	2021-03-30 18:04:17	D02P2	LG0806	15.179	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
513	2021-03-30 18:04:17	D02P2	LG0806	15.445	press	left	None	Press	0	Press
530	2021-03-30 18:04:17	D02P2	LG0806	15.911	press	fire	None	Press	0	Press
543	2021-03-30 18:04:17	D02P2	LG0806	16.278	press	right	None	Press	0	Press
549	2021-03-30 18:04:17	D02P2	LG0806	16.346	new_mine	foe	None	NewMine	0	GameEvent
563	2021-03-30 18:04:17	D02P2	LG0806	16.645	press	fire	None	Press	0	Press
583	2021-03-30 18:04:17	D02P2	LG0806	17.244	press	right	None	Press	0	Press
586	2021-03-30 18:04:17	D02P2	LG0806	17.246	collide	missile_1	fortress	FortressShot	0	GameEvent
612	2021-03-30 18:04:17	D02P2	LG0806	17.879	press	iff	None	Press	0	Press
619	2021-03-30 18:04:17	D02P2	LG0806	18.011	press	iff	None	Press	0	Press
627	2021-03-30 18:04:17	D02P2	LG0806	18.144	press	fire	None	Press	0	Press
644	2021-03-30 18:04:17	D02P2	LG0806	18.511	press	thrust	None	Press	0	Press
646	2021-03-30 18:04:17	D02P2	LG0806	18.511	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
670	2021-03-30 18:04:17	D02P2	LG0806	19.111	press	left	None	Press	0	Press
682	2021-03-30 18:04:17	D02P2	LG0806	19.411	press	left	None	Press	0	Press
712	2021-03-30 18:04:17	D02P2	LG0806	20.178	collide	shell	0	ShipDamage	-50	Flight
762	2021-03-30 18:04:17	D02P2	LG0806	21.511	press	fire	None	Press	0	Press
766	2021-03-30 18:04:17	D02P2	LG0806	21.545	bonus_available	None	None	NewBonus	0	GameEvent
