Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1329	2019-10-10 13:36:48	D04P2	LL0206	44.256	press	thrust	None	Press	0	Press
1341	2019-10-10 13:36:48	D04P2	LL0206	44.59	press	right	None	Press	0	Press
1370	2019-10-10 13:36:48	D04P2	LL0206	45.323	press	right	None	Press	0	Press
1376	2019-10-10 13:36:48	D04P2	LL0206	45.456	press	fire	None	Press	0	Press
1388	2019-10-10 13:36:48	D04P2	LL0206	45.789	press	right	None	Press	0	Press
1395	2019-10-10 13:36:48	D04P2	LL0206	45.889	collide	missile_0	fortress	FortressShot	0	GameEvent
1396	2019-10-10 13:36:48	D04P2	LL0206	45.922	press	fire	None	Press	0	Press
1417	2019-10-10 13:36:48	D04P2	LL0206	46.355	collide	missile_0	fortress	FortressShot	0	GameEvent
1421	2019-10-10 13:36:48	D04P2	LL0206	46.456	press	fire	None	Press	0	Press
1437	2019-10-10 13:36:48	D04P2	LL0206	46.923	press	right	None	Press	0	Press
1439	2019-10-10 13:36:48	D04P2	LL0206	46.923	collide	missile_0	fortress	FortressShot	0	GameEvent
1443	2019-10-10 13:36:48	D04P2	LL0206	46.99	press	fire	None	Press	0	Press
1449	2019-10-10 13:36:48	D04P2	LL0206	47.056	bonus_available	None	None	NewBonus	0	GameEvent
1468	2019-10-10 13:36:48	D04P2	LL0206	47.522	collide	missile_0	fortress	FortressShot	0	GameEvent
1469	2019-10-10 13:36:48	D04P2	LL0206	47.556	press	fire	None	Press	0	Press
1484	2019-10-10 13:36:48	D04P2	LL0206	47.956	press	shots	None	Press	0	Press
1486	2019-10-10 13:36:48	D04P2	LL0206	47.956	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1495	2019-10-10 13:36:48	D04P2	LL0206	48.123	collide	missile_0	fortress	FortressShot	0	GameEvent
1506	2019-10-10 13:36:48	D04P2	LL0206	48.322	press	fire	None	Press	0	Press
1512	2019-10-10 13:36:48	D04P2	LL0206	48.423	press	right	None	Press	0	Press
1527	2019-10-10 13:36:48	D04P2	LL0206	48.856	press	fire	None	Press	0	Press
1531	2019-10-10 13:36:48	D04P2	LL0206	48.923	press	thrust	None	Press	0	Press
1545	2019-10-10 13:36:48	D04P2	LL0206	49.195	new_mine	friend	None	NewMine	0	GameEvent
1561	2019-10-10 13:36:48	D04P2	LL0206	49.59	press	fire	None	Press	0	Press
1563	2019-10-10 13:36:48	D04P2	LL0206	49.593	collide	missile_1	fortress	FortressShot	0	GameEvent
1589	2019-10-10 13:36:48	D04P2	LL0206	50.256	press	fire	None	Press	0	Press
1593	2019-10-10 13:36:48	D04P2	LL0206	50.323	collide	missile_1	fortress	FortressShot	0	GameEvent
1606	2019-10-10 13:36:48	D04P2	LL0206	50.589	press	right	None	Press	0	Press
1620	2019-10-10 13:36:48	D04P2	LL0206	50.989	collide	missile_0	fortress	FortressShot	0	GameEvent
1629	2019-10-10 13:36:48	D04P2	LL0206	51.19	press	fire	None	Press	0	Press
1641	2019-10-10 13:36:48	D04P2	LL0206	51.356	collide	friend_mine	None	FriendMineDestruction	50	Mine
1653	2019-10-10 13:36:48	D04P2	LL0206	51.623	press	left	None	Press	0	Press
1671	2019-10-10 13:36:48	D04P2	LL0206	52.123	press	left	None	Press	0	Press
1687	2019-10-10 13:36:48	D04P2	LL0206	52.455	press	fire	None	Press	0	Press
1697	2019-10-10 13:36:48	D04P2	LL0206	52.689	press	left	None	Press	0	Press
1706	2019-10-10 13:36:48	D04P2	LL0206	52.89	press	fire	None	Press	0	Press
1732	2019-10-10 13:36:48	D04P2	LL0206	53.556	press	fire	None	Press	0	Press
1735	2019-10-10 13:36:48	D04P2	LL0206	53.588	collide	missile_1	fortress	FortressShot	0	GameEvent
1747	2019-10-10 13:36:48	D04P2	LL0206	53.922	press	right	None	Press	0	Press
1761	2019-10-10 13:36:48	D04P2	LL0206	54.256	press	fire	None	Press	0	Press
1764	2019-10-10 13:36:48	D04P2	LL0206	54.261	collide	missile_0	fortress	FortressShot	0	GameEvent
1776	2019-10-10 13:36:48	D04P2	LL0206	54.423	bonus_available	None	None	NewBonus	0	GameEvent
1800	2019-10-10 13:36:48	D04P2	LL0206	55.155	press	pnts	None	Press	0	Press
1802	2019-10-10 13:36:48	D04P2	LL0206	55.156	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1817	2019-10-10 13:36:48	D04P2	LL0206	55.49	press	fire	None	Press	0	Press
1830	2019-10-10 13:36:48	D04P2	LL0206	55.79	press	thrust	None	Press	0	Press
