Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
25455	2018-06-19 12:15:17	D14P2	LM2411	663.5	collide	mine_0	ship	ShipDamage	-50	Flight
25465	2018-06-19 12:15:17	D14P2	LM2411	663.768	press	thrust	None	Press	0	Press
25481	2018-06-19 12:15:17	D14P2	LM2411	664.234	press	right	None	Press	0	Press
25529	2018-06-19 12:15:17	D14P2	LM2411	665.502	press	right	None	Press	0	Press
25541	2018-06-19 12:15:17	D14P2	LM2411	665.868	press	thrust	None	Press	0	Press
25550	2018-06-19 12:15:17	D14P2	LM2411	666.1	press	left	None	Press	0	Press
25556	2018-06-19 12:15:17	D14P2	LM2411	666.234	warp	up	None	BorderCrossing	-35	Flight
25580	2018-06-19 12:15:17	D14P2	LM2411	666.8	warp	down	None	BorderCrossing	-35	Flight
25612	2018-06-19 12:15:17	D14P2	LM2411	667.601	press	right	None	Press	0	Press
25633	2018-06-19 12:15:17	D14P2	LM2411	668.233	press	thrust	None	Press	0	Press
25651	2018-06-19 12:15:17	D14P2	LM2411	668.586	new_mine	friend	None	NewMine	0	GameEvent
25664	2018-06-19 12:15:17	D14P2	LM2411	669.002	press	right	None	Press	0	Press
25690	2018-06-19 12:15:17	D14P2	LM2411	669.668	press	left	None	Press	0	Press
25718	2018-06-19 12:15:17	D14P2	LM2411	670.434	press	left	None	Press	0	Press
25750	2018-06-19 12:15:17	D14P2	LM2411	671.334	press	fire	None	Press	0	Press
25771	2018-06-19 12:15:17	D14P2	LM2411	671.834	press	fire	None	Press	0	Press
25783	2018-06-19 12:15:17	D14P2	LM2411	672.068	press	thrust	None	Press	0	Press
25785	2018-06-19 12:15:17	D14P2	LM2411	672.068	collide	friend_mine	None	FriendMineDestruction	50	Mine
25798	2018-06-19 12:15:17	D14P2	LM2411	672.334	press	right	None	Press	0	Press
25835	2018-06-19 12:15:17	D14P2	LM2411	673.334	press	thrust	None	Press	0	Press
25854	2018-06-19 12:15:17	D14P2	LM2411	673.768	press	fire	None	Press	0	Press
25887	2018-06-19 12:15:17	D14P2	LM2411	674.667	press	thrust	None	Press	0	Press
25913	2018-06-19 12:15:17	D14P2	LM2411	675.333	press	right	None	Press	0	Press
25959	2018-06-19 12:15:17	D14P2	LM2411	676.6	press	fire	None	Press	0	Press
25981	2018-06-19 12:15:17	D14P2	LM2411	677.134	press	fire	None	Press	0	Press
25986	2018-06-19 12:15:17	D14P2	LM2411	677.188	new_mine	foe	None	NewMine	0	GameEvent
25993	2018-06-19 12:15:17	D14P2	LM2411	677.334	collide	missile_1	fortress	FortressShot	0	GameEvent
26008	2018-06-19 12:15:17	D14P2	LM2411	677.667	press	right	None	Press	0	Press
26014	2018-06-19 12:15:17	D14P2	LM2411	677.768	bonus_available	None	None	NewBonus	0	GameEvent
26025	2018-06-19 12:15:17	D14P2	LM2411	678.101	press	fire	None	Press	0	Press
26035	2018-06-19 12:15:17	D14P2	LM2411	678.302	collide	missile_0	fortress	FortressShot	0	GameEvent
26042	2018-06-19 12:15:17	D14P2	LM2411	678.501	press	right	None	Press	0	Press
26069	2018-06-19 12:15:17	D14P2	LM2411	679.2	press	shots	None	Press	0	Press
26071	2018-06-19 12:15:17	D14P2	LM2411	679.201	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
26082	2018-06-19 12:15:17	D14P2	LM2411	679.434	press	right	None	Press	0	Press
26097	2018-06-19 12:15:17	D14P2	LM2411	679.767	press	left	None	Press	0	Press
26118	2018-06-19 12:15:17	D14P2	LM2411	680.333	press	right	None	Press	0	Press
26127	2018-06-19 12:15:17	D14P2	LM2411	680.6	press	thrust	None	Press	0	Press
26134	2018-06-19 12:15:17	D14P2	LM2411	680.733	warp	right	None	BorderCrossing	-35	Flight
26153	2018-06-19 12:15:17	D14P2	LM2411	681.134	warp	left	None	BorderCrossing	-35	Flight
26182	2018-06-19 12:15:17	D14P2	LM2411	681.834	collide	mine_0	ship	ShipDamage	-50	Flight
26195	2018-06-19 12:15:17	D14P2	LM2411	682.167	press	right	None	Press	0	Press
26225	2018-06-19 12:15:17	D14P2	LM2411	682.934	press	fire	None	Press	0	Press
26250	2018-06-19 12:15:17	D14P2	LM2411	683.7	press	fire	None	Press	0	Press
26261	2018-06-19 12:15:17	D14P2	LM2411	683.901	press	right	None	Press	0	Press
26278	2018-06-19 12:15:17	D14P2	LM2411	684.334	press	right	None	Press	0	Press
26315	2018-06-19 12:15:17	D14P2	LM2411	685.301	press	fire	None	Press	0	Press
26325	2018-06-19 12:15:17	D14P2	LM2411	685.534	collide	missile_0	fortress	FortressShot	0	GameEvent
26344	2018-06-19 12:15:17	D14P2	LM2411	686.033	press	fire	None	Press	0	Press
26366	2018-06-19 12:15:17	D14P2	LM2411	686.634	press	right	None	Press	0	Press
26381	2018-06-19 12:15:17	D14P2	LM2411	686.92	new_mine	foe	None	NewMine	0	GameEvent
