Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
1058	2020-01-17 10:15:18	D05P2	LV0603	35.396	press	thrust	None	Press	0	Press
1080	2020-01-17 10:15:18	D05P2	LV0603	36.029	press	right	None	Press	0	Press
1111	2020-01-17 10:15:18	D05P2	LV0603	36.862	press	thrust	None	Press	0	Press
1128	2020-01-17 10:15:18	D05P2	LV0603	37.195	press	left	None	Press	0	Press
1143	2020-01-17 10:15:18	D05P2	LV0603	37.628	press	right	None	Press	0	Press
1164	2020-01-17 10:15:18	D05P2	LV0603	38.129	press	fire	None	Press	0	Press
1172	2020-01-17 10:15:18	D05P2	LV0603	38.296	press	thrust	None	Press	0	Press
1185	2020-01-17 10:15:18	D05P2	LV0603	38.662	press	fire	None	Press	0	Press
1188	2020-01-17 10:15:18	D05P2	LV0603	38.696	collide	missile_0	fortress	FortressShot	0	GameEvent
1199	2020-01-17 10:15:18	D05P2	LV0603	38.963	press	fire	None	Press	0	Press
1204	2020-01-17 10:15:18	D05P2	LV0603	39.035	new_mine	friend	None	NewMine	0	GameEvent
1218	2020-01-17 10:15:18	D05P2	LV0603	39.269	collide	missile_0	fortress	FortressShot	0	GameEvent
1221	2020-01-17 10:15:18	D05P2	LV0603	39.329	press	fire	None	Press	0	Press
1227	2020-01-17 10:15:18	D05P2	LV0603	39.462	press	right	None	Press	0	Press
1234	2020-01-17 10:15:18	D05P2	LV0603	39.596	collide	missile_0	fortress	FortressShot	0	GameEvent
1239	2020-01-17 10:15:18	D05P2	LV0603	39.73	press	fire	None	Press	0	Press
1260	2020-01-17 10:15:18	D05P2	LV0603	40.196	press	fire	None	Press	0	Press
1275	2020-01-17 10:15:18	D05P2	LV0603	40.596	press	fire	None	Press	0	Press
1284	2020-01-17 10:15:18	D05P2	LV0603	40.829	press	thrust	None	Press	0	Press
1287	2020-01-17 10:15:18	D05P2	LV0603	40.862	collide	missile_2	fortress	FortressShot	0	GameEvent
1294	2020-01-17 10:15:18	D05P2	LV0603	41.028	press	fire	None	Press	0	Press
1309	2020-01-17 10:15:18	D05P2	LV0603	41.296	collide	missile_1	fortress	FortressShot	0	GameEvent
1315	2020-01-17 10:15:18	D05P2	LV0603	41.462	press	fire	None	Press	0	Press
1329	2020-01-17 10:15:18	D05P2	LV0603	41.762	collide	missile_0	fortress	FortressShot	0	GameEvent
1330	2020-01-17 10:15:18	D05P2	LV0603	41.796	press	fire	None	Press	0	Press
1340	2020-01-17 10:15:18	D05P2	LV0603	41.996	press	right	None	Press	0	Press
1355	2020-01-17 10:15:18	D05P2	LV0603	42.295	press	fire	None	Press	0	Press
1373	2020-01-17 10:15:18	D05P2	LV0603	42.796	press	fire	None	Press	0	Press
1386	2020-01-17 10:15:18	D05P2	LV0603	43.096	collide	missile_2	fortress	FortressShot	0	GameEvent
1394	2020-01-17 10:15:18	D05P2	LV0603	43.195	press	fire	None	Press	0	Press
1405	2020-01-17 10:15:18	D05P2	LV0603	43.463	press	right	None	Press	0	Press
1411	2020-01-17 10:15:18	D05P2	LV0603	43.563	collide	missile_1	fortress	FortressShot	0	GameEvent
1423	2020-01-17 10:15:18	D05P2	LV0603	43.863	press	fire	None	Press	0	Press
1430	2020-01-17 10:15:18	D05P2	LV0603	43.996	collide	missile_0	fortress	FortressShot	0	GameEvent
1445	2020-01-17 10:15:18	D05P2	LV0603	44.296	bonus_available	None	None	NewBonus	0	GameEvent
1450	2020-01-17 10:15:18	D05P2	LV0603	44.463	press	fire	None	Press	0	Press
1457	2020-01-17 10:15:18	D05P2	LV0603	44.595	press	right	None	Press	0	Press
1484	2020-01-17 10:15:18	D05P2	LV0603	45.295	press	pnts	None	Press	0	Press
1486	2020-01-17 10:15:18	D05P2	LV0603	45.295	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1491	2020-01-17 10:15:18	D05P2	LV0603	45.363	collide	missile_1	fortress	FortressShot	0	GameEvent
1497	2020-01-17 10:15:18	D05P2	LV0603	45.496	press	fire	None	Press	0	Press
1505	2020-01-17 10:15:18	D05P2	LV0603	45.662	press	right	None	Press	0	Press
1514	2020-01-17 10:15:18	D05P2	LV0603	45.829	collide	friend_mine	None	FriendMineDestruction	50	Mine
1525	2020-01-17 10:15:18	D05P2	LV0603	45.995	press	left	None	Press	0	Press
1531	2020-01-17 10:15:18	D05P2	LV0603	46.129	press	thrust	None	Press	0	Press
1550	2020-01-17 10:15:18	D05P2	LV0603	46.528	press	left	None	Press	0	Press
1563	2020-01-17 10:15:18	D05P2	LV0603	46.863	press	fire	None	Press	0	Press
1596	2020-01-17 10:15:18	D05P2	LV0603	47.728	press	fire	None	Press	0	Press
1630	2020-01-17 10:15:18	D05P2	LV0603	48.595	press	fire	None	Press	0	Press
1664	2020-01-17 10:15:18	D05P2	LV0603	49.462	press	fire	None	Press	0	Press
1672	2020-01-17 10:15:18	D05P2	LV0603	49.596	collide	missile_1	fortress	FortressShot	0	GameEvent
1689	2020-01-17 10:15:18	D05P2	LV0603	50.063	press	fire	None	Press	0	Press
1696	2020-01-17 10:15:18	D05P2	LV0603	50.195	press	fire	None	Press	0	Press
1707	2020-01-17 10:15:18	D05P2	LV0603	50.396	press	left	None	Press	0	Press
1710	2020-01-17 10:15:18	D05P2	LV0603	50.428	collide	missile_0	fortress	FortressShot	0	GameEvent
1716	2020-01-17 10:15:18	D05P2	LV0603	50.562	press	thrust	None	Press	0	Press
1733	2020-01-17 10:15:18	D05P2	LV0603	50.91	new_mine	friend	None	NewMine	0	GameEvent
1735	2020-01-17 10:15:18	D05P2	LV0603	50.962	press	thrust	None	Press	0	Press
1740	2020-01-17 10:15:18	D05P2	LV0603	51.03	collide	missile_0	fortress	FortressShot	0	GameEvent
1746	2020-01-17 10:15:18	D05P2	LV0603	51.163	collide	missile_0	fortress	FortressShot	0	GameEvent
1748	2020-01-17 10:15:18	D05P2	LV0603	51.195	destroyed	fortress	None	FortressDestruction	250	Fortress
1753	2020-01-17 10:15:18	D05P2	LV0603	51.262	press	right	None	Press	0	Press
1772	2020-01-17 10:15:18	D05P2	LV0603	51.728	press	right	None	Press	0	Press
1801	2020-01-17 10:15:18	D05P2	LV0603	52.429	press	right	None	Press	0	Press
1812	2020-01-17 10:15:18	D05P2	LV0603	52.695	press	right	None	Press	0	Press
1821	2020-01-17 10:15:18	D05P2	LV0603	52.929	press	fire	None	Press	0	Press
1834	2020-01-17 10:15:18	D05P2	LV0603	53.263	press	left	None	Press	0	Press
1846	2020-01-17 10:15:18	D05P2	LV0603	53.429	collide	friend_mine	None	FriendMineDestruction	50	Mine
1856	2020-01-17 10:15:18	D05P2	LV0603	53.595	press	fire	None	Press	0	Press
1880	2020-01-17 10:15:18	D05P2	LV0603	54.296	press	fire	None	Press	0	Press
1897	2020-01-17 10:15:18	D05P2	LV0603	54.696	press	fire	None	Press	0	Press
1913	2020-01-17 10:15:18	D05P2	LV0603	55.095	press	fire	None	Press	0	Press
1916	2020-01-17 10:15:18	D05P2	LV0603	55.128	collide	missile_1	fortress	FortressShot	0	GameEvent
1933	2020-01-17 10:15:18	D05P2	LV0603	55.495	collide	missile_1	fortress	FortressShot	0	GameEvent
1937	2020-01-17 10:15:18	D05P2	LV0603	55.595	press	right	None	Press	0	Press
1938	2020-01-17 10:15:18	D05P2	LV0603	55.595	press	fire	None	Press	0	Press
1954	2020-01-17 10:15:18	D05P2	LV0603	55.896	collide	missile_0	fortress	FortressShot	0	GameEvent
1959	2020-01-17 10:15:18	D05P2	LV0603	56.028	press	fire	None	Press	0	Press
1981	2020-01-17 10:15:18	D05P2	LV0603	56.596	press	fire	None	Press	0	Press
1993	2020-01-17 10:15:18	D05P2	LV0603	56.829	collide	missile_1	fortress	FortressShot	0	GameEvent
2000	2020-01-17 10:15:18	D05P2	LV0603	57.028	press	fire	None	Press	0	Press
2014	2020-01-17 10:15:18	D05P2	LV0603	57.363	collide	missile_1	fortress	FortressShot	0	GameEvent
2022	2020-01-17 10:15:18	D05P2	LV0603	57.496	press	fire	None	Press	0	Press
2035	2020-01-17 10:15:18	D05P2	LV0603	57.829	collide	missile_1	fortress	FortressShot	0	GameEvent
2040	2020-01-17 10:15:18	D05P2	LV0603	57.929	press	fire	None	Press	0	Press
2050	2020-01-17 10:15:18	D05P2	LV0603	58.096	press	right	None	Press	0	Press
2059	2020-01-17 10:15:18	D05P2	LV0603	58.329	press	fire	None	Press	0	Press
2071	2020-01-17 10:15:18	D05P2	LV0603	58.502	new_mine	foe	None	NewMine	0	GameEvent
2078	2020-01-17 10:15:18	D05P2	LV0603	58.728	press	fire	None	Press	0	Press
2094	2020-01-17 10:15:18	D05P2	LV0603	59.129	collide	missile_2	fortress	FortressShot	0	GameEvent
2096	2020-01-17 10:15:18	D05P2	LV0603	59.162	press	fire	None	Press	0	Press
2106	2020-01-17 10:15:18	D05P2	LV0603	59.363	press	right	None	Press	0	Press
2117	2020-01-17 10:15:18	D05P2	LV0603	59.529	collide	missile_2	fortress	FortressShot	0	GameEvent
2122	2020-01-17 10:15:18	D05P2	LV0603	59.662	press	fire	None	Press	0	Press
2141	2020-01-17 10:15:18	D05P2	LV0603	60.096	press	fire	None	Press	0	Press
2159	2020-01-17 10:15:18	D05P2	LV0603	60.529	collide	missile_1	fortress	FortressShot	0	GameEvent
2169	2020-01-17 10:15:18	D05P2	LV0603	60.729	press	left	None	Press	0	Press
2175	2020-01-17 10:15:18	D05P2	LV0603	60.895	press	iff	None	Press	0	Press
2179	2020-01-17 10:15:18	D05P2	LV0603	60.93	collide	missile_1	fortress	FortressShot	0	GameEvent
2187	2020-01-17 10:15:18	D05P2	LV0603	61.062	press	iff	None	Press	0	Press
2198	2020-01-17 10:15:18	D05P2	LV0603	61.263	press	right	None	Press	0	Press
2209	2020-01-17 10:15:18	D05P2	LV0603	61.529	press	fire	None	Press	0	Press
2219	2020-01-17 10:15:18	D05P2	LV0603	61.695	press	thrust	None	Press	0	Press
2229	2020-01-17 10:15:18	D05P2	LV0603	61.929	press	right	None	Press	0	Press
2231	2020-01-17 10:15:18	D05P2	LV0603	61.929	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
2254	2020-01-17 10:15:18	D05P2	LV0603	62.429	press	right	None	Press	0	Press
2268	2020-01-17 10:15:18	D05P2	LV0603	62.729	press	right	None	Press	0	Press
2287	2020-01-17 10:15:18	D05P2	LV0603	63.229	press	fire	None	Press	0	Press
2294	2020-01-17 10:15:18	D05P2	LV0603	63.362	press	fire	None	Press	0	Press
2314	2020-01-17 10:15:18	D05P2	LV0603	63.829	press	fire	None	Press	0	Press
2320	2020-01-17 10:15:18	D05P2	LV0603	63.963	press	fire	None	Press	0	Press
2341	2020-01-17 10:15:18	D05P2	LV0603	64.563	press	fire	None	Press	0	Press
2350	2020-01-17 10:15:18	D05P2	LV0603	64.695	press	fire	None	Press	0	Press
2358	2020-01-17 10:15:18	D05P2	LV0603	64.895	press	thrust	None	Press	0	Press
2368	2020-01-17 10:15:18	D05P2	LV0603	65.13	press	right	None	Press	0	Press
2383	2020-01-17 10:15:18	D05P2	LV0603	65.495	collide	missile_4	fortress	FortressShot	0	GameEvent
2384	2020-01-17 10:15:18	D05P2	LV0603	65.529	press	thrust	None	Press	0	Press
2395	2020-01-17 10:15:18	D05P2	LV0603	65.663	collide	missile_4	fortress	FortressShot	0	GameEvent
2397	2020-01-17 10:15:18	D05P2	LV0603	65.697	destroyed	fortress	None	FortressDestruction	250	Fortress
2411	2020-01-17 10:15:18	D05P2	LV0603	65.995	press	left	None	Press	0	Press
2441	2020-01-17 10:15:18	D05P2	LV0603	66.729	press	left	None	Press	0	Press
2452	2020-01-17 10:15:18	D05P2	LV0603	66.962	press	right	None	Press	0	Press
2456	2020-01-17 10:15:18	D05P2	LV0603	67.002	new_mine	foe	None	NewMine	0	GameEvent
2464	2020-01-17 10:15:18	D05P2	LV0603	67.229	press	left	None	Press	0	Press
2470	2020-01-17 10:15:18	D05P2	LV0603	67.296	bonus_available	None	None	NewBonus	0	GameEvent
2475	2020-01-17 10:15:18	D05P2	LV0603	67.462	press	fire	None	Press	0	Press
2511	2020-01-17 10:15:18	D05P2	LV0603	68.395	press	left	None	Press	0	Press
2522	2020-01-17 10:15:18	D05P2	LV0603	68.596	press	thrust	None	Press	0	Press
2531	2020-01-17 10:15:18	D05P2	LV0603	68.762	press	shots	None	Press	0	Press
2533	2020-01-17 10:15:18	D05P2	LV0603	68.762	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
2543	2020-01-17 10:15:18	D05P2	LV0603	68.995	press	right	None	Press	0	Press
2562	2020-01-17 10:15:18	D05P2	LV0603	69.495	press	right	None	Press	0	Press
