Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
634	2019-11-12 13:11:34	D02P2	ME1301	21.326	press	thrust	None	Press	0	Press
661	2019-11-12 13:11:34	D02P2	ME1301	22.026	press	right	None	Press	0	Press
698	2019-11-12 13:11:34	D02P2	ME1301	23.06	press	right	None	Press	0	Press
712	2019-11-12 13:11:34	D02P2	ME1301	23.46	press	fire	None	Press	0	Press
730	2019-11-12 13:11:34	D02P2	ME1301	23.893	press	fire	None	Press	0	Press
733	2019-11-12 13:11:34	D02P2	ME1301	23.927	collide	missile_0	fortress	FortressShot	0	GameEvent
746	2019-11-12 13:11:34	D02P2	ME1301	24.259	press	right	None	Press	0	Press
748	2019-11-12 13:11:34	D02P2	ME1301	24.26	collide	missile_0	fortress	FortressShot	0	GameEvent
774	2019-11-12 13:11:34	D02P2	ME1301	24.926	press	thrust	None	Press	0	Press
782	2019-11-12 13:11:34	D02P2	ME1301	25.159	press	right	None	Press	0	Press
804	2019-11-12 13:11:34	D02P2	ME1301	25.676	new_mine	friend	None	NewMine	0	GameEvent
808	2019-11-12 13:11:34	D02P2	ME1301	25.693	press	right	None	Press	0	Press
844	2019-11-12 13:11:34	D02P2	ME1301	26.725	press	thrust	None	Press	0	Press
883	2019-11-12 13:11:34	D02P2	ME1301	27.793	press	left	None	Press	0	Press
889	2019-11-12 13:11:34	D02P2	ME1301	27.96	press	thrust	None	Press	0	Press
910	2019-11-12 13:11:34	D02P2	ME1301	28.56	press	left	None	Press	0	Press
951	2019-11-12 13:11:34	D02P2	ME1301	29.726	press	right	None	Press	0	Press
986	2019-11-12 13:11:34	D02P2	ME1301	30.793	press	fire	None	Press	0	Press
996	2019-11-12 13:11:34	D02P2	ME1301	30.894	bonus_available	None	None	NewBonus	0	GameEvent
1012	2019-11-12 13:11:34	D02P2	ME1301	31.393	collide	missile_0	fortress	FortressShot	0	GameEvent
1044	2019-11-12 13:11:34	D02P2	ME1301	32.259	press	right	None	Press	0	Press
1052	2019-11-12 13:11:34	D02P2	ME1301	32.493	press	shots	None	Press	0	Press
1054	2019-11-12 13:11:34	D02P2	ME1301	32.493	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1079	2019-11-12 13:11:34	D02P2	ME1301	33.026	press	right	None	Press	0	Press
1095	2019-11-12 13:11:34	D02P2	ME1301	33.526	press	left	None	Press	0	Press
1108	2019-11-12 13:11:34	D02P2	ME1301	33.86	press	fire	None	Press	0	Press
1130	2019-11-12 13:11:34	D02P2	ME1301	34.326	press	left	None	Press	0	Press
1159	2019-11-12 13:11:34	D02P2	ME1301	35.094	press	right	None	Press	0	Press
1180	2019-11-12 13:11:34	D02P2	ME1301	35.693	timeout	mine	None	MineExtinction	-50	Mine
1193	2019-11-12 13:11:34	D02P2	ME1301	35.96	press	fire	None	Press	0	Press
1213	2019-11-12 13:11:34	D02P2	ME1301	36.493	collide	missile_0	fortress	FortressShot	0	GameEvent
1247	2019-11-12 13:11:34	D02P2	ME1301	37.494	press	right	None	Press	0	Press
1255	2019-11-12 13:11:34	D02P2	ME1301	37.693	press	right	None	Press	0	Press
1287	2019-11-12 13:11:34	D02P2	ME1301	38.559	press	fire	None	Press	0	Press
1322	2019-11-12 13:11:34	D02P2	ME1301	39.56	press	right	None	Press	0	Press
1350	2019-11-12 13:11:34	D02P2	ME1301	40.326	press	fire	None	Press	0	Press
1368	2019-11-12 13:11:34	D02P2	ME1301	40.813	new_mine	friend	None	NewMine	0	GameEvent
1396	2019-11-12 13:11:34	D02P2	ME1301	41.626	press	right	None	Press	0	Press
1430	2019-11-12 13:11:34	D02P2	ME1301	42.526	press	fire	None	Press	0	Press
1458	2019-11-12 13:11:34	D02P2	ME1301	43.292	press	left	None	Press	0	Press
1504	2019-11-12 13:11:34	D02P2	ME1301	44.56	press	pnts	None	Press	0	Press
1506	2019-11-12 13:11:34	D02P2	ME1301	44.56	pnts_bonus_failure	None	None	BonusFailure	-50	Bonus
1513	2019-11-12 13:11:34	D02P2	ME1301	44.727	press	right	None	Press	0	Press
1517	2019-11-12 13:11:34	D02P2	ME1301	44.826	press	thrust	None	Press	0	Press
1541	2019-11-12 13:11:34	D02P2	ME1301	45.46	press	fire	None	Press	0	Press
1570	2019-11-12 13:11:34	D02P2	ME1301	46.227	press	right	None	Press	0	Press
1586	2019-11-12 13:11:34	D02P2	ME1301	46.66	press	fire	None	Press	0	Press
1595	2019-11-12 13:11:34	D02P2	ME1301	46.926	press	right	None	Press	0	Press
1615	2019-11-12 13:11:34	D02P2	ME1301	47.393	press	right	None	Press	0	Press
1626	2019-11-12 13:11:34	D02P2	ME1301	47.693	press	fire	None	Press	0	Press
1636	2019-11-12 13:11:34	D02P2	ME1301	47.859	collide	friend_mine	None	FriendMineDestruction	50	Mine
1658	2019-11-12 13:11:34	D02P2	ME1301	48.326	press	left	None	Press	0	Press
1672	2019-11-12 13:11:34	D02P2	ME1301	48.659	press	thrust	None	Press	0	Press
1688	2019-11-12 13:11:34	D02P2	ME1301	49.159	press	right	None	Press	0	Press
1758	2019-11-12 13:11:34	D02P2	ME1301	51.159	press	thrust	None	Press	0	Press
1821	2019-11-12 13:11:34	D02P2	ME1301	52.954	new_mine	friend	None	NewMine	0	GameEvent
1834	2019-11-12 13:11:34	D02P2	ME1301	53.293	press	right	None	Press	0	Press
1853	2019-11-12 13:11:34	D02P2	ME1301	53.826	press	left	None	Press	0	Press
1860	2019-11-12 13:11:34	D02P2	ME1301	53.993	press	thrust	None	Press	0	Press
1880	2019-11-12 13:11:34	D02P2	ME1301	54.46	press	right	None	Press	0	Press
1915	2019-11-12 13:11:34	D02P2	ME1301	55.393	press	thrust	None	Press	0	Press
1966	2019-11-12 13:11:34	D02P2	ME1301	56.861	press	right	None	Press	0	Press
1998	2019-11-12 13:11:34	D02P2	ME1301	57.726	press	right	None	Press	0	Press
2010	2019-11-12 13:11:34	D02P2	ME1301	58.026	press	right	None	Press	0	Press
2034	2019-11-12 13:11:34	D02P2	ME1301	58.626	press	fire	None	Press	0	Press
2052	2019-11-12 13:11:34	D02P2	ME1301	58.994	collide	friend_mine	None	FriendMineDestruction	50	Mine
2068	2019-11-12 13:11:34	D02P2	ME1301	59.359	press	thrust	None	Press	0	Press
2073	2019-11-12 13:11:34	D02P2	ME1301	59.393	press	left	None	Press	0	Press
2098	2019-11-12 13:11:34	D02P2	ME1301	60.126	press	left	None	Press	0	Press
2147	2019-11-12 13:11:34	D02P2	ME1301	61.426	press	right	None	Press	0	Press
2188	2019-11-12 13:11:34	D02P2	ME1301	62.526	press	fire	None	Press	0	Press
2191	2019-11-12 13:11:34	D02P2	ME1301	62.593	press	thrust	None	Press	0	Press
2199	2019-11-12 13:11:34	D02P2	ME1301	62.793	press	fire	None	Press	0	Press
2216	2019-11-12 13:11:34	D02P2	ME1301	63.259	press	right	None	Press	0	Press
2237	2019-11-12 13:11:34	D02P2	ME1301	63.759	press	right	None	Press	0	Press
2251	2019-11-12 13:11:34	D02P2	ME1301	64.119	new_mine	friend	None	NewMine	0	GameEvent
2252	2019-11-12 13:11:34	D02P2	ME1301	64.161	press	left	None	Press	0	Press
2260	2019-11-12 13:11:34	D02P2	ME1301	64.359	press	fire	None	Press	0	Press
2284	2019-11-12 13:11:34	D02P2	ME1301	64.859	press	thrust	None	Press	0	Press
2292	2019-11-12 13:11:34	D02P2	ME1301	65.06	press	fire	None	Press	0	Press
2294	2019-11-12 13:11:34	D02P2	ME1301	65.072	collide	missile_0	fortress	FortressShot	0	GameEvent
2303	2019-11-12 13:11:34	D02P2	ME1301	65.293	press	fire	None	Press	0	Press
2318	2019-11-12 13:11:34	D02P2	ME1301	65.593	press	right	None	Press	0	Press
2331	2019-11-12 13:11:34	D02P2	ME1301	65.959	press	fire	None	Press	0	Press
2341	2019-11-12 13:11:34	D02P2	ME1301	66.226	press	fire	None	Press	0	Press
2344	2019-11-12 13:11:34	D02P2	ME1301	66.293	press	right	None	Press	0	Press
2348	2019-11-12 13:11:34	D02P2	ME1301	66.327	collide	missile_2	fortress	FortressShot	0	GameEvent
2354	2019-11-12 13:11:34	D02P2	ME1301	66.459	press	right	None	Press	0	Press
2371	2019-11-12 13:11:34	D02P2	ME1301	66.826	press	right	None	Press	0	Press
2391	2019-11-12 13:11:34	D02P2	ME1301	67.326	press	fire	None	Press	0	Press
2409	2019-11-12 13:11:34	D02P2	ME1301	67.693	collide	missile_1	fortress	FortressShot	0	GameEvent
2433	2019-11-12 13:11:34	D02P2	ME1301	68.459	press	fire	None	Press	0	Press
2451	2019-11-12 13:11:34	D02P2	ME1301	68.859	press	right	None	Press	0	Press
2465	2019-11-12 13:11:34	D02P2	ME1301	69.226	press	fire	None	Press	0	Press
2483	2019-11-12 13:11:34	D02P2	ME1301	69.561	bonus_available	None	None	NewBonus	0	GameEvent
2485	2019-11-12 13:11:34	D02P2	ME1301	69.626	press	thrust	None	Press	0	Press
2504	2019-11-12 13:11:34	D02P2	ME1301	70.126	collide	friend_mine	None	FriendMineDestruction	50	Mine
2523	2019-11-12 13:11:34	D02P2	ME1301	70.593	press	fire	None	Press	0	Press
2547	2019-11-12 13:11:34	D02P2	ME1301	71.126	press	left	None	Press	0	Press
2562	2019-11-12 13:11:34	D02P2	ME1301	71.559	press	fire	None	Press	0	Press
2581	2019-11-12 13:11:34	D02P2	ME1301	71.993	press	right	None	Press	0	Press
2608	2019-11-12 13:11:34	D02P2	ME1301	72.66	press	fire	None	Press	0	Press
2641	2019-11-12 13:11:34	D02P2	ME1301	73.56	press	left	None	Press	0	Press
2657	2019-11-12 13:11:34	D02P2	ME1301	73.893	press	thrust	None	Press	0	Press
2677	2019-11-12 13:11:34	D02P2	ME1301	74.426	press	right	None	Press	0	Press
2698	2019-11-12 13:11:34	D02P2	ME1301	74.893	press	fire	None	Press	0	Press
2713	2019-11-12 13:11:34	D02P2	ME1301	75.252	new_mine	friend	None	NewMine	0	GameEvent
2772	2019-11-12 13:11:34	D02P2	ME1301	76.893	press	left	None	Press	0	Press
2808	2019-11-12 13:11:34	D02P2	ME1301	77.793	press	left	None	Press	0	Press
2814	2019-11-12 13:11:34	D02P2	ME1301	77.926	press	left	None	Press	0	Press
2828	2019-11-12 13:11:34	D02P2	ME1301	78.293	press	fire	None	Press	0	Press
2844	2019-11-12 13:11:34	D02P2	ME1301	78.693	collide	friend_mine	None	FriendMineDestruction	50	Mine
2854	2019-11-12 13:11:34	D02P2	ME1301	78.792	press	right	None	Press	0	Press
2869	2019-11-12 13:11:34	D02P2	ME1301	79.159	press	right	None	Press	0	Press
2917	2019-11-12 13:11:34	D02P2	ME1301	80.493	press	fire	None	Press	0	Press
2936	2019-11-12 13:11:34	D02P2	ME1301	80.925	press	right	None	Press	0	Press
2954	2019-11-12 13:11:34	D02P2	ME1301	81.426	press	fire	None	Press	0	Press
