Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
357	2021-03-10 14:40:22	D03P2	MH0507	11.664	press	thrust	None	Press	0	Press
364	2021-03-10 14:40:22	D03P2	MH0507	11.864	press	right	None	Press	0	Press
401	2021-03-10 14:40:22	D03P2	MH0507	12.831	press	thrust	None	Press	0	Press
423	2021-03-10 14:40:22	D03P2	MH0507	13.365	press	fire	None	Press	0	Press
445	2021-03-10 14:40:22	D03P2	MH0507	13.998	press	thrust	None	Press	0	Press
451	2021-03-10 14:40:22	D03P2	MH0507	14.099	bonus_available	None	None	NewBonus	0	GameEvent
456	2021-03-10 14:40:22	D03P2	MH0507	14.231	press	fire	None	Press	0	Press
473	2021-03-10 14:40:22	D03P2	MH0507	14.631	press	right	None	Press	0	Press
476	2021-03-10 14:40:22	D03P2	MH0507	14.665	collide	missile_1	fortress	FortressShot	0	GameEvent
491	2021-03-10 14:40:22	D03P2	MH0507	15.031	press	shots	None	Press	0	Press
493	2021-03-10 14:40:22	D03P2	MH0507	15.031	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
525	2021-03-10 14:40:22	D03P2	MH0507	15.832	press	fire	None	Press	0	Press
544	2021-03-10 14:40:22	D03P2	MH0507	16.266	new_mine	friend	None	NewMine	0	GameEvent
557	2021-03-10 14:40:22	D03P2	MH0507	16.598	press	left	None	Press	0	Press
572	2021-03-10 14:40:22	D03P2	MH0507	17.031	press	fire	None	Press	0	Press
576	2021-03-10 14:40:22	D03P2	MH0507	17.098	press	right	None	Press	0	Press
598	2021-03-10 14:40:22	D03P2	MH0507	17.565	press	thrust	None	Press	0	Press
614	2021-03-10 14:40:22	D03P2	MH0507	17.964	press	thrust	None	Press	0	Press
626	2021-03-10 14:40:22	D03P2	MH0507	18.298	press	thrust	None	Press	0	Press
649	2021-03-10 14:40:22	D03P2	MH0507	18.798	press	right	None	Press	0	Press
685	2021-03-10 14:40:22	D03P2	MH0507	19.764	press	left	None	Press	0	Press
701	2021-03-10 14:40:22	D03P2	MH0507	20.232	press	right	None	Press	0	Press
718	2021-03-10 14:40:22	D03P2	MH0507	20.598	press	fire	None	Press	0	Press
733	2021-03-10 14:40:22	D03P2	MH0507	20.998	press	thrust	None	Press	0	Press
741	2021-03-10 14:40:22	D03P2	MH0507	21.164	collide	friend_mine	None	FriendMineDestruction	50	Mine
753	2021-03-10 14:40:22	D03P2	MH0507	21.365	press	left	None	Press	0	Press
766	2021-03-10 14:40:22	D03P2	MH0507	21.598	collide	shell	2	ShipDamage	-50	Flight
771	2021-03-10 14:40:22	D03P2	MH0507	21.698	press	thrust	None	Press	0	Press
787	2021-03-10 14:40:22	D03P2	MH0507	22.131	press	right	None	Press	0	Press
818	2021-03-10 14:40:22	D03P2	MH0507	22.864	press	right	None	Press	0	Press
834	2021-03-10 14:40:22	D03P2	MH0507	23.331	press	thrust	None	Press	0	Press
843	2021-03-10 14:40:22	D03P2	MH0507	23.465	press	fire	None	Press	0	Press
853	2021-03-10 14:40:22	D03P2	MH0507	23.665	collide	missile_0	fortress	FortressShot	0	GameEvent
858	2021-03-10 14:40:22	D03P2	MH0507	23.799	press	right	None	Press	0	Press
873	2021-03-10 14:40:22	D03P2	MH0507	24.232	press	fire	None	Press	0	Press
882	2021-03-10 14:40:22	D03P2	MH0507	24.431	collide	missile_0	fortress	FortressShot	0	GameEvent
901	2021-03-10 14:40:22	D03P2	MH0507	24.864	press	thrust	None	Press	0	Press
908	2021-03-10 14:40:22	D03P2	MH0507	25.031	press	right	None	Press	0	Press
921	2021-03-10 14:40:22	D03P2	MH0507	25.398	press	thrust	None	Press	0	Press
937	2021-03-10 14:40:22	D03P2	MH0507	25.632	bonus_available	None	None	NewBonus	0	GameEvent
957	2021-03-10 14:40:22	D03P2	MH0507	26.233	new_mine	friend	None	NewMine	0	GameEvent
963	2021-03-10 14:40:22	D03P2	MH0507	26.431	press	shots	None	Press	0	Press
965	2021-03-10 14:40:22	D03P2	MH0507	26.431	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
980	2021-03-10 14:40:22	D03P2	MH0507	26.665	press	thrust	None	Press	0	Press
998	2021-03-10 14:40:22	D03P2	MH0507	27.166	collide	mine_0	ship	ShipDamage	-50	Flight
1011	2021-03-10 14:40:22	D03P2	MH0507	27.464	press	right	None	Press	0	Press
1029	2021-03-10 14:40:22	D03P2	MH0507	27.865	press	fire	None	Press	0	Press
1061	2021-03-10 14:40:22	D03P2	MH0507	28.731	press	right	None	Press	0	Press
1078	2021-03-10 14:40:22	D03P2	MH0507	29.198	press	right	None	Press	0	Press
1097	2021-03-10 14:40:22	D03P2	MH0507	29.598	press	thrust	None	Press	0	Press
1117	2021-03-10 14:40:22	D03P2	MH0507	30.131	press	left	None	Press	0	Press
1140	2021-03-10 14:40:22	D03P2	MH0507	30.698	press	fire	None	Press	0	Press
1159	2021-03-10 14:40:22	D03P2	MH0507	31.198	collide	missile_0	fortress	FortressShot	0	GameEvent
1165	2021-03-10 14:40:22	D03P2	MH0507	31.364	press	right	None	Press	0	Press
1197	2021-03-10 14:40:22	D03P2	MH0507	32.198	press	fire	None	Press	0	Press
1201	2021-03-10 14:40:22	D03P2	MH0507	32.234	new_mine	friend	None	NewMine	0	GameEvent
1231	2021-03-10 14:40:22	D03P2	MH0507	33.031	press	right	None	Press	0	Press
1252	2021-03-10 14:40:22	D03P2	MH0507	33.565	press	right	None	Press	0	Press
1267	2021-03-10 14:40:22	D03P2	MH0507	33.998	press	left	None	Press	0	Press
1288	2021-03-10 14:40:22	D03P2	MH0507	34.531	press	fire	None	Press	0	Press
1312	2021-03-10 14:40:22	D03P2	MH0507	35.031	collide	friend_mine	None	FriendMineDestruction	50	Mine
1313	2021-03-10 14:40:22	D03P2	MH0507	35.065	press	left	None	Press	0	Press
1333	2021-03-10 14:40:22	D03P2	MH0507	35.432	press	thrust	None	Press	0	Press
1349	2021-03-10 14:40:22	D03P2	MH0507	35.798	press	thrust	None	Press	0	Press
1396	2021-03-10 14:40:22	D03P2	MH0507	37.099	press	fire	None	Press	0	Press
1400	2021-03-10 14:40:22	D03P2	MH0507	37.131	bonus_available	None	None	NewBonus	0	GameEvent
1425	2021-03-10 14:40:22	D03P2	MH0507	37.798	press	pnts	None	Press	0	Press
1427	2021-03-10 14:40:22	D03P2	MH0507	37.798	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1436	2021-03-10 14:40:22	D03P2	MH0507	37.998	collide	missile_0	fortress	FortressShot	0	GameEvent
1461	2021-03-10 14:40:22	D03P2	MH0507	38.631	press	right	None	Press	0	Press
1476	2021-03-10 14:40:22	D03P2	MH0507	39.031	press	fire	None	Press	0	Press
1508	2021-03-10 14:40:22	D03P2	MH0507	39.865	press	right	None	Press	0	Press
1513	2021-03-10 14:40:22	D03P2	MH0507	39.931	collide	missile_0	fortress	FortressShot	0	GameEvent
1523	2021-03-10 14:40:22	D03P2	MH0507	40.1	new_mine	foe	None	NewMine	0	GameEvent
1526	2021-03-10 14:40:22	D03P2	MH0507	40.198	press	thrust	None	Press	0	Press
1561	2021-03-10 14:40:22	D03P2	MH0507	41.098	press	iff	None	Press	0	Press
1572	2021-03-10 14:40:22	D03P2	MH0507	41.365	press	fire	None	Press	0	Press
1582	2021-03-10 14:40:22	D03P2	MH0507	41.532	collide	mine_0	ship	ShipDamage	-50	Flight
1592	2021-03-10 14:40:22	D03P2	MH0507	41.698	press	fire	None	Press	0	Press
1642	2021-03-10 14:40:22	D03P2	MH0507	43.099	press	fire	None	Press	0	Press
1670	2021-03-10 14:40:22	D03P2	MH0507	43.798	press	right	None	Press	0	Press
1679	2021-03-10 14:40:22	D03P2	MH0507	43.931	collide	missile_0	fortress	FortressShot	0	GameEvent
1687	2021-03-10 14:40:22	D03P2	MH0507	44.165	press	thrust	None	Press	0	Press
1714	2021-03-10 14:40:22	D03P2	MH0507	44.798	press	right	None	Press	0	Press
1723	2021-03-10 14:40:22	D03P2	MH0507	45.032	press	left	None	Press	0	Press
1741	2021-03-10 14:40:22	D03P2	MH0507	45.531	press	right	None	Press	0	Press
1762	2021-03-10 14:40:22	D03P2	MH0507	45.998	press	fire	None	Press	0	Press
1787	2021-03-10 14:40:22	D03P2	MH0507	46.6	new_mine	friend	None	NewMine	0	GameEvent
1793	2021-03-10 14:40:22	D03P2	MH0507	46.765	collide	missile_0	fortress	FortressShot	0	GameEvent
1812	2021-03-10 14:40:22	D03P2	MH0507	47.231	press	right	None	Press	0	Press
1849	2021-03-10 14:40:22	D03P2	MH0507	48.199	press	right	None	Press	0	Press
1869	2021-03-10 14:40:22	D03P2	MH0507	48.664	bonus_available	None	None	NewBonus	0	GameEvent
1878	2021-03-10 14:40:22	D03P2	MH0507	48.864	press	left	None	Press	0	Press
1905	2021-03-10 14:40:22	D03P2	MH0507	49.632	press	pnts	None	Press	0	Press
1907	2021-03-10 14:40:22	D03P2	MH0507	49.632	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1921	2021-03-10 14:40:22	D03P2	MH0507	49.931	press	right	None	Press	0	Press
1941	2021-03-10 14:40:22	D03P2	MH0507	50.432	press	fire	None	Press	0	Press
1957	2021-03-10 14:40:22	D03P2	MH0507	50.798	collide	friend_mine	None	FriendMineDestruction	50	Mine
1967	2021-03-10 14:40:22	D03P2	MH0507	50.898	press	left	None	Press	0	Press
1979	2021-03-10 14:40:22	D03P2	MH0507	51.165	press	left	None	Press	0	Press
1991	2021-03-10 14:40:22	D03P2	MH0507	51.498	press	left	None	Press	0	Press
2004	2021-03-10 14:40:22	D03P2	MH0507	51.831	press	right	None	Press	0	Press
2020	2021-03-10 14:40:22	D03P2	MH0507	52.131	press	right	None	Press	0	Press
2032	2021-03-10 14:40:22	D03P2	MH0507	52.464	press	fire	None	Press	0	Press
2061	2021-03-10 14:40:22	D03P2	MH0507	53.165	collide	missile_0	fortress	FortressShot	0	GameEvent
2073	2021-03-10 14:40:22	D03P2	MH0507	53.531	press	right	None	Press	0	Press
2094	2021-03-10 14:40:22	D03P2	MH0507	53.998	press	fire	None	Press	0	Press
2110	2021-03-10 14:40:22	D03P2	MH0507	54.465	press	left	None	Press	0	Press
2142	2021-03-10 14:40:22	D03P2	MH0507	55.298	press	fire	None	Press	0	Press
2161	2021-03-10 14:40:22	D03P2	MH0507	55.799	press	right	None	Press	0	Press
2166	2021-03-10 14:40:22	D03P2	MH0507	55.868	new_mine	friend	None	NewMine	0	GameEvent
2178	2021-03-10 14:40:22	D03P2	MH0507	56.065	bonus_available	None	None	NewBonus	0	GameEvent
2186	2021-03-10 14:40:22	D03P2	MH0507	56.298	press	fire	None	Press	0	Press
2202	2021-03-10 14:40:22	D03P2	MH0507	56.731	press	left	None	Press	0	Press
2219	2021-03-10 14:40:22	D03P2	MH0507	57.065	press	right	None	Press	0	Press
2226	2021-03-10 14:40:22	D03P2	MH0507	57.231	press	pnts	None	Press	0	Press
2228	2021-03-10 14:40:22	D03P2	MH0507	57.231	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
2246	2021-03-10 14:40:22	D03P2	MH0507	57.698	press	right	None	Press	0	Press
2292	2021-03-10 14:40:22	D03P2	MH0507	58.899	press	fire	None	Press	0	Press
2316	2021-03-10 14:40:22	D03P2	MH0507	59.431	collide	friend_mine	None	FriendMineDestruction	50	Mine
2334	2021-03-10 14:40:22	D03P2	MH0507	59.831	press	thrust	None	Press	0	Press
2358	2021-03-10 14:40:22	D03P2	MH0507	60.365	press	left	None	Press	0	Press
2372	2021-03-10 14:40:22	D03P2	MH0507	60.765	press	left	None	Press	0	Press
2388	2021-03-10 14:40:22	D03P2	MH0507	61.131	press	thrust	None	Press	0	Press
2398	2021-03-10 14:40:22	D03P2	MH0507	61.331	press	right	None	Press	0	Press
2430	2021-03-10 14:40:22	D03P2	MH0507	62.165	press	pnts	None	Press	0	Press
2432	2021-03-10 14:40:22	D03P2	MH0507	62.165	pnts_bonus_failure	None	None	BonusFailure	-50	Bonus
