Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
6438	2018-06-07 10:33:20	D04P1	MM0301	214.394	press	thrust	None	Press	0	Press
6452	2018-06-07 10:33:20	D04P1	MM0301	214.761	press	right	None	Press	0	Press
6483	2018-06-07 10:33:20	D04P1	MM0301	215.594	press	fire	None	Press	0	Press
6502	2018-06-07 10:33:20	D04P1	MM0301	215.994	collide	missile_0	fortress	FortressShot	0	GameEvent
6506	2018-06-07 10:33:20	D04P1	MM0301	216.06	press	thrust	None	Press	0	Press
6530	2018-06-07 10:33:20	D04P1	MM0301	216.76	press	right	None	Press	0	Press
6555	2018-06-07 10:33:20	D04P1	MM0301	217.394	press	right	None	Press	0	Press
6569	2018-06-07 10:33:20	D04P1	MM0301	217.794	press	fire	None	Press	0	Press
6578	2018-06-07 10:33:20	D04P1	MM0301	217.993	collide	missile_0	fortress	FortressShot	0	GameEvent
6584	2018-06-07 10:33:20	D04P1	MM0301	218.061	press	right	None	Press	0	Press
6596	2018-06-07 10:33:20	D04P1	MM0301	218.36	press	right	None	Press	0	Press
6612	2018-06-07 10:33:20	D04P1	MM0301	218.827	press	right	None	Press	0	Press
6622	2018-06-07 10:33:20	D04P1	MM0301	218.978	new_mine	friend	None	NewMine	0	GameEvent
6632	2018-06-07 10:33:20	D04P1	MM0301	219.194	press	thrust	None	Press	0	Press
6646	2018-06-07 10:33:20	D04P1	MM0301	219.593	press	thrust	None	Press	0	Press
6653	2018-06-07 10:33:20	D04P1	MM0301	219.76	press	fire	None	Press	0	Press
6666	2018-06-07 10:33:20	D04P1	MM0301	220.061	collide	missile_0	fortress	FortressShot	0	GameEvent
6676	2018-06-07 10:33:20	D04P1	MM0301	220.227	press	right	None	Press	0	Press
6695	2018-06-07 10:33:20	D04P1	MM0301	220.76	press	right	None	Press	0	Press
6713	2018-06-07 10:33:20	D04P1	MM0301	221.161	press	thrust	None	Press	0	Press
6738	2018-06-07 10:33:20	D04P1	MM0301	221.894	press	fire	None	Press	0	Press
6747	2018-06-07 10:33:20	D04P1	MM0301	222.061	collide	friend_mine	None	FriendMineDestruction	50	Mine
6760	2018-06-07 10:33:20	D04P1	MM0301	222.26	press	right	None	Press	0	Press
6781	2018-06-07 10:33:20	D04P1	MM0301	222.86	press	fire	None	Press	0	Press
6795	2018-06-07 10:33:20	D04P1	MM0301	223.127	collide	missile_0	fortress	FortressShot	0	GameEvent
6813	2018-06-07 10:33:20	D04P1	MM0301	223.694	press	right	None	Press	0	Press
6858	2018-06-07 10:33:20	D04P1	MM0301	224.928	press	right	None	Press	0	Press
6882	2018-06-07 10:33:20	D04P1	MM0301	225.528	press	fire	None	Press	0	Press
6897	2018-06-07 10:33:20	D04P1	MM0301	225.827	collide	missile_0	fortress	FortressShot	0	GameEvent
6902	2018-06-07 10:33:20	D04P1	MM0301	225.96	press	thrust	None	Press	0	Press
6926	2018-06-07 10:33:20	D04P1	MM0301	226.56	press	thrust	None	Press	0	Press
6940	2018-06-07 10:33:20	D04P1	MM0301	226.927	press	thrust	None	Press	0	Press
6951	2018-06-07 10:33:20	D04P1	MM0301	227.144	new_mine	friend	None	NewMine	0	GameEvent
6956	2018-06-07 10:33:20	D04P1	MM0301	227.194	press	right	None	Press	0	Press
6971	2018-06-07 10:33:20	D04P1	MM0301	227.594	press	right	None	Press	0	Press
6983	2018-06-07 10:33:20	D04P1	MM0301	227.926	press	right	None	Press	0	Press
7000	2018-06-07 10:33:20	D04P1	MM0301	228.294	press	fire	None	Press	0	Press
7008	2018-06-07 10:33:20	D04P1	MM0301	228.46	press	right	None	Press	0	Press
7021	2018-06-07 10:33:20	D04P1	MM0301	228.827	press	right	None	Press	0	Press
7031	2018-06-07 10:33:20	D04P1	MM0301	229.095	press	thrust	None	Press	0	Press
7093	2018-06-07 10:33:20	D04P1	MM0301	230.66	press	fire	None	Press	0	Press
7107	2018-06-07 10:33:20	D04P1	MM0301	230.993	collide	missile_0	fortress	FortressShot	0	GameEvent
7122	2018-06-07 10:33:20	D04P1	MM0301	231.36	press	right	None	Press	0	Press
7148	2018-06-07 10:33:20	D04P1	MM0301	232.094	press	right	None	Press	0	Press
7161	2018-06-07 10:33:20	D04P1	MM0301	232.36	press	fire	None	Press	0	Press
7182	2018-06-07 10:33:20	D04P1	MM0301	232.894	collide	friend_mine	None	FriendMineDestruction	50	Mine
7213	2018-06-07 10:33:20	D04P1	MM0301	233.694	press	left	None	Press	0	Press
7283	2018-06-07 10:33:20	D04P1	MM0301	235.561	press	right	None	Press	0	Press
7300	2018-06-07 10:33:20	D04P1	MM0301	235.96	press	fire	None	Press	0	Press
7313	2018-06-07 10:33:20	D04P1	MM0301	236.327	press	right	None	Press	0	Press
7336	2018-06-07 10:33:20	D04P1	MM0301	236.86	press	fire	None	Press	0	Press
7352	2018-06-07 10:33:20	D04P1	MM0301	237.293	press	left	None	Press	0	Press
7370	2018-06-07 10:33:20	D04P1	MM0301	237.693	press	thrust	None	Press	0	Press
7383	2018-06-07 10:33:20	D04P1	MM0301	237.977	new_mine	foe	None	NewMine	0	GameEvent
7402	2018-06-07 10:33:20	D04P1	MM0301	238.428	press	thrust	None	Press	0	Press
7421	2018-06-07 10:33:20	D04P1	MM0301	238.927	press	left	None	Press	0	Press
7435	2018-06-07 10:33:20	D04P1	MM0301	239.26	press	left	None	Press	0	Press
7466	2018-06-07 10:33:20	D04P1	MM0301	240.06	press	thrust	None	Press	0	Press
7480	2018-06-07 10:33:20	D04P1	MM0301	240.426	press	left	None	Press	0	Press
7504	2018-06-07 10:33:20	D04P1	MM0301	240.994	press	iff	None	Press	0	Press
7510	2018-06-07 10:33:20	D04P1	MM0301	241.093	press	iff	None	Press	0	Press
7515	2018-06-07 10:33:20	D04P1	MM0301	241.16	press	left	None	Press	0	Press
7533	2018-06-07 10:33:20	D04P1	MM0301	241.527	press	fire	None	Press	0	Press
7539	2018-06-07 10:33:20	D04P1	MM0301	241.594	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
7552	2018-06-07 10:33:20	D04P1	MM0301	241.86	press	left	None	Press	0	Press
7580	2018-06-07 10:33:20	D04P1	MM0301	242.561	press	thrust	None	Press	0	Press
7598	2018-06-07 10:33:20	D04P1	MM0301	243.06	press	left	None	Press	0	Press
7621	2018-06-07 10:33:20	D04P1	MM0301	243.562	press	fire	None	Press	0	Press
7640	2018-06-07 10:33:20	D04P1	MM0301	244.06	collide	missile_0	fortress	FortressShot	0	GameEvent
7645	2018-06-07 10:33:20	D04P1	MM0301	244.193	press	thrust	None	Press	0	Press
7649	2018-06-07 10:33:20	D04P1	MM0301	244.261	collide	shell	1	ShipDamage	-50	Flight
7669	2018-06-07 10:33:20	D04P1	MM0301	244.694	press	right	None	Press	0	Press
7674	2018-06-07 10:33:20	D04P1	MM0301	244.793	collide	shell	1	ShipDamage	-50	Flight
7684	2018-06-07 10:33:20	D04P1	MM0301	245.026	press	right	None	Press	0	Press
