Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
416	2021-04-26 18:16:20	D01P1	MN0802	13.563	press	right	None	Press	0	Press
440	2021-04-26 18:16:20	D01P1	MN0802	14.196	press	fire	None	Press	0	Press
443	2021-04-26 18:16:20	D01P1	MN0802	14.263	press	thrust	None	Press	0	Press
456	2021-04-26 18:16:20	D01P1	MN0802	14.562	collide	missile_0	fortress	FortressShot	0	GameEvent
457	2021-04-26 18:16:20	D01P1	MN0802	14.596	press	left	None	Press	0	Press
463	2021-04-26 18:16:20	D01P1	MN0802	14.663	collide	shell	0	ShipDamage	-50	Flight
476	2021-04-26 18:16:20	D01P1	MN0802	14.897	press	thrust	None	Press	0	Press
489	2021-04-26 18:16:20	D01P1	MN0802	15.198	collide	shell	0	ShipDamage	-50	Flight
506	2021-04-26 18:16:20	D01P1	MN0802	15.597	bonus_available	None	None	NewBonus	0	GameEvent
507	2021-04-26 18:16:20	D01P1	MN0802	15.63	press	right	None	Press	0	Press
538	2021-04-26 18:16:20	D01P1	MN0802	16.497	press	right	None	Press	0	Press
548	2021-04-26 18:16:20	D01P1	MN0802	16.764	press	pnts	None	Press	0	Press
550	2021-04-26 18:16:20	D01P1	MN0802	16.764	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
563	2021-04-26 18:16:20	D01P1	MN0802	16.996	press	right	None	Press	0	Press
576	2021-04-26 18:16:20	D01P1	MN0802	17.362	press	fire	None	Press	0	Press
590	2021-04-26 18:16:20	D01P1	MN0802	17.729	press	thrust	None	Press	0	Press
594	2021-04-26 18:16:20	D01P1	MN0802	17.765	new_mine	foe	None	NewMine	0	GameEvent
603	2021-04-26 18:16:20	D01P1	MN0802	17.93	press	left	None	Press	0	Press
605	2021-04-26 18:16:20	D01P1	MN0802	17.93	collide	missile_0	fortress	FortressShot	0	GameEvent
611	2021-04-26 18:16:20	D01P1	MN0802	18.064	press	left	None	Press	0	Press
626	2021-04-26 18:16:20	D01P1	MN0802	18.463	press	right	None	Press	0	Press
651	2021-04-26 18:16:20	D01P1	MN0802	19.064	press	thrust	None	Press	0	Press
665	2021-04-26 18:16:20	D01P1	MN0802	19.43	press	left	None	Press	0	Press
677	2021-04-26 18:16:20	D01P1	MN0802	19.763	press	iff	None	Press	0	Press
688	2021-04-26 18:16:20	D01P1	MN0802	19.897	press	iff	None	Press	0	Press
697	2021-04-26 18:16:20	D01P1	MN0802	20.097	press	thrust	None	Press	0	Press
714	2021-04-26 18:16:20	D01P1	MN0802	20.596	press	right	None	Press	0	Press
733	2021-04-26 18:16:20	D01P1	MN0802	21.03	press	left	None	Press	0	Press
749	2021-04-26 18:16:20	D01P1	MN0802	21.463	press	fire	None	Press	0	Press
767	2021-04-26 18:16:20	D01P1	MN0802	21.897	press	right	None	Press	0	Press
