Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
414	2021-03-16 17:59:40	D02P2	MP1112	13.484	press	thrust	None	Press	0	Press
438	2021-03-16 17:59:40	D02P2	MP1112	14.118	press	right	None	Press	0	Press
451	2021-03-16 17:59:40	D02P2	MP1112	14.451	press	thrust	None	Press	0	Press
465	2021-03-16 17:59:40	D02P2	MP1112	14.85	press	right	None	Press	0	Press
498	2021-03-16 17:59:40	D02P2	MP1112	15.717	press	right	None	Press	0	Press
499	2021-03-16 17:59:40	D02P2	MP1112	15.717	press	thrust	None	Press	0	Press
519	2021-03-16 17:59:40	D02P2	MP1112	16.185	press	thrust	None	Press	0	Press
521	2021-03-16 17:59:40	D02P2	MP1112	16.218	press	right	None	Press	0	Press
544	2021-03-16 17:59:40	D02P2	MP1112	16.817	press	thrust	None	Press	0	Press
553	2021-03-16 17:59:40	D02P2	MP1112	17.051	press	left	None	Press	0	Press
558	2021-03-16 17:59:40	D02P2	MP1112	17.086	new_mine	friend	None	NewMine	0	GameEvent
590	2021-03-16 17:59:40	D02P2	MP1112	17.917	press	thrust	None	Press	0	Press
609	2021-03-16 17:59:40	D02P2	MP1112	18.35	press	right	None	Press	0	Press
642	2021-03-16 17:59:40	D02P2	MP1112	19.251	press	left	None	Press	0	Press
676	2021-03-16 17:59:40	D02P2	MP1112	20.184	press	fire	None	Press	0	Press
702	2021-03-16 17:59:40	D02P2	MP1112	20.884	collide	missile_0	fortress	FortressShot	0	GameEvent
718	2021-03-16 17:59:40	D02P2	MP1112	21.283	press	thrust	None	Press	0	Press
720	2021-03-16 17:59:40	D02P2	MP1112	21.317	press	right	None	Press	0	Press
738	2021-03-16 17:59:40	D02P2	MP1112	21.75	press	thrust	None	Press	0	Press
748	2021-03-16 17:59:40	D02P2	MP1112	22.017	press	thrust	None	Press	0	Press
764	2021-03-16 17:59:40	D02P2	MP1112	22.318	bonus_available	None	None	NewBonus	0	GameEvent
780	2021-03-16 17:59:40	D02P2	MP1112	22.784	press	fire	None	Press	0	Press
818	2021-03-16 17:59:40	D02P2	MP1112	23.85	press	right	None	Press	0	Press
836	2021-03-16 17:59:40	D02P2	MP1112	24.284	press	fire	None	Press	0	Press
845	2021-03-16 17:59:40	D02P2	MP1112	24.418	collide	friend_mine	None	FriendMineDestruction	50	Mine
863	2021-03-16 17:59:40	D02P2	MP1112	24.818	press	left	None	Press	0	Press
874	2021-03-16 17:59:40	D02P2	MP1112	25.083	press	left	None	Press	0	Press
889	2021-03-16 17:59:40	D02P2	MP1112	25.417	press	fire	None	Press	0	Press
904	2021-03-16 17:59:40	D02P2	MP1112	25.783	collide	missile_0	fortress	FortressShot	0	GameEvent
912	2021-03-16 17:59:40	D02P2	MP1112	25.985	press	thrust	None	Press	0	Press
948	2021-03-16 17:59:40	D02P2	MP1112	26.884	press	thrust	None	Press	0	Press
952	2021-03-16 17:59:40	D02P2	MP1112	26.983	press	right	None	Press	0	Press
973	2021-03-16 17:59:40	D02P2	MP1112	27.485	press	right	None	Press	0	Press
992	2021-03-16 17:59:40	D02P2	MP1112	28.017	press	thrust	None	Press	0	Press
1007	2021-03-16 17:59:40	D02P2	MP1112	28.317	press	thrust	None	Press	0	Press
1014	2021-03-16 17:59:40	D02P2	MP1112	28.484	press	fire	None	Press	0	Press
1038	2021-03-16 17:59:40	D02P2	MP1112	29.217	press	right	None	Press	0	Press
1054	2021-03-16 17:59:40	D02P2	MP1112	29.517	press	thrust	None	Press	0	Press
1056	2021-03-16 17:59:40	D02P2	MP1112	29.519	new_mine	friend	None	NewMine	0	GameEvent
1071	2021-03-16 17:59:40	D02P2	MP1112	29.917	press	thrust	None	Press	0	Press
1089	2021-03-16 17:59:40	D02P2	MP1112	30.35	press	fire	None	Press	0	Press
1098	2021-03-16 17:59:40	D02P2	MP1112	30.55	press	left	None	Press	0	Press
1100	2021-03-16 17:59:40	D02P2	MP1112	30.584	press	thrust	None	Press	0	Press
1111	2021-03-16 17:59:40	D02P2	MP1112	30.818	collide	missile_0	fortress	FortressShot	0	GameEvent
1125	2021-03-16 17:59:40	D02P2	MP1112	31.185	press	right	None	Press	0	Press
1141	2021-03-16 17:59:40	D02P2	MP1112	31.584	press	thrust	None	Press	0	Press
1155	2021-03-16 17:59:40	D02P2	MP1112	31.951	press	thrust	None	Press	0	Press
