Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
3567	2019-10-02 12:41:12	D03P1	NB1309	118.936	press	thrust	None	Press	0	Press
3584	2019-10-02 12:41:12	D03P1	NB1309	119.401	press	right	None	Press	0	Press
3616	2019-10-02 12:41:12	D03P1	NB1309	120.269	press	right	None	Press	0	Press
3632	2019-10-02 12:41:12	D03P1	NB1309	120.569	press	thrust	None	Press	0	Press
3652	2019-10-02 12:41:12	D03P1	NB1309	121.169	press	left	None	Press	0	Press
3659	2019-10-02 12:41:12	D03P1	NB1309	121.28	bonus_available	None	None	NewBonus	0	GameEvent
3672	2019-10-02 12:41:12	D03P1	NB1309	121.57	press	thrust	None	Press	0	Press
3682	2019-10-02 12:41:12	D03P1	NB1309	121.836	press	right	None	Press	0	Press
3695	2019-10-02 12:41:12	D03P1	NB1309	122.168	press	fire	None	Press	0	Press
3721	2019-10-02 12:41:12	D03P1	NB1309	122.835	press	pnts	None	Press	0	Press
3723	2019-10-02 12:41:12	D03P1	NB1309	122.835	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
3738	2019-10-02 12:41:12	D03P1	NB1309	123.235	press	left	None	Press	0	Press
3750	2019-10-02 12:41:12	D03P1	NB1309	123.45	new_mine	foe	None	NewMine	0	GameEvent
3762	2019-10-02 12:41:12	D03P1	NB1309	123.735	press	thrust	None	Press	0	Press
3778	2019-10-02 12:41:12	D03P1	NB1309	124.134	press	right	None	Press	0	Press
3804	2019-10-02 12:41:12	D03P1	NB1309	124.803	press	left	None	Press	0	Press
3834	2019-10-02 12:41:12	D03P1	NB1309	125.569	press	iff	None	Press	0	Press
3841	2019-10-02 12:41:12	D03P1	NB1309	125.702	press	iff	None	Press	0	Press
3857	2019-10-02 12:41:12	D03P1	NB1309	126.07	press	right	None	Press	0	Press
3865	2019-10-02 12:41:12	D03P1	NB1309	126.269	press	fire	None	Press	0	Press
3876	2019-10-02 12:41:12	D03P1	NB1309	126.469	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
3892	2019-10-02 12:41:12	D03P1	NB1309	126.735	press	right	None	Press	0	Press
3908	2019-10-02 12:41:12	D03P1	NB1309	127.169	press	right	None	Press	0	Press
3924	2019-10-02 12:41:12	D03P1	NB1309	127.502	press	thrust	None	Press	0	Press
3965	2019-10-02 12:41:12	D03P1	NB1309	128.602	press	right	None	Press	0	Press
3982	2019-10-02 12:41:12	D03P1	NB1309	129.069	press	left	None	Press	0	Press
3993	2019-10-02 12:41:12	D03P1	NB1309	129.303	press	fire	None	Press	0	Press
4015	2019-10-02 12:41:12	D03P1	NB1309	129.869	press	fire	None	Press	0	Press
4029	2019-10-02 12:41:12	D03P1	NB1309	130.135	collide	missile_0	fortress	FortressShot	0	GameEvent
4041	2019-10-02 12:41:12	D03P1	NB1309	130.502	press	fire	None	Press	0	Press
4053	2019-10-02 12:41:12	D03P1	NB1309	130.701	collide	missile_0	fortress	FortressShot	0	GameEvent
