Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
982	2021-04-15 08:07:43	D04P2	NF0306	32.564	press	right	None	Press	0	Press
998	2021-04-15 08:07:43	D04P2	NF0306	32.864	press	thrust	None	Press	0	Press
1018	2021-04-15 08:07:43	D04P2	NF0306	33.464	press	right	None	Press	0	Press
1048	2021-04-15 08:07:43	D04P2	NF0306	34.231	press	right	None	Press	0	Press
1064	2021-04-15 08:07:43	D04P2	NF0306	34.664	press	fire	None	Press	0	Press
1083	2021-04-15 08:07:43	D04P2	NF0306	35.098	press	fire	None	Press	0	Press
1093	2021-04-15 08:07:43	D04P2	NF0306	35.331	collide	missile_1	fortress	FortressShot	0	GameEvent
1097	2021-04-15 08:07:43	D04P2	NF0306	35.431	press	right	None	Press	0	Press
1108	2021-04-15 08:07:43	D04P2	NF0306	35.731	press	fire	None	Press	0	Press
1138	2021-04-15 08:07:43	D04P2	NF0306	36.464	press	fire	None	Press	0	Press
1150	2021-04-15 08:07:43	D04P2	NF0306	36.732	collide	missile_1	fortress	FortressShot	0	GameEvent
1152	2021-04-15 08:07:43	D04P2	NF0306	36.764	press	right	None	Press	0	Press
1158	2021-04-15 08:07:43	D04P2	NF0306	36.833	new_mine	friend	None	NewMine	0	GameEvent
1179	2021-04-15 08:07:43	D04P2	NF0306	37.331	press	thrust	None	Press	0	Press
1197	2021-04-15 08:07:43	D04P2	NF0306	37.831	press	right	None	Press	0	Press
1213	2021-04-15 08:07:43	D04P2	NF0306	38.164	press	left	None	Press	0	Press
1225	2021-04-15 08:07:43	D04P2	NF0306	38.497	press	fire	None	Press	0	Press
1233	2021-04-15 08:07:43	D04P2	NF0306	38.664	press	right	None	Press	0	Press
1240	2021-04-15 08:07:43	D04P2	NF0306	38.831	collide	missile_0	fortress	FortressShot	0	GameEvent
1272	2021-04-15 08:07:43	D04P2	NF0306	39.665	press	fire	None	Press	0	Press
1278	2021-04-15 08:07:43	D04P2	NF0306	39.731	collide	friend_mine	None	FriendMineDestruction	50	Mine
1284	2021-04-15 08:07:43	D04P2	NF0306	39.798	press	left	None	Press	0	Press
1320	2021-04-15 08:07:43	D04P2	NF0306	40.764	press	left	None	Press	0	Press
1334	2021-04-15 08:07:43	D04P2	NF0306	41.031	press	fire	None	Press	0	Press
1346	2021-04-15 08:07:43	D04P2	NF0306	41.331	collide	missile_0	fortress	FortressShot	0	GameEvent
1350	2021-04-15 08:07:43	D04P2	NF0306	41.431	press	fire	None	Press	0	Press
