Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
519	2019-11-25 17:18:22	D14P2	PC2104	17.229	press	thrust	None	Press	0	Press
526	2019-11-25 17:18:22	D14P2	PC2104	17.362	press	right	None	Press	0	Press
537	2019-11-25 17:18:22	D14P2	PC2104	17.563	press	thrust	None	Press	0	Press
553	2019-11-25 17:18:22	D14P2	PC2104	17.995	press	right	None	Press	0	Press
555	2019-11-25 17:18:22	D14P2	PC2104	18.029	press	thrust	None	Press	0	Press
570	2019-11-25 17:18:22	D14P2	PC2104	18.428	press	right	None	Press	0	Press
583	2019-11-25 17:18:22	D14P2	PC2104	18.663	press	fire	None	Press	0	Press
595	2019-11-25 17:18:22	D14P2	PC2104	18.962	collide	missile_0	fortress	FortressShot	0	GameEvent
599	2019-11-25 17:18:22	D14P2	PC2104	19.062	press	right	None	Press	0	Press
607	2019-11-25 17:18:22	D14P2	PC2104	19.262	press	fire	None	Press	0	Press
619	2019-11-25 17:18:22	D14P2	PC2104	19.529	collide	missile_0	fortress	FortressShot	0	GameEvent
626	2019-11-25 17:18:22	D14P2	PC2104	19.628	press	right	None	Press	0	Press
634	2019-11-25 17:18:22	D14P2	PC2104	19.829	press	fire	None	Press	0	Press
645	2019-11-25 17:18:22	D14P2	PC2104	20.096	collide	missile_0	fortress	FortressShot	0	GameEvent
649	2019-11-25 17:18:22	D14P2	PC2104	20.196	press	right	None	Press	0	Press
657	2019-11-25 17:18:22	D14P2	PC2104	20.396	press	fire	None	Press	0	Press
674	2019-11-25 17:18:22	D14P2	PC2104	20.729	collide	missile_0	fortress	FortressShot	0	GameEvent
686	2019-11-25 17:18:22	D14P2	PC2104	21.063	press	thrust	None	Press	0	Press
699	2019-11-25 17:18:22	D14P2	PC2104	21.397	press	right	None	Press	0	Press
704	2019-11-25 17:18:22	D14P2	PC2104	21.496	press	thrust	None	Press	0	Press
708	2019-11-25 17:18:22	D14P2	PC2104	21.548	new_mine	friend	None	NewMine	0	GameEvent
724	2019-11-25 17:18:22	D14P2	PC2104	21.862	press	thrust	None	Press	0	Press
742	2019-11-25 17:18:22	D14P2	PC2104	22.396	press	left	None	Press	0	Press
760	2019-11-25 17:18:22	D14P2	PC2104	22.763	press	left	None	Press	0	Press
771	2019-11-25 17:18:22	D14P2	PC2104	23.062	press	thrust	None	Press	0	Press
786	2019-11-25 17:18:22	D14P2	PC2104	23.496	press	right	None	Press	0	Press
812	2019-11-25 17:18:22	D14P2	PC2104	24.163	press	left	None	Press	0	Press
824	2019-11-25 17:18:22	D14P2	PC2104	24.497	press	fire	None	Press	0	Press
833	2019-11-25 17:18:22	D14P2	PC2104	24.628	collide	friend_mine	None	FriendMineDestruction	50	Mine
846	2019-11-25 17:18:22	D14P2	PC2104	24.829	press	thrust	None	Press	0	Press
853	2019-11-25 17:18:22	D14P2	PC2104	25.028	press	right	None	Press	0	Press
883	2019-11-25 17:18:22	D14P2	PC2104	25.796	press	fire	None	Press	0	Press
896	2019-11-25 17:18:22	D14P2	PC2104	26.162	press	left	None	Press	0	Press
907	2019-11-25 17:18:22	D14P2	PC2104	26.462	press	right	None	Press	0	Press
923	2019-11-25 17:18:22	D14P2	PC2104	26.728	bonus_available	None	None	NewBonus	0	GameEvent
925	2019-11-25 17:18:22	D14P2	PC2104	26.796	press	fire	None	Press	0	Press
930	2019-11-25 17:18:22	D14P2	PC2104	26.896	press	thrust	None	Press	0	Press
941	2019-11-25 17:18:22	D14P2	PC2104	27.229	press	right	None	Press	0	Press
959	2019-11-25 17:18:22	D14P2	PC2104	27.662	press	pnts	None	Press	0	Press
961	2019-11-25 17:18:22	D14P2	PC2104	27.662	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
971	2019-11-25 17:18:22	D14P2	PC2104	27.829	press	thrust	None	Press	0	Press
976	2019-11-25 17:18:22	D14P2	PC2104	27.962	press	right	None	Press	0	Press
1015	2019-11-25 17:18:22	D14P2	PC2104	28.929	press	thrust	None	Press	0	Press
1026	2019-11-25 17:18:22	D14P2	PC2104	29.195	press	fire	None	Press	0	Press
1034	2019-11-25 17:18:22	D14P2	PC2104	29.396	press	right	None	Press	0	Press
1051	2019-11-25 17:18:22	D14P2	PC2104	29.765	new_mine	foe	None	NewMine	0	GameEvent
1053	2019-11-25 17:18:22	D14P2	PC2104	29.829	press	fire	None	Press	0	Press
