Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
2226	2019-10-04 16:09:41	D05P1	RC1907	74.116	press	thrust	None	Press	0	Press
2235	2019-10-04 16:09:41	D05P1	RC1907	74.383	press	right	None	Press	0	Press
2261	2019-10-04 16:09:41	D05P1	RC1907	74.984	press	fire	None	Press	0	Press
2273	2019-10-04 16:09:41	D05P1	RC1907	75.316	press	right	None	Press	0	Press
2282	2019-10-04 16:09:41	D05P1	RC1907	75.549	press	thrust	None	Press	0	Press
2285	2019-10-04 16:09:41	D05P1	RC1907	75.617	press	right	None	Press	0	Press
2307	2019-10-04 16:09:41	D05P1	RC1907	76.117	press	fire	None	Press	0	Press
2320	2019-10-04 16:09:41	D05P1	RC1907	76.483	press	right	None	Press	0	Press
2323	2019-10-04 16:09:41	D05P1	RC1907	76.517	collide	missile_1	fortress	FortressShot	0	GameEvent
2333	2019-10-04 16:09:41	D05P1	RC1907	76.718	press	fire	None	Press	0	Press
2345	2019-10-04 16:09:41	D05P1	RC1907	76.951	press	thrust	None	Press	0	Press
2352	2019-10-04 16:09:41	D05P1	RC1907	77.117	collide	missile_0	fortress	FortressShot	0	GameEvent
2363	2019-10-04 16:09:41	D05P1	RC1907	77.417	press	fire	None	Press	0	Press
2365	2019-10-04 16:09:41	D05P1	RC1907	77.45	press	right	None	Press	0	Press
2380	2019-10-04 16:09:41	D05P1	RC1907	77.85	press	thrust	None	Press	0	Press
2387	2019-10-04 16:09:41	D05P1	RC1907	77.95	press	fire	None	Press	0	Press
2396	2019-10-04 16:09:41	D05P1	RC1907	78.116	press	thrust	None	Press	0	Press
2412	2019-10-04 16:09:41	D05P1	RC1907	78.584	press	fire	None	Press	0	Press
2424	2019-10-04 16:09:41	D05P1	RC1907	78.817	press	thrust	None	Press	0	Press
2426	2019-10-04 16:09:41	D05P1	RC1907	78.835	new_mine	friend	None	NewMine	0	GameEvent
2435	2019-10-04 16:09:41	D05P1	RC1907	78.917	collide	friend_mine	None	FriendMineDestruction	50	Mine
2436	2019-10-04 16:09:41	D05P1	RC1907	78.917	collide	missile_0	fortress	FortressShot	0	GameEvent
2444	2019-10-04 16:09:41	D05P1	RC1907	79.017	press	right	None	Press	0	Press
2454	2019-10-04 16:09:41	D05P1	RC1907	79.251	press	fire	None	Press	0	Press
2467	2019-10-04 16:09:41	D05P1	RC1907	79.583	collide	missile_0	fortress	FortressShot	0	GameEvent
2476	2019-10-04 16:09:41	D05P1	RC1907	79.85	press	right	None	Press	0	Press
2478	2019-10-04 16:09:41	D05P1	RC1907	79.883	press	thrust	None	Press	0	Press
2479	2019-10-04 16:09:41	D05P1	RC1907	79.883	press	fire	None	Press	0	Press
2498	2019-10-04 16:09:41	D05P1	RC1907	80.217	collide	missile_0	fortress	FortressShot	0	GameEvent
2501	2019-10-04 16:09:41	D05P1	RC1907	80.283	press	right	None	Press	0	Press
2503	2019-10-04 16:09:41	D05P1	RC1907	80.317	press	thrust	None	Press	0	Press
2510	2019-10-04 16:09:41	D05P1	RC1907	80.484	press	fire	None	Press	0	Press
2532	2019-10-04 16:09:41	D05P1	RC1907	81.017	press	fire	None	Press	0	Press
