Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
865	2021-03-19 13:44:37	D05P1	SA2706	28.637	press	thrust	None	Press	0	Press
882	2021-03-19 13:44:37	D05P1	SA2706	28.973	press	right	None	Press	0	Press
907	2021-03-19 13:44:37	D05P1	SA2706	29.738	press	right	None	Press	0	Press
914	2021-03-19 13:44:37	D05P1	SA2706	29.905	press	fire	None	Press	0	Press
934	2021-03-19 13:44:37	D05P1	SA2706	30.338	press	fire	None	Press	0	Press
936	2021-03-19 13:44:37	D05P1	SA2706	30.339	collide	missile_0	fortress	FortressShot	0	GameEvent
950	2021-03-19 13:44:37	D05P1	SA2706	30.738	press	right	None	Press	0	Press
953	2021-03-19 13:44:37	D05P1	SA2706	30.772	collide	missile_0	fortress	FortressShot	0	GameEvent
959	2021-03-19 13:44:37	D05P1	SA2706	30.872	press	fire	None	Press	0	Press
981	2021-03-19 13:44:37	D05P1	SA2706	31.405	collide	missile_0	fortress	FortressShot	0	GameEvent
986	2021-03-19 13:44:37	D05P1	SA2706	31.504	press	fire	None	Press	0	Press
1009	2021-03-19 13:44:37	D05P1	SA2706	32.072	press	right	None	Press	0	Press
1011	2021-03-19 13:44:37	D05P1	SA2706	32.072	collide	missile_0	fortress	FortressShot	0	GameEvent
1023	2021-03-19 13:44:37	D05P1	SA2706	32.371	press	fire	None	Press	0	Press
1036	2021-03-19 13:44:37	D05P1	SA2706	32.737	press	thrust	None	Press	0	Press
1047	2021-03-19 13:44:37	D05P1	SA2706	32.94	new_mine	friend	None	NewMine	0	GameEvent
1054	2021-03-19 13:44:37	D05P1	SA2706	33.037	collide	missile_0	fortress	FortressShot	0	GameEvent
1069	2021-03-19 13:44:37	D05P1	SA2706	33.438	press	right	None	Press	0	Press
1086	2021-03-19 13:44:37	D05P1	SA2706	33.937	press	fire	None	Press	0	Press
1098	2021-03-19 13:44:37	D05P1	SA2706	34.07	collide	friend_mine	None	FriendMineDestruction	50	Mine
1119	2021-03-19 13:44:37	D05P1	SA2706	34.604	press	right	None	Press	0	Press
1135	2021-03-19 13:44:37	D05P1	SA2706	35.004	press	fire	None	Press	0	Press
1164	2021-03-19 13:44:37	D05P1	SA2706	35.737	collide	missile_0	fortress	FortressShot	0	GameEvent
1173	2021-03-19 13:44:37	D05P1	SA2706	36.005	press	fire	None	Press	0	Press
1198	2021-03-19 13:44:37	D05P1	SA2706	36.637	press	right	None	Press	0	Press
1203	2021-03-19 13:44:37	D05P1	SA2706	36.671	collide	missile_0	fortress	FortressShot	0	GameEvent
1223	2021-03-19 13:44:37	D05P1	SA2706	37.172	press	fire	None	Press	0	Press
1243	2021-03-19 13:44:37	D05P1	SA2706	37.705	press	right	None	Press	0	Press
1252	2021-03-19 13:44:37	D05P1	SA2706	37.871	collide	missile_0	fortress	FortressShot	0	GameEvent
1260	2021-03-19 13:44:37	D05P1	SA2706	38.104	press	fire	None	Press	0	Press
1269	2021-03-19 13:44:37	D05P1	SA2706	38.17	bonus_available	None	None	NewBonus	0	GameEvent
