Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
26962	2018-06-19 09:30:43	D14P2	SB2903	634.337	press	thrust	None	Press	0	Press
26971	2018-06-19 09:30:43	D14P2	SB2903	634.571	press	right	None	Press	0	Press
27001	2018-06-19 09:30:43	D14P2	SB2903	635.337	press	fire	None	Press	0	Press
27014	2018-06-19 09:30:43	D14P2	SB2903	635.671	press	thrust	None	Press	0	Press
27022	2018-06-19 09:30:43	D14P2	SB2903	635.904	press	fire	None	Press	0	Press
27037	2018-06-19 09:30:43	D14P2	SB2903	636.137	collide	missile_1	fortress	FortressShot	0	GameEvent
27049	2018-06-19 09:30:43	D14P2	SB2903	636.47	press	fire	None	Press	0	Press
27062	2018-06-19 09:30:43	D14P2	SB2903	636.803	press	right	None	Press	0	Press
27065	2018-06-19 09:30:43	D14P2	SB2903	636.804	bonus_available	None	None	NewBonus	0	GameEvent
27078	2018-06-19 09:30:43	D14P2	SB2903	637.071	press	fire	None	Press	0	Press
27086	2018-06-19 09:30:43	D14P2	SB2903	637.238	collide	missile_1	fortress	FortressShot	0	GameEvent
27103	2018-06-19 09:30:43	D14P2	SB2903	637.737	press	shots	None	Press	0	Press
27105	2018-06-19 09:30:43	D14P2	SB2903	637.737	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
27112	2018-06-19 09:30:43	D14P2	SB2903	637.871	press	fire	None	Press	0	Press
27115	2018-06-19 09:30:43	D14P2	SB2903	637.937	press	right	None	Press	0	Press
27138	2018-06-19 09:30:43	D14P2	SB2903	638.436	press	fire	None	Press	0	Press
27145	2018-06-19 09:30:43	D14P2	SB2903	638.604	press	thrust	None	Press	0	Press
27147	2018-06-19 09:30:43	D14P2	SB2903	638.605	collide	missile_1	fortress	FortressShot	0	GameEvent
27163	2018-06-19 09:30:43	D14P2	SB2903	638.954	new_mine	friend	None	NewMine	0	GameEvent
27169	2018-06-19 09:30:43	D14P2	SB2903	639.004	press	fire	None	Press	0	Press
27174	2018-06-19 09:30:43	D14P2	SB2903	639.137	press	right	None	Press	0	Press
27196	2018-06-19 09:30:43	D14P2	SB2903	639.77	press	left	None	Press	0	Press
27224	2018-06-19 09:30:43	D14P2	SB2903	640.47	press	iff	None	Press	0	Press
27232	2018-06-19 09:30:43	D14P2	SB2903	640.637	press	iff	None	Press	0	Press
27239	2018-06-19 09:30:43	D14P2	SB2903	640.77	press	fire	None	Press	0	Press
27254	2018-06-19 09:30:43	D14P2	SB2903	641.004	collide	mine_0	ship	ShipDamage	-50	Flight
27261	2018-06-19 09:30:43	D14P2	SB2903	641.17	press	right	None	Press	0	Press
27280	2018-06-19 09:30:43	D14P2	SB2903	641.77	press	thrust	None	Press	0	Press
