Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
26955	2018-06-08 15:32:00	D05P2	SF2107	651.788	press	thrust	None	Press	0	Press
26964	2018-06-08 15:32:00	D05P2	SF2107	652.053	press	right	None	Press	0	Press
26997	2018-06-08 15:32:00	D05P2	SF2107	652.887	press	fire	None	Press	0	Press
27007	2018-06-08 15:32:00	D05P2	SF2107	653.154	press	right	None	Press	0	Press
27013	2018-06-08 15:32:00	D05P2	SF2107	653.288	collide	missile_0	fortress	FortressShot	0	GameEvent
27020	2018-06-08 15:32:00	D05P2	SF2107	653.454	press	thrust	None	Press	0	Press
27044	2018-06-08 15:32:00	D05P2	SF2107	654.054	press	fire	None	Press	0	Press
27049	2018-06-08 15:32:00	D05P2	SF2107	654.154	press	thrust	None	Press	0	Press
27062	2018-06-08 15:32:00	D05P2	SF2107	654.488	collide	missile_0	fortress	FortressShot	0	GameEvent
27080	2018-06-08 15:32:00	D05P2	SF2107	654.954	press	right	None	Press	0	Press
27118	2018-06-08 15:32:00	D05P2	SF2107	655.987	press	fire	None	Press	0	Press
27128	2018-06-08 15:32:00	D05P2	SF2107	656.254	press	thrust	None	Press	0	Press
27131	2018-06-08 15:32:00	D05P2	SF2107	656.32	press	right	None	Press	0	Press
27142	2018-06-08 15:32:00	D05P2	SF2107	656.572	new_mine	friend	None	NewMine	0	GameEvent
27187	2018-06-08 15:32:00	D05P2	SF2107	657.753	press	fire	None	Press	0	Press
27205	2018-06-08 15:32:00	D05P2	SF2107	658.188	collide	missile_0	fortress	FortressShot	0	GameEvent
27206	2018-06-08 15:32:00	D05P2	SF2107	658.22	press	thrust	None	Press	0	Press
27218	2018-06-08 15:32:00	D05P2	SF2107	658.52	press	right	None	Press	0	Press
27256	2018-06-08 15:32:00	D05P2	SF2107	659.587	press	right	None	Press	0	Press
27278	2018-06-08 15:32:00	D05P2	SF2107	660.154	press	fire	None	Press	0	Press
27300	2018-06-08 15:32:00	D05P2	SF2107	660.72	press	thrust	None	Press	0	Press
27306	2018-06-08 15:32:00	D05P2	SF2107	660.82	collide	friend_mine	None	FriendMineDestruction	50	Mine
27323	2018-06-08 15:32:00	D05P2	SF2107	661.22	press	thrust	None	Press	0	Press
27343	2018-06-08 15:32:00	D05P2	SF2107	661.72	press	right	None	Press	0	Press
27359	2018-06-08 15:32:00	D05P2	SF2107	662.12	press	left	None	Press	0	Press
27365	2018-06-08 15:32:00	D05P2	SF2107	662.287	press	thrust	None	Press	0	Press
27378	2018-06-08 15:32:00	D05P2	SF2107	662.621	press	right	None	Press	0	Press
27395	2018-06-08 15:32:00	D05P2	SF2107	662.987	press	fire	None	Press	0	Press
27403	2018-06-08 15:32:00	D05P2	SF2107	663.154	press	right	None	Press	0	Press
27407	2018-06-08 15:32:00	D05P2	SF2107	663.221	collide	missile_0	fortress	FortressShot	0	GameEvent
27434	2018-06-08 15:32:00	D05P2	SF2107	663.888	press	fire	None	Press	0	Press
27442	2018-06-08 15:32:00	D05P2	SF2107	664.088	press	right	None	Press	0	Press
27445	2018-06-08 15:32:00	D05P2	SF2107	664.12	collide	missile_0	fortress	FortressShot	0	GameEvent
27446	2018-06-08 15:32:00	D05P2	SF2107	664.154	press	thrust	None	Press	0	Press
27475	2018-06-08 15:32:00	D05P2	SF2107	664.92	press	right	None	Press	0	Press
27494	2018-06-08 15:32:00	D05P2	SF2107	665.42	press	fire	None	Press	0	Press
27510	2018-06-08 15:32:00	D05P2	SF2107	665.788	press	thrust	None	Press	0	Press
27512	2018-06-08 15:32:00	D05P2	SF2107	665.788	collide	missile_0	fortress	FortressShot	0	GameEvent
27519	2018-06-08 15:32:00	D05P2	SF2107	665.938	new_mine	friend	None	NewMine	0	GameEvent
27536	2018-06-08 15:32:00	D05P2	SF2107	666.455	press	right	None	Press	0	Press
27559	2018-06-08 15:32:00	D05P2	SF2107	666.955	press	right	None	Press	0	Press
27574	2018-06-08 15:32:00	D05P2	SF2107	667.354	press	fire	None	Press	0	Press
27587	2018-06-08 15:32:00	D05P2	SF2107	667.687	collide	missile_0	fortress	FortressShot	0	GameEvent
27605	2018-06-08 15:32:00	D05P2	SF2107	668.12	press	thrust	None	Press	0	Press
27621	2018-06-08 15:32:00	D05P2	SF2107	668.621	press	right	None	Press	0	Press
27649	2018-06-08 15:32:00	D05P2	SF2107	669.322	press	right	None	Press	0	Press
27676	2018-06-08 15:32:00	D05P2	SF2107	670.055	press	fire	None	Press	0	Press
27682	2018-06-08 15:32:00	D05P2	SF2107	670.187	press	thrust	None	Press	0	Press
27701	2018-06-08 15:32:00	D05P2	SF2107	670.72	collide	friend_mine	None	FriendMineDestruction	50	Mine
27735	2018-06-08 15:32:00	D05P2	SF2107	671.554	press	left	None	Press	0	Press
27737	2018-06-08 15:32:00	D05P2	SF2107	671.587	press	thrust	None	Press	0	Press
27747	2018-06-08 15:32:00	D05P2	SF2107	671.854	press	right	None	Press	0	Press
27774	2018-06-08 15:32:00	D05P2	SF2107	672.521	press	right	None	Press	0	Press
27784	2018-06-08 15:32:00	D05P2	SF2107	672.787	press	fire	None	Press	0	Press
27796	2018-06-08 15:32:00	D05P2	SF2107	672.987	collide	missile_0	fortress	FortressShot	0	GameEvent
27800	2018-06-08 15:32:00	D05P2	SF2107	673.087	press	right	None	Press	0	Press
27823	2018-06-08 15:32:00	D05P2	SF2107	673.754	press	fire	None	Press	0	Press
27834	2018-06-08 15:32:00	D05P2	SF2107	673.921	collide	missile_0	fortress	FortressShot	0	GameEvent
27838	2018-06-08 15:32:00	D05P2	SF2107	674.021	press	thrust	None	Press	0	Press
27840	2018-06-08 15:32:00	D05P2	SF2107	674.055	press	right	None	Press	0	Press
27859	2018-06-08 15:32:00	D05P2	SF2107	674.587	press	right	None	Press	0	Press
27897	2018-06-08 15:32:00	D05P2	SF2107	675.587	press	fire	None	Press	0	Press
27908	2018-06-08 15:32:00	D05P2	SF2107	675.837	new_mine	friend	None	NewMine	0	GameEvent
27910	2018-06-08 15:32:00	D05P2	SF2107	675.854	collide	missile_0	fortress	FortressShot	0	GameEvent
27917	2018-06-08 15:32:00	D05P2	SF2107	675.954	press	right	None	Press	0	Press
27936	2018-06-08 15:32:00	D05P2	SF2107	676.522	press	fire	None	Press	0	Press
27946	2018-06-08 15:32:00	D05P2	SF2107	676.755	press	right	None	Press	0	Press
28003	2018-06-08 15:32:00	D05P2	SF2107	678.287	press	fire	None	Press	0	Press
28011	2018-06-08 15:32:00	D05P2	SF2107	678.387	collide	friend_mine	None	FriendMineDestruction	50	Mine
28023	2018-06-08 15:32:00	D05P2	SF2107	678.654	press	thrust	None	Press	0	Press
28085	2018-06-08 15:32:00	D05P2	SF2107	680.388	press	right	None	Press	0	Press
28144	2018-06-08 15:32:00	D05P2	SF2107	682.02	press	fire	None	Press	0	Press
28165	2018-06-08 15:32:00	D05P2	SF2107	682.52	collide	missile_0	fortress	FortressShot	0	GameEvent
28166	2018-06-08 15:32:00	D05P2	SF2107	682.554	press	thrust	None	Press	0	Press
28187	2018-06-08 15:32:00	D05P2	SF2107	683.087	press	right	None	Press	0	Press
28204	2018-06-08 15:32:00	D05P2	SF2107	683.506	new_mine	foe	None	NewMine	0	GameEvent
28205	2018-06-08 15:32:00	D05P2	SF2107	683.52	press	right	None	Press	0	Press
28231	2018-06-08 15:32:00	D05P2	SF2107	684.188	press	fire	None	Press	0	Press
28237	2018-06-08 15:32:00	D05P2	SF2107	684.32	press	fire	None	Press	0	Press
28259	2018-06-08 15:32:00	D05P2	SF2107	684.821	collide	missile_0	fortress	FortressShot	0	GameEvent
28273	2018-06-08 15:32:00	D05P2	SF2107	685.154	press	thrust	None	Press	0	Press
28294	2018-06-08 15:32:00	D05P2	SF2107	685.754	press	right	None	Press	0	Press
28333	2018-06-08 15:32:00	D05P2	SF2107	686.82	press	right	None	Press	0	Press
28375	2018-06-08 15:32:00	D05P2	SF2107	687.954	press	fire	None	Press	0	Press
28381	2018-06-08 15:32:00	D05P2	SF2107	688.086	press	fire	None	Press	0	Press
28399	2018-06-08 15:32:00	D05P2	SF2107	688.455	collide	missile_0	fortress	FortressShot	0	GameEvent
28405	2018-06-08 15:32:00	D05P2	SF2107	688.587	collide	missile_0	fortress	FortressShot	0	GameEvent
28407	2018-06-08 15:32:00	D05P2	SF2107	688.621	destroyed	fortress	None	FortressDestruction	250	Fortress
28414	2018-06-08 15:32:00	D05P2	SF2107	688.754	press	thrust	None	Press	0	Press
28440	2018-06-08 15:32:00	D05P2	SF2107	689.454	press	right	None	Press	0	Press
28460	2018-06-08 15:32:00	D05P2	SF2107	690.021	press	right	None	Press	0	Press
28502	2018-06-08 15:32:00	D05P2	SF2107	691.154	press	fire	None	Press	0	Press
28515	2018-06-08 15:32:00	D05P2	SF2107	691.387	press	thrust	None	Press	0	Press
28524	2018-06-08 15:32:00	D05P2	SF2107	691.587	collide	missile_0	fortress	FortressShot	0	GameEvent
28549	2018-06-08 15:32:00	D05P2	SF2107	692.287	press	right	None	Press	0	Press
28591	2018-06-08 15:32:00	D05P2	SF2107	693.454	press	fire	None	Press	0	Press
28594	2018-06-08 15:32:00	D05P2	SF2107	693.488	timeout	mine	None	MineExtinction	-50	Mine
28609	2018-06-08 15:32:00	D05P2	SF2107	693.887	collide	missile_0	fortress	FortressShot	0	GameEvent
28612	2018-06-08 15:32:00	D05P2	SF2107	693.954	press	thrust	None	Press	0	Press
28636	2018-06-08 15:32:00	D05P2	SF2107	694.62	press	right	None	Press	0	Press
28680	2018-06-08 15:32:00	D05P2	SF2107	695.887	press	fire	None	Press	0	Press
28693	2018-06-08 15:32:00	D05P2	SF2107	696.255	press	thrust	None	Press	0	Press
28700	2018-06-08 15:32:00	D05P2	SF2107	696.32	collide	missile_0	fortress	FortressShot	0	GameEvent
28735	2018-06-08 15:32:00	D05P2	SF2107	697.32	press	right	None	Press	0	Press
28763	2018-06-08 15:32:00	D05P2	SF2107	698.121	press	fire	None	Press	0	Press
28784	2018-06-08 15:32:00	D05P2	SF2107	698.572	new_mine	foe	None	NewMine	0	GameEvent
28786	2018-06-08 15:32:00	D05P2	SF2107	698.588	collide	missile_0	fortress	FortressShot	0	GameEvent
28791	2018-06-08 15:32:00	D05P2	SF2107	698.72	press	thrust	None	Press	0	Press
28815	2018-06-08 15:32:00	D05P2	SF2107	699.355	collide	mine_0	ship	ShipDamage	-50	Flight
28833	2018-06-08 15:32:00	D05P2	SF2107	699.854	press	right	None	Press	0	Press
28865	2018-06-08 15:32:00	D05P2	SF2107	700.688	press	fire	None	Press	0	Press
28880	2018-06-08 15:32:00	D05P2	SF2107	701.12	press	thrust	None	Press	0	Press
28884	2018-06-08 15:32:00	D05P2	SF2107	701.187	collide	missile_0	fortress	FortressShot	0	GameEvent
28919	2018-06-08 15:32:00	D05P2	SF2107	702.187	press	right	None	Press	0	Press
