Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
499	2020-02-14 15:07:46	D05P1	SL2804	16.88	press	right	None	Press	0	Press
523	2020-02-14 15:07:46	D05P1	SL2804	17.446	press	fire	None	Press	0	Press
529	2020-02-14 15:07:46	D05P1	SL2804	17.581	press	thrust	None	Press	0	Press
537	2020-02-14 15:07:46	D05P1	SL2804	17.813	press	left	None	Press	0	Press
540	2020-02-14 15:07:46	D05P1	SL2804	17.817	collide	missile_0	fortress	FortressShot	0	GameEvent
550	2020-02-14 15:07:46	D05P1	SL2804	18.081	collide	shell	0	ShipDamage	-50	Flight
578	2020-02-14 15:07:46	D05P1	SL2804	18.78	press	right	None	Press	0	Press
619	2020-02-14 15:07:46	D05P1	SL2804	19.947	press	fire	None	Press	0	Press
637	2020-02-14 15:07:46	D05P1	SL2804	20.314	press	thrust	None	Press	0	Press
643	2020-02-14 15:07:46	D05P1	SL2804	20.428	collide	missile_0	fortress	FortressShot	0	GameEvent
646	2020-02-14 15:07:46	D05P1	SL2804	20.48	press	left	None	Press	0	Press
662	2020-02-14 15:07:46	D05P1	SL2804	20.914	press	right	None	Press	0	Press
666	2020-02-14 15:07:46	D05P1	SL2804	21.014	press	thrust	None	Press	0	Press
677	2020-02-14 15:07:46	D05P1	SL2804	21.205	new_mine	friend	None	NewMine	0	GameEvent
693	2020-02-14 15:07:46	D05P1	SL2804	21.614	press	left	None	Press	0	Press
716	2020-02-14 15:07:46	D05P1	SL2804	22.247	press	fire	None	Press	0	Press
733	2020-02-14 15:07:46	D05P1	SL2804	22.613	press	right	None	Press	0	Press
744	2020-02-14 15:07:46	D05P1	SL2804	22.914	press	fire	None	Press	0	Press
751	2020-02-14 15:07:46	D05P1	SL2804	23.081	press	right	None	Press	0	Press
754	2020-02-14 15:07:46	D05P1	SL2804	23.114	collide	missile_0	fortress	FortressShot	0	GameEvent
773	2020-02-14 15:07:46	D05P1	SL2804	23.58	press	left	None	Press	0	Press
785	2020-02-14 15:07:46	D05P1	SL2804	23.881	press	fire	None	Press	0	Press
789	2020-02-14 15:07:46	D05P1	SL2804	23.98	press	thrust	None	Press	0	Press
797	2020-02-14 15:07:46	D05P1	SL2804	24.147	press	left	None	Press	0	Press
804	2020-02-14 15:07:46	D05P1	SL2804	24.279	collide	friend_mine	None	FriendMineDestruction	50	Mine
826	2020-02-14 15:07:46	D05P1	SL2804	24.681	press	right	None	Press	0	Press
831	2020-02-14 15:07:46	D05P1	SL2804	24.78	press	thrust	None	Press	0	Press
837	2020-02-14 15:07:46	D05P1	SL2804	24.914	press	left	None	Press	0	Press
849	2020-02-14 15:07:46	D05P1	SL2804	25.247	press	right	None	Press	0	Press
879	2020-02-14 15:07:46	D05P1	SL2804	25.947	press	fire	None	Press	0	Press
887	2020-02-14 15:07:46	D05P1	SL2804	26.146	press	right	None	Press	0	Press
915	2020-02-14 15:07:46	D05P1	SL2804	26.814	press	fire	None	Press	0	Press
930	2020-02-14 15:07:46	D05P1	SL2804	27.247	press	right	None	Press	0	Press
945	2020-02-14 15:07:46	D05P1	SL2804	27.514	collide	missile_1	fortress	FortressShot	0	GameEvent
954	2020-02-14 15:07:46	D05P1	SL2804	27.747	press	right	None	Press	0	Press
968	2020-02-14 15:07:46	D05P1	SL2804	28.114	press	fire	None	Press	0	Press
985	2020-02-14 15:07:46	D05P1	SL2804	28.514	press	right	None	Press	0	Press
1005	2020-02-14 15:07:46	D05P1	SL2804	29.061	collide	missile_0	fortress	FortressShot	0	GameEvent
1006	2020-02-14 15:07:46	D05P1	SL2804	29.079	press	thrust	None	Press	0	Press
1020	2020-02-14 15:07:46	D05P1	SL2804	29.403	new_mine	foe	None	NewMine	0	GameEvent
1032	2020-02-14 15:07:46	D05P1	SL2804	29.681	press	thrust	None	Press	0	Press
1053	2020-02-14 15:07:46	D05P1	SL2804	30.28	press	right	None	Press	0	Press
1077	2020-02-14 15:07:46	D05P1	SL2804	30.846	press	iff	None	Press	0	Press
1084	2020-02-14 15:07:46	D05P1	SL2804	30.98	press	iff	None	Press	0	Press
1095	2020-02-14 15:07:46	D05P1	SL2804	31.247	press	fire	None	Press	0	Press
1106	2020-02-14 15:07:46	D05P1	SL2804	31.515	press	thrust	None	Press	0	Press
1112	2020-02-14 15:07:46	D05P1	SL2804	31.58	press	left	None	Press	0	Press
1127	2020-02-14 15:07:46	D05P1	SL2804	31.88	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
1141	2020-02-14 15:07:46	D05P1	SL2804	32.18	press	thrust	None	Press	0	Press
1153	2020-02-14 15:07:46	D05P1	SL2804	32.481	press	thrust	None	Press	0	Press
1164	2020-02-14 15:07:46	D05P1	SL2804	32.68	press	right	None	Press	0	Press
1186	2020-02-14 15:07:46	D05P1	SL2804	33.246	press	fire	None	Press	0	Press
1195	2020-02-14 15:07:46	D05P1	SL2804	33.48	press	thrust	None	Press	0	Press
1248	2020-02-14 15:07:46	D05P1	SL2804	34.88	press	fire	None	Press	0	Press
1254	2020-02-14 15:07:46	D05P1	SL2804	35.014	press	right	None	Press	0	Press
1271	2020-02-14 15:07:46	D05P1	SL2804	35.447	press	fire	None	Press	0	Press
1288	2020-02-14 15:07:46	D05P1	SL2804	35.814	press	right	None	Press	0	Press
1299	2020-02-14 15:07:46	D05P1	SL2804	36.08	collide	missile_1	fortress	FortressShot	0	GameEvent
1308	2020-02-14 15:07:46	D05P1	SL2804	36.347	press	right	None	Press	0	Press
1326	2020-02-14 15:07:46	D05P1	SL2804	36.747	press	fire	None	Press	0	Press
1337	2020-02-14 15:07:46	D05P1	SL2804	36.992	new_mine	friend	None	NewMine	0	GameEvent
1344	2020-02-14 15:07:46	D05P1	SL2804	37.147	collide	missile_0	fortress	FortressShot	0	GameEvent
1350	2020-02-14 15:07:46	D05P1	SL2804	37.313	press	right	None	Press	0	Press
1362	2020-02-14 15:07:46	D05P1	SL2804	37.647	press	fire	None	Press	0	Press
1374	2020-02-14 15:07:46	D05P1	SL2804	37.847	press	right	None	Press	0	Press
1380	2020-02-14 15:07:46	D05P1	SL2804	37.981	press	thrust	None	Press	0	Press
1396	2020-02-14 15:07:46	D05P1	SL2804	38.381	press	right	None	Press	0	Press
1414	2020-02-14 15:07:46	D05P1	SL2804	38.78	press	fire	None	Press	0	Press
1420	2020-02-14 15:07:46	D05P1	SL2804	38.914	press	right	None	Press	0	Press
1425	2020-02-14 15:07:46	D05P1	SL2804	38.98	press	thrust	None	Press	0	Press
1443	2020-02-14 15:07:46	D05P1	SL2804	39.413	press	left	None	Press	0	Press
1459	2020-02-14 15:07:46	D05P1	SL2804	39.78	press	fire	None	Press	0	Press
1467	2020-02-14 15:07:46	D05P1	SL2804	39.98	press	thrust	None	Press	0	Press
1500	2020-02-14 15:07:46	D05P1	SL2804	40.746	collide	friend_mine	None	FriendMineDestruction	50	Mine
1507	2020-02-14 15:07:46	D05P1	SL2804	40.847	press	right	None	Press	0	Press
1522	2020-02-14 15:07:46	D05P1	SL2804	41.247	press	right	None	Press	0	Press
1546	2020-02-14 15:07:46	D05P1	SL2804	41.847	press	fire	None	Press	0	Press
1557	2020-02-14 15:07:46	D05P1	SL2804	42.146	press	right	None	Press	0	Press
1570	2020-02-14 15:07:46	D05P1	SL2804	42.481	press	right	None	Press	0	Press
1596	2020-02-14 15:07:46	D05P1	SL2804	43.115	press	thrust	None	Press	0	Press
1612	2020-02-14 15:07:46	D05P1	SL2804	43.547	press	pnts	None	Press	0	Press
1614	2020-02-14 15:07:46	D05P1	SL2804	43.548	pnts_bonus_failure	None	None	BonusFailure	-50	Bonus
1622	2020-02-14 15:07:46	D05P1	SL2804	43.713	press	thrust	None	Press	0	Press
1649	2020-02-14 15:07:46	D05P1	SL2804	44.347	press	left	None	Press	0	Press
1672	2020-02-14 15:07:46	D05P1	SL2804	44.914	press	fire	None	Press	0	Press
1704	2020-02-14 15:07:46	D05P1	SL2804	45.78	collide	missile_0	fortress	FortressShot	0	GameEvent
1705	2020-02-14 15:07:46	D05P1	SL2804	45.813	press	right	None	Press	0	Press
1710	2020-02-14 15:07:46	D05P1	SL2804	45.874	new_mine	friend	None	NewMine	0	GameEvent
1725	2020-02-14 15:07:46	D05P1	SL2804	46.214	press	fire	None	Press	0	Press
1748	2020-02-14 15:07:46	D05P1	SL2804	46.88	press	right	None	Press	0	Press
1756	2020-02-14 15:07:46	D05P1	SL2804	46.98	collide	missile_0	fortress	FortressShot	0	GameEvent
1775	2020-02-14 15:07:46	D05P1	SL2804	47.513	press	left	None	Press	0	Press
1789	2020-02-14 15:07:46	D05P1	SL2804	47.88	press	fire	None	Press	0	Press
1808	2020-02-14 15:07:46	D05P1	SL2804	48.347	press	right	None	Press	0	Press
1829	2020-02-14 15:07:46	D05P1	SL2804	48.914	press	left	None	Press	0	Press
1846	2020-02-14 15:07:46	D05P1	SL2804	49.28	press	fire	None	Press	0	Press
1867	2020-02-14 15:07:46	D05P1	SL2804	49.746	collide	friend_mine	None	FriendMineDestruction	50	Mine
1878	2020-02-14 15:07:46	D05P1	SL2804	49.947	press	left	None	Press	0	Press
1906	2020-02-14 15:07:46	D05P1	SL2804	50.647	press	fire	None	Press	0	Press
1919	2020-02-14 15:07:46	D05P1	SL2804	50.947	press	right	None	Press	0	Press
1936	2020-02-14 15:07:46	D05P1	SL2804	51.314	press	thrust	None	Press	0	Press
1941	2020-02-14 15:07:46	D05P1	SL2804	51.414	collide	missile_0	fortress	FortressShot	0	GameEvent
1954	2020-02-14 15:07:46	D05P1	SL2804	51.747	press	right	None	Press	0	Press
1975	2020-02-14 15:07:46	D05P1	SL2804	52.247	press	left	None	Press	0	Press
1985	2020-02-14 15:07:46	D05P1	SL2804	52.514	press	left	None	Press	0	Press
1998	2020-02-14 15:07:46	D05P1	SL2804	52.847	press	thrust	None	Press	0	Press
2024	2020-02-14 15:07:46	D05P1	SL2804	53.448	press	right	None	Press	0	Press
2035	2020-02-14 15:07:46	D05P1	SL2804	53.682	bonus_available	None	None	NewBonus	0	GameEvent
2039	2020-02-14 15:07:46	D05P1	SL2804	53.814	press	right	None	Press	0	Press
2058	2020-02-14 15:07:46	D05P1	SL2804	54.247	press	right	None	Press	0	Press
2072	2020-02-14 15:07:46	D05P1	SL2804	54.613	press	pnts	None	Press	0	Press
2074	2020-02-14 15:07:46	D05P1	SL2804	54.613	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
2084	2020-02-14 15:07:46	D05P1	SL2804	54.847	press	fire	None	Press	0	Press
2086	2020-02-14 15:07:46	D05P1	SL2804	54.88	new_mine	friend	None	NewMine	0	GameEvent
2113	2020-02-14 15:07:46	D05P1	SL2804	55.514	collide	missile_0	fortress	FortressShot	0	GameEvent
2121	2020-02-14 15:07:46	D05P1	SL2804	55.747	press	right	None	Press	0	Press
2125	2020-02-14 15:07:46	D05P1	SL2804	55.814	press	thrust	None	Press	0	Press
2154	2020-02-14 15:07:46	D05P1	SL2804	56.548	press	thrust	None	Press	0	Press
2159	2020-02-14 15:07:46	D05P1	SL2804	56.68	press	right	None	Press	0	Press
2174	2020-02-14 15:07:46	D05P1	SL2804	57.048	press	thrust	None	Press	0	Press
2182	2020-02-14 15:07:46	D05P1	SL2804	57.147	press	right	None	Press	0	Press
2204	2020-02-14 15:07:46	D05P1	SL2804	57.748	press	right	None	Press	0	Press
2206	2020-02-14 15:07:46	D05P1	SL2804	57.78	press	fire	None	Press	0	Press
2229	2020-02-14 15:07:46	D05P1	SL2804	58.346	press	thrust	None	Press	0	Press
2234	2020-02-14 15:07:46	D05P1	SL2804	58.414	collide	friend_mine	None	FriendMineDestruction	50	Mine
2249	2020-02-14 15:07:46	D05P1	SL2804	58.68	press	left	None	Press	0	Press
2251	2020-02-14 15:07:46	D05P1	SL2804	58.714	press	thrust	None	Press	0	Press
2272	2020-02-14 15:07:46	D05P1	SL2804	59.18	press	fire	None	Press	0	Press
2279	2020-02-14 15:07:46	D05P1	SL2804	59.314	press	thrust	None	Press	0	Press
2303	2020-02-14 15:07:46	D05P1	SL2804	60.014	press	right	None	Press	0	Press
2318	2020-02-14 15:07:46	D05P1	SL2804	60.314	press	right	None	Press	0	Press
2336	2020-02-14 15:07:46	D05P1	SL2804	60.814	press	fire	None	Press	0	Press
2343	2020-02-14 15:07:46	D05P1	SL2804	60.98	press	right	None	Press	0	Press
2349	2020-02-14 15:07:46	D05P1	SL2804	61.081	bonus_available	None	None	NewBonus	0	GameEvent
