Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
533	2020-02-10 12:09:10	D01P1	SP0801	17.692	press	right	None	Press	0	Press
556	2020-02-10 12:09:10	D01P1	SP0801	18.292	press	thrust	None	Press	0	Press
585	2020-02-10 12:09:10	D01P1	SP0801	19.059	press	right	None	Press	0	Press
595	2020-02-10 12:09:10	D01P1	SP0801	19.326	press	thrust	None	Press	0	Press
608	2020-02-10 12:09:10	D01P1	SP0801	19.726	press	fire	None	Press	0	Press
624	2020-02-10 12:09:10	D01P1	SP0801	20.026	collide	missile_0	fortress	FortressShot	0	GameEvent
643	2020-02-10 12:09:10	D01P1	SP0801	20.559	press	left	None	Press	0	Press
648	2020-02-10 12:09:10	D01P1	SP0801	20.692	press	thrust	None	Press	0	Press
670	2020-02-10 12:09:10	D01P1	SP0801	21.226	press	left	None	Press	0	Press
685	2020-02-10 12:09:10	D01P1	SP0801	21.659	press	right	None	Press	0	Press
692	2020-02-10 12:09:10	D01P1	SP0801	21.826	press	fire	None	Press	0	Press
698	2020-02-10 12:09:10	D01P1	SP0801	21.873	new_mine	friend	None	NewMine	0	GameEvent
719	2020-02-10 12:09:10	D01P1	SP0801	22.425	press	left	None	Press	0	Press
763	2020-02-10 12:09:10	D01P1	SP0801	23.625	press	fire	None	Press	0	Press
785	2020-02-10 12:09:10	D01P1	SP0801	24.126	collide	missile_0	fortress	FortressShot	0	GameEvent
789	2020-02-10 12:09:10	D01P1	SP0801	24.226	press	left	None	Press	0	Press
810	2020-02-10 12:09:10	D01P1	SP0801	24.859	press	fire	None	Press	0	Press
829	2020-02-10 12:09:10	D01P1	SP0801	25.325	press	fire	None	Press	0	Press
835	2020-02-10 12:09:10	D01P1	SP0801	25.459	collide	missile_1	fortress	FortressShot	0	GameEvent
839	2020-02-10 12:09:10	D01P1	SP0801	25.526	press	right	None	Press	0	Press
899	2020-02-10 12:09:10	D01P1	SP0801	27.159	press	fire	None	Press	0	Press
908	2020-02-10 12:09:10	D01P1	SP0801	27.325	collide	friend_mine	None	FriendMineDestruction	50	Mine
930	2020-02-10 12:09:10	D01P1	SP0801	27.891	press	fire	None	Press	0	Press
949	2020-02-10 12:09:10	D01P1	SP0801	28.326	collide	missile_0	fortress	FortressShot	0	GameEvent
955	2020-02-10 12:09:10	D01P1	SP0801	28.459	press	fire	None	Press	0	Press
995	2020-02-10 12:09:10	D01P1	SP0801	29.559	press	right	None	Press	0	Press
1032	2020-02-10 12:09:10	D01P1	SP0801	30.626	press	right	None	Press	0	Press
1047	2020-02-10 12:09:10	D01P1	SP0801	31.059	press	fire	None	Press	0	Press
1063	2020-02-10 12:09:10	D01P1	SP0801	31.292	bonus_available	None	None	NewBonus	0	GameEvent
1085	2020-02-10 12:09:10	D01P1	SP0801	31.991	press	fire	None	Press	0	Press
1100	2020-02-10 12:09:10	D01P1	SP0801	32.292	press	shots	None	Press	0	Press
1102	2020-02-10 12:09:10	D01P1	SP0801	32.292	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1106	2020-02-10 12:09:10	D01P1	SP0801	32.326	collide	missile_1	fortress	FortressShot	0	GameEvent
1111	2020-02-10 12:09:10	D01P1	SP0801	32.406	new_mine	friend	None	NewMine	0	GameEvent
1122	2020-02-10 12:09:10	D01P1	SP0801	32.691	press	fire	None	Press	0	Press
1129	2020-02-10 12:09:10	D01P1	SP0801	32.859	collide	small_hex	ship	FortressCollision	-35	Flight
1163	2020-02-10 12:09:10	D01P1	SP0801	33.726	press	fire	None	Press	0	Press
1170	2020-02-10 12:09:10	D01P1	SP0801	33.859	collide	missile_1	fortress	FortressShot	0	GameEvent
1184	2020-02-10 12:09:10	D01P1	SP0801	34.191	press	left	None	Press	0	Press
1194	2020-02-10 12:09:10	D01P1	SP0801	34.425	collide	small_hex	ship	FortressCollision	-35	Flight
1229	2020-02-10 12:09:10	D01P1	SP0801	35.359	press	fire	None	Press	0	Press
1242	2020-02-10 12:09:10	D01P1	SP0801	35.725	press	fire	None	Press	0	Press
1252	2020-02-10 12:09:10	D01P1	SP0801	35.926	collide	mine_0	ship	ShipDamage	-50	Flight
1253	2020-02-10 12:09:10	D01P1	SP0801	35.959	press	right	None	Press	0	Press
1283	2020-02-10 12:09:10	D01P1	SP0801	36.592	press	right	None	Press	0	Press
1332	2020-02-10 12:09:10	D01P1	SP0801	38.025	press	right	None	Press	0	Press
1356	2020-02-10 12:09:10	D01P1	SP0801	38.625	press	left	None	Press	0	Press
1360	2020-02-10 12:09:10	D01P1	SP0801	38.659	bonus_available	None	None	NewBonus	0	GameEvent
1380	2020-02-10 12:09:10	D01P1	SP0801	39.226	collide	shell	1	ShipDamage	-50	Flight
1399	2020-02-10 12:09:10	D01P1	SP0801	39.692	press	fire	None	Press	0	Press
1420	2020-02-10 12:09:10	D01P1	SP0801	40.192	collide	missile_0	fortress	FortressShot	0	GameEvent
1452	2020-02-10 12:09:10	D01P1	SP0801	41.05	new_mine	friend	None	NewMine	0	GameEvent
1462	2020-02-10 12:09:10	D01P1	SP0801	41.259	press	left	None	Press	0	Press
1481	2020-02-10 12:09:10	D01P1	SP0801	41.826	press	left	None	Press	0	Press
1502	2020-02-10 12:09:10	D01P1	SP0801	42.325	press	fire	None	Press	0	Press
1520	2020-02-10 12:09:10	D01P1	SP0801	42.793	collide	missile_0	fortress	FortressShot	0	GameEvent
1522	2020-02-10 12:09:10	D01P1	SP0801	42.793	bonus_available	None	None	NewBonus	0	GameEvent
1557	2020-02-10 12:09:10	D01P1	SP0801	43.791	press	shots	None	Press	0	Press
1559	2020-02-10 12:09:10	D01P1	SP0801	43.792	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1579	2020-02-10 12:09:10	D01P1	SP0801	44.292	press	left	None	Press	0	Press
1601	2020-02-10 12:09:10	D01P1	SP0801	44.859	press	fire	None	Press	0	Press
1611	2020-02-10 12:09:10	D01P1	SP0801	45.091	press	left	None	Press	0	Press
1666	2020-02-10 12:09:10	D01P1	SP0801	46.592	press	fire	None	Press	0	Press
1682	2020-02-10 12:09:10	D01P1	SP0801	47.026	press	left	None	Press	0	Press
1684	2020-02-10 12:09:10	D01P1	SP0801	47.026	collide	small_hex	ship	FortressCollision	-35	Flight
1685	2020-02-10 12:09:10	D01P1	SP0801	47.026	collide	shell	0	ShipDamage	-50	Flight
1725	2020-02-10 12:09:10	D01P1	SP0801	48.059	press	right	None	Press	0	Press
1765	2020-02-10 12:09:10	D01P1	SP0801	49.159	press	fire	None	Press	0	Press
1780	2020-02-10 12:09:10	D01P1	SP0801	49.493	press	right	None	Press	0	Press
1804	2020-02-10 12:09:10	D01P1	SP0801	50.126	bonus_available	None	None	NewBonus	0	GameEvent
1812	2020-02-10 12:09:10	D01P1	SP0801	50.391	press	fire	None	Press	0	Press
1840	2020-02-10 12:09:10	D01P1	SP0801	51.059	timeout	mine	None	MineExtinction	-50	Mine
1879	2020-02-10 12:09:10	D01P1	SP0801	52.125	press	right	None	Press	0	Press
1940	2020-02-10 12:09:10	D01P1	SP0801	53.759	press	fire	None	Press	0	Press
1954	2020-02-10 12:09:10	D01P1	SP0801	54.126	collide	missile_0	fortress	FortressShot	0	GameEvent
1955	2020-02-10 12:09:10	D01P1	SP0801	54.159	press	left	None	Press	0	Press
2022	2020-02-10 12:09:10	D01P1	SP0801	55.96	press	left	None	Press	0	Press
2030	2020-02-10 12:09:10	D01P1	SP0801	56.141	new_mine	friend	None	NewMine	0	GameEvent
2038	2020-02-10 12:09:10	D01P1	SP0801	56.359	press	fire	None	Press	0	Press
2043	2020-02-10 12:09:10	D01P1	SP0801	56.425	collide	missile_0	fortress	FortressShot	0	GameEvent
2050	2020-02-10 12:09:10	D01P1	SP0801	56.56	collide	small_hex	ship	FortressCollision	-35	Flight
2092	2020-02-10 12:09:10	D01P1	SP0801	57.659	press	left	None	Press	0	Press
2129	2020-02-10 12:09:10	D01P1	SP0801	58.693	press	right	None	Press	0	Press
2165	2020-02-10 12:09:10	D01P1	SP0801	59.726	press	right	None	Press	0	Press
2214	2020-02-10 12:09:10	D01P1	SP0801	61.126	press	fire	None	Press	0	Press
2229	2020-02-10 12:09:10	D01P1	SP0801	61.492	collide	friend_mine	None	FriendMineDestruction	50	Mine
2243	2020-02-10 12:09:10	D01P1	SP0801	61.659	bonus_available	None	None	NewBonus	0	GameEvent
2255	2020-02-10 12:09:10	D01P1	SP0801	62.059	press	fire	None	Press	0	Press
2265	2020-02-10 12:09:10	D01P1	SP0801	62.326	press	right	None	Press	0	Press
2282	2020-02-10 12:09:10	D01P1	SP0801	62.759	press	shots	None	Press	0	Press
2284	2020-02-10 12:09:10	D01P1	SP0801	62.759	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
2326	2020-02-10 12:09:10	D01P1	SP0801	63.791	press	left	None	Press	0	Press
2347	2020-02-10 12:09:10	D01P1	SP0801	64.359	press	fire	None	Press	0	Press
2370	2020-02-10 12:09:10	D01P1	SP0801	64.926	press	fire	None	Press	0	Press
2372	2020-02-10 12:09:10	D01P1	SP0801	64.938	collide	missile_0	fortress	FortressShot	0	GameEvent
2379	2020-02-10 12:09:10	D01P1	SP0801	65.059	press	right	None	Press	0	Press
2411	2020-02-10 12:09:10	D01P1	SP0801	65.925	press	left	None	Press	0	Press
2434	2020-02-10 12:09:10	D01P1	SP0801	66.583	new_mine	friend	None	NewMine	0	GameEvent
2470	2020-02-10 12:09:10	D01P1	SP0801	67.492	collide	mine_0	ship	ShipDamage	-50	Flight
2474	2020-02-10 12:09:10	D01P1	SP0801	67.525	destroyed	ship	mine	ShipDestruction	-100	Flight
2482	2020-02-10 12:09:10	D01P1	SP0801	68.592	press	right	None	Press	0	Press
2493	2020-02-10 12:09:10	D01P1	SP0801	68.925	press	right	None	Press	0	Press
2525	2020-02-10 12:09:10	D01P1	SP0801	69.759	press	fire	None	Press	0	Press
2543	2020-02-10 12:09:10	D01P1	SP0801	70.225	press	thrust	None	Press	0	Press
2557	2020-02-10 12:09:10	D01P1	SP0801	70.592	collide	shell	1	ShipDamage	-50	Flight
2569	2020-02-10 12:09:10	D01P1	SP0801	70.825	press	left	None	Press	0	Press
2586	2020-02-10 12:09:10	D01P1	SP0801	71.291	press	fire	None	Press	0	Press
2606	2020-02-10 12:09:10	D01P1	SP0801	71.726	collide	small_hex	ship	FortressCollision	-35	Flight
2611	2020-02-10 12:09:10	D01P1	SP0801	71.824	press	right	None	Press	0	Press
2646	2020-02-10 12:09:10	D01P1	SP0801	72.826	press	left	None	Press	0	Press
2676	2020-02-10 12:09:10	D01P1	SP0801	73.65	new_mine	foe	None	NewMine	0	GameEvent
2693	2020-02-10 12:09:10	D01P1	SP0801	74.059	press	left	None	Press	0	Press
2738	2020-02-10 12:09:10	D01P1	SP0801	75.259	press	right	None	Press	0	Press
2753	2020-02-10 12:09:10	D01P1	SP0801	75.659	press	left	None	Press	0	Press
2776	2020-02-10 12:09:10	D01P1	SP0801	76.225	press	right	None	Press	0	Press
2786	2020-02-10 12:09:10	D01P1	SP0801	76.491	press	iff	None	Press	0	Press
2795	2020-02-10 12:09:10	D01P1	SP0801	76.691	press	iff	None	Press	0	Press
2812	2020-02-10 12:09:10	D01P1	SP0801	77.058	press	fire	None	Press	0	Press
2825	2020-02-10 12:09:10	D01P1	SP0801	77.325	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
2847	2020-02-10 12:09:10	D01P1	SP0801	77.826	press	fire	None	Press	0	Press
2853	2020-02-10 12:09:10	D01P1	SP0801	77.992	press	right	None	Press	0	Press
2941	2020-02-10 12:09:10	D01P1	SP0801	80.326	press	fire	None	Press	0	Press
2974	2020-02-10 12:09:10	D01P1	SP0801	81.192	collide	missile_0	fortress	FortressShot	0	GameEvent
2980	2020-02-10 12:09:10	D01P1	SP0801	81.292	collide	shell	1	ShipDamage	-50	Flight
2986	2020-02-10 12:09:10	D01P1	SP0801	81.392	press	left	None	Press	0	Press
3025	2020-02-10 12:09:10	D01P1	SP0801	82.449	new_mine	foe	None	NewMine	0	GameEvent
3029	2020-02-10 12:09:10	D01P1	SP0801	82.491	collide	small_hex	ship	FortressCollision	-35	Flight
3099	2020-02-10 12:09:10	D01P1	SP0801	84.559	press	iff	None	Press	0	Press
3107	2020-02-10 12:09:10	D01P1	SP0801	84.726	press	iff	None	Press	0	Press
