Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
538	2021-04-02 11:47:48	D05P2	SR1210	17.726	press	thrust	None	Press	0	Press
543	2021-04-02 11:47:48	D05P2	SR1210	17.858	press	right	None	Press	0	Press
566	2021-04-02 11:47:48	D05P2	SR1210	18.392	press	thrust	None	Press	0	Press
569	2021-04-02 11:47:48	D05P2	SR1210	18.459	press	fire	None	Press	0	Press
585	2021-04-02 11:47:48	D05P2	SR1210	18.826	collide	missile_0	fortress	FortressShot	0	GameEvent
595	2021-04-02 11:47:48	D05P2	SR1210	19.126	press	fire	None	Press	0	Press
614	2021-04-02 11:47:48	D05P2	SR1210	19.492	collide	missile_0	fortress	FortressShot	0	GameEvent
615	2021-04-02 11:47:48	D05P2	SR1210	19.528	press	fire	None	Press	0	Press
627	2021-04-02 11:47:48	D05P2	SR1210	19.826	press	right	None	Press	0	Press
632	2021-04-02 11:47:48	D05P2	SR1210	19.893	collide	missile_0	fortress	FortressShot	0	GameEvent
637	2021-04-02 11:47:48	D05P2	SR1210	20.026	press	fire	None	Press	0	Press
644	2021-04-02 11:47:48	D05P2	SR1210	20.126	bonus_available	None	None	NewBonus	0	GameEvent
656	2021-04-02 11:47:48	D05P2	SR1210	20.393	collide	missile_0	fortress	FortressShot	0	GameEvent
657	2021-04-02 11:47:48	D05P2	SR1210	20.426	press	right	None	Press	0	Press
665	2021-04-02 11:47:48	D05P2	SR1210	20.593	press	fire	None	Press	0	Press
688	2021-04-02 11:47:48	D05P2	SR1210	21.259	press	fire	None	Press	0	Press
707	2021-04-02 11:47:48	D05P2	SR1210	21.659	collide	missile_1	fortress	FortressShot	0	GameEvent
713	2021-04-02 11:47:48	D05P2	SR1210	21.793	press	fire	None	Press	0	Press
733	2021-04-02 11:47:48	D05P2	SR1210	22.226	collide	missile_0	fortress	FortressShot	0	GameEvent
735	2021-04-02 11:47:48	D05P2	SR1210	22.261	new_mine	foe	None	NewMine	0	GameEvent
742	2021-04-02 11:47:48	D05P2	SR1210	22.359	press	right	None	Press	0	Press
757	2021-04-02 11:47:48	D05P2	SR1210	22.76	press	fire	None	Press	0	Press
765	2021-04-02 11:47:48	D05P2	SR1210	22.96	press	left	None	Press	0	Press
773	2021-04-02 11:47:48	D05P2	SR1210	23.159	press	fire	None	Press	0	Press
796	2021-04-02 11:47:48	D05P2	SR1210	23.693	press	right	None	Press	0	Press
804	2021-04-02 11:47:48	D05P2	SR1210	23.893	press	iff	None	Press	0	Press
811	2021-04-02 11:47:48	D05P2	SR1210	24.027	press	iff	None	Press	0	Press
816	2021-04-02 11:47:48	D05P2	SR1210	24.093	press	right	None	Press	0	Press
837	2021-04-02 11:47:48	D05P2	SR1210	24.56	press	fire	None	Press	0	Press
848	2021-04-02 11:47:48	D05P2	SR1210	24.826	press	left	None	Press	0	Press
854	2021-04-02 11:47:48	D05P2	SR1210	24.926	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
877	2021-04-02 11:47:48	D05P2	SR1210	25.36	press	thrust	None	Press	0	Press
893	2021-04-02 11:47:48	D05P2	SR1210	25.793	press	left	None	Press	0	Press
900	2021-04-02 11:47:48	D05P2	SR1210	25.926	press	left	None	Press	0	Press
903	2021-04-02 11:47:48	D05P2	SR1210	25.994	press	thrust	None	Press	0	Press
926	2021-04-02 11:47:48	D05P2	SR1210	26.493	press	right	None	Press	0	Press
941	2021-04-02 11:47:48	D05P2	SR1210	26.893	press	fire	None	Press	0	Press
964	2021-04-02 11:47:48	D05P2	SR1210	27.46	press	right	None	Press	0	Press
968	2021-04-02 11:47:48	D05P2	SR1210	27.493	collide	missile_0	fortress	FortressShot	0	GameEvent
981	2021-04-02 11:47:48	D05P2	SR1210	27.826	press	fire	None	Press	0	Press
999	2021-04-02 11:47:48	D05P2	SR1210	28.325	press	left	None	Press	0	Press
1007	2021-04-02 11:47:48	D05P2	SR1210	28.426	press	pnts	None	Press	0	Press
1009	2021-04-02 11:47:48	D05P2	SR1210	28.426	pnts_bonus_failure	None	None	BonusFailure	-50	Bonus
1026	2021-04-02 11:47:48	D05P2	SR1210	28.826	press	fire	None	Press	0	Press
1037	2021-04-02 11:47:48	D05P2	SR1210	29.125	press	right	None	Press	0	Press
