Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
273	2021-03-23 11:47:38	D14P1	SV2801	8.85	press	thrust	None	Press	0	Press
275	2021-03-23 11:47:38	D14P1	SV2801	8.884	press	right	None	Press	0	Press
300	2021-03-23 11:47:38	D14P1	SV2801	9.45	press	fire	None	Press	0	Press
308	2021-03-23 11:47:38	D14P1	SV2801	9.65	press	right	None	Press	0	Press
321	2021-03-23 11:47:38	D14P1	SV2801	9.983	press	fire	None	Press	0	Press
334	2021-03-23 11:47:38	D14P1	SV2801	10.25	press	thrust	None	Press	0	Press
341	2021-03-23 11:47:38	D14P1	SV2801	10.35	collide	missile_1	fortress	FortressShot	0	GameEvent
347	2021-03-23 11:47:38	D14P1	SV2801	10.517	press	left	None	Press	0	Press
353	2021-03-23 11:47:38	D14P1	SV2801	10.65	press	thrust	None	Press	0	Press
363	2021-03-23 11:47:38	D14P1	SV2801	10.916	press	right	None	Press	0	Press
374	2021-03-23 11:47:38	D14P1	SV2801	11.116	bonus_available	None	None	NewBonus	0	GameEvent
377	2021-03-23 11:47:38	D14P1	SV2801	11.216	press	right	None	Press	0	Press
393	2021-03-23 11:47:38	D14P1	SV2801	11.55	press	fire	None	Press	0	Press
405	2021-03-23 11:47:38	D14P1	SV2801	11.849	collide	missile_0	fortress	FortressShot	0	GameEvent
412	2021-03-23 11:47:38	D14P1	SV2801	12.05	press	fire	None	Press	0	Press
427	2021-03-23 11:47:38	D14P1	SV2801	12.316	collide	missile_0	fortress	FortressShot	0	GameEvent
436	2021-03-23 11:47:38	D14P1	SV2801	12.55	press	fire	None	Press	0	Press
446	2021-03-23 11:47:38	D14P1	SV2801	12.783	collide	missile_0	fortress	FortressShot	0	GameEvent
452	2021-03-23 11:47:38	D14P1	SV2801	12.95	press	fire	None	Press	0	Press
467	2021-03-23 11:47:38	D14P1	SV2801	13.217	collide	missile_0	fortress	FortressShot	0	GameEvent
469	2021-03-23 11:47:38	D14P1	SV2801	13.252	new_mine	friend	None	NewMine	0	GameEvent
476	2021-03-23 11:47:38	D14P1	SV2801	13.35	press	right	None	Press	0	Press
484	2021-03-23 11:47:38	D14P1	SV2801	13.549	press	fire	None	Press	0	Press
494	2021-03-23 11:47:38	D14P1	SV2801	13.817	press	right	None	Press	0	Press
507	2021-03-23 11:47:38	D14P1	SV2801	14.15	press	left	None	Press	0	Press
525	2021-03-23 11:47:38	D14P1	SV2801	14.516	press	fire	None	Press	0	Press
531	2021-03-23 11:47:38	D14P1	SV2801	14.617	collide	friend_mine	None	FriendMineDestruction	50	Mine
543	2021-03-23 11:47:38	D14P1	SV2801	14.849	press	right	None	Press	0	Press
558	2021-03-23 11:47:38	D14P1	SV2801	15.316	press	fire	None	Press	0	Press
573	2021-03-23 11:47:38	D14P1	SV2801	15.516	collide	missile_0	fortress	FortressShot	0	GameEvent
578	2021-03-23 11:47:38	D14P1	SV2801	15.65	press	right	None	Press	0	Press
587	2021-03-23 11:47:38	D14P1	SV2801	15.85	press	fire	None	Press	0	Press
600	2021-03-23 11:47:38	D14P1	SV2801	16.216	press	left	None	Press	0	Press
611	2021-03-23 11:47:38	D14P1	SV2801	16.416	press	fire	None	Press	0	Press
620	2021-03-23 11:47:38	D14P1	SV2801	16.617	press	right	None	Press	0	Press
626	2021-03-23 11:47:38	D14P1	SV2801	16.716	collide	missile_1	fortress	FortressShot	0	GameEvent
635	2021-03-23 11:47:38	D14P1	SV2801	16.983	press	fire	None	Press	0	Press
646	2021-03-23 11:47:38	D14P1	SV2801	17.25	press	right	None	Press	0	Press
650	2021-03-23 11:47:38	D14P1	SV2801	17.285	collide	missile_1	fortress	FortressShot	0	GameEvent
662	2021-03-23 11:47:38	D14P1	SV2801	17.483	press	fire	None	Press	0	Press
