Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
770	2019-10-09 16:28:24	D03P2	TB3004	25.824	press	thrust	None	Press	0	Press
779	2019-10-09 16:28:24	D03P2	TB3004	26.09	press	right	None	Press	0	Press
817	2019-10-09 16:28:24	D03P2	TB3004	27.09	press	left	None	Press	0	Press
822	2019-10-09 16:28:24	D03P2	TB3004	27.223	press	thrust	None	Press	0	Press
837	2019-10-09 16:28:24	D03P2	TB3004	27.49	press	right	None	Press	0	Press
852	2019-10-09 16:28:24	D03P2	TB3004	27.923	press	fire	None	Press	0	Press
868	2019-10-09 16:28:24	D03P2	TB3004	28.356	press	fire	None	Press	0	Press
891	2019-10-09 16:28:24	D03P2	TB3004	28.923	press	fire	None	Press	0	Press
902	2019-10-09 16:28:24	D03P2	TB3004	29.257	press	thrust	None	Press	0	Press
920	2019-10-09 16:28:24	D03P2	TB3004	29.59	collide	missile_1	fortress	FortressShot	0	GameEvent
924	2019-10-09 16:28:24	D03P2	TB3004	29.69	press	thrust	None	Press	0	Press
926	2019-10-09 16:28:24	D03P2	TB3004	29.79	press	fire	None	Press	0	Press
953	2019-10-09 16:28:24	D03P2	TB3004	30.444	new_mine	friend	None	NewMine	0	GameEvent
956	2019-10-09 16:28:24	D03P2	TB3004	30.49	press	fire	None	Press	0	Press
958	2019-10-09 16:28:24	D03P2	TB3004	30.504	collide	missile_0	fortress	FortressShot	0	GameEvent
982	2019-10-09 16:28:24	D03P2	TB3004	31.091	press	fire	None	Press	0	Press
992	2019-10-09 16:28:24	D03P2	TB3004	31.356	press	right	None	Press	0	Press
1021	2019-10-09 16:28:24	D03P2	TB3004	32.09	press	fire	None	Press	0	Press
1030	2019-10-09 16:28:24	D03P2	TB3004	32.323	press	thrust	None	Press	0	Press
1035	2019-10-09 16:28:24	D03P2	TB3004	32.423	press	right	None	Press	0	Press
1054	2019-10-09 16:28:24	D03P2	TB3004	32.723	collide	friend_mine	None	FriendMineDestruction	50	Mine
1068	2019-10-09 16:28:24	D03P2	TB3004	33.023	press	fire	None	Press	0	Press
1072	2019-10-09 16:28:24	D03P2	TB3004	33.088	press	thrust	None	Press	0	Press
1089	2019-10-09 16:28:24	D03P2	TB3004	33.556	press	left	None	Press	0	Press
1102	2019-10-09 16:28:24	D03P2	TB3004	33.823	press	fire	None	Press	0	Press
1116	2019-10-09 16:28:24	D03P2	TB3004	34.224	press	right	None	Press	0	Press
1127	2019-10-09 16:28:24	D03P2	TB3004	34.49	press	left	None	Press	0	Press
1145	2019-10-09 16:28:24	D03P2	TB3004	34.923	press	thrust	None	Press	0	Press
1158	2019-10-09 16:28:24	D03P2	TB3004	35.223	press	right	None	Press	0	Press
1178	2019-10-09 16:28:24	D03P2	TB3004	35.656	press	right	None	Press	0	Press
1190	2019-10-09 16:28:24	D03P2	TB3004	35.923	press	fire	None	Press	0	Press
1220	2019-10-09 16:28:24	D03P2	TB3004	36.69	press	fire	None	Press	0	Press
1231	2019-10-09 16:28:24	D03P2	TB3004	36.99	press	right	None	Press	0	Press
1240	2019-10-09 16:28:24	D03P2	TB3004	37.223	press	fire	None	Press	0	Press
1246	2019-10-09 16:28:24	D03P2	TB3004	37.357	collide	missile_1	fortress	FortressShot	0	GameEvent
1270	2019-10-09 16:28:24	D03P2	TB3004	37.848	new_mine	friend	None	NewMine	0	GameEvent
1271	2019-10-09 16:28:24	D03P2	TB3004	37.889	press	fire	None	Press	0	Press
1290	2019-10-09 16:28:24	D03P2	TB3004	38.423	press	fire	None	Press	0	Press
1293	2019-10-09 16:28:24	D03P2	TB3004	38.457	collide	missile_1	fortress	FortressShot	0	GameEvent
1316	2019-10-09 16:28:24	D03P2	TB3004	39.023	press	fire	None	Press	0	Press
1330	2019-10-09 16:28:24	D03P2	TB3004	39.356	press	right	None	Press	0	Press
1349	2019-10-09 16:28:24	D03P2	TB3004	39.757	bonus_available	None	None	NewBonus	0	GameEvent
1351	2019-10-09 16:28:24	D03P2	TB3004	39.823	press	right	None	Press	0	Press
1399	2019-10-09 16:28:24	D03P2	TB3004	41.09	press	shots	None	Press	0	Press
1401	2019-10-09 16:28:24	D03P2	TB3004	41.091	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1414	2019-10-09 16:28:24	D03P2	TB3004	41.423	press	right	None	Press	0	Press
1425	2019-10-09 16:28:24	D03P2	TB3004	41.723	press	iff	None	Press	0	Press
1436	2019-10-09 16:28:24	D03P2	TB3004	41.857	press	iff	None	Press	0	Press
1451	2019-10-09 16:28:24	D03P2	TB3004	42.156	press	left	None	Press	0	Press
1463	2019-10-09 16:28:24	D03P2	TB3004	42.49	press	fire	None	Press	0	Press
1469	2019-10-09 16:28:24	D03P2	TB3004	42.623	press	right	None	Press	0	Press
1482	2019-10-09 16:28:24	D03P2	TB3004	42.889	press	fire	None	Press	0	Press
1506	2019-10-09 16:28:24	D03P2	TB3004	43.556	press	fire	None	Press	0	Press
1535	2019-10-09 16:28:24	D03P2	TB3004	44.257	press	left	None	Press	0	Press
1539	2019-10-09 16:28:24	D03P2	TB3004	44.356	press	thrust	None	Press	0	Press
1567	2019-10-09 16:28:24	D03P2	TB3004	44.99	press	right	None	Press	0	Press
1602	2019-10-09 16:28:24	D03P2	TB3004	45.923	press	thrust	None	Press	0	Press
1619	2019-10-09 16:28:24	D03P2	TB3004	46.423	press	right	None	Press	0	Press
1642	2019-10-09 16:28:24	D03P2	TB3004	46.956	press	thrust	None	Press	0	Press
1675	2019-10-09 16:28:24	D03P2	TB3004	47.857	press	fire	None	Press	0	Press
1677	2019-10-09 16:28:24	D03P2	TB3004	47.868	timeout	mine	None	MineExtinction	-50	Mine
1695	2019-10-09 16:28:24	D03P2	TB3004	48.356	press	fire	None	Press	0	Press
1724	2019-10-09 16:28:24	D03P2	TB3004	49.09	press	right	None	Press	0	Press
1729	2019-10-09 16:28:24	D03P2	TB3004	49.189	collide	missile_1	fortress	FortressShot	0	GameEvent
1737	2019-10-09 16:28:24	D03P2	TB3004	49.323	press	fire	None	Press	0	Press
1754	2019-10-09 16:28:24	D03P2	TB3004	49.823	press	thrust	None	Press	0	Press
1779	2019-10-09 16:28:24	D03P2	TB3004	50.423	press	thrust	None	Press	0	Press
1789	2019-10-09 16:28:24	D03P2	TB3004	50.624	press	right	None	Press	0	Press
1810	2019-10-09 16:28:24	D03P2	TB3004	51.124	press	thrust	None	Press	0	Press
1822	2019-10-09 16:28:24	D03P2	TB3004	51.423	press	fire	None	Press	0	Press
1848	2019-10-09 16:28:24	D03P2	TB3004	52.023	press	right	None	Press	0	Press
1856	2019-10-09 16:28:24	D03P2	TB3004	52.223	collide	missile_0	fortress	FortressShot	0	GameEvent
1862	2019-10-09 16:28:24	D03P2	TB3004	52.356	press	fire	None	Press	0	Press
1876	2019-10-09 16:28:24	D03P2	TB3004	52.723	press	left	None	Press	0	Press
1888	2019-10-09 16:28:24	D03P2	TB3004	52.923	press	fire	None	Press	0	Press
1892	2019-10-09 16:28:24	D03P2	TB3004	52.982	new_mine	foe	None	NewMine	0	GameEvent
1894	2019-10-09 16:28:24	D03P2	TB3004	53.056	press	right	None	Press	0	Press
