Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
762	2020-02-10 18:26:13	D01P1	TH0605	25.304	press	thrust	None	Press	0	Press
794	2020-02-10 18:26:13	D01P1	TH0605	26.172	press	thrust	None	Press	0	Press
809	2020-02-10 18:26:13	D01P1	TH0605	26.503	press	right	None	Press	0	Press
849	2020-02-10 18:26:13	D01P1	TH0605	27.606	press	right	None	Press	0	Press
863	2020-02-10 18:26:13	D01P1	TH0605	27.971	press	thrust	None	Press	0	Press
864	2020-02-10 18:26:13	D01P1	TH0605	27.971	press	fire	None	Press	0	Press
878	2020-02-10 18:26:13	D01P1	TH0605	28.338	press	left	None	Press	0	Press
887	2020-02-10 18:26:13	D01P1	TH0605	28.471	press	thrust	None	Press	0	Press
903	2020-02-10 18:26:13	D01P1	TH0605	28.903	press	right	None	Press	0	Press
919	2020-02-10 18:26:13	D01P1	TH0605	29.303	press	thrust	None	Press	0	Press
924	2020-02-10 18:26:13	D01P1	TH0605	29.36	new_mine	friend	None	NewMine	0	GameEvent
949	2020-02-10 18:26:13	D01P1	TH0605	30.071	press	left	None	Press	0	Press
970	2020-02-10 18:26:13	D01P1	TH0605	30.57	press	left	None	Press	0	Press
983	2020-02-10 18:26:13	D01P1	TH0605	30.871	press	fire	None	Press	0	Press
988	2020-02-10 18:26:13	D01P1	TH0605	31.005	press	right	None	Press	0	Press
1000	2020-02-10 18:26:13	D01P1	TH0605	31.304	press	fire	None	Press	0	Press
1022	2020-02-10 18:26:13	D01P1	TH0605	31.804	collide	friend_mine	None	FriendMineDestruction	50	Mine
1023	2020-02-10 18:26:13	D01P1	TH0605	31.837	press	right	None	Press	0	Press
1041	2020-02-10 18:26:13	D01P1	TH0605	32.204	press	right	None	Press	0	Press
1068	2020-02-10 18:26:13	D01P1	TH0605	32.837	press	fire	None	Press	0	Press
1081	2020-02-10 18:26:13	D01P1	TH0605	33.171	press	right	None	Press	0	Press
1098	2020-02-10 18:26:13	D01P1	TH0605	33.571	press	fire	None	Press	0	Press
1102	2020-02-10 18:26:13	D01P1	TH0605	33.638	collide	missile_0	fortress	FortressShot	0	GameEvent
1128	2020-02-10 18:26:13	D01P1	TH0605	34.371	collide	missile_0	fortress	FortressShot	0	GameEvent
1142	2020-02-10 18:26:13	D01P1	TH0605	34.604	press	fire	None	Press	0	Press
1156	2020-02-10 18:26:13	D01P1	TH0605	35.003	press	right	None	Press	0	Press
1171	2020-02-10 18:26:13	D01P1	TH0605	35.403	press	fire	None	Press	0	Press
1195	2020-02-10 18:26:13	D01P1	TH0605	35.971	press	thrust	None	Press	0	Press
1218	2020-02-10 18:26:13	D01P1	TH0605	36.503	press	thrust	None	Press	0	Press
1235	2020-02-10 18:26:13	D01P1	TH0605	36.895	new_mine	foe	None	NewMine	0	GameEvent
1237	2020-02-10 18:26:13	D01P1	TH0605	36.97	press	right	None	Press	0	Press
1252	2020-02-10 18:26:13	D01P1	TH0605	37.371	press	fire	None	Press	0	Press
1269	2020-02-10 18:26:13	D01P1	TH0605	37.737	press	left	None	Press	0	Press
1284	2020-02-10 18:26:13	D01P1	TH0605	38.104	press	fire	None	Press	0	Press
1305	2020-02-10 18:26:13	D01P1	TH0605	38.537	press	right	None	Press	0	Press
1309	2020-02-10 18:26:13	D01P1	TH0605	38.604	collide	mine_0	ship	ShipDamage	-50	Flight
1338	2020-02-10 18:26:13	D01P1	TH0605	39.371	press	right	None	Press	0	Press
1364	2020-02-10 18:26:13	D01P1	TH0605	40.037	press	fire	None	Press	0	Press
1390	2020-02-10 18:26:13	D01P1	TH0605	40.671	press	fire	None	Press	0	Press
1402	2020-02-10 18:26:13	D01P1	TH0605	40.971	press	right	None	Press	0	Press
1409	2020-02-10 18:26:13	D01P1	TH0605	41.103	collide	missile_1	fortress	FortressShot	0	GameEvent
1425	2020-02-10 18:26:13	D01P1	TH0605	41.537	press	right	None	Press	0	Press
1435	2020-02-10 18:26:13	D01P1	TH0605	41.704	press	thrust	None	Press	0	Press
1471	2020-02-10 18:26:13	D01P1	TH0605	42.638	press	left	None	Press	0	Press
1482	2020-02-10 18:26:13	D01P1	TH0605	42.938	press	right	None	Press	0	Press
1494	2020-02-10 18:26:13	D01P1	TH0605	43.204	press	fire	None	Press	0	Press
1503	2020-02-10 18:26:13	D01P1	TH0605	43.403	press	thrust	None	Press	0	Press
1517	2020-02-10 18:26:13	D01P1	TH0605	43.693	new_mine	foe	None	NewMine	0	GameEvent
1527	2020-02-10 18:26:13	D01P1	TH0605	43.971	collide	missile_0	fortress	FortressShot	0	GameEvent
1553	2020-02-10 18:26:13	D01P1	TH0605	44.671	press	left	None	Press	0	Press
1570	2020-02-10 18:26:13	D01P1	TH0605	45.137	press	shots	None	Press	0	Press
1572	2020-02-10 18:26:13	D01P1	TH0605	45.138	shots_bonus_failure	None	None	BonusFailure	-50	Bonus
1579	2020-02-10 18:26:13	D01P1	TH0605	45.304	press	shots	None	Press	0	Press
1596	2020-02-10 18:26:13	D01P1	TH0605	45.704	press	fire	None	Press	0	Press
1616	2020-02-10 18:26:13	D01P1	TH0605	46.203	press	fire	None	Press	0	Press
1633	2020-02-10 18:26:13	D01P1	TH0605	46.571	collide	mine_0	ship	ShipDamage	-50	Flight
1663	2020-02-10 18:26:13	D01P1	TH0605	47.304	press	thrust	None	Press	0	Press
1694	2020-02-10 18:26:13	D01P1	TH0605	48.103	press	right	None	Press	0	Press
1716	2020-02-10 18:26:13	D01P1	TH0605	48.672	press	right	None	Press	0	Press
1732	2020-02-10 18:26:13	D01P1	TH0605	49.037	press	fire	None	Press	0	Press
1748	2020-02-10 18:26:13	D01P1	TH0605	49.471	press	thrust	None	Press	0	Press
1767	2020-02-10 18:26:13	D01P1	TH0605	49.871	press	fire	None	Press	0	Press
1784	2020-02-10 18:26:13	D01P1	TH0605	50.304	bonus_available	None	None	NewBonus	0	GameEvent
1791	2020-02-10 18:26:13	D01P1	TH0605	50.538	press	right	None	Press	0	Press
1797	2020-02-10 18:26:13	D01P1	TH0605	50.638	collide	missile_1	fortress	FortressShot	0	GameEvent
1813	2020-02-10 18:26:13	D01P1	TH0605	50.971	press	fire	None	Press	0	Press
1818	2020-02-10 18:26:13	D01P1	TH0605	51.104	press	right	None	Press	0	Press
1837	2020-02-10 18:26:13	D01P1	TH0605	51.571	press	thrust	None	Press	0	Press
1844	2020-02-10 18:26:13	D01P1	TH0605	51.697	new_mine	friend	None	NewMine	0	GameEvent
1854	2020-02-10 18:26:13	D01P1	TH0605	51.871	collide	missile_0	fortress	FortressShot	0	GameEvent
1869	2020-02-10 18:26:13	D01P1	TH0605	52.305	press	fire	None	Press	0	Press
1893	2020-02-10 18:26:13	D01P1	TH0605	52.871	press	thrust	None	Press	0	Press
1904	2020-02-10 18:26:13	D01P1	TH0605	53.203	press	right	None	Press	0	Press
1907	2020-02-10 18:26:13	D01P1	TH0605	53.238	collide	missile_0	fortress	FortressShot	0	GameEvent
1922	2020-02-10 18:26:13	D01P1	TH0605	53.603	press	right	None	Press	0	Press
1938	2020-02-10 18:26:13	D01P1	TH0605	53.938	press	fire	None	Press	0	Press
1954	2020-02-10 18:26:13	D01P1	TH0605	54.337	press	right	None	Press	0	Press
1956	2020-02-10 18:26:13	D01P1	TH0605	54.337	collide	friend_mine	None	FriendMineDestruction	50	Mine
1967	2020-02-10 18:26:13	D01P1	TH0605	54.538	press	fire	None	Press	0	Press
1984	2020-02-10 18:26:13	D01P1	TH0605	54.904	press	left	None	Press	0	Press
1998	2020-02-10 18:26:13	D01P1	TH0605	55.303	press	fire	None	Press	0	Press
2020	2020-02-10 18:26:13	D01P1	TH0605	55.871	press	fire	None	Press	0	Press
2047	2020-02-10 18:26:13	D01P1	TH0605	56.538	collide	missile_1	fortress	FortressShot	0	GameEvent
2055	2020-02-10 18:26:13	D01P1	TH0605	56.737	press	fire	None	Press	0	Press
2069	2020-02-10 18:26:13	D01P1	TH0605	57.037	press	right	None	Press	0	Press
2083	2020-02-10 18:26:13	D01P1	TH0605	57.403	press	fire	None	Press	0	Press
2110	2020-02-10 18:26:13	D01P1	TH0605	58.071	press	fire	None	Press	0	Press
2137	2020-02-10 18:26:13	D01P1	TH0605	58.803	press	fire	None	Press	0	Press
2140	2020-02-10 18:26:13	D01P1	TH0605	58.838	collide	missile_1	fortress	FortressShot	0	GameEvent
2152	2020-02-10 18:26:13	D01P1	TH0605	59.038	press	right	None	Press	0	Press
2164	2020-02-10 18:26:13	D01P1	TH0605	59.371	press	thrust	None	Press	0	Press
2169	2020-02-10 18:26:13	D01P1	TH0605	59.426	new_mine	friend	None	NewMine	0	GameEvent
2185	2020-02-10 18:26:13	D01P1	TH0605	59.903	press	left	None	Press	0	Press
2215	2020-02-10 18:26:13	D01P1	TH0605	60.671	press	left	None	Press	0	Press
2223	2020-02-10 18:26:13	D01P1	TH0605	60.871	press	right	None	Press	0	Press
2240	2020-02-10 18:26:13	D01P1	TH0605	61.171	press	fire	None	Press	0	Press
2248	2020-02-10 18:26:13	D01P1	TH0605	61.338	press	thrust	None	Press	0	Press
2259	2020-02-10 18:26:13	D01P1	TH0605	61.638	press	left	None	Press	0	Press
2267	2020-02-10 18:26:13	D01P1	TH0605	61.804	collide	friend_mine	None	FriendMineDestruction	50	Mine
2276	2020-02-10 18:26:13	D01P1	TH0605	61.905	press	thrust	None	Press	0	Press
2280	2020-02-10 18:26:13	D01P1	TH0605	61.938	collide	shell	0	ShipDamage	-50	Flight
2289	2020-02-10 18:26:13	D01P1	TH0605	62.04	press	left	None	Press	0	Press
2308	2020-02-10 18:26:13	D01P1	TH0605	62.571	press	left	None	Press	0	Press
2323	2020-02-10 18:26:13	D01P1	TH0605	62.971	press	fire	None	Press	0	Press
2346	2020-02-10 18:26:13	D01P1	TH0605	63.504	press	right	None	Press	0	Press
2353	2020-02-10 18:26:13	D01P1	TH0605	63.671	press	fire	None	Press	0	Press
2374	2020-02-10 18:26:13	D01P1	TH0605	64.104	press	left	None	Press	0	Press
2385	2020-02-10 18:26:13	D01P1	TH0605	64.404	press	fire	None	Press	0	Press
2407	2020-02-10 18:26:13	D01P1	TH0605	65.005	press	fire	None	Press	0	Press
2440	2020-02-10 18:26:13	D01P1	TH0605	65.803	collide	missile_1	fortress	FortressShot	0	GameEvent
2457	2020-02-10 18:26:13	D01P1	TH0605	66.17	press	fire	None	Press	0	Press
2470	2020-02-10 18:26:13	D01P1	TH0605	66.537	press	left	None	Press	0	Press
2485	2020-02-10 18:26:13	D01P1	TH0605	66.871	press	fire	None	Press	0	Press
2487	2020-02-10 18:26:13	D01P1	TH0605	66.894	new_mine	friend	None	NewMine	0	GameEvent
2520	2020-02-10 18:26:13	D01P1	TH0605	67.837	press	right	None	Press	0	Press
2537	2020-02-10 18:26:13	D01P1	TH0605	68.203	press	right	None	Press	0	Press
2546	2020-02-10 18:26:13	D01P1	TH0605	68.437	press	fire	None	Press	0	Press
2551	2020-02-10 18:26:13	D01P1	TH0605	68.538	press	left	None	Press	0	Press
2569	2020-02-10 18:26:13	D01P1	TH0605	68.971	press	fire	None	Press	0	Press
2582	2020-02-10 18:26:13	D01P1	TH0605	69.204	press	thrust	None	Press	0	Press
2600	2020-02-10 18:26:13	D01P1	TH0605	69.703	press	left	None	Press	0	Press
2604	2020-02-10 18:26:13	D01P1	TH0605	69.771	press	fire	None	Press	0	Press
2618	2020-02-10 18:26:13	D01P1	TH0605	70.038	collide	friend_mine	None	FriendMineDestruction	50	Mine
2636	2020-02-10 18:26:13	D01P1	TH0605	70.371	press	thrust	None	Press	0	Press
2644	2020-02-10 18:26:13	D01P1	TH0605	70.571	press	left	None	Press	0	Press
2687	2020-02-10 18:26:13	D01P1	TH0605	71.638	press	fire	None	Press	0	Press
2691	2020-02-10 18:26:13	D01P1	TH0605	71.738	press	left	None	Press	0	Press
2726	2020-02-10 18:26:13	D01P1	TH0605	72.604	press	fire	None	Press	0	Press
2753	2020-02-10 18:26:13	D01P1	TH0605	73.304	press	fire	None	Press	0	Press
2755	2020-02-10 18:26:13	D01P1	TH0605	73.337	press	thrust	None	Press	0	Press
2778	2020-02-10 18:26:13	D01P1	TH0605	73.904	press	left	None	Press	0	Press
2795	2020-02-10 18:26:13	D01P1	TH0605	74.238	collide	missile_1	fortress	FortressShot	0	GameEvent
2821	2020-02-10 18:26:13	D01P1	TH0605	74.938	press	fire	None	Press	0	Press
2828	2020-02-10 18:26:13	D01P1	TH0605	75.104	press	fire	None	Press	0	Press
2832	2020-02-10 18:26:13	D01P1	TH0605	75.162	new_mine	foe	None	NewMine	0	GameEvent
2850	2020-02-10 18:26:13	D01P1	TH0605	75.604	press	thrust	None	Press	0	Press
2863	2020-02-10 18:26:13	D01P1	TH0605	75.903	collide	missile_1	fortress	FortressShot	0	GameEvent
2870	2020-02-10 18:26:13	D01P1	TH0605	76.103	press	left	None	Press	0	Press
2902	2020-02-10 18:26:13	D01P1	TH0605	76.938	press	fire	None	Press	0	Press
2910	2020-02-10 18:26:13	D01P1	TH0605	77.103	press	fire	None	Press	0	Press
2921	2020-02-10 18:26:13	D01P1	TH0605	77.304	press	left	None	Press	0	Press
2935	2020-02-10 18:26:13	D01P1	TH0605	77.637	collide	missile_0	fortress	FortressShot	0	GameEvent
2945	2020-02-10 18:26:13	D01P1	TH0605	77.904	press	thrust	None	Press	0	Press
2951	2020-02-10 18:26:13	D01P1	TH0605	78.071	press	left	None	Press	0	Press
2980	2020-02-10 18:26:13	D01P1	TH0605	78.771	press	right	None	Press	0	Press
2984	2020-02-10 18:26:13	D01P1	TH0605	78.838	press	thrust	None	Press	0	Press
2993	2020-02-10 18:26:13	D01P1	TH0605	79.07	press	left	None	Press	0	Press
3007	2020-02-10 18:26:13	D01P1	TH0605	79.371	press	thrust	None	Press	0	Press
3022	2020-02-10 18:26:13	D01P1	TH0605	79.704	press	right	None	Press	0	Press
3041	2020-02-10 18:26:13	D01P1	TH0605	80.271	press	iff	None	Press	0	Press
3051	2020-02-10 18:26:13	D01P1	TH0605	80.403	press	iff	None	Press	0	Press
3072	2020-02-10 18:26:13	D01P1	TH0605	80.97	press	fire	None	Press	0	Press
3082	2020-02-10 18:26:13	D01P1	TH0605	81.205	press	left	None	Press	0	Press
3108	2020-02-10 18:26:13	D01P1	TH0605	81.837	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
3116	2020-02-10 18:26:13	D01P1	TH0605	81.971	press	right	None	Press	0	Press
3161	2020-02-10 18:26:13	D01P1	TH0605	83.138	press	fire	None	Press	0	Press
3163	2020-02-10 18:26:13	D01P1	TH0605	83.171	press	left	None	Press	0	Press
3176	2020-02-10 18:26:13	D01P1	TH0605	83.404	press	fire	None	Press	0	Press
3195	2020-02-10 18:26:13	D01P1	TH0605	83.938	press	right	None	Press	0	Press
3212	2020-02-10 18:26:13	D01P1	TH0605	84.371	press	left	None	Press	0	Press
3225	2020-02-10 18:26:13	D01P1	TH0605	84.637	press	fire	None	Press	0	Press
3233	2020-02-10 18:26:13	D01P1	TH0605	84.838	press	fire	None	Press	0	Press
3239	2020-02-10 18:26:13	D01P1	TH0605	84.905	bonus_available	None	None	NewBonus	0	GameEvent
3246	2020-02-10 18:26:13	D01P1	TH0605	85.138	press	thrust	None	Press	0	Press
3269	2020-02-10 18:26:13	D01P1	TH0605	85.604	collide	missile_0	fortress	FortressShot	0	GameEvent
3278	2020-02-10 18:26:13	D01P1	TH0605	85.805	collide	missile_0	fortress	FortressShot	0	GameEvent
3280	2020-02-10 18:26:13	D01P1	TH0605	85.838	destroyed	fortress	None	FortressDestruction	250	Fortress
3305	2020-02-10 18:26:13	D01P1	TH0605	86.437	press	left	None	Press	0	Press
3323	2020-02-10 18:26:13	D01P1	TH0605	86.926	new_mine	foe	None	NewMine	0	GameEvent
3328	2020-02-10 18:26:13	D01P1	TH0605	87.037	press	left	None	Press	0	Press
3348	2020-02-10 18:26:13	D01P1	TH0605	87.503	press	left	None	Press	0	Press
3365	2020-02-10 18:26:13	D01P1	TH0605	88.004	press	left	None	Press	0	Press
3391	2020-02-10 18:26:13	D01P1	TH0605	88.637	press	thrust	None	Press	0	Press
3404	2020-02-10 18:26:13	D01P1	TH0605	89.003	press	iff	None	Press	0	Press
