Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
5641	2019-10-21 18:05:34	D14P1	TS2305	187.95	press	thrust	None	Press	0	Press
5649	2019-10-21 18:05:34	D14P1	TS2305	188.183	press	right	None	Press	0	Press
5673	2019-10-21 18:05:34	D14P1	TS2305	188.749	press	thrust	None	Press	0	Press
5685	2019-10-21 18:05:34	D14P1	TS2305	189.083	press	fire	None	Press	0	Press
5699	2019-10-21 18:05:34	D14P1	TS2305	189.45	collide	missile_0	fortress	FortressShot	0	GameEvent
5712	2019-10-21 18:05:34	D14P1	TS2305	189.716	press	right	None	Press	0	Press
5724	2019-10-21 18:05:34	D14P1	TS2305	190.016	press	fire	None	Press	0	Press
5734	2019-10-21 18:05:34	D14P1	TS2305	190.25	collide	missile_0	fortress	FortressShot	0	GameEvent
5735	2019-10-21 18:05:34	D14P1	TS2305	190.284	press	right	None	Press	0	Press
5750	2019-10-21 18:05:34	D14P1	TS2305	190.617	bonus_available	None	None	NewBonus	0	GameEvent
5752	2019-10-21 18:05:34	D14P1	TS2305	190.684	press	fire	None	Press	0	Press
5758	2019-10-21 18:05:34	D14P1	TS2305	190.75	press	right	None	Press	0	Press
5765	2019-10-21 18:05:34	D14P1	TS2305	190.883	collide	missile_0	fortress	FortressShot	0	GameEvent
5789	2019-10-21 18:05:34	D14P1	TS2305	191.616	press	shots	None	Press	0	Press
5791	2019-10-21 18:05:34	D14P1	TS2305	191.616	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
5803	2019-10-21 18:05:34	D14P1	TS2305	191.816	press	thrust	None	Press	0	Press
5812	2019-10-21 18:05:34	D14P1	TS2305	192.018	press	right	None	Press	0	Press
5821	2019-10-21 18:05:34	D14P1	TS2305	192.25	press	fire	None	Press	0	Press
5827	2019-10-21 18:05:34	D14P1	TS2305	192.384	press	thrust	None	Press	0	Press
5842	2019-10-21 18:05:34	D14P1	TS2305	192.735	new_mine	friend	None	NewMine	0	GameEvent
5849	2019-10-21 18:05:34	D14P1	TS2305	192.783	collide	missile_0	fortress	FortressShot	0	GameEvent
5865	2019-10-21 18:05:34	D14P1	TS2305	193.25	press	right	None	Press	0	Press
5875	2019-10-21 18:05:34	D14P1	TS2305	193.516	press	fire	None	Press	0	Press
5908	2019-10-21 18:05:34	D14P1	TS2305	194.385	press	fire	None	Press	0	Press
5931	2019-10-21 18:05:34	D14P1	TS2305	194.983	press	right	None	Press	0	Press
5933	2019-10-21 18:05:34	D14P1	TS2305	194.984	collide	missile_1	fortress	FortressShot	0	GameEvent
5954	2019-10-21 18:05:34	D14P1	TS2305	195.55	press	left	None	Press	0	Press
5968	2019-10-21 18:05:34	D14P1	TS2305	195.85	press	fire	None	Press	0	Press
5976	2019-10-21 18:05:34	D14P1	TS2305	196.05	press	right	None	Press	0	Press
5981	2019-10-21 18:05:34	D14P1	TS2305	196.117	collide	friend_mine	None	FriendMineDestruction	50	Mine
5994	2019-10-21 18:05:34	D14P1	TS2305	196.384	press	fire	None	Press	0	Press
6008	2019-10-21 18:05:34	D14P1	TS2305	196.783	press	thrust	None	Press	0	Press
6026	2019-10-21 18:05:34	D14P1	TS2305	197.149	press	thrust	None	Press	0	Press
6031	2019-10-21 18:05:34	D14P1	TS2305	197.284	press	right	None	Press	0	Press
