Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
747	2021-05-04 18:08:44	D02P1	TT2010	24.504	press	right	None	Press	0	Press
760	2021-05-04 18:08:44	D02P1	TT2010	24.871	press	thrust	None	Press	0	Press
784	2021-05-04 18:08:44	D02P1	TT2010	25.471	press	right	None	Press	0	Press
802	2021-05-04 18:08:44	D02P1	TT2010	26.004	press	fire	None	Press	0	Press
812	2021-05-04 18:08:44	D02P1	TT2010	26.204	press	right	None	Press	0	Press
825	2021-05-04 18:08:44	D02P1	TT2010	26.471	press	fire	None	Press	0	Press
835	2021-05-04 18:08:44	D02P1	TT2010	26.737	press	left	None	Press	0	Press
846	2021-05-04 18:08:44	D02P1	TT2010	27.037	press	fire	None	Press	0	Press
855	2021-05-04 18:08:44	D02P1	TT2010	27.27	press	right	None	Press	0	Press
870	2021-05-04 18:08:44	D02P1	TT2010	27.571	press	thrust	None	Press	0	Press
873	2021-05-04 18:08:44	D02P1	TT2010	27.604	collide	missile_2	fortress	FortressShot	0	GameEvent
883	2021-05-04 18:08:44	D02P1	TT2010	27.871	press	right	None	Press	0	Press
903	2021-05-04 18:08:44	D02P1	TT2010	28.27	press	thrust	None	Press	0	Press
905	2021-05-04 18:08:44	D02P1	TT2010	28.272	new_mine	friend	None	NewMine	0	GameEvent
917	2021-05-04 18:08:44	D02P1	TT2010	28.538	press	left	None	Press	0	Press
926	2021-05-04 18:08:44	D02P1	TT2010	28.77	press	fire	None	Press	0	Press
937	2021-05-04 18:08:44	D02P1	TT2010	29.004	press	thrust	None	Press	0	Press
965	2021-05-04 18:08:44	D02P1	TT2010	29.672	collide	missile_0	fortress	FortressShot	0	GameEvent
970	2021-05-04 18:08:44	D02P1	TT2010	29.804	press	right	None	Press	0	Press
981	2021-05-04 18:08:44	D02P1	TT2010	30.104	press	fire	None	Press	0	Press
990	2021-05-04 18:08:44	D02P1	TT2010	30.337	press	right	None	Press	0	Press
1007	2021-05-04 18:08:44	D02P1	TT2010	30.637	collide	friend_mine	None	FriendMineDestruction	50	Mine
1014	2021-05-04 18:08:44	D02P1	TT2010	30.737	press	right	None	Press	0	Press
1026	2021-05-04 18:08:44	D02P1	TT2010	31.07	press	fire	None	Press	0	Press
1046	2021-05-04 18:08:44	D02P1	TT2010	31.537	press	fire	None	Press	0	Press
1064	2021-05-04 18:08:44	D02P1	TT2010	32.037	press	fire	None	Press	0	Press
1082	2021-05-04 18:08:44	D02P1	TT2010	32.437	press	fire	None	Press	0	Press
1096	2021-05-04 18:08:44	D02P1	TT2010	32.804	press	fire	None	Press	0	Press
1101	2021-05-04 18:08:44	D02P1	TT2010	32.871	collide	missile_2	fortress	FortressShot	0	GameEvent
1109	2021-05-04 18:08:44	D02P1	TT2010	33.104	press	right	None	Press	0	Press
1117	2021-05-04 18:08:44	D02P1	TT2010	33.271	collide	missile_2	fortress	FortressShot	0	GameEvent
1128	2021-05-04 18:08:44	D02P1	TT2010	33.471	press	fire	None	Press	0	Press
1137	2021-05-04 18:08:44	D02P1	TT2010	33.637	press	right	None	Press	0	Press
1141	2021-05-04 18:08:44	D02P1	TT2010	33.704	press	fire	None	Press	0	Press
1158	2021-05-04 18:08:44	D02P1	TT2010	34.137	press	right	None	Press	0	Press
1174	2021-05-04 18:08:44	D02P1	TT2010	34.471	press	thrust	None	Press	0	Press
1180	2021-05-04 18:08:44	D02P1	TT2010	34.571	collide	missile_2	fortress	FortressShot	0	GameEvent
1196	2021-05-04 18:08:44	D02P1	TT2010	35.004	press	right	None	Press	0	Press
1209	2021-05-04 18:08:44	D02P1	TT2010	35.337	press	left	None	Press	0	Press
1224	2021-05-04 18:08:44	D02P1	TT2010	35.637	press	fire	None	Press	0	Press
1231	2021-05-04 18:08:44	D02P1	TT2010	35.739	new_mine	friend	None	NewMine	0	GameEvent
1246	2021-05-04 18:08:44	D02P1	TT2010	36.171	press	right	None	Press	0	Press
1251	2021-05-04 18:08:44	D02P1	TT2010	36.271	press	thrust	None	Press	0	Press
1265	2021-05-04 18:08:44	D02P1	TT2010	36.537	collide	missile_0	fortress	FortressShot	0	GameEvent
1308	2021-05-04 18:08:44	D02P1	TT2010	37.671	bonus_available	None	None	NewBonus	0	GameEvent
1311	2021-05-04 18:08:44	D02P1	TT2010	37.771	press	right	None	Press	0	Press
1348	2021-05-04 18:08:44	D02P1	TT2010	38.77	press	fire	None	Press	0	Press
1363	2021-05-04 18:08:44	D02P1	TT2010	39.104	press	left	None	Press	0	Press
1389	2021-05-04 18:08:44	D02P1	TT2010	39.771	press	shots	None	Press	0	Press
1391	2021-05-04 18:08:44	D02P1	TT2010	39.771	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1400	2021-05-04 18:08:44	D02P1	TT2010	39.904	press	thrust	None	Press	0	Press
1409	2021-05-04 18:08:44	D02P1	TT2010	40.137	press	thrust	None	Press	0	Press
1417	2021-05-04 18:08:44	D02P1	TT2010	40.337	press	right	None	Press	0	Press
1435	2021-05-04 18:08:44	D02P1	TT2010	40.737	press	fire	None	Press	0	Press
1452	2021-05-04 18:08:44	D02P1	TT2010	41.138	press	thrust	None	Press	0	Press
1454	2021-05-04 18:08:44	D02P1	TT2010	41.138	collide	friend_mine	None	FriendMineDestruction	50	Mine
1476	2021-05-04 18:08:44	D02P1	TT2010	41.604	press	thrust	None	Press	0	Press
1484	2021-05-04 18:08:44	D02P1	TT2010	41.804	press	left	None	Press	0	Press
1493	2021-05-04 18:08:44	D02P1	TT2010	42.037	press	left	None	Press	0	Press
1502	2021-05-04 18:08:44	D02P1	TT2010	42.237	press	left	None	Press	0	Press
1507	2021-05-04 18:08:44	D02P1	TT2010	42.337	press	thrust	None	Press	0	Press
1534	2021-05-04 18:08:44	D02P1	TT2010	43.071	press	right	None	Press	0	Press
1558	2021-05-04 18:08:44	D02P1	TT2010	43.637	press	fire	None	Press	0	Press
1568	2021-05-04 18:08:44	D02P1	TT2010	43.904	press	right	None	Press	0	Press
1581	2021-05-04 18:08:44	D02P1	TT2010	44.27	press	fire	None	Press	0	Press
1590	2021-05-04 18:08:44	D02P1	TT2010	44.504	press	thrust	None	Press	0	Press
1599	2021-05-04 18:08:44	D02P1	TT2010	44.671	press	right	None	Press	0	Press
1611	2021-05-04 18:08:44	D02P1	TT2010	44.904	collide	missile_1	fortress	FortressShot	0	GameEvent
1618	2021-05-04 18:08:44	D02P1	TT2010	45.071	press	fire	None	Press	0	Press
1631	2021-05-04 18:08:44	D02P1	TT2010	45.437	press	fire	None	Press	0	Press
1653	2021-05-04 18:08:44	D02P1	TT2010	45.937	press	fire	None	Press	0	Press
1665	2021-05-04 18:08:44	D02P1	TT2010	46.207	new_mine	foe	None	NewMine	0	GameEvent
1676	2021-05-04 18:08:44	D02P1	TT2010	46.504	press	thrust	None	Press	0	Press
1680	2021-05-04 18:08:44	D02P1	TT2010	46.571	press	right	None	Press	0	Press
1687	2021-05-04 18:08:44	D02P1	TT2010	46.671	press	fire	None	Press	0	Press
1690	2021-05-04 18:08:44	D02P1	TT2010	46.705	collide	missile_2	fortress	FortressShot	0	GameEvent
1710	2021-05-04 18:08:44	D02P1	TT2010	47.204	press	left	None	Press	0	Press
1715	2021-05-04 18:08:44	D02P1	TT2010	47.304	collide	mine_0	ship	ShipDamage	-50	Flight
1745	2021-05-04 18:08:44	D02P1	TT2010	48.037	press	right	None	Press	0	Press
1757	2021-05-04 18:08:44	D02P1	TT2010	48.337	press	left	None	Press	0	Press
1779	2021-05-04 18:08:44	D02P1	TT2010	48.871	press	thrust	None	Press	0	Press
1794	2021-05-04 18:08:44	D02P1	TT2010	49.204	bonus_available	None	None	NewBonus	0	GameEvent
1798	2021-05-04 18:08:44	D02P1	TT2010	49.304	collide	shell	2	ShipDamage	-50	Flight
1807	2021-05-04 18:08:44	D02P1	TT2010	49.504	press	right	None	Press	0	Press
1838	2021-05-04 18:08:44	D02P1	TT2010	50.304	press	right	None	Press	0	Press
1844	2021-05-04 18:08:44	D02P1	TT2010	50.404	press	right	None	Press	0	Press
1871	2021-05-04 18:08:44	D02P1	TT2010	51.104	press	fire	None	Press	0	Press
1881	2021-05-04 18:08:44	D02P1	TT2010	51.304	press	right	None	Press	0	Press
1893	2021-05-04 18:08:44	D02P1	TT2010	51.571	collide	missile_0	fortress	FortressShot	0	GameEvent
1896	2021-05-04 18:08:44	D02P1	TT2010	51.637	press	fire	None	Press	0	Press
1906	2021-05-04 18:08:44	D02P1	TT2010	51.804	press	right	None	Press	0	Press
1913	2021-05-04 18:08:44	D02P1	TT2010	51.97	press	left	None	Press	0	Press
1915	2021-05-04 18:08:44	D02P1	TT2010	52.003	press	thrust	None	Press	0	Press
1932	2021-05-04 18:08:44	D02P1	TT2010	52.406	new_mine	foe	None	NewMine	0	GameEvent
1941	2021-05-04 18:08:44	D02P1	TT2010	52.671	press	right	None	Press	0	Press
1960	2021-05-04 18:08:44	D02P1	TT2010	53.104	press	right	None	Press	0	Press
1999	2021-05-04 18:08:44	D02P1	TT2010	54.137	press	thrust	None	Press	0	Press
2028	2021-05-04 18:08:44	D02P1	TT2010	54.871	press	right	None	Press	0	Press
2040	2021-05-04 18:08:44	D02P1	TT2010	55.137	press	iff	None	Press	0	Press
2047	2021-05-04 18:08:44	D02P1	TT2010	55.271	press	iff	None	Press	0	Press
2054	2021-05-04 18:08:44	D02P1	TT2010	55.404	press	right	None	Press	0	Press
2074	2021-05-04 18:08:44	D02P1	TT2010	55.904	press	fire	None	Press	0	Press
2091	2021-05-04 18:08:44	D02P1	TT2010	56.337	press	thrust	None	Press	0	Press
2095	2021-05-04 18:08:44	D02P1	TT2010	56.437	press	left	None	Press	0	Press
2101	2021-05-04 18:08:44	D02P1	TT2010	56.538	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
2123	2021-05-04 18:08:44	D02P1	TT2010	56.904	press	right	None	Press	0	Press
2140	2021-05-04 18:08:44	D02P1	TT2010	57.371	press	right	None	Press	0	Press
2176	2021-05-04 18:08:44	D02P1	TT2010	58.337	press	left	None	Press	0	Press
2190	2021-05-04 18:08:44	D02P1	TT2010	58.704	press	fire	None	Press	0	Press
2207	2021-05-04 18:08:44	D02P1	TT2010	59.038	press	fire	None	Press	0	Press
2217	2021-05-04 18:08:44	D02P1	TT2010	59.304	press	right	None	Press	0	Press
2226	2021-05-04 18:08:44	D02P1	TT2010	59.504	collide	missile_0	fortress	FortressShot	0	GameEvent
2242	2021-05-04 18:08:44	D02P1	TT2010	59.837	collide	missile_0	fortress	FortressShot	0	GameEvent
2247	2021-05-04 18:08:44	D02P1	TT2010	59.938	press	right	None	Press	0	Press
2264	2021-05-04 18:08:44	D02P1	TT2010	60.405	press	fire	None	Press	0	Press
2275	2021-05-04 18:08:44	D02P1	TT2010	60.671	press	fire	None	Press	0	Press
2299	2021-05-04 18:08:44	D02P1	TT2010	61.205	press	fire	None	Press	0	Press
2302	2021-05-04 18:08:44	D02P1	TT2010	61.237	collide	missile_0	fortress	FortressShot	0	GameEvent
2307	2021-05-04 18:08:44	D02P1	TT2010	61.337	press	fire	None	Press	0	Press
2315	2021-05-04 18:08:44	D02P1	TT2010	61.504	collide	missile_0	fortress	FortressShot	0	GameEvent
2322	2021-05-04 18:08:44	D02P1	TT2010	61.639	new_mine	friend	None	NewMine	0	GameEvent
2326	2021-05-04 18:08:44	D02P1	TT2010	61.771	press	thrust	None	Press	0	Press
2339	2021-05-04 18:08:44	D02P1	TT2010	62.004	press	thrust	None	Press	0	Press
2347	2021-05-04 18:08:44	D02P1	TT2010	62.171	press	right	None	Press	0	Press
2363	2021-05-04 18:08:44	D02P1	TT2010	62.604	press	thrust	None	Press	0	Press
2385	2021-05-04 18:08:44	D02P1	TT2010	63.071	press	right	None	Press	0	Press
2407	2021-05-04 18:08:44	D02P1	TT2010	63.637	press	left	None	Press	0	Press
2420	2021-05-04 18:08:44	D02P1	TT2010	63.904	press	right	None	Press	0	Press
2441	2021-05-04 18:08:44	D02P1	TT2010	64.471	press	fire	None	Press	0	Press
2450	2021-05-04 18:08:44	D02P1	TT2010	64.704	press	left	None	Press	0	Press
2464	2021-05-04 18:08:44	D02P1	TT2010	65.004	press	fire	None	Press	0	Press
2480	2021-05-04 18:08:44	D02P1	TT2010	65.471	press	fire	None	Press	0	Press
2513	2021-05-04 18:08:44	D02P1	TT2010	66.238	collide	friend_mine	None	FriendMineDestruction	50	Mine
2521	2021-05-04 18:08:44	D02P1	TT2010	66.371	press	thrust	None	Press	0	Press
2952	2021-05-04 18:08:44	D02P1	TT2010	66.738	press	thrust	None	Press	0	Press
2971	2021-05-04 18:08:44	D02P1	TT2010	67.138	bonus_available	None	None	NewBonus	0	GameEvent
2982	2021-05-04 18:08:44	D02P1	TT2010	67.471	press	fire	None	Press	0	Press
2995	2021-05-04 18:08:44	D02P1	TT2010	67.804	press	fire	None	Press	0	Press
3010	2021-05-04 18:08:44	D02P1	TT2010	68.104	collide	missile_0	fortress	FortressShot	0	GameEvent
3013	2021-05-04 18:08:44	D02P1	TT2010	68.171	press	fire	None	Press	0	Press
3022	2021-05-04 18:08:44	D02P1	TT2010	68.371	collide	missile_0	fortress	FortressShot	0	GameEvent
3029	2021-05-04 18:08:44	D02P1	TT2010	68.537	press	fire	None	Press	0	Press
3038	2021-05-04 18:08:44	D02P1	TT2010	68.772	press	right	None	Press	0	Press
3058	2021-05-04 18:08:44	D02P1	TT2010	69.238	press	right	None	Press	0	Press
3069	2021-05-04 18:08:44	D02P1	TT2010	69.504	press	fire	None	Press	0	Press
3076	2021-05-04 18:08:44	D02P1	TT2010	69.671	press	fire	None	Press	0	Press
3085	2021-05-04 18:08:44	D02P1	TT2010	69.871	collide	missile_2	fortress	FortressShot	0	GameEvent
3090	2021-05-04 18:08:44	D02P1	TT2010	70.004	press	thrust	None	Press	0	Press
3108	2021-05-04 18:08:44	D02P1	TT2010	70.341	new_mine	friend	None	NewMine	0	GameEvent
3112	2021-05-04 18:08:44	D02P1	TT2010	70.471	press	right	None	Press	0	Press
3127	2021-05-04 18:08:44	D02P1	TT2010	70.804	press	fire	None	Press	0	Press
3135	2021-05-04 18:08:44	D02P1	TT2010	71.004	press	fire	None	Press	0	Press
3146	2021-05-04 18:08:44	D02P1	TT2010	71.171	collide	missile_1	fortress	FortressShot	0	GameEvent
3155	2021-05-04 18:08:44	D02P1	TT2010	71.337	bonus_available	None	None	NewBonus	0	GameEvent
3159	2021-05-04 18:08:44	D02P1	TT2010	71.437	collide	missile_0	fortress	FortressShot	0	GameEvent
3165	2021-05-04 18:08:44	D02P1	TT2010	71.604	press	fire	None	Press	0	Press
3179	2021-05-04 18:08:44	D02P1	TT2010	72.004	press	fire	None	Press	0	Press
3193	2021-05-04 18:08:44	D02P1	TT2010	72.204	collide	friend_mine	None	FriendMineDestruction	50	Mine
3200	2021-05-04 18:08:44	D02P1	TT2010	72.271	press	right	None	Press	0	Press
3226	2021-05-04 18:08:44	D02P1	TT2010	73.038	press	pnts	None	Press	0	Press
3228	2021-05-04 18:08:44	D02P1	TT2010	73.038	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
3241	2021-05-04 18:08:44	D02P1	TT2010	73.271	press	thrust	None	Press	0	Press
3242	2021-05-04 18:08:44	D02P1	TT2010	73.271	press	right	None	Press	0	Press
3263	2021-05-04 18:08:44	D02P1	TT2010	73.838	press	left	None	Press	0	Press
3268	2021-05-04 18:08:44	D02P1	TT2010	73.937	warp	up	None	BorderCrossing	-35	Flight
3280	2021-05-04 18:08:44	D02P1	TT2010	74.104	warp	down	None	BorderCrossing	-35	Flight
3321	2021-05-04 18:08:44	D02P1	TT2010	75.204	press	left	None	Press	0	Press
3326	2021-05-04 18:08:44	D02P1	TT2010	75.304	press	thrust	None	Press	0	Press
3331	2021-05-04 18:08:44	D02P1	TT2010	75.437	press	right	None	Press	0	Press
3353	2021-05-04 18:08:44	D02P1	TT2010	76.004	press	right	None	Press	0	Press
3365	2021-05-04 18:08:44	D02P1	TT2010	76.238	press	thrust	None	Press	0	Press
3375	2021-05-04 18:08:44	D02P1	TT2010	76.504	press	left	None	Press	0	Press
3403	2021-05-04 18:08:44	D02P1	TT2010	77.204	press	left	None	Press	0	Press
3409	2021-05-04 18:08:44	D02P1	TT2010	77.304	press	left	None	Press	0	Press
3411	2021-05-04 18:08:44	D02P1	TT2010	77.306	new_mine	foe	None	NewMine	0	GameEvent
3422	2021-05-04 18:08:44	D02P1	TT2010	77.638	press	fire	None	Press	0	Press
3449	2021-05-04 18:08:44	D02P1	TT2010	78.371	press	fire	None	Press	0	Press
3457	2021-05-04 18:08:44	D02P1	TT2010	78.571	press	left	None	Press	0	Press
3466	2021-05-04 18:08:44	D02P1	TT2010	78.738	bonus_available	None	None	NewBonus	0	GameEvent
3476	2021-05-04 18:08:44	D02P1	TT2010	79.038	press	left	None	Press	0	Press
3485	2021-05-04 18:08:44	D02P1	TT2010	79.204	press	thrust	None	Press	0	Press
3501	2021-05-04 18:08:44	D02P1	TT2010	79.604	press	iff	None	Press	0	Press
3507	2021-05-04 18:08:44	D02P1	TT2010	79.704	press	iff	None	Press	0	Press
3521	2021-05-04 18:08:44	D02P1	TT2010	80.005	press	right	None	Press	0	Press
3547	2021-05-04 18:08:44	D02P1	TT2010	80.571	press	left	None	Press	0	Press
3559	2021-05-04 18:08:44	D02P1	TT2010	80.871	press	fire	None	Press	0	Press
3580	2021-05-04 18:08:44	D02P1	TT2010	81.371	press	left	None	Press	0	Press
3595	2021-05-04 18:08:44	D02P1	TT2010	81.805	press	fire	None	Press	0	Press
3604	2021-05-04 18:08:44	D02P1	TT2010	81.971	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
3627	2021-05-04 18:08:44	D02P1	TT2010	82.438	press	thrust	None	Press	0	Press
3638	2021-05-04 18:08:44	D02P1	TT2010	82.738	press	right	None	Press	0	Press
