Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
3965	2019-10-15 18:39:26	D14P1	VL1401	132.048	press	thrust	None	Press	0	Press
3972	2019-10-15 18:39:26	D14P1	VL1401	132.215	press	right	None	Press	0	Press
3984	2019-10-15 18:39:26	D14P1	VL1401	132.582	press	thrust	None	Press	0	Press
3993	2019-10-15 18:39:26	D14P1	VL1401	132.749	press	fire	None	Press	0	Press
4005	2019-10-15 18:39:26	D14P1	VL1401	132.948	press	right	None	Press	0	Press
4006	2019-10-15 18:39:26	D14P1	VL1401	132.948	press	fire	None	Press	0	Press
4014	2019-10-15 18:39:26	D14P1	VL1401	133.115	press	fire	None	Press	0	Press
4016	2019-10-15 18:39:26	D14P1	VL1401	133.125	collide	missile_0	fortress	FortressShot	0	GameEvent
4024	2019-10-15 18:39:26	D14P1	VL1401	133.282	collide	missile_0	fortress	FortressShot	0	GameEvent
4025	2019-10-15 18:39:26	D14P1	VL1401	133.315	press	thrust	None	Press	0	Press
4033	2019-10-15 18:39:26	D14P1	VL1401	133.449	collide	missile_0	fortress	FortressShot	0	GameEvent
4034	2019-10-15 18:39:26	D14P1	VL1401	133.482	press	fire	None	Press	0	Press
4042	2019-10-15 18:39:26	D14P1	VL1401	133.649	press	thrust	None	Press	0	Press
4049	2019-10-15 18:39:26	D14P1	VL1401	133.782	collide	missile_0	fortress	FortressShot	0	GameEvent
4055	2019-10-15 18:39:26	D14P1	VL1401	133.849	press	left	None	Press	0	Press
4068	2019-10-15 18:39:26	D14P1	VL1401	134.183	press	fire	None	Press	0	Press
4073	2019-10-15 18:39:26	D14P1	VL1401	134.283	press	right	None	Press	0	Press
4081	2019-10-15 18:39:26	D14P1	VL1401	134.482	press	fire	None	Press	0	Press
4091	2019-10-15 18:39:26	D14P1	VL1401	134.682	collide	missile_1	fortress	FortressShot	0	GameEvent
4095	2019-10-15 18:39:26	D14P1	VL1401	134.716	bonus_available	None	None	NewBonus	0	GameEvent
4097	2019-10-15 18:39:26	D14P1	VL1401	134.782	press	fire	None	Press	0	Press
4109	2019-10-15 18:39:26	D14P1	VL1401	134.983	collide	missile_1	fortress	FortressShot	0	GameEvent
4112	2019-10-15 18:39:26	D14P1	VL1401	135.049	press	right	None	Press	0	Press
4117	2019-10-15 18:39:26	D14P1	VL1401	135.149	press	fire	None	Press	0	Press
4125	2019-10-15 18:39:26	D14P1	VL1401	135.315	collide	missile_1	fortress	FortressShot	0	GameEvent
4130	2019-10-15 18:39:26	D14P1	VL1401	135.448	press	fire	None	Press	0	Press
4137	2019-10-15 18:39:26	D14P1	VL1401	135.582	collide	missile_1	fortress	FortressShot	0	GameEvent
4142	2019-10-15 18:39:26	D14P1	VL1401	135.682	press	right	None	Press	0	Press
4147	2019-10-15 18:39:26	D14P1	VL1401	135.782	press	fire	None	Press	0	Press
4157	2019-10-15 18:39:26	D14P1	VL1401	135.915	collide	missile_0	fortress	FortressShot	0	GameEvent
4164	2019-10-15 18:39:26	D14P1	VL1401	136.082	press	fire	None	Press	0	Press
4169	2019-10-15 18:39:26	D14P1	VL1401	136.183	press	right	None	Press	0	Press
4172	2019-10-15 18:39:26	D14P1	VL1401	136.217	collide	missile_0	fortress	FortressShot	0	GameEvent
4180	2019-10-15 18:39:26	D14P1	VL1401	136.415	press	fire	None	Press	0	Press
4187	2019-10-15 18:39:26	D14P1	VL1401	136.549	collide	missile_0	fortress	FortressShot	0	GameEvent
4193	2019-10-15 18:39:26	D14P1	VL1401	136.715	press	fire	None	Press	0	Press
4203	2019-10-15 18:39:26	D14P1	VL1401	136.868	new_mine	foe	None	NewMine	0	GameEvent
4208	2019-10-15 18:39:26	D14P1	VL1401	136.882	collide	missile_0	fortress	FortressShot	0	GameEvent
4209	2019-10-15 18:39:26	D14P1	VL1401	136.915	press	thrust	None	Press	0	Press
4216	2019-10-15 18:39:26	D14P1	VL1401	137.048	press	fire	None	Press	0	Press
4223	2019-10-15 18:39:26	D14P1	VL1401	137.215	press	right	None	Press	0	Press
4226	2019-10-15 18:39:26	D14P1	VL1401	137.249	collide	missile_0	fortress	FortressShot	0	GameEvent
4231	2019-10-15 18:39:26	D14P1	VL1401	137.348	press	fire	None	Press	0	Press
4239	2019-10-15 18:39:26	D14P1	VL1401	137.515	collide	missile_0	fortress	FortressShot	0	GameEvent
4246	2019-10-15 18:39:26	D14P1	VL1401	137.715	press	fire	None	Press	0	Press
