Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
304	2021-04-06 08:58:43	D14P1	VM3004	9.944	press	right	None	Press	0	Press
307	2021-04-06 08:58:43	D14P1	VM3004	10.011	press	thrust	None	Press	0	Press
324	2021-04-06 08:58:43	D14P1	VM3004	10.344	press	right	None	Press	0	Press
389	2021-04-06 08:58:43	D14P1	VM3004	12.211	press	right	None	Press	0	Press
392	2021-04-06 08:58:43	D14P1	VM3004	12.211	bonus_available	None	None	NewBonus	0	GameEvent
401	2021-04-06 08:58:43	D14P1	VM3004	12.411	press	thrust	None	Press	0	Press
416	2021-04-06 08:58:43	D14P1	VM3004	12.811	press	left	None	Press	0	Press
435	2021-04-06 08:58:43	D14P1	VM3004	13.311	press	shots	None	Press	0	Press
437	2021-04-06 08:58:43	D14P1	VM3004	13.311	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
447	2021-04-06 08:58:43	D14P1	VM3004	13.444	press	thrust	None	Press	0	Press
457	2021-04-06 08:58:43	D14P1	VM3004	13.677	press	right	None	Press	0	Press
466	2021-04-06 08:58:43	D14P1	VM3004	13.911	press	thrust	None	Press	0	Press
473	2021-04-06 08:58:43	D14P1	VM3004	14.078	press	left	None	Press	0	Press
486	2021-04-06 08:58:43	D14P1	VM3004	14.346	new_mine	foe	None	NewMine	0	GameEvent
501	2021-04-06 08:58:43	D14P1	VM3004	14.711	press	fire	None	Press	0	Press
505	2021-04-06 08:58:43	D14P1	VM3004	14.811	press	thrust	None	Press	0	Press
512	2021-04-06 08:58:43	D14P1	VM3004	14.944	collide	missile_0	fortress	FortressShot	0	GameEvent
521	2021-04-06 08:58:43	D14P1	VM3004	15.176	press	left	None	Press	0	Press
536	2021-04-06 08:58:43	D14P1	VM3004	15.51	press	right	None	Press	0	Press
547	2021-04-06 08:58:43	D14P1	VM3004	15.778	press	thrust	None	Press	0	Press
551	2021-04-06 08:58:43	D14P1	VM3004	15.877	press	left	None	Press	0	Press
562	2021-04-06 08:58:43	D14P1	VM3004	16.144	press	iff	None	Press	0	Press
568	2021-04-06 08:58:43	D14P1	VM3004	16.244	press	iff	None	Press	0	Press
573	2021-04-06 08:58:43	D14P1	VM3004	16.311	press	thrust	None	Press	0	Press
586	2021-04-06 08:58:43	D14P1	VM3004	16.544	press	fire	None	Press	0	Press
589	2021-04-06 08:58:43	D14P1	VM3004	16.611	press	thrust	None	Press	0	Press
596	2021-04-06 08:58:43	D14P1	VM3004	16.711	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
602	2021-04-06 08:58:43	D14P1	VM3004	16.778	press	left	None	Press	0	Press
613	2021-04-06 08:58:43	D14P1	VM3004	17.044	press	thrust	None	Press	0	Press
654	2021-04-06 08:58:43	D14P1	VM3004	18.143	press	thrust	None	Press	0	Press
675	2021-04-06 08:58:43	D14P1	VM3004	18.678	press	left	None	Press	0	Press
688	2021-04-06 08:58:43	D14P1	VM3004	19.044	press	thrust	None	Press	0	Press
702	2021-04-06 08:58:43	D14P1	VM3004	19.411	press	left	None	Press	0	Press
714	2021-04-06 08:58:43	D14P1	VM3004	19.577	bonus_available	None	None	NewBonus	0	GameEvent
726	2021-04-06 08:58:43	D14P1	VM3004	19.977	press	left	None	Press	0	Press
733	2021-04-06 08:58:43	D14P1	VM3004	20.144	press	thrust	None	Press	0	Press
746	2021-04-06 08:58:43	D14P1	VM3004	20.511	press	fire	None	Press	0	Press
753	2021-04-06 08:58:43	D14P1	VM3004	20.611	press	left	None	Press	0	Press
764	2021-04-06 08:58:43	D14P1	VM3004	20.844	collide	missile_0	fortress	FortressShot	0	GameEvent
766	2021-04-06 08:58:43	D14P1	VM3004	20.877	press	fire	None	Press	0	Press
773	2021-04-06 08:58:43	D14P1	VM3004	21.011	press	left	None	Press	0	Press
781	2021-04-06 08:58:43	D14P1	VM3004	21.177	collide	missile_0	fortress	FortressShot	0	GameEvent
785	2021-04-06 08:58:43	D14P1	VM3004	21.277	press	thrust	None	Press	0	Press
788	2021-04-06 08:58:43	D14P1	VM3004	21.344	press	fire	None	Press	0	Press
806	2021-04-06 08:58:43	D14P1	VM3004	21.676	collide	missile_0	fortress	FortressShot	0	GameEvent
812	2021-04-06 08:58:43	D14P1	VM3004	21.779	new_mine	foe	None	NewMine	0	GameEvent
814	2021-04-06 08:58:43	D14P1	VM3004	21.843	press	fire	None	Press	0	Press
816	2021-04-06 08:58:43	D14P1	VM3004	21.877	press	thrust	None	Press	0	Press
823	2021-04-06 08:58:43	D14P1	VM3004	22.011	press	left	None	Press	0	Press
