Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
357	2019-10-11 08:35:52	D05P2	YC1703	11.833	press	thrust	None	Press	0	Press
369	2019-10-11 08:35:52	D05P2	YC1703	12.201	press	right	None	Press	0	Press
393	2019-10-11 08:35:52	D05P2	YC1703	12.801	press	thrust	None	Press	0	Press
402	2019-10-11 08:35:52	D05P2	YC1703	13.001	press	fire	None	Press	0	Press
411	2019-10-11 08:35:52	D05P2	YC1703	13.235	press	right	None	Press	0	Press
420	2019-10-11 08:35:52	D05P2	YC1703	13.467	press	fire	None	Press	0	Press
427	2019-10-11 08:35:52	D05P2	YC1703	13.633	press	right	None	Press	0	Press
440	2019-10-11 08:35:52	D05P2	YC1703	13.866	press	fire	None	Press	0	Press
443	2019-10-11 08:35:52	D05P2	YC1703	13.9	collide	missile_1	fortress	FortressShot	0	GameEvent
456	2019-10-11 08:35:52	D05P2	YC1703	14.233	press	fire	None	Press	0	Press
463	2019-10-11 08:35:52	D05P2	YC1703	14.367	collide	missile_1	fortress	FortressShot	0	GameEvent
469	2019-10-11 08:35:52	D05P2	YC1703	14.534	press	right	None	Press	0	Press
476	2019-10-11 08:35:52	D05P2	YC1703	14.634	bonus_available	None	None	NewBonus	0	GameEvent
477	2019-10-11 08:35:52	D05P2	YC1703	14.667	press	fire	None	Press	0	Press
482	2019-10-11 08:35:52	D05P2	YC1703	14.733	collide	missile_0	fortress	FortressShot	0	GameEvent
497	2019-10-11 08:35:52	D05P2	YC1703	15.067	press	left	None	Press	0	Press
503	2019-10-11 08:35:52	D05P2	YC1703	15.167	press	fire	None	Press	0	Press
513	2019-10-11 08:35:52	D05P2	YC1703	15.434	press	right	None	Press	0	Press
521	2019-10-11 08:35:52	D05P2	YC1703	15.634	press	fire	None	Press	0	Press
537	2019-10-11 08:35:52	D05P2	YC1703	15.966	press	pnts	None	Press	0	Press
539	2019-10-11 08:35:52	D05P2	YC1703	15.966	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
548	2019-10-11 08:35:52	D05P2	YC1703	16.201	press	thrust	None	Press	0	Press
553	2019-10-11 08:35:52	D05P2	YC1703	16.334	press	fire	None	Press	0	Press
571	2019-10-11 08:35:52	D05P2	YC1703	16.733	press	fire	None	Press	0	Press
574	2019-10-11 08:35:52	D05P2	YC1703	16.766	press	thrust	None	Press	0	Press
576	2019-10-11 08:35:52	D05P2	YC1703	16.786	new_mine	foe	None	NewMine	0	GameEvent
590	2019-10-11 08:35:52	D05P2	YC1703	17.067	press	right	None	Press	0	Press
596	2019-10-11 08:35:52	D05P2	YC1703	17.133	collide	missile_1	fortress	FortressShot	0	GameEvent
599	2019-10-11 08:35:52	D05P2	YC1703	17.201	press	fire	None	Press	0	Press
615	2019-10-11 08:35:52	D05P2	YC1703	17.566	collide	missile_0	fortress	FortressShot	0	GameEvent
624	2019-10-11 08:35:52	D05P2	YC1703	17.834	press	right	None	Press	0	Press
639	2019-10-11 08:35:52	D05P2	YC1703	18.134	press	right	None	Press	0	Press
650	2019-10-11 08:35:52	D05P2	YC1703	18.367	press	iff	None	Press	0	Press
657	2019-10-11 08:35:52	D05P2	YC1703	18.5	press	right	None	Press	0	Press
659	2019-10-11 08:35:52	D05P2	YC1703	18.534	press	iff	None	Press	0	Press
674	2019-10-11 08:35:52	D05P2	YC1703	18.866	press	fire	None	Press	0	Press
697	2019-10-11 08:35:52	D05P2	YC1703	19.333	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
704	2019-10-11 08:35:52	D05P2	YC1703	19.434	press	left	None	Press	0	Press
715	2019-10-11 08:35:52	D05P2	YC1703	19.767	press	fire	None	Press	0	Press
732	2019-10-11 08:35:52	D05P2	YC1703	20.134	press	fire	None	Press	0	Press
746	2019-10-11 08:35:52	D05P2	YC1703	20.5	press	fire	None	Press	0	Press
752	2019-10-11 08:35:52	D05P2	YC1703	20.6	collide	missile_0	fortress	FortressShot	0	GameEvent
761	2019-10-11 08:35:52	D05P2	YC1703	20.866	press	fire	None	Press	0	Press
772	2019-10-11 08:35:52	D05P2	YC1703	20.967	collide	missile_0	fortress	FortressShot	0	GameEvent
783	2019-10-11 08:35:52	D05P2	YC1703	21.301	press	fire	None	Press	0	Press
786	2019-10-11 08:35:52	D05P2	YC1703	21.334	collide	missile_0	fortress	FortressShot	0	GameEvent
795	2019-10-11 08:35:52	D05P2	YC1703	21.567	press	right	None	Press	0	Press
807	2019-10-11 08:35:52	D05P2	YC1703	21.866	press	fire	None	Press	0	Press
833	2019-10-11 08:35:52	D05P2	YC1703	22.501	press	fire	None	Press	0	Press
844	2019-10-11 08:35:52	D05P2	YC1703	22.767	press	right	None	Press	0	Press
846	2019-10-11 08:35:52	D05P2	YC1703	22.767	collide	missile_2	fortress	FortressShot	0	GameEvent
852	2019-10-11 08:35:52	D05P2	YC1703	22.901	press	fire	None	Press	0	Press
879	2019-10-11 08:35:52	D05P2	YC1703	23.467	collide	missile_0	fortress	FortressShot	0	GameEvent
883	2019-10-11 08:35:52	D05P2	YC1703	23.534	press	fire	None	Press	0	Press
907	2019-10-11 08:35:52	D05P2	YC1703	24.102	press	fire	None	Press	0	Press
921	2019-10-11 08:35:52	D05P2	YC1703	24.422	new_mine	foe	None	NewMine	0	GameEvent
926	2019-10-11 08:35:52	D05P2	YC1703	24.533	collide	missile_1	fortress	FortressShot	0	GameEvent
930	2019-10-11 08:35:52	D05P2	YC1703	24.634	press	thrust	None	Press	0	Press
952	2019-10-11 08:35:52	D05P2	YC1703	25.134	collide	missile_1	fortress	FortressShot	0	GameEvent
959	2019-10-11 08:35:52	D05P2	YC1703	25.301	press	left	None	Press	0	Press
972	2019-10-11 08:35:52	D05P2	YC1703	25.601	press	left	None	Press	0	Press
983	2019-10-11 08:35:52	D05P2	YC1703	25.9	press	left	None	Press	0	Press
999	2019-10-11 08:35:52	D05P2	YC1703	26.2	press	iff	None	Press	0	Press
1007	2019-10-11 08:35:52	D05P2	YC1703	26.334	press	iff	None	Press	0	Press
1019	2019-10-11 08:35:52	D05P2	YC1703	26.667	press	fire	None	Press	0	Press
1029	2019-10-11 08:35:52	D05P2	YC1703	26.867	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
1038	2019-10-11 08:35:52	D05P2	YC1703	27.001	press	right	None	Press	0	Press
1056	2019-10-11 08:35:52	D05P2	YC1703	27.401	press	right	None	Press	0	Press
1065	2019-10-11 08:35:52	D05P2	YC1703	27.6	press	right	None	Press	0	Press
1107	2019-10-11 08:35:52	D05P2	YC1703	28.733	press	fire	None	Press	0	Press
1114	2019-10-11 08:35:52	D05P2	YC1703	28.901	press	fire	None	Press	0	Press
1139	2019-10-11 08:35:52	D05P2	YC1703	29.5	collide	missile_0	fortress	FortressShot	0	GameEvent
1147	2019-10-11 08:35:52	D05P2	YC1703	29.633	collide	missile_0	fortress	FortressShot	0	GameEvent
1149	2019-10-11 08:35:52	D05P2	YC1703	29.667	destroyed	fortress	None	FortressDestruction	250	Fortress
1183	2019-10-11 08:35:52	D05P2	YC1703	30.6	press	thrust	None	Press	0	Press
1184	2019-10-11 08:35:52	D05P2	YC1703	30.6	press	right	None	Press	0	Press
1201	2019-10-11 08:35:52	D05P2	YC1703	31	press	fire	None	Press	0	Press
1218	2019-10-11 08:35:52	D05P2	YC1703	31.367	press	fire	None	Press	0	Press
1230	2019-10-11 08:35:52	D05P2	YC1703	31.668	collide	missile_0	fortress	FortressShot	0	GameEvent
1238	2019-10-11 08:35:52	D05P2	YC1703	31.9	press	fire	None	Press	0	Press
1242	2019-10-11 08:35:52	D05P2	YC1703	31.941	new_mine	friend	None	NewMine	0	GameEvent
1246	2019-10-11 08:35:52	D05P2	YC1703	32.001	collide	missile_0	fortress	FortressShot	0	GameEvent
1258	2019-10-11 08:35:52	D05P2	YC1703	32.234	press	right	None	Press	0	Press
1270	2019-10-11 08:35:52	D05P2	YC1703	32.534	press	right	None	Press	0	Press
1286	2019-10-11 08:35:52	D05P2	YC1703	33	press	right	None	Press	0	Press
1293	2019-10-11 08:35:52	D05P2	YC1703	33.167	press	fire	None	Press	0	Press
1311	2019-10-11 08:35:52	D05P2	YC1703	33.533	press	left	None	Press	0	Press
1320	2019-10-11 08:35:52	D05P2	YC1703	33.734	press	fire	None	Press	0	Press
1348	2019-10-11 08:35:52	D05P2	YC1703	34.467	press	thrust	None	Press	0	Press
1363	2019-10-11 08:35:52	D05P2	YC1703	34.802	press	right	None	Press	0	Press
1384	2019-10-11 08:35:52	D05P2	YC1703	35.301	press	left	None	Press	0	Press
1395	2019-10-11 08:35:52	D05P2	YC1703	35.567	press	fire	None	Press	0	Press
1406	2019-10-11 08:35:52	D05P2	YC1703	35.834	press	left	None	Press	0	Press
1414	2019-10-11 08:35:52	D05P2	YC1703	36.034	press	thrust	None	Press	0	Press
1422	2019-10-11 08:35:52	D05P2	YC1703	36.166	collide	friend_mine	None	FriendMineDestruction	50	Mine
1436	2019-10-11 08:35:52	D05P2	YC1703	36.401	press	right	None	Press	0	Press
1448	2019-10-11 08:35:52	D05P2	YC1703	36.7	press	right	None	Press	0	Press
1453	2019-10-11 08:35:52	D05P2	YC1703	36.8	press	thrust	None	Press	0	Press
1491	2019-10-11 08:35:52	D05P2	YC1703	37.734	bonus_available	None	None	NewBonus	0	GameEvent
1515	2019-10-11 08:35:52	D05P2	YC1703	38.367	press	fire	None	Press	0	Press
1526	2019-10-11 08:35:52	D05P2	YC1703	38.666	press	shots	None	Press	0	Press
1528	2019-10-11 08:35:52	D05P2	YC1703	38.666	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
1532	2019-10-11 08:35:52	D05P2	YC1703	38.701	collide	missile_0	fortress	FortressShot	0	GameEvent
1539	2019-10-11 08:35:52	D05P2	YC1703	38.867	press	right	None	Press	0	Press
1547	2019-10-11 08:35:52	D05P2	YC1703	39.033	press	fire	None	Press	0	Press
1558	2019-10-11 08:35:52	D05P2	YC1703	39.333	press	right	None	Press	0	Press
1560	2019-10-11 08:35:52	D05P2	YC1703	39.334	collide	missile_0	fortress	FortressShot	0	GameEvent
1564	2019-10-11 08:35:52	D05P2	YC1703	39.367	press	fire	None	Press	0	Press
1579	2019-10-11 08:35:52	D05P2	YC1703	39.701	press	right	None	Press	0	Press
1581	2019-10-11 08:35:52	D05P2	YC1703	39.701	collide	missile_0	fortress	FortressShot	0	GameEvent
1584	2019-10-11 08:35:52	D05P2	YC1703	39.767	press	fire	None	Press	0	Press
1599	2019-10-11 08:35:52	D05P2	YC1703	40.101	collide	missile_0	fortress	FortressShot	0	GameEvent
1603	2019-10-11 08:35:52	D05P2	YC1703	40.201	press	fire	None	Press	0	Press
1618	2019-10-11 08:35:52	D05P2	YC1703	40.501	press	right	None	Press	0	Press
1624	2019-10-11 08:35:52	D05P2	YC1703	40.601	collide	missile_0	fortress	FortressShot	0	GameEvent
1625	2019-10-11 08:35:52	D05P2	YC1703	40.633	press	fire	None	Press	0	Press
1646	2019-10-11 08:35:52	D05P2	YC1703	41.166	press	left	None	Press	0	Press
1651	2019-10-11 08:35:52	D05P2	YC1703	41.251	new_mine	friend	None	NewMine	0	GameEvent
1659	2019-10-11 08:35:52	D05P2	YC1703	41.367	press	thrust	None	Press	0	Press
1684	2019-10-11 08:35:52	D05P2	YC1703	42.066	press	right	None	Press	0	Press
1695	2019-10-11 08:35:52	D05P2	YC1703	42.367	press	fire	None	Press	0	Press
1713	2019-10-11 08:35:52	D05P2	YC1703	42.733	press	left	None	Press	0	Press
1720	2019-10-11 08:35:52	D05P2	YC1703	42.901	press	fire	None	Press	0	Press
1727	2019-10-11 08:35:52	D05P2	YC1703	43.068	press	right	None	Press	0	Press
1736	2019-10-11 08:35:52	D05P2	YC1703	43.301	press	fire	None	Press	0	Press
1747	2019-10-11 08:35:52	D05P2	YC1703	43.501	press	right	None	Press	0	Press
1759	2019-10-11 08:35:52	D05P2	YC1703	43.733	collide	friend_mine	None	FriendMineDestruction	50	Mine
1769	2019-10-11 08:35:52	D05P2	YC1703	43.933	press	thrust	None	Press	0	Press
1782	2019-10-11 08:35:52	D05P2	YC1703	44.334	press	thrust	None	Press	0	Press
1795	2019-10-11 08:35:52	D05P2	YC1703	44.534	press	right	None	Press	0	Press
1809	2019-10-11 08:35:52	D05P2	YC1703	44.901	press	fire	None	Press	0	Press
1819	2019-10-11 08:35:52	D05P2	YC1703	45.067	bonus_available	None	None	NewBonus	0	GameEvent
1826	2019-10-11 08:35:52	D05P2	YC1703	45.267	press	right	None	Press	0	Press
1841	2019-10-11 08:35:52	D05P2	YC1703	45.601	press	fire	None	Press	0	Press
1846	2019-10-11 08:35:52	D05P2	YC1703	45.7	press	left	None	Press	0	Press
1854	2019-10-11 08:35:52	D05P2	YC1703	45.901	press	pnts	None	Press	0	Press
1856	2019-10-11 08:35:52	D05P2	YC1703	45.901	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
1869	2019-10-11 08:35:52	D05P2	YC1703	46.234	press	right	None	Press	0	Press
1887	2019-10-11 08:35:52	D05P2	YC1703	46.601	press	left	None	Press	0	Press
1895	2019-10-11 08:35:52	D05P2	YC1703	46.801	press	fire	None	Press	0	Press
1907	2019-10-11 08:35:52	D05P2	YC1703	47.067	press	right	None	Press	0	Press
1915	2019-10-11 08:35:52	D05P2	YC1703	47.233	press	fire	None	Press	0	Press
1931	2019-10-11 08:35:52	D05P2	YC1703	47.567	press	thrust	None	Press	0	Press
1949	2019-10-11 08:35:52	D05P2	YC1703	48.033	collide	missile_1	fortress	FortressShot	0	GameEvent
1954	2019-10-11 08:35:52	D05P2	YC1703	48.166	press	fire	None	Press	0	Press
1956	2019-10-11 08:35:52	D05P2	YC1703	48.201	press	right	None	Press	0	Press
1971	2019-10-11 08:35:52	D05P2	YC1703	48.534	press	right	None	Press	0	Press
1980	2019-10-11 08:35:52	D05P2	YC1703	48.633	press	fire	None	Press	0	Press
1989	2019-10-11 08:35:52	D05P2	YC1703	48.82	new_mine	friend	None	NewMine	0	GameEvent
2003	2019-10-11 08:35:52	D05P2	YC1703	49.201	press	fire	None	Press	0	Press
2006	2019-10-11 08:35:52	D05P2	YC1703	49.222	bonus_available	None	None	NewBonus	0	GameEvent
2019	2019-10-11 08:35:52	D05P2	YC1703	49.567	press	left	None	Press	0	Press
2046	2019-10-11 08:35:52	D05P2	YC1703	50.234	press	pnts	None	Press	0	Press
2048	2019-10-11 08:35:52	D05P2	YC1703	50.234	pnts_bonus_capture	None	None	PointsBonusCapture	100	Bonus
2071	2019-10-11 08:35:52	D05P2	YC1703	50.734	press	right	None	Press	0	Press
2085	2019-10-11 08:35:52	D05P2	YC1703	51.067	press	fire	None	Press	0	Press
2094	2019-10-11 08:35:52	D05P2	YC1703	51.3	press	left	None	Press	0	Press
2111	2019-10-11 08:35:52	D05P2	YC1703	51.601	collide	friend_mine	None	FriendMineDestruction	50	Mine
2120	2019-10-11 08:35:52	D05P2	YC1703	51.767	press	left	None	Press	0	Press
2141	2019-10-11 08:35:52	D05P2	YC1703	52.333	press	left	None	Press	0	Press
2156	2019-10-11 08:35:52	D05P2	YC1703	52.634	press	thrust	None	Press	0	Press
2163	2019-10-11 08:35:52	D05P2	YC1703	52.833	press	fire	None	Press	0	Press
2172	2019-10-11 08:35:52	D05P2	YC1703	53.034	press	right	None	Press	0	Press
2180	2019-10-11 08:35:52	D05P2	YC1703	53.201	press	fire	None	Press	0	Press
2194	2019-10-11 08:35:52	D05P2	YC1703	53.601	press	fire	None	Press	0	Press
2207	2019-10-11 08:35:52	D05P2	YC1703	53.833	collide	missile_1	fortress	FortressShot	0	GameEvent
2211	2019-10-11 08:35:52	D05P2	YC1703	53.933	press	right	None	Press	0	Press
2222	2019-10-11 08:35:52	D05P2	YC1703	54.167	press	thrust	None	Press	0	Press
2226	2019-10-11 08:35:52	D05P2	YC1703	54.234	collide	missile_1	fortress	FortressShot	0	GameEvent
2227	2019-10-11 08:35:52	D05P2	YC1703	54.267	press	fire	None	Press	0	Press
2256	2019-10-11 08:35:52	D05P2	YC1703	54.933	collide	missile_0	fortress	FortressShot	0	GameEvent
2257	2019-10-11 08:35:52	D05P2	YC1703	54.967	press	thrust	None	Press	0	Press
2262	2019-10-11 08:35:52	D05P2	YC1703	55.067	press	right	None	Press	0	Press
2274	2019-10-11 08:35:52	D05P2	YC1703	55.367	press	right	None	Press	0	Press
2277	2019-10-11 08:35:52	D05P2	YC1703	55.4	press	thrust	None	Press	0	Press
2293	2019-10-11 08:35:52	D05P2	YC1703	55.733	press	thrust	None	Press	0	Press
2294	2019-10-11 08:35:52	D05P2	YC1703	55.733	press	right	None	Press	0	Press
2323	2019-10-11 08:35:52	D05P2	YC1703	56.534	press	fire	None	Press	0	Press
2330	2019-10-11 08:35:52	D05P2	YC1703	56.667	press	fire	None	Press	0	Press
2337	2019-10-11 08:35:52	D05P2	YC1703	56.725	new_mine	foe	None	NewMine	0	GameEvent
2346	2019-10-11 08:35:52	D05P2	YC1703	56.9	collide	missile_0	fortress	FortressShot	0	GameEvent
2351	2019-10-11 08:35:52	D05P2	YC1703	57	collide	missile_0	fortress	FortressShot	0	GameEvent
2353	2019-10-11 08:35:52	D05P2	YC1703	57.033	destroyed	fortress	None	FortressDestruction	250	Fortress
2358	2019-10-11 08:35:52	D05P2	YC1703	57.1	press	right	None	Press	0	Press
2372	2019-10-11 08:35:52	D05P2	YC1703	57.501	press	right	None	Press	0	Press
2385	2019-10-11 08:35:52	D05P2	YC1703	57.767	press	right	None	Press	0	Press
2417	2019-10-11 08:35:52	D05P2	YC1703	58.701	press	iff	None	Press	0	Press
2428	2019-10-11 08:35:52	D05P2	YC1703	58.833	press	iff	None	Press	0	Press
2434	2019-10-11 08:35:52	D05P2	YC1703	58.934	press	thrust	None	Press	0	Press
2436	2019-10-11 08:35:52	D05P2	YC1703	58.968	press	left	None	Press	0	Press
2449	2019-10-11 08:35:52	D05P2	YC1703	59.301	press	fire	None	Press	0	Press
2456	2019-10-11 08:35:52	D05P2	YC1703	59.466	press	right	None	Press	0	Press
2468	2019-10-11 08:35:52	D05P2	YC1703	59.767	press	thrust	None	Press	0	Press
2474	2019-10-11 08:35:52	D05P2	YC1703	59.833	press	fire	None	Press	0	Press
2484	2019-10-11 08:35:52	D05P2	YC1703	60.033	press	thrust	None	Press	0	Press
2491	2019-10-11 08:35:52	D05P2	YC1703	60.233	press	left	None	Press	0	Press
2512	2019-10-11 08:35:52	D05P2	YC1703	60.767	press	fire	None	Press	0	Press
2525	2019-10-11 08:35:52	D05P2	YC1703	61.001	press	right	None	Press	0	Press
2533	2019-10-11 08:35:52	D05P2	YC1703	61.2	press	fire	None	Press	0	Press
2555	2019-10-11 08:35:52	D05P2	YC1703	61.801	press	left	None	Press	0	Press
2561	2019-10-11 08:35:52	D05P2	YC1703	61.834	collide	missile_1	fortress	FortressShot	0	GameEvent
2565	2019-10-11 08:35:52	D05P2	YC1703	61.901	press	thrust	None	Press	0	Press
2570	2019-10-11 08:35:52	D05P2	YC1703	61.967	press	left	None	Press	0	Press
2572	2019-10-11 08:35:52	D05P2	YC1703	61.967	collide	tagged_foe_mine	None	FoeMineDestruction	60	Mine
2604	2019-10-11 08:35:52	D05P2	YC1703	62.767	press	right	None	Press	0	Press
2619	2019-10-11 08:35:52	D05P2	YC1703	63.034	press	right	None	Press	0	Press
2632	2019-10-11 08:35:52	D05P2	YC1703	63.401	press	right	None	Press	0	Press
