"","Date","Session","Pseudo","TotalScore","Flight","Bonus","Mine","Fortress","NumberofBonus","NumberofMine","Bonus_Prct","Mine_Prct","FortressShot","Treatment","NET","GameLevel","Age","Genre","Group","BlindGroup"
"1","2018-06-04 13:51:49","D01P1","AC2302",2710,-790,600,900,2000,34,53,41.1764705882353,56.6037735849057,106,2,17,9,24,"Homme","SHAM",2
"2","2018-06-05 12:31:19","D02P1","AC2302",5060,-610,2600,1070,2000,52,56,57.6923076923077,60.7142857142857,123,2,17,9,24,"Homme","SHAM",2
"3","2018-06-05 12:31:19","D02P2","AC2302",8305,-335,1750,3390,3500,46,71,52.1739130434783,92.9577464788732,185,2,17,9,24,"Homme","SHAM",2
"4","2018-06-06 12:38:01","D03P1","AC2302",9800,-100,1450,2950,5500,42,68,52.3809523809524,88.2352941176471,287,2,17,9,24,"Homme","SHAM",2
"5","2018-06-06 12:38:01","D03P2","AC2302",12255,-185,2350,3340,6750,46,66,65.2173913043478,96.969696969697,344,2,17,9,24,"Homme","SHAM",2
"6","2018-06-07 12:40:09","D04P1","AC2302",12940,-100,1950,3340,7750,40,66,67.5,95.4545454545455,388,2,17,9,24,"Homme","SHAM",2
"7","2018-06-07 12:40:09","D04P2","AC2302",15720,-50,2100,3670,10000,40,70,70,97.1428571428571,498,2,17,9,24,"Homme","SHAM",2
"8","2018-06-08 12:39:56","D05P1","AC2302",15370,-350,1200,3270,11250,43,67,48.8372093023256,92.5373134328358,574,2,17,9,24,"Homme","SHAM",2
"9","2018-06-08 12:39:56","D05P2","AC2302",18790,-350,1400,3240,14500,45,66,55.5555555555556,92.4242424242424,717,2,17,9,24,"Homme","SHAM",2
"10","2018-06-19 12:42:06","D14P1","AC2302",18855,-985,1400,3690,14750,43,74,62.7906976744186,94.5945945945946,752,2,17,9,24,"Homme","SHAM",2
"11","2018-06-19 12:42:06","D14P2","AC2302",21610,-950,1750,3560,17250,42,76,73.8095238095238,89.4736842105263,852,2,17,9,24,"Homme","SHAM",2
"12","2021-03-15 16:26:51","D01P1","AF1105",2900,-1320,650,2320,1250,40,64,30,78.125,74,3,17,1,26,"Homme","STIMHD",3
"13","2021-03-16 15:53:20","D02P1","AF1105",3855,-555,350,2560,1500,40,66,37.5,83.3333333333333,87,3,17,1,26,"Homme","STIMHD",3
"14","2021-03-16 16:04:01","D02P2","AF1105",4755,-1055,400,2160,3250,41,61,36.5853658536585,77.0491803278689,181,3,17,1,26,"Homme","STIMHD",3
"15","2021-03-17 15:46:00","D03P1","AF1105",4425,-1035,700,2510,2250,37,63,43.2432432432432,82.5396825396825,126,3,17,1,26,"Homme","STIMHD",3
"16","2021-03-17 15:56:43","D03P2","AF1105",6565,-685,1000,2750,3500,48,64,45.8333333333333,85.9375,194,3,17,1,26,"Homme","STIMHD",3
"17","2021-03-18 15:53:32","D04P1","AF1105",3350,-1770,800,1820,2500,42,58,40.4761904761905,72.4137931034483,158,3,17,1,26,"Homme","STIMHD",3
"18","2021-03-18 16:03:56","D04P2","AF1105",1985,-2585,200,1370,3000,33,58,33.3333333333333,58.6206896551724,171,3,17,1,26,"Homme","STIMHD",3
"19","2021-03-19 15:42:38","D05P1","AF1105",4640,-820,1750,1210,2500,38,59,73.6842105263158,62.7118644067797,132,3,17,1,26,"Homme","STIMHD",3
"20","2021-03-19 15:53:21","D05P2","AF1105",4360,-670,350,1930,2750,40,62,40,72.5806451612903,151,3,17,1,26,"Homme","STIMHD",3
"21","2021-03-30 14:46:23","D14P1","AF1105",4655,-685,1150,1690,2500,45,63,55.5555555555556,69.8412698412698,156,3,17,1,26,"Homme","STIMHD",3
"22","2021-03-30 14:57:38","D14P2","AF1105",6870,-1070,-50,2490,5500,41,65,34.1463414634146,76.9230769230769,288,3,17,1,26,"Homme","STIMHD",3
"23","2019-11-18 19:46:10","D01P1","AL2409",3715,-825,700,2590,1250,33,66,30.3030303030303,81.8181818181818,83,2,16,6,20,"Homme","SHAM",2
"24","2019-11-19 18:00:08","D02P1","AL2409",6990,-190,2000,2930,2250,45,67,53.3333333333333,89.5522388059701,124,2,16,6,20,"Homme","SHAM",2
"25","2019-11-19 18:12:51","D02P2","AL2409",6760,-670,1800,3130,2500,46,72,50,84.7222222222222,128,2,16,6,20,"Homme","SHAM",2
"26","2019-11-20 17:03:16","D03P1","AL2409",8230,-150,2150,3730,2500,35,75,71.4285714285714,93.3333333333333,140,2,16,6,20,"Homme","SHAM",2
"27","2019-11-20 17:15:19","D03P2","AL2409",8550,-350,2800,3350,2750,47,74,70.2127659574468,90.5405405405405,139,2,16,6,20,"Homme","SHAM",2
"28","2019-11-21 15:08:03","D04P1","AL2409",10090,-100,3200,3740,3250,41,77,85.3658536585366,93.5064935064935,173,2,16,6,20,"Homme","SHAM",2
"29","2019-11-21 15:19:17","D04P2","AL2409",9970,-150,2700,3920,3500,39,77,76.9230769230769,94.8051948051948,190,2,16,6,20,"Homme","SHAM",2
"30","2019-11-22 18:32:35","D05P1","AL2409",8960,-400,2150,3710,3500,41,78,63.4146341463415,91.025641025641,187,2,16,6,20,"Homme","SHAM",2
"31","2019-11-22 18:45:08","D05P2","AL2409",10090,-300,2750,4140,3500,42,81,71.4285714285714,93.8271604938272,179,2,16,6,20,"Homme","SHAM",2
"32","2019-12-02 19:41:12","D14P1","AL2409",10200,-350,2900,4150,3500,41,80,80.4878048780488,95,176,2,16,6,20,"Homme","SHAM",2
"33","2019-12-02 19:52:31","D14P2","AL2409",10570,-400,2650,3820,4500,37,79,81.0810810810811,91.1392405063291,227,2,16,6,20,"Homme","SHAM",2
"34","2019-12-02 07:37:56","D01P1","AR1208",2425,-2955,1200,2430,1750,44,59,36.3636363636364,81.3559322033898,97,1,14,3.5,19,"Femme","STIMSD",1
"35","2019-12-03 07:12:58","D02P1","AR1208",3100,-1810,1250,1910,1750,45,59,37.7777777777778,71.1864406779661,100,1,14,3.5,19,"Femme","STIMSD",1
"36","2019-12-03 07:30:03","D02P2","AR1208",2430,-2850,1250,2030,2000,47,60,36.1702127659574,73.3333333333333,102,1,14,3.5,19,"Femme","STIMSD",1
"37","2019-12-04 07:21:21","D03P1","AR1208",5385,-1585,1750,2970,2250,36,65,58.3333333333333,87.6923076923077,129,1,14,3.5,19,"Femme","STIMSD",1
"38","2019-12-04 07:34:21","D03P2","AR1208",5380,-1210,1650,2440,2500,37,63,54.0540540540541,79.3650793650794,142,1,14,3.5,19,"Femme","STIMSD",1
"39","2019-12-05 07:22:49","D04P1","AR1208",6090,-770,2100,2760,2000,38,61,68.4210526315789,86.8852459016394,114,1,14,3.5,19,"Femme","STIMSD",1
"40","2019-12-05 07:39:47","D04P2","AR1208",6975,-1105,2750,3080,2250,50,69,60,85.5072463768116,117,1,14,3.5,19,"Femme","STIMSD",1
"41","2019-12-06 07:24:29","D05P1","AR1208",7725,-805,2950,2830,2750,49,66,67.3469387755102,86.3636363636364,145,1,14,3.5,19,"Femme","STIMSD",1
"42","2019-12-06 07:34:50","D05P2","AR1208",7115,-1055,2350,2820,3000,46,66,58.695652173913,83.3333333333333,161,1,14,3.5,19,"Femme","STIMSD",1
"43","2019-12-18 07:24:10","D14P1","AR1208",8140,-350,2800,2940,2750,40,64,80,89.0625,152,1,14,3.5,19,"Femme","STIMSD",1
"44","2019-12-18 07:36:39","D14P2","AR1208",7495,-1355,2350,3000,3500,38,65,73.6842105263158,89.2307692307692,181,1,14,3.5,19,"Femme","STIMSD",1
"45","2018-06-04 17:55:12","D01P1","AS0808",5425,-645,1600,2970,1500,42,67,57.1428571428571,88.0597014925373,81,1,16,6,21,"Homme","STIMSD",1
"46","2018-06-05 10:03:20","D02P1","AS0808",6530,-720,1950,3050,2250,47,68,53.1914893617021,88.2352941176471,129,1,16,6,21,"Homme","STIMSD",1
"47","2018-06-05 10:03:20","D02P2","AS0808",6360,-720,1950,2630,2500,41,64,56.0975609756098,82.8125,132,1,16,6,21,"Homme","STIMSD",1
