Date	Session	Pseudo	system_time	e1	e2	e3	Type	Point	Group
28735	2018-06-07 12:40:09	D04P2	AC2302	664.139	press	thrust	None	Press	0	Press
28745	2018-06-07 12:40:09	D04P2	AC2302	664.442	press	right	None	Press	0	Press
28765	2018-06-07 12:40:09	D04P2	AC2302	664.974	press	thrust	None	Press	0	Press
28776	2018-06-07 12:40:09	D04P2	AC2302	665.141	press	fire	None	Press	0	Press
28790	2018-06-07 12:40:09	D04P2	AC2302	665.508	collide	missile_0	fortress	FortressShot	0	GameEvent
28793	2018-06-07 12:40:09	D04P2	AC2302	665.573	press	thrust	None	Press	0	Press
28796	2018-06-07 12:40:09	D04P2	AC2302	665.64	press	right	None	Press	0	Press
28804	2018-06-07 12:40:09	D04P2	AC2302	665.773	press	fire	None	Press	0	Press
28823	2018-06-07 12:40:09	D04P2	AC2302	666.174	collide	missile_0	fortress	FortressShot	0	GameEvent
28831	2018-06-07 12:40:09	D04P2	AC2302	666.407	press	right	None	Press	0	Press
28832	2018-06-07 12:40:09	D04P2	AC2302	666.407	press	thrust	None	Press	0	Press
28838	2018-06-07 12:40:09	D04P2	AC2302	666.507	press	fire	None	Press	0	Press
28853	2018-06-07 12:40:09	D04P2	AC2302	666.874	collide	missile_0	fortress	FortressShot	0	GameEvent
28857	2018-06-07 12:40:09	D04P2	AC2302	666.907	bonus_available	None	None	NewBonus	0	GameEvent
28860	2018-06-07 12:40:09	D04P2	AC2302	667.008	press	thrust	None	Press	0	Press
28861	2018-06-07 12:40:09	D04P2	AC2302	667.008	press	right	None	Press	0	Press
28870	2018-06-07 12:40:09	D04P2	AC2302	667.108	press	fire	None	Press	0	Press
28897	2018-06-07 12:40:09	D04P2	AC2302	667.907	press	shots	None	Press	0	Press
28899	2018-06-07 12:40:09	D04P2	AC2302	667.907	shots_bonus_capture	None	None	ShotsBonusCapture	50	Bonus
28913	2018-06-07 12:40:09	D04P2	AC2302	668.173	press	thrust	None	Press	0	Press
28914	2018-06-07 12:40:09	D04P2	AC2302	668.174	press	right	None	Press	0	Press
28922	2018-06-07 12:40:09	D04P2	AC2302	668.306	press	fire	None	Press	0	Press
28937	2018-06-07 12:40:09	D04P2	AC2302	668.673	collide	missile_0	fortress	FortressShot	0	GameEvent
28940	2018-06-07 12:40:09	D04P2	AC2302	668.741	press	right	None	Press	0	Press
28941	2018-06-07 12:40:09	D04P2	AC2302	668.741	press	thrust	None	Press	0	Press
28949	2018-06-07 12:40:09	D04P2	AC2302	668.873	press	fire	None	Press	0	Press
28960	2018-06-07 12:40:09	D04P2	AC2302	669.086	new_mine	foe	None	NewMine	0	GameEvent
